sp027-000001_001	पायस प्रहसनम्
sp027-000339_009	तेन महाराजस्य पिपसा परिहृता अभवत्
sp027-000340_009	अनन्तरम् महाराजः एतस्मिन् उपवने कति कर्मकराः कार्यम् कुर्वन्ति इति प्रष्टवान्
sp027-000341_009	एकसहस्रम् कर्मकराः इति रक्षकः उक्तवान्
sp027-000342_009	महाराजः पुनः अत्र कति वृक्षाः सन्ति इति पृष्टवान्
sp027-000343_009	तदा रक्षकः एकसहस्रम् वृक्षाः सन्ति
sp027-000344_009	एकैकम् वृक्षम् एकैकः कर्मकरः पालयति इति उक्तवान्
sp027-000345_009	एतत् श्रुत्वा महराजः मन्त्रिणम्
sp027-000346_009	एते न राजकोषस्य महान् अपव्ययः भवति
sp027-000347_009	अतः अद्य एव इतः नवशतम् कर्मकरान् उद्योगात् निष्कासयतु इति आदिष्टवान्
sp027-000348_009	मन्त्री अपि महाराजस्य आज्ञाम् तथैव पालितवान्
sp027-000349_009	केषाञ्चन मासानम् अनन्तरम् पुनः महाराजः मृगयार्थम् तेनैव मार्गेण आगतवान्
sp027-000350_009	तदा महाराजः पूर्वम् पीतम् दाडिमफलरसम् स्मृतवान्
sp027-000351_009	अतः सः पुनः उपवनम् प्रविष्टवान्
sp027-000352_009	पूर्वम् यः स्वागतम् कृतवान् आसीत्
sp027-000353_009	सः एव रक्षकः इदानीमपि आगत्य महाराजस्य स्वागतम् कृतवान्
sp027-000354_009	अनन्तरम् सः दश फलानि चित्वा तेषाम् सर्वेषाम् निष्पीडनम् कृतवान्
sp027-000355_009	परन्तु ततः अर्धचषकमितम् केवलम् फलरसः प्राप्तः
sp027-000356_009	यदा अहम् पूर्वम् आगतवान् तदा भवान् एकेनेव फलेन चषकपूर्णम् रसम् निष्कास्य दत्तवान् आसीत्
sp027-000357_009	इदानीम् दशभिः फलैः अपि चषकपूर्णम् रसः न प्राप्तः
sp027-000358_009	एतस्य अर्थः का इति
sp027-000359_009	तदा रक्षकः विनयेन उक्तवान्
sp027-000360_009	प्रभो वृक्षाणाम् उष्णता अधिका जाता अस्ति इति
sp027-000361_009	तदा महाराजः भोः इदानीम् घर्मकालः अपि न सन्निहितः
sp027-000362_009	तदा रक्षकः उक्तवान् प्रभो क्षन्तव्यः अहम्
sp027-000363_009	किन्तु भवान् अत्रत्यान् नवशतम् कर्मकरान् उद्योगात्निष्कासनेन आश्रयरहितान् कृतवान् खलु
sp027-000364_009	तेषाम् जीवनम् इदानीम् बहु कष्टकरमस्ति
sp027-000365_009	तदा महाराजः स्वदोषम् ज्ञातवान्
sp027-000366_009	अनु क्षणम् मन्त्रिणम् उक्त्वा निष्कासितान् सर्वानपि कर्मकरान् पुनः तस्मिन् एव उद्योगे नियेजितवान्
sp027-000367_010	सत्यपूजनम्
sp027-000368_010	स्वामी विवेकानन्दः भारतस्य महान् पुरुषः
sp027-000369_010	तस्य जन्म कलकत्तानगरे अभवत्
sp027-000370_010	पूर्वम् तस्य नाम नरेन्द्रः इति आसीत्
sp027-000371_010	एकदा माता नरेन्द्रम् आहूय बिले अद्य कालीमातुः उत्सवः अस्ति
sp027-000372_010	भवान् आपणम् गत्वा एकाम् उत्तमाम् मूर्तिम् आनयतु इति उक्तवती
sp027-000373_010	अस्तु इत्युक्त्वा नरेन्द्रः मूर्तिम् आनेतुम् आपणम् गतवान्
sp027-000374_010	तत्र एकाम् मूर्तिम् क्रीत्वा गृहम् प्रति आगच्छन् आसीत्
sp027-000375_010	तदा एव तेन मार्गेण दूरतः वेगेन आगच्छत् एकम् वाहनम् दृष्टवान्
sp027-000376_010	वाहनापघातात् तस्याः प्राणरक्षणम् च कृतवान्
sp027-000377_010	माता नरेन्द्रम् मूर्तिम् आनीतवान् वा इति पृष्टवती
sp027-000378_010	तदा नरेन्द्रः मूर्तिम् अहम् मार्गे एव क्षिप्त्वा आगतवान्
sp027-000379_010	गृहम् न आनीतवान्
sp027-000380_010	कृपया क्षन्तव्यः अहम्
sp027-000381_010	अम्ब कृपया मा कुप्यतु इति उक्तवान्
sp027-000382_010	अनन्तरम् सः मार्गे प्रवृत्तम् सर्वम् मातरम् निवेदितवान्
sp027-000383_010	एतत् श्रुत्वा मातुः महान् सन्तोषः जातः
sp027-000384_010	सा पुत्रम् नरेन्द्रम् आलिङ्गय बिले साधुकार्यम् कृतम् भवता
sp027-000385_010	बालिकायाः प्राणरक्षणम् कुर्वता भवता आदर्शकार्यम् कृतम्
sp027-000386_010	भवान् देवम् न केवलम् मूर्तौ अपि च मानवे दृष्टवान्
sp027-000387_010	एवम् भवता मानवसेवा एव ईश्वरसेवा इति मत्वा कार्यम् करणीयम् इति आशीर्वादम् कृतवती
sp027-000388_011	देशभक्तेः प्रतिरूपम्
sp027-000389_011	तेषु अमरः हुतात्मा रामप्रसाद् बिस्मिल्लः अपि अन्यतमः
sp027-000390_011	एतस्मात् अनेके युवकाः प्रेरणाम् प्राप्तवन्तः आसन्
sp027-000391_011	परन्तु तेषु बहवः अज्ञाताः एव
sp027-000392_011	रामप्रसादस्य तस्य च गाढम् मित्रत्वम् आसीत्
sp027-000393_011	एकदा आर्यसमाजमन्दिरस्य नाशम् कर्तुम् केचन मुसल्मानजनाः आगताः
sp027-000394_011	सः कोपेन मम शरीरे यावत्पर्यन्तम् रक्तम् तिष्ठति
sp027-000395_011	ततः भीताः मुसल्मानजनाः पलायनम् कृतवन्तः
sp027-000396_011	पुनः कदाचित् अश्फाकः स्वमित्रेण रामप्रसादेन सह आङ्ग्लैः निगृहीतः कारागृहम् प्रति प्रेषितः च
sp027-000397_011	तेन भवतः दण्डनम् न्यूनम् भविष्यति
sp027-000398_011	इतः गच्छतु भवान्
sp027-000399_011	हिन्दु मुस्लिम् विवादविषये किमपि मा वदतु भवान्
sp027-000400_011	वयम् सर्वे केवलम् भारतीयाः
sp027-000401_011	भारतस्य स्वातन्त्र्यप्राप्त्यर्थम् वयम् मिलित्वा एव प्रयत्नम् कुर्मः
sp027-000402_011	वयम् सर्वे अपि भारतमातुः एव पुत्राः
sp027-000403_011	अतः वयम् सोदराः इति कोपेन हूङ्कृतवान् अश्फाकः
sp027-000404_011	सः ततः निर्गतः
sp027-000405_012	अपेक्षा न लघुः
sp027-000406_012	तत्र कश्चन आश्रमः
sp027-000407_012	तस्य नाम श्री शिवानन्द आश्रमः इति
sp027-000408_012	तस्मिन् आश्रमे श्री सदाप्रेमानन्दसरस्वतीस्वामिनः निवसन्ति स्म
sp027-000409_012	ते धर्मपरायणाः तत्त्वनिष्ठाः च आसन्
sp027-000410_012	यस्मिन् वने श्री शिवानन्द आश्रमः आसीत् तत्र तम् आश्रमम् परितः आदिवासिनः निवसन्ति स्म
sp027-000411_012	ते अपि स्वामिनाम् सम्पर्केण सज्जनाः शान्ताः च जाताः आसन्
sp027-000412_012	अथ कदाचित् तम् आश्रमम् प्रति तस्य जनपदस्य आयुक्तः आगतवान्
sp027-000413_012	आश्रमे आदिवासि बालानाम् कृते गुरुकुलमपि आसीत्
sp027-000414_012	बहवः बालाः तत्र पठन्ति स्म
sp027-000415_012	तत् दृष्ट्वा सः आयुक्तः बहु प्रभावितः प्रसन्नः च
sp027-000416_012	ताम् अहम् पूरयिष्यामि इति
sp027-000417_012	तदा स्वामिनः उक्तवन्तः भवता अन्यत् किमपि दातव्यम् नास्ति
sp027-000418_012	कृपया एकम् कृष्णफलकम् ददातु
sp027-000419_012	पर्याप्तम् इति
sp027-000420_012	तत् श्रुत्वा सः आयुक्तः आश्चर्य चकितः सन् उक्तवान्
sp027-000421_012	एषा तु लघुः अपेक्षा अस्ति
sp027-000422_012	इतोऽपि किमपि अधिकम् प्रार्थयतु इति
sp027-000423_012	तदा स्वामिनः गम्भीरतया
sp027-000424_012	किम् मम एषा अपेक्षा लघुः इति भवान् चिन्तितवान्
sp027-000425_012	भवानपि तादृशस्य कृष्णफलकस्य उपरि लिखित्वा पठित्वा च एव इदानीम् आयुक्तः अभवत् खलु
sp027-000426_012	तर्हि भवान् कथम् एषः लघुः इति उपेक्षाम् करोति
sp027-000427_012	यदि कृष्णफलकम् न अभविष्यत् तर्हि भवान् आयुक्तः न अभविष्यत् इति उक्तवन्तः
sp027-000428_012	स्वामिनाम् वाक्यम् श्रुत्वा आयुक्तः अत्यन्तम् प्रभावितः अभवत्
sp027-000429_012	अनन्तरम् सः आश्रमाय स्वामिविवेकानन्दस्य साहित्यम् अन्यानि पुस्तकानि आवश्यकवस्तूनि च दत्तवान्
sp027-000430_013	आम्रस्य रुचिः
sp027-000431_013	पूर्वम् अस्माकम् देशम् प्रति बहवः विदेशीययात्रिकाः आगच्छन्ति स्म
sp027-000432_013	ते बहुकालम् यावत् अत्र तिष्ठन्ति स्म
sp027-000433_013	देशे सर्वत्र भ्रमणम् कुर्वन्ति स्म
sp027-000434_013	भारतस्य एकैकस्मिन् विषये अपि तेषाम् जिज्ञासा अधिका आसीत्
sp027-000435_013	एकदा कश्चन यात्रिकः जर्मनीदेशतः आगतः
sp027-000436_013	विषयान् अपि सङ्ग्रहीतवान्
sp027-000437_013	विशेषतया सः अस्माकम् देशस्य आम्र फलानि इष्टवान्
sp027-000438_013	तानि बहुवारम् क्रीत्वा खादितवानपि
sp027-000439_013	स्वदेशम् प्रति गमनसमये सः आम्रफलानि नयामि इति चिन्तितवान्
sp027-000440_013	परन्तु सः न शक्तः
sp027-000441_013	स्वदेशम् गत्वा यात्रिकः तस्य देशस्य महाराजम् दृष्टवान्
sp027-000442_013	आम्रफलानाम् प्रशंसामपि कृतवान्
sp027-000443_013	तत् श्रुत्वा सः महाराजः सोत्साहम्
sp027-000444_013	एतस्मात् भीतः यात्रिकः इदानीम् आम्रफलम् अत्र आनेतुम् मया न शक्यते इति उक्तवान्
sp027-000445_013	तदा अविचारी महाराजः दिनत्रयम् यावत् समयावकाशम् दास्यामि
sp027-000446_013	चिन्ताक्रान्तः यात्रिकः गृहम् गतवान्
sp027-000447_013	प्राणरक्षणम् कथम् इति सः बहुधा चिन्तितवान्
sp027-000448_013	तृतीयदिने सः एकम् उपायम् अन्विष्टवान्
sp027-000449_013	ततः राजभवनम् प्रति सोत्साहम् गतवान् च
sp027-000450_013	महाराजः सभाम् आगतवान्
sp027-000451_013	महाराजस्य समीपम् गतवान्
sp027-000452_013	विज्ञापनम् कृतवान् यत् इदानीम् आम्रस्य स्वादम् दर्शयामि
sp027-000453_013	परन्तु प्रथमम् मन्त्रिमहोदयेन स्वादः द्रष्टयः इति
sp027-000454_013	राजा अपि अङ्गीकृतवान्
sp027-000455_013	यात्रिकः तिन्त्रिणीरसम् गुडम् च योजयित्वा तत्र स्थितस्य कस्यचित् सेवकस्य श्मश्रुणः उपरि लेपितवान्
sp027-000456_013	मन्त्रिणम् आहूय आस्वादयितुम् उक्तवान् च
sp027-000457_013	सः मन्त्री तु अनिच्छन् एव आगत्य आस्वादम् कृत्वा
sp027-000458_013	किञ्चित् आम्लता किञ्चित् मधुरता मध्ये रोमयुक्तता च अनुभूयते इति स्वकीयम् अनुभवम् वर्णितवान्
sp027-000459_013	तदा यात्रिकः महाराजमुद्दिश्य
sp027-000460_013	प्रभो आम्रस्य रुचिः अपि एवम् एव भवति
sp027-000461_013	आम्लता मधुरता शिम्बायुक्तता च भवति तत्र इति
sp027-000462_013	महाराजः एतत् श्रुत्वा हसन् रुचिज्ञापनार्थम् तेन कृतम् उपायम् प्रशंसन् तम् यथोचितम् सत्कृतवान्
sp027-000463_014	मृगया
sp027-000464_014	पूर्वम् धर्मपुरीराज्यम् प्रकाशवीरः पालयति स्म
sp027-000465_014	तस्मिन् राज्ये सर्वाः अपि प्रजाः सुखेन जीवनम् कुर्वन्ति स्म
sp027-000466_014	तत्र अनेके वन्यमृगाः आसन्
sp027-000467_014	तस्य प्रजाजनाः अपि मृगयायाम् आसक्ताः आसन्
sp027-000468_014	तेषु कोऽपि यदा कमपि मृगम् मारयित्वा आनीय महाराजाय दर्शयति
sp027-000469_014	तदा महाराजः पारितोषिकदानेन तम् सत्करोति स्म
sp027-000470_014	अतः महाराजात् पारितोषिकम् प्राप्तुम् इच्छन्तः जनाः तदर्थमेव पुनः पुनः मृगयाम् कुर्वन्ति स्म
sp027-000471_014	एतेन बहुशीघ्रम् वने स्थितानाम् प्राणिनाम् सङ्ख्या न्यूना जाता
sp027-000472_014	कदाचित् तत् वनम् प्रति कश्चन अतिभयङ्करः व्याघ्रः आगतवान्
sp027-000473_014	तेषाम् उपरि आक्रमणम् कृतवान्
sp027-000474_014	महाराज कथमपि तम् व्याघ्रम् मारयतु इति तम् प्रार्थितवन्तः
sp027-000475_014	एतत् श्रुत्वा महाराजः विस्मितः अभवत्
sp027-000476_014	यतः एते एव जनाः पूर्वम् अनेकान् क्रूरमृगान् मारितवन्तः आसन्
sp027-000477_014	तेषामपि भयजनकः एषः व्याघ्रः निश्चयेन महाबलवान् स्यात् इति सः चिन्तितवान्
sp027-000478_014	अनन्तरम् सः निश्चितवान् यत् तम् मारयितुम् अहमेव अद्य मृगयार्थम् गच्छामि
sp027-000479_014	ततः मृगयावेषम् धृत्वा धनुर्बाणादिकम् गृहीत्वा महाराजः रात्रौ एव मृगयार्थम् तत् अरण्यम् प्रविष्टवान्
sp027-000480_014	सः जानाति स्म यत् रात्रौ व्याघ्रः जलम् पातुम् नदीम् आगच्छति
sp027-000481_014	तस्मिन् दिने पूर्णिमा आसीत्
sp027-000482_014	सर्वत्र चन्द्रिका प्रसृता आसीत्
sp027-000483_014	अतः सर्वः अपि प्रदेशः ततः स्पष्टतया दृश्यते स्म
sp027-000484_014	मध्यरात्रे व्याघ्रस्य भयङ्करम् गर्जनम् श्रुतम्
sp027-000485_014	तेन समग्रवनमेव प्रतिध्वनितम् अभवत्
sp027-000486_014	किन्तु न कदापि एवम् तस्य हृदयम् भयकम्पितम् आसीत्
sp027-000487_014	सः नद्याः समीपम् गत्वा जलम् पातुम् उद्युक्तः
sp027-000488_014	महाराज तिष्ठतु तिष्ठतु इति वाक्यम् सः श्रुतवान्
sp027-000489_014	आश्चर्येण सर्वत्र दृष्टवान्
sp027-000490_014	भवान् वृक्षात् अवतरतु इति मनुष्यवाचा उक्तवान्
sp027-000491_014	व्याघ्रः उक्तवान् महाराज भवान् किमर्थम् माम् मारयति
sp027-000492_014	अहम् कम् अपराधम् कृतवान् इति
sp027-000493_014	महाराजः उक्तवान्
sp027-000494_014	भवान् मम राज्यस्य अनेकाः प्रजाः मारितवान्
sp027-000495_014	मम प्रजाः भवतः भीताः सन्ति
sp027-000496_014	प्रजानाम् रक्षणम् महाराजस्य मम धर्मः
sp027-000497_014	महाराज भवान् यम् धर्मम् पालयति तमेव धर्मम् अहमपि पालितवान् अस्मि
sp027-000498_014	अत्र मम कः दोषः इति पृष्टवान्
sp027-000499_014	तदा व्याघ्रः एव पुनः उक्तवान्
sp027-000500_014	भवान् यथा राज्यस्य राजा अस्ति तथा अहमपि एतस्य वनस्य राजा अस्मि
sp027-000501_014	प्रजानाम् रक्षणम् यथा भवतः धर्मः
sp027-000502_014	तथैव मम प्रजानाम् वन्यमृगाणाम् रक्षणम् ममापि धर्मः
sp027-000503_014	भवता दीयमानस्य पारितोषिकस्य आशया भवतः प्रजाजनाः एतस्य वनस्य प्राणिनः मारयन्तः सन्ति
sp027-000504_014	एवम् सति वन्यमृगान् मारयितुम् आगतानाम् तेषाम् मारणम् मम धर्मः एव खलु इति
sp027-000505_014	भवतः वचनेन मम नेत्रे उन्मीलिते
sp027-000506_014	मम ज्ञानोदयः जातः
sp027-000507_014	इतःपरम् कदापि मम प्रजाजनाः यथा मृगयाम् न कुर्युः तथा अहम् व्यवस्थाम् करिष्यामि
sp027-000508_014	अहम् चिन्तयामि यत् भवान् कोऽपि दिव्यपुरुषः एव स्यात्
sp027-000509_014	कृपया वदतु भवान् कः इति
sp027-000510_014	तस्मिन् स्थाने काचित् दिव्यस्त्री उपस्थिता आसीत्
sp027-000511_014	महाराजः भक्त्या ताम् नमस्कृतवान्
sp027-000512_014	सा महाराज अहम् वनदेवता अस्मि
sp027-000513_014	इतःपरम् भवतः राज्ये प्राणिहत्यायाः अवसरम् मा ददातु
sp027-000514_014	उत्तिष्ठतु शुभमस्तु भवते इत्युक्त्वा अदृश्या जाता
sp027-000515_014	महाराजः स्वस्य राज्यम् प्रत्यागतवान्
sp027-000516_014	ततः स्वराज्ये के अपि मृगयाम् न कुर्युः इति शासनम् अपि कृतवान्
sp027-000517_014	ततः बहुकालम् यावत् सुखेन शान्त्या च सः प्रजाः पालितवान्
sp027-000518_015	कर्तव्यानि मित्राणि
sp027-000519_015	कस्मिंश्चित् अरण्ये विशालम् सरोवरम् आसीत्
sp027-000520_015	तस्य एकस्मिन् पार्श्वे कश्चन मयूरः निवसति स्म
sp027-000521_015	अपरस्मिन् पार्श्वे एका मयूरी निवसति स्म
sp027-000522_015	ताम् मयूरीम् दृष्ट्वा मयूरः चिन्तितवान् यत् अहम् एताम् परिणेष्यामि
sp027-000523_015	अतः सः मयूरीम् पृष्टवान् आवयोः विवाहः कथम् न भवेत् इति
sp027-000524_015	तदा मयूरी पृष्टवती भवतः कति मित्रणि सन्ति इति
sp027-000525_015	मयूरः उक्तवान् कानि अपि मित्राणि न सन्ति इति
sp027-000526_015	मयूरः चिन्तितवान् यत् सुखेन जीवनीयम् चेत् मित्राणि सम्पादनीयानि
sp027-000527_015	अतः सः निश्चितवान् यत् सरोवरतटे ये प्राणिनः निवसन्ति तेषाम् मैत्री सम्पादयामि
sp027-000528_015	तस्मिन् सरोवरतटे टिट्टिभः सिंहः कूर्मः च निवसन्ति स्म
sp027-000529_015	मयूरः तेषाम् समीपम् गत्वा मधुरसम्भाषणेन तेषाम् मैत्रीम् सम्पादितवान्
sp027-000530_015	अनन्तरम् पुनः मयूरीम् उक्तवान् यत् इदानीम् मम त्रीणि मित्राणि सन्ति
sp027-000531_015	मयूरी विवाहम् अङ्गीकृतवती
sp027-000532_015	शुभे मुहूर्ते तयोः विवाहः सञ्जातः
sp027-000533_015	कानिचन दिनानि अतीतानि
sp027-000534_015	सरोवरतटे स्थिते कस्मिंश्चित् वृक्षे तयोः वासः आसीत्
sp027-000535_015	अथ कदाचित् केचन व्याधाः मृगयानिमित्तम् तद् वनम् आगतवन्तः
sp027-000536_015	परन्तु आदिनम् अटित्वा अपि ते एकमपि मृगम् न प्राप्तवन्तः
sp027-000537_015	जलम् पीत्वा वृक्षच्छायायाम् उपविश्य ते चिन्तितवन्तः यत् अद्य को अपि मृगः न लब्धः
sp027-000538_015	अत्र पक्षिणाम् अण्डानि शावकाः वा लभ्येरन्
sp027-000539_015	तेन वा अस्माकम् बुभुक्षा निवारिता भवेत्
sp027-000540_015	तस्मिन् एव वृक्षे मयूरदम्पत्योः वासः आसीत्
sp027-000541_015	व्याधानाम् सम्भाषणम् श्रुत्वा मयूर्याः चिन्ता उत्पन्ना
sp027-000542_015	मयूरः झटिति साहाय्यार्थम् मित्राणाम् समीपम् गतवान्
sp027-000543_015	मित्रैः अपि साहाय्यार्थम् अङ्गीकृतम्
sp027-000544_015	टिट्टिभः उच्चस्वरेण कोलाहलम् कृतवान्
sp027-000545_015	दूरे स्थितः सिंहः उच्चैः गर्जनम् कृतवान्
sp027-000546_015	तदा कूर्मः अपि सरोवरतः बहिः आगतः
sp027-000547_015	कूर्मम् दृष्ट्वा व्याधाः चिन्तितवन्तः यत् सिंहः अत्र आगच्छेत्
sp027-000548_015	तत्पूर्वमेव अस्माभिः इतः पलायनम् करणीयम्
sp027-000549_015	एतम् कूर्मम् वा गृहीत्वा नयामः
sp027-000550_015	व्याधाः तम् अनुसृत्य जलम् प्रविष्टवन्तः
sp027-000551_015	तेषाम् पादौ पङ्के निमग्रौ जातौ
sp027-000552_015	तत्क्षणमेव सिंहः तत्र आगत्य तान् मारितवान्
sp027-000553_015	तदा मयूरी मयूरम् उक्तवती विवाहात् पूर्वम् मया पृष्टमासीत् यत् भवतः कति मित्रणि सन्ति
sp027-000554_015	तत् इदानीम् सार्थकम् जातम्
sp027-000555_015	यदि एतानि मित्राणि न स्युः तर्हि कियत् कष्टम् भवेत्
sp027-000556_015	मयूरः पत्न्याः वचनम् अङ्गीकृतवान्
sp027-000557_016	मोक्षार्थम् इहलोके यत्नः
sp027-000558_016	कथाकारः इन्दिरातनयः
sp027-000559_016	मत्स्यध्वजः कश्चन महाराजः
sp027-000560_016	भोगे तस्य विशेषासक्तिः आसीत्
sp027-000561_016	कदाचित् सः सर्वालङ्कारभूषितः सन् भोगिनीनाम् गृहम् गच्छनासीत्
sp027-000562_016	गमनमार्गे कस्यचन पुरोहितस्य गृहम् आसीत्
sp027-000563_016	पुरोहितः आकण्ठम् भुक्त्वा गृहस्य पुरतः उपविश्य समययापनार्थम् श्लोकान् वदनासीत् उच्चस्वरेण
sp027-000564_016	राजा यदा गच्छनासीत् तदा पुरोहितेन एकः श्लोकः गीतः
sp027-000565_016	वर्षार्थमष्टौ प्रयतेत मासान् निशार्थमर्धम् दिवसे यतेत
sp027-000566_016	अर्थः अस्ति
sp027-000567_016	वर्षाकालस्य सुखार्थम् शिष्टेषु अष्टसु मासेषु परिश्रमः करणीयः
sp027-000568_016	रात्रौ सुखनिद्राप्राप्त्यर्थम् दिने श्रमः करणीयः
sp027-000569_016	परलोकसुखार्थम् इहलोके प्रयत्नवान् भवेत् मनुजः
sp027-000570_016	एतम् श्लोकम् श्रुतवतः राज्ञः मनसि विवेकः उदितः
sp027-000571_016	अतः अन्नतरदिने एव सः सर्वान् पण्डितान् मेलयित्वा आज्ञापितवान्
sp027-000572_016	मोक्षप्राप्त्यर्थम् अतिश्रेष्ठः मार्गः कः
sp027-000573_016	कस्य आराधनात् मुक्तिः सुलभा भवेत् इति भवद्भिः निर्णेतव्यम्
sp027-000574_016	वादाः प्रवर्तन्ताम्
sp027-000575_016	वादे यः जयम् प्राप्नोति तस्मै विशेषपारितोषिकम् दीयते इति
sp027-000576_016	पण्डितानाम् वादः आरब्धः
sp027-000577_016	अन्ते विष्णुचित्तः नाम पण्डितः जयम् प्राप्य पारितोषिकम् प्राप्तवान्
sp027-000578_016	तस्य उपदेशम् श्रुत्वा भगवतः विष्णोः आराधनम् कुर्वन् ग्रन्था अध्ययनम् च कुर्वन् राजा निवृत्तिमार्गेण विशेषप्रगतिम् प्राप्य अन्ते मोक्षम् प्राप्तवान्
sp027-000579_017	युद्धास्त्रानिर्माणगारम् कुत्र
sp027-000580_017	कथाकारः रामकृष्णः
sp027-000581_017	स्वामी श्रद्धानन्दवर्यः आर्यसमाजस्य अनुयायी
sp027-000582_017	महान् देशभक्तः अपि आसीत् सः
sp027-000583_017	काङ्गडीस्थे गुरुकुले यदा सः अध्यापयति स्म तदानीन्तनघटना एषा
sp027-000584_017	गुरुकुले युद्धास्त्राणाम् निर्माणागारम् गौप्येन कार्यम् करोति इति किंवदन्ती गुप्तचरविभागद्वारा कदाचित् श्रुता आङ्ग्लसर्वकारेण
sp027-000585_017	वस्तुस्थितेः परीक्षणार्थम् कश्चन आङ्ग्लाधिकारी गुरुकुलम् आगत्य दर्पेण पृष्टवान्
sp027-000586_017	अत्र युद्धास्त्रनिर्माणागारम् अस्ति इति श्रूयते
sp027-000587_017	किम् एतत् सत्यम्
sp027-000588_017	स्वामी श्रद्धानन्दवर्यः शान्तस्वरेण उक्तवान् आम्
sp027-000589_017	आश्चर्येण कुतूहलेन च पृष्टवान् आङ्ग्लाधिकारी
sp027-000590_017	कुत्रस्ति तत्
sp027-000591_017	तत् तु अत्रैवस्ति
sp027-000592_017	एते एव मया निर्मीयमाणानि युद्धास्त्राणि
sp027-000593_017	इति वदन् श्रद्धानन्दवर्यः गरुकुलीयान् ब्रह्मचारिणः दर्शितवान्
sp027-000594_017	वराकः सः न जानाति स्म यत् तत्रत्यः एकैकः ब्रह्मचारी अपि आङ्ग्लशासननिर्मूलकम् गोलकास्त्रम् इव आचरति इति
sp027-000595_018	हृदयपरिशुद्धता
sp027-000596_018	कथाकारः सतीशः
sp027-000597_018	सः कश्चित् पवित्राश्रमः
sp027-000598_018	तम् आश्रमम् परितः उत्तमम् वातावरणमस्ति इति कारणतः बहवः जनाः तदा तदा गच्छन्ति स्म
sp027-000599_018	तत्र नदी काचित् उन्नतपर्वताः च आसन्
sp027-000600_018	तस्मिन् निर्मलवातावरणे कश्चित् महर्षिः कुटीरम् निर्माय निष्ठया ध्यानम् कुर्वनासीत्
sp027-000601_018	एषः आश्रमः यस्मिन् राज्ये आसीत् तत् राज्यम् कश्चित् उत्तमः महाराजः पालयति स्म
sp027-000602_018	तस्य एकः एव पुत्रः आसीत्
sp027-000603_018	सः पुत्रम् अत्यन्तप्रीत्या पश्यति स्म
sp027-000604_018	किन्तु राजकुमारः तद्विरुद्धम् एव प्रवर्तनम् करोति स्म
sp027-000605_018	केवलम् दुर्व्यसनैः कालम् व्यर्थम् यापयति स्म
sp027-000606_018	तादृशम् पुत्रम् दृष्ट्वा अपि किमपि कर्तुम् अशक्तः महाराजः तूष्णीम् स्थितवान्
sp027-000607_018	यदि मम पुत्रः सिंहासने उपविशति तर्हि राज्यस्य स्थितिः का भवेत् इति सः चिन्ताक्रान्तः अभवत्
sp027-000608_018	एवम् चिन्ताम् कुर्वतः महाराजस्य मनसि एकः उपायः स्फुरितः
sp027-000609_018	सः पुत्रम् उक्तवान् मम अत्यन्तम् आत्मीयः कश्चन महर्षिः अरण्ये वसति
sp027-000610_018	भवान् एकदा तत्र गत्वा तेन मिलतु इति
sp027-000611_018	आतपे आगतः इति कारणतः सः महान् श्रान्तः जातः आसीत्
sp027-000612_018	युवराजस्य आगमनम् महाराजः पूर्वमेव महर्षिम् सूचितवान् आसीत्
sp027-000613_018	अतः महर्षिः यदा युवराजम् दृष्टवान् तदा स्वेन किम् करणीयम इति सः निश्चितवान्
sp027-000614_018	युवराजः तानि फलानि दृष्टवान्
sp027-000615_018	फलानाम् उपरि अनेकाः मक्षिकाः उपविष्टाः आसन्
sp027-000616_018	गुरुदेव मक्षिकाभिः स्पृष्टानि एतानि फलानि कथम् खादनीयानि मया
sp027-000617_018	तेषाम् दर्शनेन एव जुगुप्सा जायते इति
sp027-000618_018	तदा महर्षिः उक्तवान् युवराज एतानि फलानि सकृत् खादति चेत् समाप्यन्ते
sp027-000619_018	एवम् चेत् सर्वदा भवतः हृदयस्य उपरि स्थितानाम् कामक्रोधलोभादिदुर्मक्षिकाणाम् विषये किमर्थम् न चिन्तयति
sp027-000620_018	तानि दुर्व्यसनानि भवतः हृदयस्य शीलस्य च नष्टम् कुर्वन्ति इति न जानाति किम्
sp027-000621_018	बाह्यखाद्यस्य विषये एतावतीम् शुद्धताम् पश्यता भवता हृदयशुद्धेः विषये किमर्थम् उपेक्षा क्रियते
sp027-000622_018	तदा एव भवान् उत्तमः आदर्शपुरुषः च भवितुम् शक्नोति
sp027-000623_018	महर्षेः दिव्योपदेशम् श्रुत्वा युवराजः तस्य पादौ गृहीतवान्
sp027-000624_018	पश्चात्तापेन क्षमाम् प्रार्थितवान्
sp027-000625_018	महाराजः अपि सन्तुष्टः भूत्वा कालान्तरे तस्मै राज्यपालनदायित्वम् दत्तवान्
sp027-000626_019	समाधानम्
sp027-000627_019	कथाकारः सिद्धेश्वरबलराममहाराजः
sp027-000628_019	सः गुरुकुलम् गत्वा समीचीनतया विद्याभ्यासम् कृतवान्
sp027-000629_019	गुरुवर्य जीवने समाधानम् प्राप्तुम् मया किम् करणीयम् इति
sp027-000630_019	तदा गुरुः उक्तवान् श्मशानम् गन्तव्यम्
sp027-000631_019	तत्र गत्वा मया किम् करणीयम्
sp027-000632_019	श्मशाने शवस्थानानि भवन्ति एव
sp027-000633_019	आम् तानि तत्र भवन्ति
sp027-000634_019	ततः किम्
