sp003-000001_RV_03	राज्ञी सुदक्षिणा गर्भमाधत्त इत्युक्तम्
sp003-000993_RV_06	तामिति
sp003-000994_RV_06	सैव नान्या
sp003-000995_RV_06	चित्तज्ञत्वात् इति भावः
sp003-000996_RV_06	वेत्रग्रहणे नियुक्ता दौवरिकी सुनन्दा ताम् राजसुताम् राजान्तरम् अन्यम् राजानम् निनाय
sp003-000997_RV_06	नयतिः द्विकर्मकः
sp003-000998_RV_06	कथमिव
sp003-000999_RV_06	समीरणोत्था वातोत्पन्ना तरङ्गलेखा ऊर्मिपङ्किः मानसे सरसि या राजहंसी ताम् पद्मान्तरमिव
sp003-001000_RV_06	जगादेति
sp003-001001_RV_06	एनाम् इन्दुमतीम् जगाद
sp003-001002_RV_06	किमिति
sp003-001003_RV_06	अयम् अङ्गनाथः अङ्गदेशाधीश्वरः सुराङ्गनाभिः प्रार्थिता कामिता यौवनश्रीः यस्य सः तथोक्तः
sp003-001004_RV_06	पुरा किल एनम् इन्द्रसाहाय्यार्थम् इन्द्रपुरगामिनम् अकामयन्त अप्सरसः इति प्रसिद्धिः
sp003-001005_RV_06	किञ्च
sp003-001006_RV_06	सूत्रकारैः गजशास्त्रकृद्भिः पालकादिभिः महर्षिभिः विनीतनागः शिक्षितगजः किल
sp003-001007_RV_06	किलेति ऐतिह्ये
sp003-001008_RV_06	अत एव भूमिगतोऽपि ऐन्द्रम् पदम् ऐश्वर्यम् भुङ्क्ते
sp003-001009_RV_06	भूलोके एव स्वर्गसुखम् अनुभवतीत्यर्थः
sp003-001010_RV_06	गजाप्सरोदेवर्षिसेव्यत्वम् ऐन्द्रपदशब्दार्थः
sp003-001011_RV_06	पुरा किल कुतश्चित् शापकारणात् भुवम् अवतीर्णम् दिग्गजवर्गम् आलोक्य स्वयम् अशक्तेः
sp003-001012_RV_06	इन्द्राभ्यनुज्ञया आनीतैः देवर्षिभिः प्रणीतेन शास्त्रेण गजान्वशीकृत्य भुवि सम्प्रदायम् प्रावर्तयत् इति कथा गीयते
sp003-001013_RV_06	अनेनेति
sp003-001014_RV_06	शत्रुविलासिनीनाम् स्तनेषु मुक्ताफलस्थूलतमान् अश्रुबिन्दून्
sp003-001015_RV_06	अस्रमश्रुणि शोणिते इति विश्वः
sp003-001016_RV_06	पर्यासयता प्रस्तारयता
sp003-001017_RV_06	भर्तृवधादिति भावः
sp003-001018_RV_06	अनेन अङ्गनाथेन उन्मुच्य आक्षिप्य सूत्रेण विना हाराः एव प्रत्यर्पिताः
sp003-001019_RV_06	अविच्छिन्नाश्रुबिन्दुप्रवर्तनात् उत्सूत्रहारार्पणमेव कृतमिव इति उत्प्रेक्षा गम्यते
sp003-001020_RV_06	निसर्गेति
sp003-001021_RV_06	निसर्गतः स्वभावतः भिन्नास्पदम् भिन्नाश्रयम्
sp003-001022_RV_06	सहावस्थानविरोधीत्यर्थः
sp003-001023_RV_06	श्रीश्च सरस्वती चेति द्वयम् अस्मिन् अङ्गनाथे एकत्र संस्था स्थितिः यस्य तदेकसंस्थम्
sp003-001024_RV_06	उभयमिह सङ्गतमित्यर्थः
sp003-001025_RV_06	हे कल्याणि
sp003-001026_RV_06	बाह्वादिभ्यश्च इति ङीष्
sp003-001027_RV_06	कान्त्या सूनृतया सत्यप्रियया गिरा च योग्या संसर्गार्हा त्वमेव तयोः श्रीसरस्वत्योः तृतीया
sp003-001028_RV_06	समानगुणयोः युवयोः दाम्पत्यम् युज्यत एव इति भावः
sp003-001029_RV_06	दक्षिणनायकत्वम् चास्य ध्वन्यते
sp003-001030_RV_06	तदुक्तम् तुल्योऽनेकत्र दक्षिणः इति
sp003-001031_RV_06	अथेति
sp003-001032_RV_06	अथ कुमारि अङ्गराजात् चक्षुः अवतार्य
sp003-001033_RV_06	अपनीयेत्यर्थः
sp003-001034_RV_06	जन्याम् मातृसखीम्
sp003-001035_RV_06	जन्या मातृसखीमुदोः इति विश्वः
sp003-001036_RV_06	सुनन्दाम् याहि गच्छ इत्यवदत्
sp003-001037_RV_06	यातेति जन्यान् अवदत् इति पाठे जनीम् वधूम् वहन्तीति जन्याः वधूबन्धवः
sp003-001038_RV_06	तान्यात गच्छत इति अवदत्
sp003-001039_RV_06	जन्यो वरवधूज्ञात् प्रियतुल्याहितेऽपि च इति विश्वः
sp003-001040_RV_06	अथवा जन्याः वधूभृत्याः
sp003-001041_RV_06	भृत्याश्चापि नवोढायाः इति केशवः
sp003-001042_RV_06	सञ्ज्ञायाम् जन्या इत्यादिना यत्प्रत्ययान्तो निपातः
sp003-001043_RV_06	यदत्राह वृत्तिकारः जनीम् वधूम् वहन्तीति जन्या जामातुर्वयस्याः इति
sp003-001044_RV_06	यच्चामरः जन्याः स्निग्धा वरस्य ये इति
sp003-001045_RV_06	तत्सर्वम् उपलक्षणार्थमिति अविरोधः
sp003-001046_RV_06	न चायम् अङ्गराजनिषेधः दृश्यदोषान्नापि द्रष्टुदोषात् इत्याह नेत्यादिना
sp003-001047_RV_06	असौ अङ्गराजः काम्यः कमनीयो नेति न किन्तु काम्य एव इत्यर्थः
sp003-001048_RV_06	सा कुमारी च सम्यक् द्रष्टुम् विवेक्तुम् न वेदेति न
sp003-001049_RV_06	वेदैवेत्यर्थः
sp003-001050_RV_06	किन्तु लोकः जनः भिन्नरुचिर्हि रुचिरमपि किञ्चित् कस्मैचित् न रोचते
sp003-001051_RV_06	किम् कुर्मः नहि इच्छा नियन्तुम् शक्यते इति भावः
sp003-001052_RV_06	तत इति
sp003-001053_RV_06	ततः अनन्तरम् प्रतिहारभूमौ द्वारदेशे नियुक्ता दौवारिकी
sp003-001054_RV_06	स्त्री द्वार्द्वारम् प्रतीहारः इत्यमरः
sp003-001055_RV_06	द्विषद्भिः शत्रुभिः दुःष्प्रसहम् दुःसहम्
sp003-001056_RV_06	शूरमित्यर्थः
sp003-001057_RV_06	विशेषेण दृश्यम् दर्शनीयम्
sp003-001058_RV_06	रूपवन्तमित्यर्थः
sp003-001059_RV_06	परम् अन्यम् नृपम्
sp003-001060_RV_06	नवोत्थानम् नवोदयम् इन्दुरिव
sp003-001061_RV_06	इन्दुमत्यै निदर्शयामास
sp003-001062_RV_06	अवन्तीति
sp003-001063_RV_06	उदग्रबाहुः दीर्घबाहुः विशालवक्षाः तनुवृत्तमध्यः कृशवर्तुलमध्यः
sp003-001064_RV_06	अयम् राजा अवन्तिनाथः अवन्तिदेशाधीश्वरः
sp003-001065_RV_06	त्वष्ट्रा विश्वकर्मणा
sp003-001066_RV_06	भर्तुः तेजोवेगम् असहमानया दुहित्रा सञ्ज्ञादेव्या प्रार्थितेन इति शेषः
sp003-001067_RV_06	चक्रभ्रमम् चक्राकारम् शस्त्रोत्तेजनयन्त्रम्
sp003-001068_RV_06	भ्रमोऽम्बुनिर्गमे भ्रान्तौ कुण्डाख्ये शिल्पियन्त्रके इति विश्वः
sp003-001069_RV_06	आरोप्य यत्नेन उल्लिखितः उष्णतेजाः सूर्यः इव विभाति
sp003-001070_RV_06	अत्र मार्कण्डेयः विश्वकर्मा त्वनुज्ञातः शाकद्वीपे विवस्वता
sp003-001071_RV_06	भ्रममारोप्य तत्तेजः शातनायोपचक्रमे
sp003-001072_RV_06	इति
sp003-001073_RV_06	अस्येति
sp003-001074_RV_06	समग्रशक्तेः शक्तित्रयसम्पन्नस्य अस्य अवन्तिनाथस्य प्रयाणेषु जैत्रयात्रासु अग्रेसरैः वाजिभिः अश्वैः उत्थितानि
sp003-001075_RV_06	रजांसि सामन्तानाम् समन्तात् भवानाम् राज्ञाम् ये शिखामणयः
sp003-001076_RV_06	चूडामणयः तेषाम् प्रभाप्ररोहास्तमयम् तेजोङ्कुरनाशम् कुर्वन्ति
sp003-001077_RV_06	नासीरैरेव अस्य शत्रवःपराजीयन्ते इति भावः
sp003-001078_RV_06	असाविति
sp003-001079_RV_06	असौ अवन्तिनाथः महाकालम् नाम स्थानविशेषः तदेव निकेतनम्
sp003-001080_RV_06	स्थानम् यस्य तस्य चन्द्रमौलेः ईश्वरस्य अदूरे समीपे वसन्
sp003-001081_RV_06	अत एव हेतोः तमिस्रपक्षे कृष्णपक्षेऽपि प्रियाभिः सह ज्योत्स्नावतः प्रदोषान् रात्रीः निर्विशति अनुभवति किल
sp003-001082_RV_06	नित्यज्योत्स्नाविहारत्वम् एतस्यैव नान्यस्य इति भावः
sp003-001083_RV_06	अनेनेति
sp003-001084_RV_06	रम्भे कदलीस्तम्भाविव ऊरू यस्याः सा रम्भोरूः तस्याः सम्बोधनम्
sp003-001085_RV_06	हे रम्भोरु
sp003-001086_RV_06	उरूत्तरपदादौपम्ये इत्यूङ्प्रत्ययः
sp003-001087_RV_06	नदीत्वाद्ध्रस्वः
sp003-001088_RV_06	यूना अनेन पार्थिवेन सह
sp003-001089_RV_06	सिप्रा नाम तत्रत्या नदी तस्याः तरङ्गाणाम् अनिलेन कम्पितासु
sp003-001090_RV_06	उद्यानानाम् परम्परासु पङ्किषु विहर्तुम् ते तव मनसः रुचिः कच्चित्
sp003-001091_RV_06	स्पृहा अस्ति किम् इत्यर्थः
sp003-001092_RV_06	अभिष्वङ्गे स्पृहायाम् च गभस्तौ च रुचिः स्त्रियाम् इत्यमरः
sp003-001093_RV_06	तस्मिन्निति
sp003-001094_RV_06	उत्तमसौकुमार्या उत्कृष्टाङ्गमार्दवा सा इन्दुमती
sp003-001095_RV_06	अभिद्योतितानि उल्लसितानि बन्धवः एव पद्मानि येन तस्मिन्
sp003-001096_RV_06	प्रतापेन तेजसा संशोषिताः शत्रवः एव पङ्काः कर्दमाः येन तस्मिन्
sp003-001097_RV_06	तस्मिन् अवन्तिनाथे कुमुद्वती
sp003-001098_RV_06	कुमुदनडवेतसेभ्यो ड्मतुप् इति ड्मतुप्प्रत्ययः
sp003-001099_RV_06	भानुमति अंशुमतीव
sp003-001100_RV_06	भावम् चित्तम् न बबन्ध
sp003-001101_RV_06	न तत्र अनुरागम् अकरोत् इत्यर्थः
sp003-001102_RV_06	बन्धूनाम् पद्मत्वेन शत्रूणाम् पङ्कत्वेन च निरूपणम् राज्ञः सूर्यसाम्यार्थम्
sp003-001103_RV_06	तामिति
sp003-001104_RV_06	सुनन्दा तामरसान्तराभाम् पद्मोदरतुल्यकान्तिम्
sp003-001105_RV_06	कनकगौरीम् इत्यर्थः
sp003-001106_RV_06	गुणैः अनूनाम्
sp003-001107_RV_06	अधिकाम् इत्यर्थः
sp003-001108_RV_06	शोभनाः दन्ताः यस्याः सा सुदती
sp003-001109_RV_06	वयसि दन्तस्य दतृ इति दत्रादेशः
sp003-001110_RV_06	उगितश्च इति ङीप्
sp003-001111_RV_06	ताम् प्रकृताम् प्रसिद्धाम् वा विधातुः ललिताम् सृष्टिम्
sp003-001112_RV_06	मधुरनिर्माणाम् स्त्रियमित्यर्थः
sp003-001113_RV_06	अनुगताः आपः येषु ते अनूपाः नाम देशाः
sp003-001114_RV_06	ऋक्पूरब्धूःपथाम् आनक्षे इत्यप्रत्ययः समासान्तः
sp003-001115_RV_06	ऊदनोर्देशे इत्यूदादेशः
sp003-001116_RV_06	तेषाम् राज्ञः अनूपराजस्य अग्रतः विधाय व्यवस्थाप्य भूयः पुनः जगाद
sp003-001117_RV_06	सङ्ग्रामेति
sp003-001118_RV_06	सङ्ग्रामेषु युद्धेषु निर्विष्टाः अनुभूताः सहस्रम् बाहवः यस्य सः तथोक्तः
sp003-001119_RV_06	युद्धादन्यत्र द्विभुजः एव दृश्यते इत्यर्थः
sp003-001120_RV_06	अष्टादशसु द्वीपेषु निखाताः स्थापिताः यूपाः येन सः तथोक्तः
sp003-001121_RV_06	सर्वक्रतुयाजी सार्वभौमश्चेति भावः
sp003-001122_RV_06	जरायुजादिसर्वभूतरञ्जनात् अनन्यसाधारणः राजशब्दः यस्य सः तथोक्तः
sp003-001123_RV_06	योगी
sp003-001124_RV_06	ब्रह्मविद्वान् इत्यर्थः
sp003-001125_RV_06	स किल भगवतः दत्तात्रेयात् लब्धयोगः इति प्रसिद्धिः
sp003-001126_RV_06	कृतवीर्यस्य अपत्यम् पुमान् कार्तवीर्यो नाम राजा बभूव किल इति
sp003-001127_RV_06	अयम् च अस्य महिमा सर्वोऽपि दत्तात्रेयवरप्रसादलब्धः इति भारते दृश्यते
sp003-001128_RV_06	अकार्येति
sp003-001129_RV_06	विनेता शिक्षकः यः कार्तवीर्यः
sp003-001130_RV_06	अकार्यस्य असत्कार्यस्य चिन्तया च
sp003-001131_RV_06	अहम् चौर्यादिकम् करिष्यामि इति बुद्ध्या
sp003-001132_RV_06	समकालम् एककालमेव यथा तथा पुरस्तात् अग्रे चापधरः प्रादुर्भवन्सन्
sp003-001133_RV_06	प्रजानाम् जनानाम्
sp003-001134_RV_06	प्रजा स्यात्सन्ततौ जने इत्यमरः
sp003-001135_RV_06	अन्तःशरीरेषु अन्तःकरणेषु
sp003-001136_RV_06	शरीरशब्देन इन्द्रियम् लक्ष्यते
sp003-001137_RV_06	अविनयमपि प्रत्यादिदेश
sp003-001138_RV_06	मानसापराधमपि निवारयामास इत्यर्थः
sp003-001139_RV_06	अन्ये तु वाक्कायापराधमात्रप्रतिकर्तारः इति भावः
sp003-001140_RV_06	ज्याबन्धेति
sp003-001141_RV_06	ज्यायाः मौर्व्याः बन्धेन बन्धनेन निष्पन्दाः निश्चेष्टाः भुजाः यस्य तेन विनिःश्वसन्ती
sp003-001142_RV_06	ज्याबन्धोपरोधात् दीर्घम् निःश्वसन्ती वक्त्रपरम्परा दशमुखी यस्य तेन निर्जितवासवेन इन्द्रविजयिना
sp003-001143_RV_06	अत्र इन्द्रादयोपि अनेन जितप्रायाः एव इतिभावः
sp003-001144_RV_06	लङ्केश्वरेण दशास्येन यस्य कार्तवीर्यस्य कारागृहे बन्धनागारे
sp003-001145_RV_06	कारा स्यात् बन्धनालये इत्यमरः
sp003-001146_RV_06	आ प्रसादात् अनुग्रहपर्यन्तम् उषितम् स्थितम्
sp003-001147_RV_06	नपुंसके भावे क्तः
sp003-001148_RV_06	एतत्प्रसाद एव तस्य मोक्षोपायः न तु क्षात्रम् इति भावः
sp003-001149_RV_06	तस्येति
sp003-001150_RV_06	आगमवृद्धसेवी श्रुतवृद्धसेवी प्रतीपः इति
sp003-001151_RV_06	ख्यातः इति विशेषः
sp003-001152_RV_06	एषः भूपतिः तस्य कार्तवीर्यस्य अन्वये वंशे जातः
sp003-001153_RV_06	येन प्रतीपेन संश्रयस्य आश्रयस्य पुंसः दोषैः व्यसनादिभिः रूढम् उत्पन्नम् श्रियः
sp003-001154_RV_06	सम्बन्धि स्वभावलोला प्रकृतिचञ्चला इत्येवम् रूपम् अयशः दुष्कीर्तिः प्रमृष्टम् निरस्तम्
sp003-001155_RV_06	दुष्टाश्रयत्यागशीलायाः श्रियः प्रकृतिचापलप्रवादः मूढजनपरिकल्पितः इत्यर्थः
sp003-001156_RV_06	अयम् तु दोषराहित्यात् न कदाचिदपि श्रिया त्यज्यते इति भावः
sp003-001157_RV_06	आयोधन इति
sp003-001158_RV_06	यः प्रतीपः आयोधने युद्धे कृष्णगतिम् कृष्णवर्त्मानम् अग्निम् सहायम् अवाप्य क्षत्रियाणाम् कालरात्रिम्
sp003-001159_RV_06	संहाररात्रिम् इत्यर्थः
sp003-001160_RV_06	रामपरश्वधस्य जामदग्न्यपरशोः
sp003-001161_RV_06	द्वयोः कुठारः स्वधितिः परशुश्च परश्वधः इत्यमरः
sp003-001162_RV_06	शिताम् तीक्ष्णाम् धाराम् मुखम्
sp003-001163_RV_06	खड्गादीनाम् च निशितमुखे धारा प्रकीर्तिता इति विश्वः
sp003-001164_RV_06	उत्पलपत्रस्य सार इव सारह यस्याः ताम् तथाभूताम् सम्भावयति मन्यते
sp003-001165_RV_06	एतन्नगरजिगीषया आगतान् रिपून् स्वयमेव घक्ष्यामीति भगवता वैश्वानरेण
sp003-001166_RV_06	दत्तवरोऽयम् राजा दह्यन्ते च तथागताः शत्रवः इति भारते कथा अनुसन्धेया
sp003-001167_RV_06	अस्येति
sp003-001168_RV_06	दीर्घबाहोः अस्य प्रतीपस्य अङ्कलक्ष्मीः भव
sp003-001169_RV_06	एनम् वृणीष्व इत्यर्थः
sp003-001170_RV_06	अनेन अयम् विष्णुतुल्यः इति ध्वन्यते
sp003-001171_RV_06	माहिष्मती नाम अस्य नगरी
sp003-001172_RV_06	तस्याः वप्रः प्राकारः एव नितम्बः
sp003-001173_RV_06	तस्य काञ्चीम् रशनाभूताम् जलानाम् वेण्या प्रवाहेण रम्याम्
sp003-001174_RV_06	ओघः प्रवाहो वेणी च इति हलायुधः
sp003-001175_RV_06	रेवाम् नर्मदाम् प्रासादजालैः गवाक्षैः
sp003-001176_RV_06	जालम् समूह आनायो गवाक्षक्षारकावपि इत्यमरः
sp003-001177_RV_06	प्रेक्षितुम् कामः इच्छा अस्ति यदि
sp003-001178_RV_06	तस्या इति
sp003-001179_RV_06	प्रकामम् प्रियम् प्रीतिकरम् दर्शनम् यस्य सोऽपि
sp003-001180_RV_06	दर्शनीयोऽपीत्यर्थः
sp003-001181_RV_06	सः क्षितीशः
sp003-001182_RV_06	शरदा प्रमृष्टाम्बुधरोपरोधः निरस्तमेघावरणः पर्याप्तकालः पूर्णकालः शशी नलिन्याः इव
sp003-001183_RV_06	तस्याः इन्दुमत्याः रुचये न बभूव
sp003-001184_RV_06	रुचिम् नाजीयनत् इत्यर्थः
sp003-001185_RV_06	लोको भिन्नरुचिरिति भावः
sp003-001186_RV_06	सेति
sp003-001187_RV_06	लोकान्तरे स्वर्गादावपि गीतकीर्तिम् आचारेण शुद्धयोः उभयोः वंशयोः मातापितृकुलयोः दीपम् प्रकाशकम्
sp003-001188_RV_06	उभयवंश इत्यत्र उभयपक्षवन्निर्वाहः
sp003-001189_RV_06	शूरसेनानाम् देशानाम् अधिपतिम् सुषेणम् नाम नृपतिम् उद्दिश्य अभिसन्धाय शुद्धान्तरक्ष्य अन्तःपुरपालिकया
sp003-001190_RV_06	कर्मण्यण्
sp003-001191_RV_06	टिड्ढाञ् इति ङीप्
sp003-001192_RV_06	सा कुमारी जगदे
sp003-001193_RV_06	नीपेति
sp003-001194_RV_06	यज्वा विधिवदिष्टवान्
sp003-001195_RV_06	सुयजोर्ङ्वनिप् इति ङ्वनिप्प्रत्ययः
sp003-001196_RV_06	एषः पार्थिवः
sp003-001197_RV_06	नीपः नाम अन्वयः अस्य इति नीपान्वयः नीपवंशजः
sp003-001198_RV_06	यम् सुषेणम् आश्रित्य गुणैः ज्ञानमौनादिभिः
sp003-001199_RV_06	शान्तम् प्रसन्नम् सिद्धाश्रमम् ऋष्याश्रमम् एत्य प्राप्य सत्त्वैः गजसिंहादिभिः प्राणिभिरिव
sp003-001200_RV_06	नैसर्गिकः स्वाभाविकोऽपि परस्परेण विरोधः उत्ससृजे त्यक्तः
sp003-001201_RV_06	यस्येति
sp003-001202_RV_06	हिमांशोः कान्तिः चन्द्रकिरणाः इव नयनयोः अभिरामा यस्य
sp003-001203_RV_06	सुषेणस्य कान्तिः शोभा आत्मगेहे स्वभवने सन्निविष्टा सङ्क्रान्ता
sp003-001204_RV_06	अविषह्यम् विसोढुम् अशक्यम् तेजः प्रतापस्तु
sp003-001205_RV_06	हर्म्याग्रेषु धनिकमन्दिरप्रान्तेषु
sp003-001206_RV_06	हर्म्यादिर्धनिनाम् वासः इत्यमरः
sp003-001207_RV_06	संरूढाः तृणाङ्कुराः येषाम् तेषु
sp003-001208_RV_06	शून्येष्वित्यर्थः
sp003-001209_RV_06	रिपुमन्दिरेषु शत्रुनगरेषु
sp003-001210_RV_06	मन्दिरम् नगरे गृहे इति विश्वः
sp003-001211_RV_06	सन्निविष्टम्
sp003-001212_RV_06	स्वजनाह्लादकोयम् द्विषन्तपश्चेति भावः
sp003-001213_RV_06	यस्येति
sp003-001214_RV_06	यस्य सुषेणस्य वारिविहारकाले जलक्रीडासमये अवरोधानाम् अन्तःपुराङ्गनानाम् स्तनेषु चन्दनानाम्
sp003-001215_RV_06	मलयजानाम् प्रक्षालनाद्धेतोः कलिन्दः नाम शैलः तत्कन्या यमुना
sp003-001216_RV_06	कालिन्दी सूर्यतनया यमुना शमनस्वसा इत्यमरः
sp003-001217_RV_06	मथुरा नाम अस्य राज्ञः नगरी
sp003-001218_RV_06	ताम् गतापि
sp003-001219_RV_06	गङ्गायाः विप्रकृष्टापीत्यर्थः
sp003-001220_RV_06	मथुरायाम् गङ्गाभावम् सूचयति अपिशब्दः
sp003-001221_RV_06	कालिन्दीतीरे मथुरा लवणासुरवधकाले शत्रुघ्नेन निर्मास्यते इति वक्ष्यति
sp003-001222_RV_06	तत्कथम् अधुना मथुरासम्भवः इति चिन्त्यम्
sp003-001223_RV_06	मथुरा मथुरापुरीति शब्दभेदः
sp003-001224_RV_06	यद्वा साम्येति गङ्गायाः भागीरथ्याः ऊर्मिभिः संसक्तजलेव भाति
sp003-001225_RV_06	धवलचन्दनसंसर्गात् प्रयागात् अन्यत्रापि अत्र गङ्गासङ्गतेव भाति इत्यर्थः
sp003-001226_RV_06	सितासिते हि गङ्गायमुने इति घण्टापथः
sp003-001227_RV_06	त्रस्तेनेति
sp003-001228_RV_06	तार्क्ष्यात् गरुडात् त्रस्तेन
sp003-001229_RV_06	यमुना ओकः स्थानम् यस्य तेन
sp003-001230_RV_06	कालियेन नाम नागेन विसृष्टम् किल अभयदाननिष्क्रयत्वेन दत्तम्
sp003-001231_RV_06	किल इति ऐतिह्ये
sp003-001232_RV_06	वक्षःस्थलव्यापिरुचम् मणिम् दधानः यः सुषेणः सकौस्तुभम् कृष्णम् विष्णुम् ह्रेपयतीव व्रीडयतीव
sp003-001233_RV_06	अर्तिह्रि इत्यादिना पुगागमः
sp003-001234_RV_06	कौस्तुभमणेरपि उत्कृष्टः अस्य मणिरिति भावः
sp003-001235_RV_06	सम्भाव्येति
sp003-001236_RV_06	युवानम् अमुम् सुषेणम् भर्तारम् सम्भाव्य मत्वा
sp003-001237_RV_06	पतित्वेन अङ्गीकृत्य इत्यर्थः
sp003-001238_RV_06	मृदुप्रवालोत्तरा उपरिप्रस्तारित कोमलपल्लवा पुष्पशय्या यस्मिन् तत् तस्मिन् चैत्ररथात् कुबेरोद्यानात्
sp003-001239_RV_06	अनूने वृन्दावने वृन्दावननामके उद्याने हे सुन्दरि यौवनश्रीः यौवनफलम् निर्विश्यताम् भुज्यताम्
sp003-001240_RV_06	अध्यास्येति
sp003-001241_RV_06	किञ्च
sp003-001242_RV_06	प्रावृषि वर्षासु कान्तासु गोवर्धनस्य अद्रेः कन्दरासु दरीषु
sp003-001243_RV_06	दरी तु कन्दरो वा स्त्री इत्यमरः
sp003-001244_RV_06	अम्भसः पृषतैः विन्दुभिः उक्षितानि सिक्तानि
sp003-001245_RV_06	शिलायाम् भवम् शैलेयम्
sp003-001246_RV_06	शिलाजतु च शैलेयम् इति यादवः
sp003-001247_RV_06	यद्वा शिलापुष्पाख्यः ओषधिविशेषः
sp003-001248_RV_06	कालानुसार्यवृद्ध अश्मपुष्पशीतशिवानि तु
sp003-001249_RV_06	शैलेयम् इत्यमरः
sp003-001250_RV_06	शिलायाः ढः इत्यत्र शिलायाः इति योगविभागात् इवार्थे ढप्रत्ययः
sp003-001251_RV_06	तत् गन्धवन्ति शैलेयगन्धीनि शिलातलानि अध्यास्य अधिष्ठाय कलापिनाम् बर्हिणाम् नृत्यम् पश्य
sp003-001252_RV_06	नृपमिति
sp003-001253_RV_06	स्यादावर्तोऽम्भसाम् भ्रमः इत्यमरः
sp003-001254_RV_06	आवर्तमनोज्ञा नाभिः यस्याः सा
sp003-001255_RV_06	इदम् च नदीसाम्यार्थम् उक्तम्
sp003-001256_RV_06	अन्यवधूः अन्यपत्नी भवित्री भाविनी सा कुमारी तम् नृपम्
sp003-001257_RV_06	सागरगामिनी सागरम् गन्त्री स्रोतोवहा नदी मार्गवशात् उपेतम् प्राप्तम् महीधरम् पर्वतमिव
sp003-001258_RV_06	व्यत्यगात् अतीत्य गता
sp003-001259_RV_06	अथेति
sp003-001260_RV_06	अथ भुजिष्या किङ्करी सुनन्दा
sp003-001261_RV_06	भुजिष्या किङ्करी मता इति हलायुधः
sp003-001262_RV_06	अङ्गदाश्लिष्टभुजम् केयूरनद्धबाहुम् सादितशत्रुपक्षम् विनाशितशत्रुवर्गम् हेमाङ्गदम् नाम
sp003-001263_RV_06	कलिङ्गनाथम् आसेदुषीम् आसन्नाम् अबालेन्दुमुखीम् पूर्णेन्दुमुखीम् बालाम् इन्दुमतीम् बभाषे
sp003-001264_RV_06	असाविति
sp003-001265_RV_06	महेन्द्राद्रेः समानसारः तुल्यसत्त्वः असौ हेमाङ्गदः
sp003-001266_RV_06	महेन्द्रस्य नाम कुलपर्वतस्य महोदधेश्च पतिः स्वामी
sp003-001267_RV_06	महेन्द्रमहोदधी एव अस्य गिरिजलदुर्गे इति भावः
sp003-001268_RV_06	यस्य यात्रासु क्षरताम् मदस्राविणाम् सैन्यगजानाम् छलेन महेन्द्रः महेनद्राद्रिः पुरः अग्रे यातीव
sp003-001269_RV_06	अद्रिकल्पाः अस्य गजाः इत्यर्थः
sp003-001270_RV_06	ज्याघातेति
sp003-001271_RV_06	सुभुजः चापभृताम् पुरोगः धनुर्धराग्रेसरः यः
sp003-001272_RV_06	बन्दीकृतानाम् प्रगृहीतानाम्
sp003-001273_RV_06	प्रग्रहोपग्रहौ बन्द्याम् इत्यमरः
sp003-001274_RV_06	रिपुश्रियाम् साञ्जनः वाष्पसेकः ययोः ते
sp003-001275_RV_06	कञ्जलमिश्राश्रुसिक्ते इत्यर्थः
sp003-001276_RV_06	पद्धती इव
sp003-001277_RV_06	द्वे ज्याघातानाम् मौर्वीकिणानाम् रेखे राजी भुजाभ्याम् बिभर्ति
sp003-001278_RV_06	द्विवचनात् सव्यसाचित्वम् गम्यते
sp003-001279_RV_06	रिपुश्रियाम् भुजाभ्याम् एव आहरणात् तद्गतरेखयोः तत्पद्धतित्वेन उत्प्रेक्षा
sp003-001280_RV_06	तयोः श्यामत्वात् साञ्जनाश्रुसेकोक्तिः
sp003-001281_RV_06	यमिति
sp003-001282_RV_06	आत्मनः सद्मनि सुप्तम् यम् हेमाङ्गदम् सन्निकृष्टः समीपस्थः अत एव प्रासादवातयनैः दृश्यवीचिः मन्द्रेणगम्भीरेण
sp003-001283_RV_06	मन्द्रस्तु गम्भीरे इत्यमरः
sp003-001284_RV_06	ध्वनिना त्याजितम् विवर्जितम् यामस्य तूर्यम् प्रहरावसानसूचकम् वाद्यम् येन सः तथोक्तः
sp003-001285_RV_06	द्वौ यामा प्रहरौ समौ इत्यमरः
sp003-001286_RV_06	अर्णवः एव प्रबोधयति
sp003-001287_RV_06	अर्णवस्यैव तूर्यकार्यकारित्वात् तद्वैयर्थ्यमित्यर्थः
sp003-001288_RV_06	समुद्रस्यापि सेव्यः किमन्येषाम् इति भावः
sp003-001289_RV_06	अनेनेति
sp003-001290_RV_06	अनेन राज्ञा सार्धम् तालीवनैः मर्मरेषु मर्मरेति ध्वनत्सु
sp003-001291_RV_06	अथ मर्मरः
sp003-001292_RV_06	स्वनिते वस्त्रपर्णानाम् इत्यमरवचनात् गुणपरस्यापि मर्मरशब्दस्य गुणिपरत्वम् प्रयोगात् अवसेयम्
sp003-001293_RV_06	अम्बुराशेः समुद्रस्य तीरेषु द्वीपान्तरेभ्यः आनीतानि लवङ्गपुष्पाणि देवकुसुमानि यैः तैः
sp003-001294_RV_06	लवङ्गम् देवकुसुमम् इत्यमरः
sp003-001295_RV_06	मरुद्भिः वातैः अपाकृताः प्रशमिताः स्वेदस्य लवाः बिन्दवः यस्याः सा तथाभूता सती त्वम् विहर क्रीड
sp003-001296_RV_06	प्रलोभितेति
