sp018-000001_001	अथ अष्टमोऽध्यायः
sp018-000270_003	अतः मयि स्थितानि इति उच्यन्ते
sp018-000271_003	तेषाम् भूतानाम् अहमेव आत्मा इति अतः तेषु स्थितः इति मूढबुद्धीनाम् अवभासते
sp018-000272_003	अतः ब्रवीमि न च अहम् तेषु भूतेषु अवस्थितः
sp018-000273_003	मूर्तवत् संश्लेषाभावेन आकाशस्यापि अन्तरतमो हि अहम्
sp018-000274_003	न हि असंसर्गि वस्तु क्वचित् आधेयभावेन अवस्थितम् भवति
sp018-000275_003	अत एव असंसर्गित्वात् मम
sp018-000276_003	भूतानि च मत्स्थानि न सन्ति
sp018-000277_003	मे ऐश्वरम् योगम् पश्य
sp018-000278_003	अहम् भूतभृत् अपि भूतस्थः न मम आत्मा च भूतभावनः अस्ति
sp018-000279_003	न च मत्स्थानि भूतानि ब्रह्मादीनि
sp018-000280_003	पश्य मे योगम् युक्तिम् घटनम् मे मम ऐश्वरम् ईश्वरस्य इमम् ऐश्वरम्
sp018-000281_003	योगम् आत्मनः याथात्म्यम् इति अर्थः
sp018-000282_003	तथा च श्रुतिः असंसर्गित्वात् असङ्गताम् दर्शयति
sp018-000283_003	असङ्गो न हि सज्जते इति
sp018-000284_003	इदम् च आश्चर्यम् अन्यत् पश्य
sp018-000285_003	भूतभृत् असङ्गः अपि सन् भूतानि बिभर्ति
sp018-000286_003	न च भूतस्थः यथा उक्तेन न्यायेन दर्शितत्वात्
sp018-000287_003	कथम् पुनरुच्यते असौ मम आत्मा इति
sp018-000288_003	विभज्य देहादिसङ्घातम् तस्मिन् अहङ्कारम् अध्यारोप्य
sp018-000289_003	लोकबुद्धिम् अनुसरन् व्यपदिशति मम आत्मा इति
sp018-000290_003	न पुनः आत्मनः आत्मा अन्यः इति लोकवत् अजानन्
sp018-000291_003	तथा भूतभावनः भूतानि भावयति उत्पादयति वर्धयति इति वा भूतभावनः
sp018-000292_003	यथा उक्तेन श्लोकद्वयेन उक्तम् अर्थम् दृष्टान्तेन उपपादयन् आह
sp018-000293_003	यथा सर्वत्रगः महान् वायुः नित्यम् आकाशस्थितः अस्ति
sp018-000294_003	तथा सर्वाणि भूतानि मत्स्थानि सन्ति इति त्वम् उपधारय
sp018-000295_003	भाष्यम्
sp018-000296_003	यथा लोके आकाशस्थितः आकाशे स्थितः नित्यम् सदा वायुः सर्वत्र गच्छति इति सर्वत्रगः महान् परिमाणतः
sp018-000297_003	तथा आकाशवत् सर्वगते मयि असंश्लेषेणैव स्थितानि इति एवम् उपधारय विजानीहि
sp018-000298_003	एवम् वायुः आकाशे इव मयि स्थितानि सर्वभूतानि स्थितिकाले तानि
sp018-000299_003	सप्तमः श्लोकः अन्वयः
sp018-000300_003	हे कौन्तेय सर्वभूतानि कल्पक्षये मामिकाम् प्रकृतिम् यान्ति
sp018-000301_003	पुनः कल्पादौ तानि विसृजामि
sp018-000302_003	सर्वभूतानि कौन्तेय प्रकृतिम् त्रिगुणात्मिकाम् अपराम् निकृष्टाम् यान्ति
sp018-000303_003	मामिकाम् मदीयाम् कल्पक्षये प्रलयकाले
sp018-000304_003	पुनः भूयः तानि भूतानि उत्पत्तिकाले कल्पादौ विसृजामि उत्पादयामि अहम् पूर्ववत्
sp018-000305_003	एवम् अविद्यालक्षणाम्
sp018-000306_003	अहम् स्वाम् प्रकृतिम् अवष्टभ्य प्रकृतेः वशात् अवशम् इमम् कृत्स्नम् भूतग्राम् पुनः पुनः विसृजामि
sp018-000307_003	प्रकृतिम् स्वाम् स्वीयाम् अवष्टभ्य वशीकृत्य विसृजामि पुनः पुनः
sp018-000308_003	प्रकृतितो जातम् भूतग्रामम् भूतसमुदायम् इमम् वर्तमानम् कृत्स्नम् समग्रम् अवशम् अस्वतन्त्रम्
sp018-000309_003	अविद्यादिदोषैः परवशीकृतम् प्रकृतेः वशात् स्वभाववशात्
sp018-000310_003	तर्हि तस्य ते परमेश्वरस्य भूतग्रामम् इमम् विषमम् विदधतः
sp018-000311_003	तन्निमित्ताभ्याम् धर्माधर्माभ्याम् सम्बन्धः स्यादिति इदम् आह भगवान्
sp018-000312_003	हे धनञ्जय तेषु कर्मसु असक्तम् उदासीनवत् आसीनम् माम् तानि कर्माणि च न निबध्नन्ति
sp018-000313_003	न च माम् ईश्वरम् तानि भूतग्रामस्य विषमसर्गनिमित्तानि कर्माणि निबध्नन्ति धनञ्जय
sp018-000314_003	तत्र कर्मणाम् असम्बन्धित्वे कारणम् आह
sp018-000315_003	उदासीनवत् आसीनम् यथा उदासीनः उपेक्षकः कश्चित् तद्वत् आसीनम्
sp018-000316_003	आत्मनः अविक्रियत्वात् असक्तम् फलासङ्गरहितम् अभिमानवर्जितम् अहम् करोमि इति तेषु कर्मसु
sp018-000317_003	अतः अन्यस्यापि कर्तृत्व अभिमान अभावः फलासङ्ग अभावश्च असम्बन्धकारणम्
sp018-000318_003	अन्यथा कर्मभिः बध्यते मूढः कोशकारवत् इत्यभिप्रायः
sp018-000319_003	तत्र भूतग्रामम् इमम् विसृजामि
sp018-000320_003	उदासीनवद् आसीनम् इति च विरुद्धम् उच्यते इति तत्परिहारार्थम् आह
sp018-000321_003	हे कौन्तेय मया अध्यक्षेण प्रकृतिः सचराचरम् सूयते
sp018-000322_003	अनेन हेतुना जगद् विपरिवर्तते
sp018-000323_003	मया अध्यक्षेण सर्वतो दृशिमात्रस्वरूपेण अविक्रियात्मना अध्यक्षेण मया
sp018-000324_003	मम माया त्रिगुणात्मिका अविद्यालक्षणा प्रकृतिः सूयते उत्पादयति सचराचरम् जगत्
sp018-000325_003	तथा च मन्त्रवर्णः
sp018-000326_003	एको देवः सर्वभूतेषु गूढः सर्वव्यापी सर्वभूतान्तरात्मा
sp018-000327_003	कर्माध्यक्षः सर्वभूताधिवासः साक्षी चेता केवलो निर्गुणश्च इति
sp018-000328_003	हेतुना निमित्तेन अनेन अध्यक्षत्वेन कौन्तेय जगत् सचराचरम् व्यक्त अव्यक्तात्मकम् विपरिवर्तते सर्व अवस्थासु
sp018-000329_003	अहम् इदम् भोक्ष्ये पश्यामि इदम् शृणोमि इदम् सुखम् अनुभवामि दुःखम् अनुभवामि
sp018-000330_003	तदर्थम् इदम् करिष्ये इदम् ज्ञास्यामि इति आद्याः अवगतिनिष्ठा अवगति अवसानैव
sp018-000331_003	यो अस्य अध्यक्षः परमे व्योमन् इत्यादयः च मन्त्राः एतमर्थम् दर्शयन्ति
sp018-000332_003	किन्निमित्ता इयम् सृष्टिः इति अत्र प्रश्नप्रतिवचने अनुपपन्ने
sp018-000333_003	को अद्धा वेद क इह प्रवोचत् कुत आजाता कुत इयम् विसृष्टिः इत्यादिमन्त्रवर्णेभ्यः
sp018-000334_003	दर्शितम् च भगवता अज्ञानेन आवृतम् ज्ञानम् तेन मुह्यन्ति जन्तवः इति
sp018-000335_003	एवम् माम् नित्यशुद्धबुद्धमुक्तस्वभावम् सर्वज्ञम् सर्वजन्तूनाम् आत्मानम् अपि सन्तम्
sp018-000336_003	भूतमहेश्वरम् मम परम् भावम् अजानन्तः मूढाः मानुषीम् तनुम् आश्रितम् माम् अवजानन्ति
sp018-000337_003	अवजानन्ति अवज्ञाम् परिभवम् कुर्वन्ति
sp018-000338_003	माम् मूढाः अविवेकिनः मानुषीम् मनुष्यसम्बन्धिनीम् तनुम् देहम् आश्रितम्
sp018-000339_003	मनुष्यदेहेन व्यवहरन्तम् इति एतत्
sp018-000340_003	परम् प्रकृष्टम् भावम् परम् आत्मतत्त्वम् आकाशकल्पम् आकाशात् अपि अन्तरतमम्
sp018-000341_003	अजानन्तः मम भूतमहेश्वरम् सर्वभूतानाम् महान्तम् ईश्वरम् स्वात्मानम्
sp018-000342_003	ततश्च तस्य मम अवज्ञानभावनेन आहताः ते वराकाः
sp018-000343_003	मोहिनीम् राक्षसीम् आसुरीम् प्रकृतिम् च एव श्रिताः
sp018-000344_003	मोघाशाः वृथा आशाः आशिषः येषाम् ते मोघाशाः
sp018-000345_003	यानि च अग्निहोत्रादीनि तैः अनुष्ठीयमानानि कर्माणि तानि च
sp018-000346_003	तेषाम् भगवत्परिभवात् स्वात्मभूतस्य अवज्ञानात् मोघानि एव निष्फलानि कर्माणि भवन्ति इति मोघकर्माणः
sp018-000347_003	तथा मोघज्ञानाः मोघम् निष्फलम् ज्ञानम् येषाम् ते मोघज्ञानाः ज्ञानम् अपि तेषाम् निष्फलम् एव स्यात्
sp018-000348_003	विचेतसः विगतविवेकाः च ते भवन्ति इति अभिप्रायः
sp018-000349_003	किञ्च ते भवन्ति राक्षसीम् रक्षसाम् प्रकृतिम् स्वभावम् आसुरीम् असुराणाम् च प्रकृतिम् मोहिनीम् मोहकरीम्
sp018-000350_003	श्रिताः आश्रिताः छिन्द्धि भिन्द्धि पिब खाद परस्वम् अपहर इति एवम् वदनशीलाः क्रूरकर्माणः भवन्ति इत्यर्थः
sp018-000351_003	असुर्या नाम ते लोकाः इति श्रुतेः
sp018-000352_003	ये पुनः श्रद्दधानाः भगवद्भक्तिलक्षणे मोक्षमार्गे प्रवृत्ताः
sp018-000353_003	हे पार्थ दैवीम् प्रकृतिमाश्रिताः महात्मानः तु माम् भूतादिम् अव्ययम् ज्ञात्वा अनन्यमनसः माम् भजन्ति
sp018-000354_003	महात्मानस्तु अक्षुद्रचित्ताः माम् ईश्वरम् पार्थ दैवीम् देवानाम् प्रकृतिम्
sp018-000355_003	शमदमदयाश्रद्धादिलक्षणाम् आश्रिताः सन्तः भजन्ति सेवन्ते
sp018-000356_003	अनन्यमनसः अनन्यचित्ताः ज्ञात्वा भूतादिम् भूतानाम् वियदादीनाम् प्राणिनाम् च आदिम् कारणम् अव्ययम्
sp018-000357_003	ते नित्ययुक्ताः भक्त्या माम् सततम् कीर्तयन्तः यतन्तः च दृढव्रताः नमस्यन्तः च माम् उपासते
sp018-000358_003	सततम् सर्वदा भगवन्तम् ब्रह्मस्वरूपम् माम् कीर्तयन्तः
sp018-000359_003	यतन्तश्च इन्द्रिय उपसंहार शमदमदयाहिंसादि लक्षणैः धर्मैः प्रयतन्तश्च
sp018-000360_003	दृढव्रताः दृढम् स्थिरम् अचाल्यम् व्रतम् येषाम् ते दृढव्रताः
sp018-000361_003	नमस्यन्तः च माम् हृदयेशयम् आत्मानम् भक्त्या नित्ययुक्ताः सन्तः उपासते सेवन्ते
sp018-000362_003	ते केन केन प्रकारेण उपासते इति उच्यते
sp018-000363_003	अन्ये च अपि ज्ञानयज्ञेन यजन्तः एकत्वेन पृथक्त्वेन बहुधा विश्वतोमुखम् माम् उपासते
sp018-000364_003	ज्ञानयज्ञेन ज्ञानम् एव भगवद्विषयम् यज्ञः तेन ज्ञानयज्ञेन
sp018-000365_003	यजन्तः पूजयन्तः माम् ईश्वरम् च अपि अन्ये अन्याम् उपासनाम् परित्यज्य उपासते
sp018-000366_003	तच्च ज्ञानम् एकत्वेन एकमेव परम् ब्रह्म इति परमार्थदर्शनेन यजन्तः उपासते
sp018-000367_003	केचिच्च पृथक्त्वेन आदित्यचन्द्रादिभेदेन स एव भगवान् विष्णुः अवस्थितः इति उपासते
sp018-000368_003	केचित् बहुधा अवस्थितः स एव भगवान् सर्वतोमुखः विश्वरूपः
sp018-000369_003	इति तम् विश्वरूपम् सर्वतोमुखम् बहुधा बहुप्रकारेण उपासते
sp018-000370_003	यदि बहुभिः प्रकारैः उपासते कथम् त्वामेव उपासते इति अत आह
sp018-000371_003	अहम् क्रतुः अहम् यज्ञः अहम् स्वधा अहम् औषधम् अहम् मन्त्रः अहम् एव आज्यम् अहम् अग्निः अहम् हुतम्
sp018-000372_003	अहम् क्रतुः श्रौतकर्मभेदः अहमेव
sp018-000373_003	अहम् यज्ञः स्मार्तः
sp018-000374_003	किञ्च स्वधा अन्नम् अहम् पितृभ्यो यत् दीयते
sp018-000375_003	अहम् औषधम् सर्वप्राणिभिः यत् अद्यते तत् औषधशब्दशब्दितम् व्रीहियवादिसाधारणम्
sp018-000376_003	अथवा स्वधा इति सर्वप्राणिसाधारणम् अन्नम् औषधम् इति व्याधि उपशमनार्थम् भेषजम्
sp018-000377_003	मन्त्रः अहम् येन पितृभ्यो देवताभ्यश्च हविः दीयते
sp018-000378_003	अहमेव आज्यम् हविश्च
sp018-000379_003	अहम् अग्निः यस्मिन् हूयते हविः सः अग्निः अहम्
sp018-000380_003	अहम् हुतम् हवनकर्म च
sp018-000381_003	अहम् अस्य जगतः माता पिता धाता पितामहः वेद्यम् वस्तु पवित्रम् वस्तु ओङ्कारः ऋक् साम यजुः एव च अस्मि
sp018-000382_003	पिता जनयिता अहम् अस्य जगतः माता जनयित्री
sp018-000383_003	धाता कर्मफलस्य प्राणिभ्यो विधाता पितामहः पितुः पिता
sp018-000384_003	वेद्यम् वेदितव्यम् पवित्रम् पावनम् ओङ्कारः ऋक् साम यजुः एव च
sp018-000385_003	अहम् गतिः भर्ता प्रभुः साक्षी निवासः शरणम् सुहृत् प्रभवः प्रलयः स्थानम् निधानम् अव्ययम् बीजम् च अस्मि
sp018-000386_003	गतिः कर्मफलम् भर्ता पोष्टा प्रभुः स्वामी साक्षी प्राणिनाम् कृताकृतस्य
sp018-000387_003	निवासः यस्मिन् प्राणिनो निवसन्ति शरणम् आर्तानाम् प्रपन्नानाम् आर्तिहरः
sp018-000388_003	प्रभवः उत्पत्तिः जगतः प्रलयः प्रलीयते अस्मिन् इति
sp018-000389_003	तथा स्थानम् तिष्ठति अस्मिन् इति निधानम् निक्षेपः कालान्तर उपभोग्यम् प्राणिनाम्
sp018-000390_003	बीजम् प्ररोहकारणम् प्ररोहधर्मिणाम्
sp018-000391_003	अव्ययम् यावत्संसारभावित्वात् अव्ययम् न हि अबीजम् किञ्चित् प्ररोहति
sp018-000392_003	नित्यम् च प्ररोहदर्शनात् बीजसन्ततिः न व्येति इति गम्यते
sp018-000393_003	किञ्च एकोनविंशतितमः श्लोकः
sp018-000394_003	हे अर्जुन अहम् तपामि अहम् वर्षम् निगृह्णामि उत्सृजामि च
sp018-000395_003	अहम् एव अमृतम् मृत्युः च अहम् एव सत् असत् च अस्मि
sp018-000396_003	तपामि अहम् आदित्यो भूत्वा कैश्चित् रश्मिभिः उल्बणैः
sp018-000397_003	अहम् वर्षम् कैश्चित् रश्मिभिः उत्सृजामि
sp018-000398_003	उत्सृज्य पुनः निगृह्णामि कैश्चित् रश्मिभिः अष्टभिः मासैः पुनः उत्सृजामि प्रावृषि
sp018-000399_003	अमृतम् चैव देवानाम् मृत्युश्च मर्त्यानाम्
sp018-000400_003	सत् यस्य यत् सम्बन्धितया विद्यमानम् तत्
sp018-000401_003	तद्विपरीतम् असच्च एव अहम् अर्जुन
sp018-000402_003	न पुनः अत्यन्तम् एव असत् भगवान्
sp018-000403_003	ये पूर्वोक्तैः निवृत्तिप्रकारैः एकत्वपृथक्त्वादिविज्ञानैः यज्ञैः माम् पूजयन्तः उपासते ज्ञानविदः
sp018-000404_003	ते यथाविज्ञानम् मामेव प्राप्नुवन्ति
sp018-000405_003	ये पुनः अज्ञाः कामकामाः
sp018-000406_003	त्रैविद्याः सोमपाः पूतपापाः माम् यज्ञैः इष्ट्वा स्वर्गतिम् प्रार्थयन्ते
sp018-000407_003	ते पुण्यम् सुरेन्द्रलोकम् आसाद्य दिवि दिव्यान् देवभोगान् अश्नन्ति
sp018-000408_003	त्रैविद्याः ऋग्यजुःसामविदः माम् वस्वादिदेवरूपिणम् सोमपाः सोमम् पिबन्ति इति सोमपाः
sp018-000409_003	तेनैव सोमपानेन पूतपापाः शुद्धकिल्बिषाः
sp018-000410_003	यज्ञैः अग्निष्टोमादिभिः इष्ट्वा पूजयित्वा स्वर्गतिम् स्वर्गगमनम् स्वरेव गतिः स्वर्गतिः ताम् प्रार्थयन्ते
sp018-000411_003	ते च पुण्यम् पुण्यफलम् आसाद्य सम्प्राप्य सुरेन्द्रलोकम् शतक्रतोः स्थानम् अश्नन्ति भुञ्जते
sp018-000412_003	दिव्यान् दिवि भवान् अप्राकृतान् देवभोगान् देवानाम् भोगान्
sp018-000413_003	ते तम् भुक्त्वा विशालम् स्वर्गलोकम् पुण्ये क्षीणे सति मर्त्यलोकम् विशन्ति
sp018-000414_003	एवम् त्रयीधर्मम् अनुप्रपन्नाः कामकामाः गतागतम् लभन्ते
sp018-000415_003	ते तम् भुक्त्वा स्वर्गलोकम् विशालम् विस्तीर्णम् क्षीणे पुण्ये मर्त्यलोकम् विशन्ति आविशन्ति
sp018-000416_003	एवम् यथोक्तेन प्रकारेण त्रयीधर्मम् केवलम् वैदिकम् कर्म अनुप्रपन्नाः गतागतम् गतम् च आगतम् च गतागतम् गमन आगमनम्
sp018-000417_003	कामकामाः कामान् कामयन्ते इति कामकामाः लभन्ते गतागतम् एव
sp018-000418_003	न तु स्वातन्त्र्यम् क्वचित् लभन्ते इति अर्थः
sp018-000419_003	ये पुनः निष्कामाः सम्यग्दर्शिनः
sp018-000420_003	अनन्याः चिन्तयन्तः ये जनाः माम् पर्युपासते
sp018-000421_003	तेषाम् नित्य अभियुक्तानाम् योगक्षेमम् अहम् वहामि
sp018-000422_003	अनन्याः अपृथग्भूताः परम् देवम् नारायणम् आत्मत्वेन गताः सन्तः चिन्तयन्तः
sp018-000423_003	माम् ये जनाः सन्न्यासिनः पर्युपासते
sp018-000424_003	तेषाम् परमार्थदर्शिनाम् नित्य अभियुक्तानाम् सतत अभियोगिनाम् योगक्षेमम्
sp018-000425_003	योगः अप्राप्तस्य प्रापणम् क्षेमः तद्रक्षणम् तत् उभयम् वहामि प्रापयामि अहम्
sp018-000426_003	ज्ञानी त्वात्मैव मे मतम् स च मम प्रियः यस्मात् तस्मात् ते मम आत्मभूताः प्रियाश्च इति
sp018-000427_003	ननु अन्येषाम् अपि भक्तानाम् योगक्षेमम् वहति एव भगवान्
sp018-000428_003	सत्यम् वहति एव किन्तु अयम् विशेषः
sp018-000429_003	अन्ये ये भक्ताः ते आत्मार्थम् स्वयम् अपि योगक्षेमम् ईहन्ते
sp018-000430_003	अनन्यदर्शिनस्तु न आत्मार्थम् योगक्षेमम् ईहन्ते
sp018-000431_003	न हि ते जीविते मरणे वा आत्मनः गृद्धिम् कुर्वन्ति
sp018-000432_003	केवलम् एव भगवच्छरणाः ते
sp018-000433_003	अतः भगवानेव तेषाम् योगक्षेमम् वहति इति
sp018-000434_003	ननु अन्या अपि देवताः त्वमेव चेत् तद्भक्ताश्च त्वामेव यजन्ते
sp018-000435_003	अपि ये अन्यदेवताभक्ताः श्रद्धया अन्विताः यजन्ते
sp018-000436_003	ते अपि हे कौन्तेय अविधिपूर्वकम् माम् एव यजन्ति
sp018-000437_003	ये अपि अन्यदेवताभक्ताः अन्यासु देवतासु भक्ताः अन्यदेवताभक्ताः सन्तः यजन्ते पूजयन्ति
sp018-000438_003	ते अपि मामेव कौन्तेय यजन्ति
sp018-000439_003	अविधिपूर्वकम् अविधिः अज्ञानम् तत्पूर्वकम् यजन्ते इति अर्थः
sp018-000440_003	कस्मात् ते अविधिपूर्वकम् यजन्ते इति उच्यते
sp018-000441_004	अहम् हि सर्वयज्ञानाम् भोक्ता च प्रभुः एव च अस्मि
sp018-000442_004	माम् तु तत्त्वेन न अभिजानन्ति अतः ते च्यवन्ति
sp018-000443_004	अहम् हि सर्वयज्ञानाम् श्रौतानाम् स्मार्तानाम् च सर्वेषाम् यज्ञानाम् देवतात्मत्वेन भोक्ता च प्रभुः एव च
sp018-000444_004	मत्स्वामिको हि यज्ञः अधियज्ञोऽहम् एव अत्र इति हि उक्तम्
sp018-000445_004	तथा न तु माम् अभिजानन्ति तत्त्वेन यथावत्
sp018-000446_004	अतः च अविधिपूर्वकम् इष्ट्वा यागफलात् च्यवन्ति प्रच्यवन्ति ते
sp018-000447_004	येऽपि अन्यदेवताभक्तिमत्त्वेन अविधिपूर्वकम् यजन्ते तेषामपि यागफलम् अवश्यम्भावि
sp018-000448_004	देवव्रताः देवान् यान्ति पितृव्रताः पितॄन् यान्ति
sp018-000449_004	भूत इज्याः भूतानि यान्ति मद्याजिनः अपि माम् यान्ति
sp018-000450_004	यान्ति गच्छन्ति देवव्रताः देवेषु व्रतम् नियमो भक्तिश्च येषाम् ते देवव्रताः देवान् यान्ति
sp018-000451_004	पितॄन् यान्ति पितृव्रताः श्राद्धादिक्रियापराः पितृभक्ताः
sp018-000452_004	भूतानि विनायक मातृगण चतुर्भगिन्यादीनि यान्ति भूतेज्याः भूतानाम् पूजकाः
sp018-000453_004	यान्ति मद्याजिनः मद्यजनशीलाः वैष्णवाः मामेव यान्ति
sp018-000454_004	समाने अपि आयासे मामेव न भजन्ते अज्ञानात्
sp018-000455_004	तेन ते अल्पफलभाजः भवन्ति इति अर्थः
sp018-000456_004	न केवलम् मद्भक्तानाम् अनावृत्तिलक्षणम् अनन्तफलम् सुखाराधनश्च अहम्
sp018-000457_004	हे कौन्तेय यत्करोषि यदश्नासि यज्जुहोषि यत् ददासि यत्तपस्यसि तत् मत् अर्पणम् कुरुष्व
sp018-000458_004	यत् करोषि स्वतः प्राप्तम् यत् अश्नासि यच्च जुहोषि हवनम् निर्वर्तयसि श्रौतम् स्मार्तम् वा
sp018-000459_004	यत् ददासि प्रयच्छसि ब्राह्मणादिभ्यः
sp018-000460_004	यत् तपस्यसि तपः चरसि कौन्तेय तत् कुरुष्व मदर्पणम् मत्समर्पणम्
sp018-000461_004	एवम् कुर्वतः तव यत् भवति तत् शृणु
sp018-000462_004	एवम् कृते सति शुभ अशुभफलैः कर्मबन्धनैः सन्न्यासयोगयुक्तात्मा विमुक्तः भूत्वा मोक्ष्यसे माम् उपैष्यसि
sp018-000463_004	शुभाशुभफलैः शुभाशुभे इष्टानिष्टे फले येषाम् तानि शुभाशुभफलानि कर्माणि
sp018-000464_004	तैः शुभाशुभफलैः कर्मबन्धनैः कर्माणि एव बन्धनानि कर्मबन्धनानि
sp018-000465_004	तैः कर्मबन्धनैः एवम् मदर्पणम् कुर्वन् मोक्ष्यसे
sp018-000466_004	सः अयम् सन्न्यासयोगो नाम सन्न्यासश्च असौ मत्समर्पणतया कर्मत्वात् योगश्च असौ इति
sp018-000467_004	तेन सन्न्यासयोगेन युक्तः आत्मा अन्तःकरणम् यस्य तव सः त्वम् सन्न्यासयोगयुक्तात्मा सन्
sp018-000468_004	विमुक्तः कर्मबन्धनैः जीवन् एव पतिते च अस्मिन् शरीरे माम् उपैष्यसि आगमिष्यसि
sp018-000469_004	रागद्वेषवान् तर्हि भगवान् यतो भक्तान् अनुगृह्णाति न इतरान् इति
sp018-000470_004	अहम् सर्वभूतेषु समः मे द्वेष्यः प्रियः च न अस्ति
sp018-000471_004	परम् तु ये माम् भक्त्या भजन्ति ते मयि च अहम् अपि तेषु च
sp018-000472_004	समः तुल्यः अहम् सर्वभूतेषु
sp018-000473_004	न मे द्वेष्यः अस्ति न प्रियः
sp018-000474_004	अग्निवत् अहम् दूरस्थानाम् यथा अग्निः शीतम् न अपनयति
sp018-000475_004	समीपम् उपसर्पताम् अपनयति
sp018-000476_004	तथा अहम् भक्तान् अनुगृह्णामि न इतरान्
sp018-000477_004	ये भजन्ति तु माम् ईश्वरम् भक्त्या मयि ते स्वभावत एव न मम रागनिमित्तम् वर्तन्ते
sp018-000478_004	तेषु च अपि अहम् स्वभावत एव वर्ते न इतरेषु
sp018-000479_004	न एतावता तेषु द्वेषो मम
sp018-000480_004	शृणु मद्भक्तेर्माहात्म्यम् त्रिंशत्तमः श्लोकः
sp018-000481_004	सु दुः आचारः अपि माम् अनन्यभाक् भजते चेत् सः साधुः एव मन्तव्यः सः हि सम्यग्व्यवसितः अस्ति
sp018-000482_004	अपि चेत् यद्यपि सुदुराचारः सुष्ठु दुराचारः अतीव कुत्सिताचारो अपि भजते माम् अनन्यभाक् अनन्यभक्तिः सन्
sp018-000483_004	साधुरेव सम्यग्वृत्त एव सः मन्तव्यः ज्ञातव्यः
sp018-000484_004	सम्यक् यथावत् व्यवसितो हि सः यस्मात् साधुनिश्चयः सः
sp018-000485_004	उत्सृज्य च बाह्याम् दुराचारताम् अन्तः सम्यग्व्यवसायसामर्थ्यात्
sp018-000486_004	हे कौन्तेय सः क्षिप्रम् धर्मात्मा भवति
sp018-000487_004	शश्वत् शान्तिम् निगच्छति मे भक्तः न प्रणश्यति इति त्वम् प्रतिजानीहि
sp018-000488_004	क्षिप्रम् शीघ्रम् भवति धर्मात्मा धर्मचित्तः एव
sp018-000489_004	शश्वत् नित्यम् शान्तिम् च उपशमम् निगच्छति प्राप्नोति
sp018-000490_004	शृणु परमार्थम् कौन्तेय प्रतिजानीहि निश्चिताम् प्रतिज्ञाम् कुरु
sp018-000491_004	न मे मम भक्तः मयि समर्पितान्तरात्मा मद्भक्तः न प्रणश्यति इति
sp018-000492_004	हे पार्थ ये अपि हि पापयोनयः स्त्रियः वैश्याः तथा शूद्राः स्युः
sp018-000493_004	ते अपि माम् व्यपाश्रित्य पराम् गतिम् यान्ति
sp018-000494_004	माम् हि यस्मात् पार्थ व्यपाश्रित्य माम् आश्रयत्वेन गृहीत्वा ये अपि स्युः भवेयुः
sp018-000495_004	पापयोनयः पापा योनिः येषाम् ते पापयोनयः पापजन्मानः
sp018-000496_004	के ते इति आह स्त्रियः वैश्याः तथा शूद्राः तेऽपि यान्ति गच्छन्ति पराम् प्रकृष्टाम् गतिम्
sp018-000497_004	किम् पुनः पुण्याः भक्ताः ब्राह्मणाः तथा राजर्षयः
sp018-000498_004	तस्मात् त्वम् अनित्यम् असुखम् इमम् लोकम् प्राप्य माम् भजस्व
sp018-000499_004	किम् पुनः ब्राह्मणाः पुण्याः पुण्ययोनयः भक्ताः राजर्षयः तथा राजानश्च ते ऋषयश्च राजर्षयः
sp018-000500_004	यतः एवम् अतः अनित्यम् क्षणभङ्गुरम् असुखम् च सुखवर्जितम् इमम् लोकम् मनुष्यलोकम् प्राप्य
sp018-000501_004	पुरुषार्थसाधनम् दुर्लभम् मनुष्यत्वम् लब्ध्वा भजस्व सेवस्व माम्
sp018-000502_004	त्वम् मत् मनाः मत् भक्तः मत् याजी च भव
sp018-000503_004	माम् मत्परायणः सन् नमस्कुरु एवम् आत्मानम् युक्त्वा माम् एव एष्यसि
sp018-000504_004	मयि वासुदेवे मनः यस्य तव स त्वम् मन्मनाः भव
sp018-000505_004	तथा मद्भक्तः भव मद्याजी मद्यजनशीलः भव
sp018-000506_004	माम् एव च नमस्कुरु
sp018-000507_004	माम् एव ईश्वरम् एष्यसि आगमिष्यसि युक्त्वा समाधाय चित्तम्
sp018-000508_004	एवम् आत्मानम् अहम् हि सर्वेषाम् भूतानाम् आत्मा
sp018-000509_004	परा च गतिः परम् अयनम् तम् माम् एवम्भूतम् एष्यसि इति अतीतेन सम्बन्धः मत्परायणः सन् इत्यर्थः
