sp006-000001_GB_00-00	शाङ्करभाष्यम्
sp006-000552_GB_02	अचला तत्रापि विकल्पवर्जिता इति एतत्
sp006-000553_GB_02	बुद्धिः अन्तःकरणम्
sp006-000554_GB_02	तदा तस्मिन्काले योगम् अवाप्स्यसि विवेकप्रज्ञाम् समाधिम् प्राप्स्यसि
sp006-000555_GB_02	प्रश्नबीजम् प्रतिलभ्य अर्जुन उवाच लब्धसमाधिप्रज्ञस्य लक्षणबुभुत्सया
sp006-000556_GB_02	स्थिता प्रतिष्ठिता अहमस्मि परम् ब्रह्म इति प्रज्ञा यस्य सः स्थितप्रज्ञः
sp006-000557_GB_02	किम् भाषणम् वचनम् कथम् असौ परैः भाष्यते समाधिस्थस्य समाधौ स्थितस्य केशव
sp006-000558_GB_02	स्थितधीः स्थितप्रज्ञः स्वयम् वा किम् प्रभाषेत
sp006-000559_GB_02	किम् आसीत व्रजेत किम् आसनम् व्रजनम् वा तस्य कथमित्यर्थः
sp006-000560_GB_02	स्थितप्रज्ञस्य लक्षणमनेन श्लोकेन पृच्छ्यति
sp006-000561_GB_02	यो ह्यादित एव सन्न्यस्य कर्माणि ज्ञानयोगनिष्ठायाम् प्रवृत्तः
sp006-000562_GB_02	यश्च कर्मयोगेन तयोः प्रजहाति इत्यारभ्य आ अध्यायपरिसमाप्तेः स्थितप्रज्ञलक्षणम् साधनम् चोपदिश्यते
sp006-000563_GB_02	सर्वत्रैव हि अध्यात्मशास्त्रे कृतार्थलक्षणानि यानि तान्येव साधनानि उपदिश्यन्ते यत्नसाध्यत्वात्
sp006-000564_GB_02	यानि यत्नसाध्यानि साधनानि लक्षणानि च भवन्ति तानि श्रीभगवानुवाच
sp006-000565_GB_02	श्रीभगवानुवाच
sp006-000566_GB_02	प्रजहाति प्रकर्षेण जहाति परित्यजति
sp006-000567_GB_02	यदा यस्मिन्काले सर्वान् समस्तान् कामान् इच्छाभेदान् हे पार्थ मनोगतान् मनसि प्रविष्टान् हृदि प्रविष्टान्
sp006-000568_GB_02	सर्वकामपरित्यागे तुष्टिकारणाभावात् शरीरधारणनिमित्तशेषे च सति उन्मत्तप्रमत्तस्येव प्रवृत्तिः प्राप्ता
sp006-000569_GB_02	इत्यत उच्यते
sp006-000570_GB_02	आत्मन्येव प्रत्यगात्मस्वरूपे एव आत्मना स्वेनैव बाह्यलाभनिरपेक्षः तुष्टः
sp006-000571_GB_02	परमार्थदर्शनामृतरसलाभेन अन्यस्मादलम्प्रत्ययवान् स्थितप्रज्ञः स्थिता प्रतिष्ठिता आत्मानात्मविवेकजा प्रज्ञा यस्य सः स्थितप्रज्ञः
sp006-000572_GB_02	विद्वान् तदा उच्यते
sp006-000573_GB_02	त्यक्तपुत्रवित्तलोकैषणः सन्न्यासी आत्माराम आत्मक्रीडः स्थितप्रज्ञ इत्यर्थः
sp006-000574_GB_02	दुःखेषु आध्यात्मिकादिषु प्राप्तेषु न उद्विग्नम् न प्रक्षुभितम् दुःखप्राप्तौ मनो यस्य सोऽयम् अनुद्विग्नमनाः
sp006-000575_GB_02	तथा सुखेषु प्राप्तेषु विगता स्पृहा तृष्णा यस्य
sp006-000576_GB_02	न अग्निरिव इन्धनाद्याधाने सुखान्यनु विवर्धते स विगतस्पृहः
sp006-000577_GB_02	वीतरागभयक्रोधः रागश्च भयम् च क्रोधश्च वीता विगता यस्मात् स वीतरागभयक्रोधः
sp006-000578_GB_02	स्थितधीः स्थितप्रज्ञो मुनिः सन्न्यासी तदा उच्यते
sp006-000579_GB_02	यः मुनिः सर्वत्र देहजीवितादिष्वपि अनभिस्नेहः
sp006-000580_GB_02	अभिस्नेहवर्जितः तत्तत् प्राप्य शुभाशुभम् तत्तत् शुभम् अशुभम् वा लब्ध्वा
sp006-000581_GB_02	न अभिनन्दति न द्वेष्टि शुभम् प्राप्य न तृप्यति न हृष्यति
sp006-000582_GB_02	अशुभम् च प्राप्य न द्वेष्टि इत्यर्थः
sp006-000583_GB_02	तस्य एवम् हर्षविषादवर्जितस्य विवेकजा प्रज्ञा प्रतिष्ठिता भवति
sp006-000584_GB_02	यदा संहरते सम्यगुपसंहरते च अयम् ज्ञाननिष्ठायाम् प्रवृत्तो यतिः कूर्मः अङ्गानि इव
sp006-000585_GB_02	यथा कूर्मः भयात् स्वान्यङ्गानि उपसंहरति सर्वशः सर्वतः
sp006-000586_GB_02	एवम् ज्ञाननिष्ठः इन्द्रियाणि इन्द्रियार्थेभ्यः सर्वविषयेभ्यः उपसंहरते
sp006-000587_GB_02	तस्य प्रज्ञा प्रतिष्ठिता इत्युक्तार्थम् वाक्यम्
sp006-000588_GB_02	तत्र विषयाननाहरतः आतुरस्यापि इन्द्रियाणि कूर्माङ्गानीव संह्रियन्ते
sp006-000589_GB_02	न तु तद्विषयो रागः स कथम् संह्रियते इति उच्यते
sp006-000590_GB_02	यद्यपि विषयाः विषयोपलक्षितानि विषयशब्दवाच्यानि इन्द्रियाणि निराहारस्य अनाह्रियमाणविषयस्य
sp006-000591_GB_02	कष्टे तपसि स्थितस्य मूर्खस्यापि विनिवर्तन्ते देहिनो देहवतः रसवर्जम् रसो रागो विषयेषु यः तम् वर्जयित्वा
sp006-000592_GB_02	रसशब्दो रागे प्रसिद्धः स्वरसेन प्रवृत्तः रसिकः रसज्ञः इत्यादिदर्शनात्
sp006-000593_GB_02	सोऽपि रसो रञ्जनारूपः सूक्ष्मः अस्य यतेः
sp006-000594_GB_02	परम् परमार्थतत्त्वम् ब्रह्म दृष्ट्वा उपलभ्य अहमेव तत् इति वर्तमानस्य निवर्तते निर्बीजम् विषयविज्ञानम् सम्पद्यते इत्यर्थः
sp006-000595_GB_02	न असति सम्यग्दर्शने रसस्य उच्छेदः
sp006-000596_GB_02	तस्मात् सम्यग्दर्शनात्मिकायाः प्रज्ञायाः स्थैर्यम् कर्तव्यमित्यभिप्रायः
sp006-000597_GB_02	सम्यग्दर्शनलक्षणप्रज्ञास्थैर्यम् चिकीर्षता आदौ इन्द्रियाणि स्ववशे स्थापयितव्यानि
sp006-000598_GB_02	यस्मात् तदनवस्थापने दोषमाह
sp006-000599_GB_02	यततः प्रयत्नम् कुर्वतः अपि हि यस्मात् कौन्तेय पुरुषस्य विपश्चितो मेधाविनः अपि इति व्यवहितेन सम्बन्धः
sp006-000600_GB_02	इन्द्रियाणि प्रमाथीनि प्रमथनशीलानि विषयाभिमुखम् हि पुरुषम् विक्षोभयन्ति आकुलीकुर्वन्ति
sp006-000601_GB_02	आकुलीकृत्य च हरन्ति प्रसभम् प्रसह्य प्रकाशमेव पश्यतो विवेकविज्ञानयुक्तम् मनः
sp006-000602_GB_02	यतः तस्मात्
sp006-000603_GB_02	तानि सर्वाणि संयम्य संयमनम् वशीकरणम् कृत्वा युक्तः समाहितः सन् आसीत मत्परः
sp006-000604_GB_02	अहम् वासुदेवः सर्वप्रत्यगात्मा परो यस्य स मत्परो न अन्यः अहम् तस्मात् इति आसीत इत्यर्थः
sp006-000605_GB_02	एवम् आसीनस्य यतेः वशे हि यस्य इन्द्रियाणि वर्तन्ते अभ्यासबलात् तस्य प्रज्ञा प्रतिष्ठिता
sp006-000606_GB_02	अथ इदानीम् पराभविष्यतः सर्वानर्थमूलम् इदमुच्यते
sp006-000607_GB_02	ध्यायतः चिन्तयतो विषयान् शब्दादि विषयविशेषान् आलोचयतः
sp006-000608_GB_02	पुंसः पुरुषस्य सङ्ग आसक्तिः प्रीतिः तेषु विषयेषु उपजायते
sp006-000609_GB_02	सङ्गात् प्रीतेः सञ्जायते समुत्पद्यते कामः तृष्णा
sp006-000610_GB_02	कामात् कुतश्चित् प्रतिहतात् क्रोधः अभिजायते
sp006-000611_GB_02	क्रोधात् भवति सम्मोहः अविवेकः कार्याकार्यविषयः
sp006-000612_GB_02	क्रुद्धो हि सम्मूढः सन् गुरुमप्याक्रोशति
sp006-000613_GB_02	सम्मोहात् स्मृतिविभ्रमः शास्त्राचार्योपदेशाहितसंस्कारजनितायाः स्मृतेः स्यात्
sp006-000614_GB_02	विभ्रमो भ्रंशः स्मृत्युत्पत्तिनिमित्तप्राप्तौ अनुत्पत्तिः
sp006-000615_GB_02	ततः स्मृतिभ्रंशात् बुद्धिनाशः बुद्धेर्नाशः
sp006-000616_GB_02	कार्याकार्यविषयविवेकायोग्यता अन्तःकरणस्य बुद्धेर्नाश उच्यते
sp006-000617_GB_02	बुद्धिनाशात् प्रणश्यति
sp006-000618_GB_02	तावदेव हि पुरुषः यावदन्तःकरणम् तदीयम् कार्याकार्यविषयविवेकयोग्यम्
sp006-000619_GB_02	तदयोग्यत्वे नष्ट एव पुरुषो भवति
sp006-000620_GB_02	अतः तस्यान्तःकरणस्य बुद्धेर्नाशात् प्रणश्यति पुरुषार्थायोग्यो भवतीत्यर्थः
sp006-000621_GB_02	सर्वानर्थस्य मूलम् उक्तम् विषयाभिध्यानम्
sp006-000622_GB_02	अथ इदानीम् मोक्षकारणमिदमुच्यते
sp006-000623_GB_02	रागद्वेषवियुक्तैः रागश्च द्वेषश्च रागद्वेषौ
sp006-000624_GB_02	तत्पुरःसरा हि इन्द्रियाणाम् प्रवृत्तिः स्वाभाविकी
sp006-000625_GB_02	तत्र यो मुमुक्षुः भवति सः ताभ्याम् वियुक्तैः श्रोत्रादिभिः इन्द्रियैः विषयान् अवर्जनीयान् चरन् उपलभमानः
sp006-000626_GB_02	आत्मवश्यैः आत्मनो वश्यानि वशीभूतानि तैः आत्मवश्यैः
sp006-000627_GB_02	विधेयात्मा इच्छातो विधेय आत्मा अन्तःकरणम् यस्य सः अयम् प्रसादम् अधिगच्छति
sp006-000628_GB_02	प्रसादः प्रसन्नता स्वास्थ्यम्
sp006-000629_GB_02	प्रसादे सति किम् स्यात् इति उच्यते
sp006-000630_GB_02	प्रसादे सर्वदुःखानाम् आध्यात्मिकादीनाम् हानिः विनाशः अस्य यतेः उपजायते
sp006-000631_GB_02	प्रसन्नचेतसः स्वस्थान्तःकरणस्य हि यस्मात् आशु शीघ्रम् बुद्धिः पर्यवतिष्ठते आकाशमिव परि समन्तात् अवतिष्ठते
sp006-000632_GB_02	आत्मस्वरूपेण एव निश्चलीभवति इत्यर्थः
sp006-000633_GB_02	एवम् प्रसन्नचेतसः अवस्थितबुद्धेः कृतकृत्यता यतः
sp006-000634_GB_02	तस्मात् रागद्वेषवियुक्तैः इन्द्रियैः शास्त्राविरुद्धेषु अवर्जनीयेषु युक्तः समाचरेत् इति वाक्यार्थः
sp006-000635_GB_02	न अस्ति न विद्यते न भवति इत्यर्थः
sp006-000636_GB_02	बुद्धिः आत्मस्वरूपविषया अयुक्तस्य असमाहितान्तःकरणस्य
sp006-000637_GB_02	न च अस्ति अयुक्तस्य भावना आत्मज्ञानाभिनिवेशः
sp006-000638_GB_02	तथा न च अस्ति अभावयतः आत्मज्ञानाभिनिवेशम् अकुर्वतः शान्तिः उपशमः
sp006-000639_GB_02	अशान्तस्य कुतः सुखम्
sp006-000640_GB_02	इन्द्रियाणाम् हि विषयसेवातृष्णातो निवृत्तिः या तत्सुखम् न विषयविषया तृष्णा
sp006-000641_GB_02	दुःखमेव हि सा
sp006-000642_GB_02	न तृष्णायाम् सत्याम् सुखस्य गन्धमात्रमपि उपपद्यते इत्यर्थः
sp006-000643_GB_02	अयुक्तस्य कस्माद्बुद्धिः नास्ति इति उच्यते
sp006-000644_GB_02	इन्द्रियाणाम् हि यस्मात् चरताम् स्वस्वविषयेषु प्रवर्तमानानाम् यत् मनः अनुविधीयते अनुप्रवर्तते
sp006-000645_GB_02	तत् इन्द्रियविषयविकल्पने प्रवृत्तम् मनः अस्य यतेः हरति प्रज्ञाम् आत्मानात्मविवेकजाम् नाशयति
sp006-000646_GB_02	कथम्
sp006-000647_GB_02	वायुः नावम् इव अम्भसि
sp006-000648_GB_02	उदके जिगमिषताम् मार्गादुद्धृत्य उन्मार्गे यथा वायुः नावम् प्रवर्तयति
sp006-000649_GB_02	एवम् आत्मविषयाम् प्रज्ञाम् हृत्वा मनो विषयविषयाम् करोति
sp006-000650_GB_02	यततो ह्यपि इति उपन्यस्तस्य अर्थस्य अनेकधा उपपत्तिम् उक्त्वा तम् चार्थम् उपपाद्य उपसंहरति
sp006-000651_GB_02	इन्द्रियाणाम् प्रवृत्तौ दोष उपपादितो यस्मात्
sp006-000652_GB_02	तस्मात् यस्य यतेः हे महाबाहो
sp006-000653_GB_02	निगृहीतानि सर्वशः सर्वप्रकारैः मानसादिभेदैः इन्द्रियाणि इन्द्रियार्थेभ्यः शब्दादिभ्यः तस्य प्रज्ञा प्रतिष्ठिता
sp006-000654_GB_02	यः अयम् लौकिको वैदिकश्च व्यवहारः स उत्पन्नविवेकज्ञानस्य स्थितप्रज्ञस्य अविद्याकार्यत्वात् अविद्यानिवृत्तौ निवर्तते
sp006-000655_GB_02	अविद्यायाश्च विद्याविरोधात् निवृत्तिः
sp006-000656_GB_02	इत्येतमर्थम् स्फुटीकुर्वन् आह
sp006-000657_GB_02	या निशा रात्रिः सर्वपदार्थानाम् अविवेककरी तमःस्वभावत्वात् सर्वेषाम् भूतानाम् सर्व भूतानाम्
sp006-000658_GB_02	किम् तत् परमार्थतत्त्वम् स्थितप्रज्ञस्य विषयः
sp006-000659_GB_02	यथा नक्तञ्चराणाम् अहः एव सत् अन्येषाम् निशा भवति तद्वत्
sp006-000660_GB_02	नक्तञ्चरस्थानीयानामज्ञानाम् सर्वभूतानाम् निशा इव निशा परमार्थतत्त्वम् अगोचरत्वात् अतद्बुद्धीनाम्
sp006-000661_GB_02	तस्याम् परमार्थतत्त्वलक्षणायाम् अज्ञाननिद्रायाः प्रबुद्धो जागर्ति संयमी संयमवान् जितेन्द्रियो योगी इत्यर्थः
sp006-000662_GB_02	यस्याम् ग्राह्यग्राहकभेदलक्षणायाम् अविद्यानिशायाम् प्रसुप्तानि एव भूतानि जाग्रति इति उच्यते
sp006-000663_GB_02	यस्याम् निशायाम् प्रसुप्ता इव स्वप्नदृशः सा निशा अविद्यारूपत्वात् परमार्थतत्त्वम् पश्यतो मुनेः
sp006-000664_GB_02	अतः कर्माणि अविद्यावस्थायामेव चोद्यन्ते
sp006-000665_GB_02	न विद्यावस्थायाम्
sp006-000666_GB_02	विद्यायाम् हि सत्याम् उदिते सवितरि शार्वरमिव तमः प्रणाशमुपगच्छति अविद्या
sp006-000667_GB_02	प्राग् विद्योत्पत्तेः अविद्या प्रमाणबुद्ध्या गृह्यमाणा क्रियाकारकफलभेदरूपा सती सर्वकर्महेतुत्वम् प्रतिपद्यते
sp006-000668_GB_02	न अप्रमाणबुद्ध्या गृह्यमाणायाः कर्महेतुत्वोपपत्तिः
sp006-000669_GB_02	प्रमाणभूतेन वेदेन मम चोदितम् कर्तव्यम् कर्म इति हि कर्मणि कर्ता प्रवर्तते
sp006-000670_GB_02	न अविद्यामात्रमिदम् सर्वम् निशेव इति
sp006-000671_GB_02	यस्य पुनः निशा इव अविद्यामात्रमिदम् सर्वम् भेदजातम् इति
sp006-000672_GB_02	ज्ञानम् तस्य आत्मज्ञस्य सर्वकर्मसन्न्यासे एव अधिकारो न प्रवृत्तौ
sp006-000673_GB_02	तथा च दर्शयिष्यति
sp006-000674_GB_02	इत्यादिना ज्ञाननिष्ठायामेव तस्य अधिकारम्
sp006-000675_GB_02	तत्रापि प्रवर्तकप्रमाणाभावे प्रवृत्त्यनुपपत्तिः इति चेत् न
sp006-000676_GB_02	स्वात्मविषयत्वात् आत्मज्ञानस्य
sp006-000677_GB_02	न हि आत्मनः स्वात्मनि प्रवर्तकप्रमाण अपेक्षता आत्मत्वादेव
sp006-000678_GB_02	तदन्तत्वाच्च सर्वप्रमाणानाम् प्रमाणत्वस्य
sp006-000679_GB_02	न हि आत्मस्वरूपाधिगमे सति पुनः प्रमाणप्रमेयव्यवहारः सम्भवति
sp006-000680_GB_02	प्रमातृत्वम् हि आत्मनो निवर्तयति अन्त्यम् प्रमाणम्
sp006-000681_GB_02	निवर्तयदेव च अप्रमाणीभवति स्वप्नकालप्रमाणमिव प्रबोधे
sp006-000682_GB_02	लोके च वस्त्वधिगमे प्रवृत्तिहेतुत्त्वादर्शनात् प्रमाणस्य
sp006-000683_GB_02	तस्मात् न आत्मविदः कर्मणि अधिकार इति सिद्धम्
sp006-000684_GB_02	विदुषः त्यक्तैषणस्य स्थितप्रज्ञस्य यतेः एव मोक्षप्राप्तिः
sp006-000685_GB_02	न तु असन्न्यासिनः कामकामिन इति एतमर्थम् दृष्टान्तेन प्रतिपादयिष्यन् आह
sp006-000686_GB_02	आपूर्यमाणम् अद्भिः अचलप्रतिष्ठम् अचलतया प्रतिष्ठा अवस्थितिः यस्य तम् अचलप्रतिष्ठम्
sp006-000687_GB_02	समुद्रम् आपः सर्वतो गताः प्रविशन्ति स्वात्मस्थम् अविक्रियम् एव सन्तम् यद्वत्
sp006-000688_GB_02	तद्वत् कामा विषयसन्निधौ अपि सर्वत इच्छाविशेषा यम् पुरुषम्
sp006-000689_GB_02	न स्वात्मवशम् कुर्वन्ति
sp006-000690_GB_02	सः शान्तिम् मोक्षम् आप्नोति न इतरः कामकामी काम्यन्ते इति कामाः विषयाः
sp006-000691_GB_02	तान् कामयितुम् शीलम् यस्य स कामकामी न एव प्राप्नोति इत्यर्थः
sp006-000692_GB_02	यस्मादेवम् तस्मात्
sp006-000693_GB_02	विहाय परित्यज्य कामान् यः सन्न्यासी पुमान् सर्वान् अशेषतः कार् त्स्न्येन चरति जीवनमात्रचेष्टाशेषः पर्यटति इत्यर्थः
sp006-000694_GB_02	निःस्पृहः शरीरजीवनमात्रेऽपि निर्गता स्पृहा यस्य सः निःस्पृहः सन्
sp006-000695_GB_02	निर्ममः शरीरजीवनमात्राक्षिप्तपरिग्रहे अपि मम इदम् इति अभिनिवेशवर्जितः
sp006-000696_GB_02	निरहङ्कारो विद्यावत्त्वादिनिमित्तात्मसम्भावनारहित इत्यर्थः
sp006-000697_GB_02	स एवम्भूतः स्थितप्रज्ञो ब्रह्मवित् शान्तिम् सर्वसंसारदुःखोपरमलक्षणाम् निर्वाणाख्याम्
sp006-000698_GB_02	अधिगच्छति प्राप्नोति ब्रह्मभूतो भवति इत्यर्थः
sp006-000699_GB_02	सा एषा ज्ञाननिष्ठा स्तूयते
sp006-000700_GB_02	एषा यथोक्ता ब्राह्मी ब्रह्मणि भवा इयम् स्थितिः सर्वम् कर्म सन्न्यस्य ब्रह्मरूपेण एव अवस्थानम् इति एतत्
sp006-000701_GB_02	हे पार्थ न एनाम् स्थितिम् प्राप्य लब्ध्वा न विमुह्यति न मोहम् प्राप्नोति
sp006-000702_GB_02	स्थित्वा अस्याम् स्थितौ ब्राह्म्याम् यथोक्तायाम् अन्तकालेऽपि
sp006-000703_GB_02	अन्तथ वयसि अपि ब्रह्मनिर्वाणम् ब्रह्मनिर्वृतिम् मोक्षम् ऋच्छति गच्छति
sp006-000704_GB_02	किमु वक्तव्यम् ब्रह्मचर्यादेव सन्न्यस्य यावज्जीवम् यो ब्रह्मणि एव अवतिष्ठते स ब्रह्मनिर्वाणम् ऋछति इति
sp006-000705_GB_02	श्रीभगवद्गीताभाष्ये ब्रह्मविद्यायाम् योगशास्त्रे श्रीकृष्णार्जुनसंवादे साङ्ख्ययोगो नाम द्वितीयोऽध्यायः
sp006-000706_GB_03-00	शास्त्रस्य प्रवृत्तिनिवृत्तिविषयभूते द्वे बुद्धी भगवता निर्दिष्टे
sp006-000707_GB_03-00	साङ् ख्ये बुद्धिः योगे बुद्धिः इति च
sp006-000708_GB_03-00	इति आरभ्य आ अध्यायपरिसमाप्तेः
sp006-000709_GB_03-00	साङ् ख्यबुद्ध्याश्रितानाम् सन्न्यासम् कर्तव्यम् उक्त्वा तेषाम् तन्निष्ठतया एव च कृतार्थता उक्ता
sp006-000710_GB_03-00	एषा ब्राह्मी स्थितिः इति
sp006-000711_GB_03-00	अर्जुनाय च
sp006-000712_GB_03-00	इति कर्म एव कर्तव्यम् उक्तवान् योगबुद्धिम् आश्रित्य न तत एव श्रेयःप्राप्तिम् उक्तवान्
sp006-000713_GB_03-00	तदेतदालक्ष्य पर्याकुलीभूतबुद्धिः अर्जुन उवाच
sp006-000714_GB_03-00	कथम् भक्ताय श्रेयोर्थिने यत् साक्षात् श्रेयःसाधनम् साङ् ख्यबुद्धिनिष्ठाम् श्रावयित्वा
sp006-000715_GB_03-00	माम् कर्मणि दृष्टानेकानर्थयुक्ते पारम्पर्येण अपि अनैकान्तिकश्रेयःप्राप्तिफले नियुञ्ज्यादिति युक्तः पर्याकुलीभावः अर्जुनस्य
sp006-000716_GB_03-00	तदनुरूपश्च प्रश्नः ज्यायसी चेत् इत्यादि
sp006-000717_GB_03-00	प्रश्नापाकरणवाक्यम् च भगवता उक्तम् यथोक्तविभागविषये शास्त्रे
sp006-000718_GB_03-00	केचित्तु अर्जुनस्य प्रश्नार्थम् अन्यथा कल्पयित्वा तत्प्रतिकूलम् भगवतः प्रतिवचनम् वर्णयन्ति
sp006-000719_GB_03-00	यथा च आत्मना सम्बन्धग्रन्थे गीतार्थो निरूपितः तत्प्रतिकूलम् च इह पुनः प्रश्नप्रतिवचनयोः अर्थम् निरूपयन्ति
sp006-000720_GB_03-00	कथम् तत्र सम्बन्धग्रन्थे तावत्
sp006-000721_GB_03-00	सर्वेषाम् आश्रमिणाम् ज्ञानकर्मणोः समुच्चयो गीताशास्त्रे निरूपितः अर्थ इति उक्तम्
sp006-000722_GB_03-00	पुनः विशेषितम् च यावज्जीवश्रुतिचोदितानि कर्माणि परित्यज्य
sp006-000723_GB_03-00	केवलादेव ज्ञानात् मोक्षः प्राप्यते इति एतत् एकान्तेन एव प्रतिषिद्धम् इति
sp006-000724_GB_03-00	इह तु आश्रमविकल्पम् दर्शयता यावज्जीवश्रुतिचोदितानामेव कर्मणाम् परित्याग उक्तः
sp006-000725_GB_03-00	तत् कथम् ईदृशम् विरुद्धम् अर्थम् अर्जुनाय ब्रूयात् भगवान्
sp006-000726_GB_03-00	श्रोता वा कथम् विरुद्धम् अर्थम् अवधारयेत्
sp006-000727_GB_03-00	तत्र एतत् स्यात् गृहस्थानामेव श्रौतकर्मपरित्यागेन केवलादेव ज्ञानात् मोक्षः प्रतिषिध्यते
sp006-000728_GB_03-00	न तु आश्रमान्तराणाम् इति
sp006-000729_GB_03-00	एतदपि पूर्वोत्तरविरुद्धम् एव
sp006-000730_GB_03-00	सर्वाश्रमिणाम् ज्ञानकर्मणोः समुच्चयो गीताशास्त्रे निश्चितः अर्थ इति प्रतिज्ञाय
sp006-000731_GB_03-00	इह कथम् तद्विरुद्धम् केवलादेव ज्ञानात् मोक्षम् ब्रूयादाश्रमान्तराणाम्
sp006-000732_GB_03-00	अथ मतम् श्रौतकर्मापेक्षया एतद्वचनम् केवलादेव ज्ञानात् श्रौतकर्मरहितात् गृहस्थानाम् मोक्षः प्रतिषिध्यते इति
sp006-000733_GB_03-00	तत्र गृहस्थानाम् विद्यमानम् अपि स्मार्तम् कर्म अविद्यमानवत् अपेक्ष्य ज्ञानादेव केवलात् न मोक्ष इति उच्यते इति
sp006-000734_GB_03-00	एतदपि विरुद्धम्
sp006-000735_GB_03-00	गृहस्थस्यैव स्मार्तकर्मणा समुच्चितात् ज्ञानात् मोक्षः प्रतिषिध्यते
sp006-000736_GB_03-00	न तु आश्रमान्तराणाम् इति कथम् विवेकिभिः शक्यम् अवधारयितुम्
sp006-000737_GB_03-00	यदि मोक्षसाधनत्वेन स्मार्तानि कर्माणि ऊर्ध्वरेतसाम् समुच्चीयन्ते
sp006-000738_GB_03-00	तथा गृहस्थस्य अपि इष्यताम् स्मार्तैः एव समुच्चयो न श्रौतैः
sp006-000739_GB_03-00	अथ श्रौतैः स्मार्तैश्च गृहस्थस्य एव समुच्चयो मोक्षाय ऊर्ध्वरेतसाम् तु स्मार्तकर्ममात्रसमुच्चितात् ज्ञानात् मोक्ष इति
sp006-000740_GB_03-00	तत्र एवम् सति गृहस्थस्य आयासबाहुल्यम् श्रौतम् स्मार्तम् च बहुदुःखरूपम् कर्म शिरसि आरोपितम् स्यात्
sp006-000741_GB_03-00	अथ गृहस्थस्य एव आयासबाहुल्यकारणात् मोक्षः स्यात्
sp006-000742_GB_03-00	न आश्रमान्तराणाम् श्रौतनित्यकर्मरहितत्वात् इति
sp006-000743_GB_03-00	तदपि असत्
sp006-000744_GB_03-00	सर्वोपनिषत्सु इतिहासपुराणयोगशास्त्रे च ज्ञानाङ्गत्वेन मुमुक्षोः सर्वकर्मसन्न्यासविधानात्
sp006-000745_GB_03-00	आश्रमविकल्पसमुच्चयविधानाच्च श्रुतिस्मृत्योः
sp006-000746_GB_03-00	सिद्धः तर्हि सर्वाश्रमिणाम् ज्ञानकर्मणोः समुच्चयः
sp006-000747_GB_03-00	न मुमुक्षोः सर्वकर्मसन्न्यासविधानात्
sp006-000748_GB_03-00	व्युत्थायाथ भिक्षाचर्यम् चरन्ति
sp006-000749_GB_03-00	तस्मात् सन्न्यासमेषाम् तपसामतिरिक्तमाहुः
sp006-000750_GB_03-00	नाचिकेत उपनिषत् द्वि एकोनाशीति
sp006-000751_GB_03-00	न्यास एवात्यरेच यत्
sp006-000752_GB_03-00	नाचिकेत उपनिषत् द्वि अष्ट सप्तति इति
sp006-000753_GB_03-00	न कर्मणा न प्रजया धनेन त्यागेनैके अमृतत्वमानशुः
sp006-000754_GB_03-00	नाचिकेत उपनिषत् द्वि द्वादश इति च
sp006-000755_GB_03-00	ब्रह्मचर्यादेव प्रव्रजेत् जाबाल उपनिषत् चतुर्थ इत्याद्याः श्रुतयः
sp006-000756_GB_03-00	तस्मात्कर्म न कुर्वन्ति यतयः पारदर्शिनः
sp006-000757_GB_03-00	इह अपि
sp006-000758_GB_03-00	मोक्षस्य च अकार्यत्वात् मुमुक्षोः कर्मानर्थक्यम्
sp006-000759_GB_03-00	नित्यानि प्रत्यवायपरिहारार्थम् अनुष्ठेयान् इति चेत् न
sp006-000760_GB_03-00	असन्न्यासिविषयत्वात् प्रत्यवायप्राप्तेः
sp006-000761_GB_03-00	न हि अग्निकार्याद्यकरणात् सन्न्यासिनः प्रत्यवायः
sp006-000762_GB_03-00	कल्पयितुम् शक्यो यथा ब्रह्मचारिणाम् असन्न्यासिना् अपि कर्मिणाम्
sp006-000763_GB_03-00	न तावत् नित्यानाम् कर्मणाम् अभावादेव भावरूपस्य प्रत्यवायस्य उत्पत्तिः कल्पयितुम् शक्या
sp006-000764_GB_03-00	यदि विहिताकरणादसम्भाव्यम् अपि प्रत्यवायम् ब्रूयात् वेदः
sp006-000765_GB_03-00	तदा अनर्थकरो वेदः अप्रमाणम् इति उक्तम् स्यात्
sp006-000766_GB_03-00	विहितस्य करणाकरणयोः दुःखमात्रफलत्वात्
sp006-000767_GB_03-00	तथा च कारकम् शास्त्रम् न ज्ञापकम् इति अनुपपन्नार्थम् कल्पितम् स्यात्
sp006-000768_GB_03-00	न च एतद् इष्टम्
sp006-000769_GB_03-00	तस्मात् न सन्न्यासिनाम् कर्मणि
sp006-000770_GB_03-00	अतो ज्ञानकर्मणोः समुच्चयानुपपत्तिः
sp006-000771_GB_03-00	इति अर्जुनस्य प्रश्नानुपपत्तेः च
sp006-000772_GB_03-00	यदि हि भगवता द्वितीये अध्याये ज्ञानम् कर्म च समुच्चयेन त्वया अनुष्ठेयम् इति उक्तम् स्यात्
sp006-000773_GB_03-00	ततः अर्जुनस्य प्रश्नः अनुपपन्नो
sp006-000774_GB_03-00	अर्जुनाय चेत् बुद्धिकर्मणी त्वया अनुष्ठेये इति उक्ते या कर्मणो ज्यायसी बुद्धिः सा अपि उक्ता एव इति
sp006-000775_GB_03-00	इति प्रश्नो न कथञ्चन उपपद्यते
