sp021-000001_01	भक्तः कुलशेखरः
sp021-000311_08	अनेन भवन्तम् प्रति धिक्कारः प्रकटनीयः इति तु मम उद्देशः नास्ति इति
sp021-000312_08	गुरोः प्रभावजनकवचोभिः राजा स्वदोषम् विज्ञाय गुरुम् क्षमा प्रार्थयत
sp021-000313_08	दानस्य महत्ताम् च अजानात्
sp021-000314_09	भवेत् को मुक्तिदायकः
sp021-000315_09	म वि कोल्हटकरः
sp021-000316_09	आसीत् कश्चन नृपतिः
sp021-000317_09	नीतिसम्पन्नाः उपदेशाः कथाः च श्रुताः चेत् मम प्रगतिः अवश्यम् भवेत् इति विचिन्त्य
sp021-000318_09	तेन कश्चन पण्डितः नियुक्तः
sp021-000319_09	पण्डितः प्रतिदिनम् घण्टाम् यावत् उपदेशकथादिकम् श्रावयति स्म
sp021-000320_09	एतदर्थम् नृपतिः पण्डिताय प्रतिमासम् पञ्चसहस्रम् रूप्यकाणि वेतनरूपेण यच्छति स्म
sp021-000321_09	एषः उपक्रमः पञ्चवर्षाणि यावत् प्राचलत्
sp021-000322_09	एकस्मिन् दिने नृपतिः पण्डितम् अवदत्
sp021-000323_09	पण्डितवर्य आ पञ्चभ्यः वर्षेभ्यः भवान् प्रतिदिनम् रुचिराः कथाः उत्कृष्टान् उपदेशान् च श्रावयति
sp021-000324_09	तथापि मयि कापि प्रगतिः न जाता
sp021-000325_09	मम क्रोधशीलतादयः न अपगताः मनस्संयमः वा न प्राप्तः
sp021-000326_09	अतः मम प्रश्नः एतस्य उपक्रमस्य अनुवर्तनम् करणीयम् किम् इति
sp021-000327_09	भवान मासाभ्यन्तरे अस्य उपक्रमस्य सफलताविषये माम् अवगमयेत्
sp021-000328_09	अन्यथा भवान् सेवामुक्तः करिष्यते मया
sp021-000329_09	एतस्य श्रवणात् पण्डितः चिन्ताक्रान्तः अभवत्
sp021-000330_09	अग्रे मम कुटुम्बस्य का गतिः भवेत् इति
sp021-000331_09	भृशम् चिन्तयित्वा अपि पण्डितः कमपि परिहारम् न प्राप्नोत्
sp021-000332_09	तेषु एव दिनेषु कश्चन साधुमहाराजः तम् ग्रामम् आगतः
sp021-000333_09	पण्डितः तम् दृष्ट्वा स्वस्य व्यथाम् अकथयत्
sp021-000334_09	साधुमहाशयः अवदत्
sp021-000335_09	किञ्चित्कालम् यावत् त्वम् माम् स्वशिष्यम् मन्यस्व
sp021-000336_09	ततः नृपतिम् उपसर्प्य वद
sp021-000337_09	मम शिष्यः भवतः प्रश्नस्य योग्यम् उत्तरम् यच्छति इति
sp021-000338_09	अग्रे यथोचितम् अहम् करिष्यामि इति
sp021-000339_09	पण्डितः एतत् अङ्गीकृत्य शिष्येण सह राजमन्दिरम् अगच्छत्
sp021-000340_09	शिष्यः नृपति प्रणम्य अवदत्
sp021-000341_09	महाराज अहम् भवतः प्रश्नस्य यथोचितम् उत्तरम् दास्यामि
sp021-000342_09	तदर्थम् घण्टाम् यावत् नृपतिपदम् मह्यम् दीयताम्
sp021-000343_09	नृपतिः एतत् अङ्ग्यकरोत् सिंहासनात् अवातरत् च
sp021-000344_09	सिंहासने उपविष्टवान् शिष्यः भटान् आज्ञापितवान्
sp021-000345_09	आनीयताम् दृढम् रज्जुद्वयम्
sp021-000346_09	एकया रज्ज्वा पण्डितस्य हस्तपादम् समग्रम् शरीरम् च दृढतया बध्यताम्
sp021-000347_09	अन्यया रज्ज्वा नृपतिः अपि तथैव बध्यताम्
sp021-000348_09	महत् आश्चर्यम् अनुभवन्तः अपि भटाः सिंहासने उपविष्टवतः आदेशम् यथावत् पालितवन्तः
sp021-000349_09	पश्चात् शिष्यः पण्डितम् अवदत्
sp021-000350_09	पण्डितवरेण्य नृपतिम् बन्धमुक्तम् कुरु
sp021-000351_09	पण्डितः अवदत् कथम् मोचयेयम् अहम् स्वयम् बद्धः
sp021-000352_09	बद्धः अहम् कथम् अन्यम् बन्धनात् मोचयेयम्
sp021-000353_09	पश्चात् शिष्यः नृपतिम् अवदत्
sp021-000354_09	मोचय पण्डितवरेण्यम्
sp021-000355_09	नृपतिः अपि अवदत्
sp021-000356_09	बद्धः अहम् कथम् अन्यम् मोचयितुम् शक्नुयाम्
sp021-000357_09	तदा शिष्यः अवदत्
sp021-000358_09	सत्यम् स्वयम् मुक्तः एव बद्धम् मोचयितुम् शक्नुयात्
sp021-000359_09	पण्डितवरेण्यः स्वयम् न धनमुक्तः क्रोधमुक्तः कामनामुक्तः वा
sp021-000360_09	एवम् स्थिते वराकः सः नृपतिम् कथम् मोचयितुम् शक्नुयात्
sp021-000361_09	लज्जितः खिन्नः च पण्डितः आत्मानम् बन्धमुक्तम् कर्तुम् साधनाम् प्रारभत
sp021-000362_10	मैत्र्याः सीमा
sp021-000363_10	ज्ञानशेखरः
sp021-000364_10	देवदत्तः नाम राजा पूर्वम् आसीत्
sp021-000365_10	तस्य भवनस्य वाटिकायाम् काचित् चटका निवसति स्म
sp021-000366_10	राजा देवदत्तः पक्षिणाम् भाषाम् जानाति
sp021-000367_10	अतः सः चटकया सह सम्भाषणम् करोति
sp021-000368_10	एकस्मिन् दिने राजकुमारेण सह राजा वाटिकाम् गत्वा
sp021-000369_10	चटकया सह सम्भाषणम् कृतवान्
sp021-000370_10	तदा चटका मया पुत्रः प्राप्तः अस्ति इति उक्त्वा स्वशावकम् राज्ञे अदर्शयत्
sp021-000371_10	राजा तम् शावकम् दृष्ट्वा नितराम् सन्तुष्टः अभवत्
sp021-000372_10	चटकायाः राजकुमारस्य च मैत्री प्रवृद्धा
sp021-000373_10	चटका राजकुमारम् प्रीत्या एव पश्यति स्म
sp021-000374_10	सा आहारार्थम् गत्वा प्रत्यागमनसमये फलद्वयम् आनीय
sp021-000375_10	एकम् राजकुमाराय अन्यत् स्वशावकाय च ददाति स्म
sp021-000376_10	एकस्मिन् दिने प्रातः चटका आहारार्थम् गता आसीत्
sp021-000377_10	तदा राजकुमारः चटकायाः नीडस्य समीपम् आगतवान्
sp021-000378_10	राजकुमारस्य मनसि दुर्विचारः आविष्टः
sp021-000379_10	सः चटकशावकम् स्वीकृत्य मारितवान्
sp021-000380_10	किञ्चित्समयानन्तरम् माता चटका तत्र आगता
sp021-000381_10	स्वस्य शावकस्य मरणस्थितिम् दृष्ट्वा दुःखिता सा अश्रूणि अस्रावयत्
sp021-000382_10	मम पुत्रस्य मरणस्य कारणम् राजकुमारः एव इति चिन्तयित्वा
sp021-000383_10	सा नीडात् राजभवनम् गत्वा चञ्च्वा राजकुमारस्य नेत्रयोः नाशम् कृतवती
sp021-000384_10	राजा एतम् विषयम् ज्ञातवान्
sp021-000385_10	स्वस्य पुत्रस्य एव दोषः इति अवगतवान् सः चटकया कृतम् अपराधम् क्षान्तवान्
sp021-000386_10	ततः चटका राजानम् नमस्कृत्य अवदत्
sp021-000387_10	महाराज इतःपरम् अहम् अत्र वासम् कर्तुम् न इच्छामि
sp021-000388_10	अतः देशान्तरम् गमिष्यामि
sp021-000389_10	तदा राजा उक्तवान्
sp021-000390_10	किमर्थम् एवम् उच्यते
sp021-000391_10	किम् मया प्रमादः आचरितः
sp021-000392_10	अहम् तव विषये न्याय्यम् एव व्यवहारम् कृतवान्
sp021-000393_10	एवम् स्थिते अपि अन्यत्र गमनम् किमर्थम् चिन्त्येत
sp021-000394_10	अत्रैव वासम् कुरु कृपया इति
sp021-000395_10	किन्तु चटकया एषः प्रस्तावः न अङ्गीकृतः
sp021-000396_10	सा अवदत् महाराज भवत्पुत्रेण मम पुत्रः मारितः
sp021-000397_10	मया च भवत्पुत्रस्य दृष्टिहानिः कल्पिता इति तु सत्यम्
sp021-000398_10	एवम् परस्परविरोधः यत्र स्यात् तत्र वासः न करणीयः
sp021-000399_10	इदानीम् भवान् माम् क्षान्तवान् स्यात् चेदपि
sp021-000400_10	अग्रे पुत्रः यदा यदा दृश्येत
sp021-000401_10	तदा तदा मया कृतः दोषः भवता स्मर्येत एव
sp021-000402_10	तदवसरे न्यायदृष्टिः विलुप्ता भवेत्
sp021-000403_10	अतः अधुनैव अहम् इतः प्रस्थानम् करोमि
sp021-000404_10	इति उक्त्वा आकाशे उड्डीय अगच्छत्
sp021-000405_11	अनुल्लङ्घया न्यायनियमाः
sp021-000406_11	वरदराजः
sp021-000407_11	न्यायाधीशः न्यायपीठे उपविश्य वादिप्रतिवादिनोः कथनम् शृण्वन् आसीत्
sp021-000408_11	न्यायाधीशः शान्तमुद्रया मन्दहासम् प्रकटयन् युवराजस्य मुखम् अपश्यत्
sp021-000409_11	मम सहचरः भवता कारागारे स्थापितः इति श्रुतम्
sp021-000410_11	किम् एतत् विमुच्यताम् सः
sp021-000411_11	युवराजः क्रोधेन अवदत्
sp021-000412_11	अपराधम् विचार्य साक्ष्यादिकम् परिशील्य सः सप्ताहात्मकेन कारागारवासेन मया दण्डितः
sp021-000413_11	यथापराधम् दण्डः प्राप्येत सर्वेण अपि न्यायाधीशः गाम्भीर्येण अवदत्
sp021-000414_11	सः अस्ति मम सहचरः
sp021-000415_11	सः विमोक्तव्यः एव
sp021-000416_11	सानुरोधम् आज्ञास्वरेण अवदत् युवराजः
sp021-000417_11	युक्तायुक्ताम् विचार्य दण्डनम् विहितम् न्यायपीठेन
sp021-000418_11	विहितस्य दण्डस्य अपाकरणे अधिकारः तु महाराजस्य एव
sp021-000419_11	अतः एतद्विषये महाराजः एव प्रार्थनीयः
sp021-000420_11	न्यायपीठेन न किमपि कर्तुम् शक्यम् इति अवदत् न्यायाधीशः
sp021-000421_11	एतस्य अल्पस्य विषयस्य निमित्तम् महाराजः किमर्थम् प्रार्थ्येत
sp021-000422_11	अहम् भावी राजा युवराजः आदिशामि सः मुच्यताम्
sp021-000423_11	भाविनि राजनि तत्र भवति आदरम् प्रदर्शयन् अहम् प्रार्थये
sp021-000424_11	इदानीम् विचारणा काचित् प्रचलति
sp021-000425_11	तत्र विघ्नकरणम् न शोभते
sp021-000426_11	कृपया इतः बहिः गम्यताम्
sp021-000427_11	न्यायपीठस्य निर्णयः सम्मतः यदि न स्यात्
sp021-000428_11	तर्हि महाराजः निवेद्यताम्
sp021-000429_11	किम् युवराजम् माम् एव भवान् वदति बहिः गम्यताम् इति
sp021-000430_11	वेतनभोगिनः कियत् धार्ष्ट्यम् तव
sp021-000431_11	युवराजवर्य न्यायपीठस्य अगौरवम् न करणीयम्
sp021-000432_11	न्यायपीठेन राजपीठे आदरः दर्श्यते
sp021-000433_11	तथैव राजपीठेन अपि न्यायपीठे आदरः दर्शनीयः
sp021-000434_11	युवराजम् उद्दिश्य निर्गच्छ इति कथनम् किम् आदरदर्शनस्य चिह्नम्
sp021-000435_11	युवराजः महता क्रोधेन अपृच्छत्
sp021-000436_11	युवराजवर्य न्यायालये एतादृशस्य अविनयस्य प्रदर्शनम् न शोभते
sp021-000437_11	तत्रापि भावी राजा प्रजानाम् पुरतः आदर्शस्य उपस्थापयिता एवम् कदापि न कुर्यात्
sp021-000438_11	न्यायालयकार्ये विघ्नः कृतः औद्धत्यम् च दर्शितम् इत्यतः
sp021-000439_11	दिनात्मकेन कारागारवासेन भवान् दण्ड्यते एतेन न्यायपीठेन
sp021-000440_11	इति दृढस्वरेण अवदत् न्यायाधीशः
sp021-000441_11	एतस्य श्रवणात् सर्वे स्तब्धाः अभवन्
sp021-000442_11	न्यायाधीशस्य आज्ञाम् पुरस्कृत्य भटाः युवराजम् कारागारम् प्रति अनयन्
sp021-000443_11	एतावता स्वस्य सापराधताम् ज्ञातवान् युवराजः
sp021-000444_11	विना विरोधम् कारागारम् प्रति अगच्छत्
sp021-000445_11	महाराजेन एषा वार्ता श्रुता
sp021-000446_11	यस्मिन् राज्ये एतादृशाः निर्भीकाः न्यायैकपक्षपातिनः भवेयुः
sp021-000447_11	तस्मिन् राज्ये प्रजाः सुखेन तिष्ठन्ति इत्यत्र सन्देहः एव नास्ति
sp021-000448_11	न्यायनियमानाम् उल्लङ्घनम् केनापि कर्तुम् न शक्यते इति अवदत् सः
sp021-000449_12	अहो गतिः कष्टदेयम्
sp021-000450_12	डाक्टर् गोपालनारायणशर्मा
sp021-000451_12	पूर्वम् चत्वारः भ्रातरः आसन्
sp021-000452_12	तैः कदापि विद्याभ्यासः न कृतः
sp021-000453_12	तेषाम् पिता कथाकारवृत्तिम् करोति स्म
sp021-000454_12	पिता यदा दिवम् गतः तदा एते अनाश्रयाः जाताः
sp021-000455_12	ते अचिन्तयन् नगरम् गत्वा वयमपि कथाकारवृत्तिम् करवाम इति
sp021-000456_12	ते राजास्थानम् गत्वा राजानम् अवदन् वयम् कथाकाराः
sp021-000457_12	कथाश्रावणाय व्यवस्था कर्तव्या इति
sp021-000458_12	वस्तुतः राजा अपि मूर्खः एव
sp021-000459_12	किन्तु राज्ञी बुद्धिमती विद्यावती सुशीला च
sp021-000460_12	अतः सा तान् उद्दिश्य अस्तु इति उक्तवती
sp021-000461_12	अनन्तरदिने कथाश्रवणाय व्यवस्था कृता
sp021-000462_12	चत्वारः अपि भ्रातरः मञ्चम् प्रति आगतवन्तः
sp021-000463_12	आदौ ज्येष्ठस्य पर्यायः
sp021-000464_12	किन्तु जनानाम् राज्ञः राज्ञ्याः च दर्शनात् तस्य धैर्य च्युतम् जातम्
sp021-000465_12	शुष्ककण्ठः कम्पमानपादः च सः ज्ञाताम् कथामपि विस्मृतवान् एव
sp021-000466_12	तस्य मुखात् एकमेव वचनम् निर्गतम्
sp021-000467_12	अहो गतिः कष्टदा इयम् इति
sp021-000468_12	ततः सः मौनेन उपाविशत्
sp021-000469_12	तदा वस्तुस्थितिम् ज्ञातवती राज्ञी अवदत्
sp021-000470_12	मान्येन कथाकारेण रामस्य कथा अतिसङ्क्षेपेण विवृता
sp021-000471_12	रामः सलक्ष्मणः ससीतः च अरण्यम् गतः अस्ति
sp021-000472_12	भरतशत्रुघ्नौ मातामहस्य गृहे स्तः
sp021-000473_12	दशरथश्च दिवम् गतः
sp021-000474_12	तदा मन्त्री सुमन्त्रः एतत् वाक्यम् वदति इति
sp021-000475_12	ततः द्वितीयेन कथा अनुवर्तनीया आसीत्
sp021-000476_12	किन्तु तस्यापि स्थितिः अग्रजस्य इव एव
sp021-000477_12	सः अपि एकमेव वाक्यम् उक्त्वा तूष्णीम् अतिष्ठत्
sp021-000478_12	तस्य वाक्यम् आसीत्
sp021-000479_12	यत्तवासीत् ममापि सा इति
sp021-000480_12	एतस्यापि विवरणरूपेण राज्ञी उक्तवती
sp021-000481_12	एतेन मान्येन किष्किन्धाकाण्डस्य सारः उक्तः
sp021-000482_12	तव भार्याम् रावणः यथा अपहृतवान् तथा मम भार्याम् अग्रजः वाली वशीकृतवान् अस्ति इति
sp021-000483_12	अस्य वाक्यस्य तात्पर्यम् इति
sp021-000484_12	तृतीयस्य स्थितिः अपि अग्रजयोः इव एव आसीत्
sp021-000485_12	सोऽपि कष्टेन कियत्कालम् चलेत् एषा इति
sp021-000486_12	उक्त्वा मौनम् आश्रितवान्
sp021-000487_12	तदा राज्ञी विवृतवती
sp021-000488_12	एतेन मान्येन लङ्काकथा विवृता अस्ति
sp021-000489_12	मेघनाद कुम्भकर्णादीनाम् मरणवार्ताम् श्रुत्वा
sp021-000490_12	मन्डोदरी रावणम् यत् पृच्छति सा कथा अत्र निहिता अस्ति इति
sp021-000491_12	चतुर्थः अपि भ्रातॄणामेव दशाम् प्राप्य
sp021-000492_12	यच्छक्यम् तत् कृतम् मया इति उक्त्वा मौनम् आश्रितवान्
sp021-000493_12	तदा राज्ञी पुनः विवृतवती
sp021-000494_12	सेनापतीनाम् मरणवार्ताम् श्रुत्वा लङ्काधिपतिः असहायकतया एतत् वचनम् अवदत्
sp021-000495_12	सा एव कथा एतेन निरूपिता इति
sp021-000496_12	सन्तुष्टः राजा चतुर्भ्यः अपि पारितोषिकम् दत्तवान्
sp021-000497_12	कार्यक्रमसमाप्तेः अनन्तरम् राज्ञी तान् भ्रातॄन् आहूय
sp021-000498_12	इतः ग्रामम् गत्वा स्वशक्त्यनुगुणम् किमपि कृत्वा जीवन्तु भवन्तः
sp021-000499_12	कथाकथनादिषु प्रवृत्तिः सर्वथा मास्तु
sp021-000500_12	शुभम् भवतु भवताम् इति
sp021-000501_12	चत्वारः अपि लज्जया शिरः अवनमय्य
sp021-000502_12	राज्ञीम् नमस्कृत्य ततः ग्रामम् प्रति गतवन्तः
sp021-000503_13	आत्मसाक्षात्काराय अर्हता
sp021-000504_13	प्रकाशशर्मा
sp021-000505_13	कदाचित् कश्चन साधकः महात्मानम् कञ्चित् उपसर्प्य प्रार्थितवान्
sp021-000506_13	महात्मन् अहम् आत्मसाक्षात्कारम् प्राप्तुम् इच्छामि
sp021-000507_13	कृपया तदर्थम् मार्गः दर्श्यताम् इति
sp021-000508_13	महात्मा एकम् मन्त्रम् उपदिश्य
sp021-000509_13	एतम् वर्षम् यावत् जप
sp021-000510_13	वर्षानन्तरम् एतस्यामेव तिथौ स्नात्वा मत्समीपम् आगच्छ इति अवदत्
sp021-000511_13	एतत् अङ्गीकृत्य साधकः ततः निरगच्छत्
sp021-000512_13	वर्षम् अतीतम्
sp021-000513_13	महात्मा काञ्चित् मार्गसम्मार्जिकाम् आहूय अवदत्
sp021-000514_13	अद्य माम् द्रष्टुम् कश्चन आगमिष्यति
sp021-000515_13	भवती सम्मार्जन्या धूलिम् उत्पाद्य धूल्या तम् स्नापय इति
sp021-000516_13	मार्गसम्मार्जिका तथैव अकरोत्
sp021-000517_13	साधकः ताम् प्रहर्तुम् उद्यतः
sp021-000518_13	सा ततः अधावत्
sp021-000519_13	किञ्चिद्दरम् अनुसृत्य धावित्वा अपि ताम् अप्राप्य साधकः प्रत्यागत्य पुनः स्नात्वा महात्मसमीपम् गतवान्
sp021-000520_13	इदानीमपि त्वम् सर्पः इव दंशनाय प्रयतसे
sp021-000521_13	पुनरपि वर्षम् यावत् मन्त्रजपम् कृत्वा अग्रिमे वर्षे एतस्मिन् एव दिने आगच्छ इति असूचयत् महात्मा
sp021-000522_13	अनन्तरवर्षे साधकस्य आगमनदिने महात्मा पुनः ताम् एव सम्मार्जिकाम् आहूय अवदत्
sp021-000523_13	अद्य भवती सम्मार्जन्या तम् स्पृश इति
sp021-000524_13	सः माम् प्रहरेत् सम्मार्जिका अवदत्
sp021-000525_13	न प्रहरिष्यति सः
sp021-000526_13	कानिचन निन्दावचनानि वदेत् तावदेव महात्मा अवदत्
sp021-000527_13	सम्मार्जिका महात्मना यथा उक्तम् तथैव अकरोत्
sp021-000528_13	साधकः कानिचन निन्दावचनानि उक्त्वा पुनः स्नात्वा महात्मनः समीपम् अगच्छत्
sp021-000529_13	महात्मा अवदत् दशनम् परित्यक्तम्
sp021-000530_13	किन्तु फूत्कारः न दूरीकृतः
sp021-000531_13	एवम् स्थिते आत्मसाक्षात्कारः कथम् प्राप्येत
sp021-000532_13	वर्षम् यावत् पुनरपि जपम् कृत्वा वर्षानन्तरम् अस्मिन् एव दिने आगच्छ इति
sp021-000533_13	वर्षम् अतीतम्
sp021-000534_13	यदा साधकः आगच्छन् आसीत्
sp021-000535_13	तदा महात्मा कर्मकर्याः द्वारा अवकरैः स्नानम् अकारयत्
sp021-000536_13	तथापि साधकः शान्ततया एव आसीत्
sp021-000537_13	सः प्रसन्नमुखतया ताम् नमस्कृत्य
sp021-000538_13	मातः महान् उपकारः कृतः तत्रभवत्या
sp021-000539_13	पुनः पुनः परीक्ष्य उत्तीर्णताम् प्राप्तुम् मम साहाय्यम् कृतम्
sp021-000540_13	नितराम् उपकृतः अस्मि
sp021-000541_13	इति उक्त्वा ताम् नमस्कृत्य गत्वा
sp021-000542_13	पुनरपि स्नात्वा महात्मनः समीपम् अगच्छत्
sp021-000543_13	महात्मा तम् आलिङ्गय पार्श्वे उपवेश्य
sp021-000544_13	अद्य योग्यता निरूपिता त्वया इति उक्त्वा तम् ब्रह्मस्वरूपादिकम् बोधितवान्
sp021-000545_14	योगी वृद्धः च
sp021-000546_14	पूर्वम् कश्चन योगी आसीत्
sp021-000547_14	सः अष्ट अपि सिद्धीः प्राप्य हिमालयात् आगत्य
sp021-000548_14	बहूनि अद्भुतकार्याणि प्रदर्शयन् जनेषु महत् आश्चर्यम् जनयति स्म
sp021-000549_14	जनाः तदीयानि कृत्यानि दृष्ट्वा प्रभाविताः सन्तः तस्मै फलादीनि अर्पयन्ति स्म
sp021-000550_14	तम् महात्मानम् भावयन्ति स्म च
sp021-000551_14	एतस्मात् तस्य योगिनः महान् सन्तोषः
sp021-000552_14	अहम् महायोगी अस्मि इति भावयन् सः कदाचित् तिरुवल्लिक्केणी प्रदेशम् आगतवान्
sp021-000553_14	मार्गे तेन कश्चन विलक्षणः वृद्धः दृष्टः
sp021-000554_14	सः वृद्धः भूमौ खननम् कृत्वा एकम् सस्यम् आरोपयन् आसीत्
sp021-000555_14	मूलभागम् उपरि कृत्वा पर्णादियुक्तः भागः गर्ते निधाय मृत्तिकया तेन गर्तः पूरितः
sp021-000556_14	ततः एकम् रन्ध्रयुक्तम् घटम् स्वीकृत्य
sp021-000557_14	सः अनतिदूरस्थात् तटाकात् जले मज्जयित्वा
sp021-000558_14	सस्यम् जलेन सेक्तुम् प्रयत्नम् कृतवान्
sp021-000559_14	जनाः तम् दृष्ट्वा हसितवन्तः
sp021-000560_14	योगी तस्य समीपम् गत्वा
sp021-000561_14	भोः त्वम् किम् मूर्खः तव कार्यम् सर्वम् व्यर्थम् ननु
sp021-000562_14	किम् एतावदपि अजानन् अहो कीदृशः मूढमतिः त्वम् इति उक्तवान्
sp021-000563_14	तदा सः वृद्धः मुखम् उन्नीय तम् योगिनम् सकृद् दृष्ट्वा अवदत्
sp021-000564_14	अहो भवान् खलु अष्टसिद्धीः आप्तवान् योगिवर्यः नमो भवते
sp021-000565_14	लोके बहवः उत्तमाः मार्गाः सन्ति चेदपि भवान् तु क्षुल्लकसिद्धिप्रदर्शनेन जनान् वञ्चयन् कालम् यापयति
sp021-000566_14	किम् एतत् प्रशस्तम् कार्यम् स्यात्
sp021-000567_14	भवतः कार्यात् अपि मम एतत् कार्यम् वरम्
sp021-000568_14	कस्यापि हानिकरम् तु नास्ति भवतः कार्यम् इव इति
sp021-000569_14	एतस्य श्रवणात् सः योगी आश्चर्येण स्तब्धः
sp021-000570_14	सः चिन्तितवान् अहम् बहुत्र अटित्वा एताः सिद्धीः प्राप्तवान्
sp021-000571_14	किन्तु मया क्रियमाणम् एतत् सर्वम् रन्ध्रयुतेन घटेन क्रियमाणम् जलसेचनम् इव किम् व्यर्थम् एव
sp021-000572_14	एषः मम नेत्रे उन्मीलितवान्
sp021-000573_14	अतः एषः सामान्यः न
sp021-000574_14	मम गुरुः एव अयम् इति
sp021-000575_14	ततः सः झटिति तस्य वृद्धस्य पादौ गृहीत्वा साष्टाङ्गनमस्कारम् कृत्वा
sp021-000576_14	महात्मन् माम् तव शिष्यत्वेन स्वीकुरु कृपया इति प्रार्थितवान्
sp021-000577_14	तदीयाम् प्रार्थनाम् पुरस्कुर्वन् सः वृद्धः तदानीमेव तम् योगिनम् शिष्यत्वेन अङ्गीकृतवान्
sp021-000578_14	ततः तौ उभौ अपि भगवतः विष्णोः सेवायाम् मग्नौ जातौ
sp021-000579_14	सः वृद्धः एव पेयाल्वार् इति ख्यातः
sp021-000580_14	तस्य शिष्यः तिरुमलिसै आल्वार इति विख्यातः अभवत्
sp021-000581_15	विचिन्त्य वक्तव्यम्
sp021-000582_15	डाक्टर् गोपालनारायणशर्मा
sp021-000583_15	कश्चन ग्रामः
sp021-000584_15	तत्र निवसति स्म कश्चन वृद्धः
sp021-000585_15	तस्य प्रतिवेशी आसीत् कश्चन युवकः
sp021-000586_15	युवकस्य नाम मेधांशः इति
sp021-000587_15	मेधांशस्य तस्य वृद्धस्य च सम्बन्धः उत्तमः न आसीत्
sp021-000588_15	एकस्मिन् दिने ग्रामधनिकस्य गृहे चौर्यम् अभवत्
sp021-000589_15	मेधांशेन एव एतत् कृतम् इति ग्रामे सर्वत्र पुनः पुनः सर्वान् अकथयत् वृद्धः
sp021-000590_15	ग्रामीणाः तस्य वचने विश्वासम् प्राप्तवन्तः
sp021-000591_15	अतः ते आरक्षकान् उक्त्वा युवकस्य बन्धनम् कारितवन्तः
sp021-000592_15	परम् अधिकारिणः यदा अस्य चौर्यस्य सत्यासत्यताम् परीक्षितवन्तः
sp021-000593_15	तदा ज्ञातम् यत् अयम् तरुणः दोषरहितः इति
sp021-000594_15	अतः युवकः कारागारात् मुक्तः अभवत्
sp021-000595_15	परम् ग्रामीणानाम् हृदये तस्य युवकस्य विषये यथापूर्वम् आदरः न दृष्टः
sp021-000596_15	ते तेन सह सम्भाषणविषये सङ्कोचम् अनुभूतवन्तः
sp021-000597_15	युवकः ग्रामीणानाम् एतेन व्यवहारेण आहतः खिन्नः च अभवत्
sp021-000598_15	सः वृद्धम् अभाययत्
sp021-000599_15	तव कारणतः एव ग्रामे मम विषये अनादरः समुत्पन्नः अस्ति
sp021-000600_15	अहम् त्वाम् हनिष्यामि पश्य इति
sp021-000601_15	एतत् असहमानः वृद्धः राजानम् दृष्ट्वा
sp021-000602_15	अयम् दुष्टः त्वाम् हनिष्यामि इति माम् भाययति इति अवदत्
sp021-000603_15	नृपः तरुणम् आनाय्य तदीयम् कथनम् अपि अशृणोत्
sp021-000604_15	अन्ते सः वृद्धम् उक्तवान्
sp021-000605_15	आदौ दोषः तु भवता एव कृतः
sp021-000606_15	तस्य परिणामरूपेण अयम् युवकः भायनम् अकरोत्
sp021-000607_15	राज्ञः एतम् निर्णयम् पुरस्कुर्वन् युवकः तु क्षमायाचनाम् कृतवान्
sp021-000608_15	परम् क्षमायाचनाम् निराकुर्वता वृद्धेन उक्तम्
sp021-000609_15	महाराज अहम् किमर्थम् क्षमायाचनाम् करवाणि
sp021-000610_15	अस्य चौर्यकर्मणः वार्ता मया तु सम्पूर्णे ग्रामे नैव प्रसारिता
sp021-000611_15	नृपः उक्तवान्
sp021-000612_15	अस्य युवकस्य विषये भवान् यत् उक्तवान् तत् युक्तम् एव
sp021-000613_15	भवतः एतम् एव आशयम् कृपया एकस्मिन् कागदे लिखित्वा ददातु इति
sp021-000614_15	वृद्धः एकस्मिन् कागदे स्वस्य आशयम् लिखित्वा नृपाय दत्तवान्
sp021-000615_15	नृपः तत् कागदम् अनेकशः खण्डयित्वा वृद्धाय दत्त्वा उक्तवान्
sp021-000616_15	इमान् खण्डान् बहिः गत्वा पवने क्षिप इति
sp021-000617_15	वृद्धः तथैव अकरोत्
sp021-000618_15	ततः राजा तम् आदिशत्
sp021-000619_15	सर्वान् अपि कागदखण्डान् सङ्गृह्य भवान् श्वः मम समक्षम् आनयेत्
sp021-000620_15	एकोऽपि खण्डः परित्यक्तः न भवेत् इति
sp021-000621_15	वृद्धः द्वितीये दिने खण्डान् गृहीत्वा राजानम् दृष्ट्वा उक्तवान्
sp021-000622_15	महाराज सर्वेषाम् खण्डानाम् सङ्ग्रहणे अहम् न शक्तः
sp021-000623_15	यतः पवनवेगः तीव्रः आसीत्
sp021-000624_15	केचन पवनेन क्वापि नीताः
sp021-000625_15	ते न प्राप्ताः एव इति
sp021-000626_15	तदा राजा अवदत्
sp021-000627_15	वचनानि अपि कागदखण्डाः इव एव भवन्ति
sp021-000628_15	एकस्य मुखात् निर्गताः ते अन्येषाम् मुखानि कथम् प्राप्नुवन्ति इत्यस्य अवगमनमेव दुष्करम्
sp021-000629_15	अत एव यस्य विषयस्य पूर्णज्ञानम् अस्माकम् न स्यात्
sp021-000630_15	तस्य विषये असमीचीनम् वचनम् कदापि न वक्तव्यम्
sp021-000631_15	वृद्धेन स्वस्य दोषम् अङ्गीकृत्य क्षमायाचना कृता
sp021-000632_16	चिन्तनमात्रात् न हानिः
