sp023-000001_001	ब्रह्मसूत्रे प्रथमाध्याये प्रथमः पादः
sp023-000244_003	तस्मात् सिद्धम् ब्रह्मणः शास्त्रप्रमाणकत्वम्
sp023-000245_003	अत्र अपरे प्रत्यवतिष्ठन्ते
sp023-000246_003	यद्यपि शास्त्रप्रमाणकम् ब्रह्म तथापि प्रतिपत्तिविधिविषयतयैव शास्त्रेण ब्रह्म समर्प्यते
sp023-000247_003	यथा यूप आहवनीयादीनि अलौकिकान्यपि विधिशेषतया शास्त्रेण समर्प्यन्ते तद्वत्
sp023-000248_003	कुत एतत् प्रवृत्तिनिवृत्तिप्रयोजनपरत्वाच्छास्त्रस्य
sp023-000249_003	तथा हि शास्त्रतात्पर्यविदामनुक्रमणम्
sp023-000250_003	अतः पुरुषम् क्वचिद्विषयविशेषे प्रवर्तयत् कुतश्चिद्विषयविशेषात् निवर्तयच्च अर्थवच्छास्त्रम्
sp023-000251_003	तच्छेषतया च अन्यदुपयुक्तम्
sp023-000252_003	तत्सामान्यात् वेदान्तानामपि तथैव अर्थवत्त्वम् स्यात्
sp023-000253_003	सति च विधिपरत्वे यथा स्वर्गादिकामस्य अग्निहोत्रादिसाधनम् विधीयते
sp023-000254_003	एवम् अमृतत्वकामस्य ब्रह्मज्ञानम् विधीयत इति युक्तम्
sp023-000255_003	ननु इह जिज्ञास्यवैलक्षण्यमुक्तम्
sp023-000256_003	कर्मकाण्डे भव्यो धर्मो जिज्ञास्यः
sp023-000257_003	इह तु भूतम् नित्यनिर्वृत्तम् ब्रह्म जिज्ञास्यमिति
sp023-000258_003	तत्र धर्मज्ञानफलात् अनुष्ठान अपेक्षाद्विलक्षणम् ब्रह्मज्ञानफलम् भवितुमर्हति
sp023-000259_003	नार्हत्येवम् भवितुम्
sp023-000260_003	कार्यविधिप्रयुक्तस्यैव ब्रह्मणः प्रतिपाद्यमानत्वात्
sp023-000261_003	इत्यादिषु विधानेषु सत्सु
sp023-000262_003	कोऽसावात्मा किम् तद्ब्रह्म इत्याकाङ्क्षायाम् तत्स्वरूपसमर्पणेन सर्वे वेदान्ता उपयुक्ताः
sp023-000263_003	नित्यः सर्वज्ञः सर्वगतो नित्यतृप्तो नित्यशुद्धबुद्धमुक्तस्वभावो विज्ञानमानन्दम् ब्रह्म इत्येवमादयः
sp023-000264_003	तदुपासनाच्च शास्त्रदृष्टो अदृष्टो मोक्षः फलम् भविष्यति
sp023-000265_003	कर्तव्यविधि अननुप्रवेशे तु वस्तुमात्रकथने हानोपादानासम्भवात्
sp023-000266_003	इत्यादिवाक्यवत् वेदान्तवाक्यानामानर्थक्यमेव स्यात्
sp023-000267_003	ननु वस्तुमात्रकथनेऽपि रज्जुरियम् नायम् सर्पः इत्यादौ भ्रान्तिजनितभीतिनिवर्तनेन अर्थवत्त्वम् दृष्टम्
sp023-000268_003	तथा इहापि असंसारि आत्मवस्तुकथनेन संसारित्वभ्रान्तिनिवर्तनेन अर्थवत्त्वम् स्यात्
sp023-000269_003	स्यादेतदेवम् यदि रज्जुस्वरूपश्रवणमात्रेणेव सर्पभ्रान्तिः
sp023-000270_003	संसारित्वभ्रान्तिर्ब्रह्मस्वरूपश्रवणमात्रेण निवर्तेत
sp023-000271_003	न तु निवर्तते
sp023-000272_003	श्रुतब्रह्मणोऽपि यथापूर्वम् सुखदुःखादिसंसारिधर्मदर्शनात्
sp023-000273_003	तस्मात् प्रतिपत्तिविधिविषयतयैव शास्त्रप्रमाणकम् ब्रह्म अभ्युपगन्तव्यम् इति
sp023-000274_003	अत्र अभिधीयते न
sp023-000275_003	कर्मब्रह्मविद्याफलयोर्वैलक्षण्यात्
sp023-000276_003	शारीरम् वाचिकम् मानसम् च कर्म श्रुतिस्मृतिसिद्धम् धर्माख्यम्
sp023-000277_003	अधर्मोऽपि हिंसादिः प्रतिषेधचोदनालक्षणत्वाज्जिज्ञास्यः परिहाराय
sp023-000278_003	तयोश्चोदनालक्षणयोर् अर्थ अनर्थयोर् धर्माधर्मयोः फले प्रत्यक्षे सुखदुःखे शरीरवाङ्मनोभिरेव उपभुज्यमाने विषयेन्द्रियसंयोगजन्ये ब्रह्मादिषु स्थावरान्तेषु प्रसिद्धे
sp023-000279_003	मनुष्यत्वादारभ्य ब्रह्मान्तेषु देहवत्सु सुखतारतम्यम् अनुश्रूयते
sp023-000280_003	ततश्च तद्धेतोर्धर्मस्यापि तारतम्यम् गम्यते
sp023-000281_003	धर्मतारतम्यात् अधिकारितारतम्यम्
sp023-000282_003	प्रसिद्धम् च अर्थित्वसामर्थ्यादिकृतम् अधिकारितारतम्यम्
sp023-000283_003	तथा च यागादि अनुष्ठायिनामेव विद्यासमाधिविशेषादुत्तरेण पथा गमनम्
sp023-000284_003	केवलैरिष्टापूर्तदत्तसाधनैर्धूमादिक्रमेण दक्षिणेन पथा गमनम्
sp023-000285_003	तत्रापि सुखतारतम्यम्
sp023-000286_003	तत्साधनतारतम्यम् च शास्त्रात्
sp023-000287_003	तथा मनुष्यादिषु स्थावरान्तेषु सुखलवः चोदनालक्षणधर्मसाध्य एव इति गम्यते तारतम्येन वर्तमानः
sp023-000288_003	तथा ऊर्ध्वगतेषु अधोगतेषु च देहवत्सु दुःखतारतम्यदर्शनात् तद्धेतोरधर्मस्य प्रतिषेधचोदनालक्षणस्य तदनुष्ठायिनाम् च तारतम्यम् गम्यते
sp023-000289_003	एवम् अविद्यादिदोषवताम् धर्माधर्मतारतम्यनिमित्तम् शरीरोपादानपूर्वकम् सुखदुःखतारतम्यम् अनित्यम् संसाररूपम् श्रुतिस्मृतिन्यायप्रसिद्धम्
sp023-000290_003	इति यथावर्णितम् संसाररूपम् अनुवदति
sp023-000291_003	इति प्रियाप्रियस्पर्शनप्रतिषेधात् चोदनालक्षणधर्मकार्यत्वम् मोक्षाख्यस्य अशरीरत्वस्य प्रतिषिध्यत इति गम्यते
sp023-000292_003	धर्मकार्यत्वे हि प्रियाप्रियस्पर्शनप्रतिषेधो न उपपद्येत
sp023-000293_003	अशरीरत्वमेव धर्मकार्यमिति चेत् न
sp023-000294_003	तस्य स्वाभाविकत्वात्
sp023-000295_003	अत एव अनुष्ठेयकर्मफलविलक्षणम् मोक्षाख्यम् अशरीरत्वम् नित्यमिति सिद्धम्
sp023-000296_003	तत्र किञ्चित्परिणामिनित्यम् यस्मिन्विक्रियमाणेऽपि तदेव इदमिति बुद्धिर्न विहन्यते
sp023-000297_003	यथा पृथिव्यादि जगन्नित्यत्ववादिनाम्
sp023-000298_003	यथा वा साङ्ख्यानाम् गुणाः
sp023-000299_003	इदम् तु पारमार्थिकम् कूटस्थनित्यम् व्योमवत्सर्वव्यापि सर्वविक्रियारहितम् नित्यतृप्तम् निरवयवम् स्वयञ्ज्योतिःस्वभावम्
sp023-000300_003	यत्र धर्माधर्मौ सह कार्येण कालत्रयम् च नोपावर्तेते
sp023-000301_003	तदेतदशरीरत्वम् मोक्षाख्यम्
sp023-000302_003	अतस्तद्ब्रह्म यस्येयम् जिज्ञासा प्रस्तुता
sp023-000303_003	तद्यदि कर्तव्यशेषत्वेन उपदिश्येत तेन च कर्तव्येन साध्यश्चेन्मोक्षो अभ्युपगम्येत अनित्य एव स्यात्
sp023-000304_003	तत्रैवम् सति यथोक्तकर्मफलेष्वेव तारतम्य अवस्थितेषु अनित्येषु कश्चिदतिशयो मोक्ष इति प्रसज्येत
sp023-000305_003	नित्यश्च मोक्षः सर्वैर्मोक्षवादिभिरभ्युपगम्यते
sp023-000306_004	अतो न कर्तव्यशेषत्वेन ब्रह्मोपदेशो युक्तः
sp023-000307_004	इत्येवमाद्याः श्रुतयो ब्रह्मविद्यानन्तरमेव मोक्षम् दर्शयन्त्यो मध्ये कार्यान्तरम् वारयन्ति
sp023-000308_004	इति ब्रह्मदर्शनसर्वात्मभावयोर्मध्ये कर्तव्यान्तरवारणाय उदाहार्यम्
sp023-000309_004	यथा तिष्ठन्गायति इति तिष्ठतिगायत्योर्मध्ये तत्कर्तृकम् कार्यान्तरम् नास्तीति गम्यते
sp023-000310_004	इति चैवमाद्याः श्रुतयो मोक्षप्रतिबन्धनिवृत्तिमात्रमेव आत्मज्ञानस्य फलम् दर्शयन्ति
sp023-000311_004	तथा च आचार्यप्रणीतम् न्यायोपबृंहितम् सूत्रम्
sp023-000312_004	मिथ्याज्ञानापायश्च ब्रह्मात्मैकत्वविज्ञानाद्भवति
sp023-000313_004	न च इदम् ब्रह्मात्मैकत्वविज्ञानम् सम्पद्रूपम्
sp023-000314_004	इति च मनआदित्यादिषु ब्रह्मदृष्ट्यध्यासः
sp023-000315_004	नापि विशिष्टक्रियायोगनिमित्तम्
sp023-000316_004	नापि आज्य आवेक्षणादिकर्मवत् कर्माङ्गसंस्काररूपम्
sp023-000317_004	सम्पदादिरूपे हि ब्रह्मात्मैकत्वविज्ञाने अभ्युपगम्यमाने
sp023-000318_004	इति चैवमादीनि अविद्यानिवृत्तिफलश्रवणानि उपरुध्येरन्
sp023-000319_004	तस्मात् न सम्पदादिरूपम् ब्रह्म आत्मैकत्वविज्ञानम्
sp023-000320_004	अतो न पुरुषव्यापारतन्त्रा ब्रह्मविद्या
sp023-000321_004	किम् तर्हि प्रत्यक्षादिप्रमाणविषयवस्तुज्ञानवत् वस्तुतन्त्रैव
sp023-000322_004	एवम्भूतस्य ब्रह्मणस्तज्ज्ञानस्य च न कयाचिद्युक्त्या शक्यः कार्यानुप्रवेशः कल्पयितुम्
sp023-000323_004	न च विदिक्रियाकर्मत्वेन कार्यानुप्रवेशो ब्रह्मणः
sp023-000324_004	तथा उपास्तिक्रियाकर्मत्वप्रतिषेधोऽपि भवति
sp023-000325_004	अविषयत्वे ब्रह्मणः शास्त्रयोनित्वानुपपत्तिरिति चेत् न
sp023-000326_004	अविद्याकल्पितभेदनिवृत्तिपरत्वाच्छास्त्रस्य
sp023-000327_004	न हि शास्त्रम् इदन्तया विषयभूतम् ब्रह्म प्रतिपिपादयिषति
sp023-000328_004	अतो अविद्याकल्पितसंसारित्वनिवर्तनेन नित्यमुक्त आत्मस्वरूपसमर्पणात् न मोक्षस्य अनित्यत्वदोषः
sp023-000329_004	यस्य तु उत्पाद्यो मोक्षः तस्य मानसम् वाचिकम् कायिकम् वा कार्यमपेक्षत इति युक्तम्
sp023-000330_004	तथा विकार्यत्वे च
sp023-000331_004	तयोः पक्षयोर्मोक्षस्य ध्रुवमनित्यत्वम्
sp023-000332_004	न हि दध्यादि विकार्यम् उत्पाद्यम् वा घटादि नित्यम् दृष्टम् लोके
sp023-000333_004	न च आप्यत्वेनापि कार्यापेक्षा स्वात्मस्वरूपत्वे सति अनाप्यत्वात्
sp023-000334_004	स्वरूपव्यतिरिक्तत्वेऽपि ब्रह्मणो नाप्यत्वम् सर्वगतत्वेन नित्य आप्तस्वरूपत्वात् सर्वेण ब्रह्मण आकाशस्येव
sp023-000335_004	नापि संस्कार्यो मोक्षः येन व्यापारमपेक्षेत
sp023-000336_004	संस्कारो हि नाम संस्कार्यस्य गुणाधानेन वा स्यात् दोष अपनयनेन वा
sp023-000337_004	न तावद्गुणाधानेन सम्भवति अनाधेय अतिशयब्रह्मस्वरूपत्वान्मोक्षस्य
sp023-000338_004	नापि दोष अपनयनेन नित्यशुद्धब्रह्मस्वरूपत्वात् मोक्षस्य
sp023-000339_004	स्वात्मधर्म एव सन् तिरोभूतो मोक्षः क्रिय आत्मनि संस्क्रियमाणे अभिव्यज्यते
sp023-000340_004	यथा आदर्शे निघर्षणक्रियया संस्क्रियमाणे भास्वरत्वम् धर्म इति चेत् न
sp023-000341_004	क्रियाश्रयत्व अनुपपत्तेरात्मनः
sp023-000342_004	यदाश्रया हि क्रिया तम् अविकुर्वती नैवात्मानम् लभते
sp023-000343_004	यद्यात्मा क्रियया विक्रियेत अनित्यत्वमात्मनः प्रसज्येत
sp023-000344_004	तच्च अनिष्टम्
sp023-000345_004	तस्मात् न स्वाश्रया क्रिया आत्मनः सम्भवति
sp023-000346_004	अन्याश्रयायास्तु क्रियाया अविषयत्वात् न तया आत्मा संस्क्रियते
sp023-000347_004	ननु देहाश्रयया स्नान आचमनयज्ञोपवीतधारणादिकया क्रियया देही संस्क्रियमाणो दृष्टः न
sp023-000348_004	देहादिसंहतस्यैव अविद्यागृहीतस्यात्मनः संस्क्रियमाणत्वात्
sp023-000349_004	प्रत्यक्षम् हि स्नान आचमनादेर् देहसमवायित्वम्
sp023-000350_004	तया देहाश्रयया तत्संहत एव कश्चिद् अविद्यया आत्मत्वेन परिगृहीतः संस्क्रियत इति युक्तम्
sp023-000351_004	यथा देहाश्रयचिकित्सानिमित्तेन धातुसाम्येन तत्संहतस्य तदभिमानिनः आरोग्यफलम्
sp023-000352_004	अहमरोगः इति यत्र बुद्धिरुत्पद्यते
sp023-000353_004	स च देहेन संहत एव
sp023-000354_004	तेनैव हि अहङ्कर्त्रा अहम्प्रत्ययविषयेण प्रत्ययिना सर्वाः क्रियाः निर्वर्त्यन्ते
sp023-000355_004	एतौ मन्त्रौ अनाधेय अतिशयताम् नित्यशुद्धताम् च ब्रह्मणो दर्शयतः
sp023-000356_004	ब्रह्मभावश्च मोक्षः
sp023-000357_004	तस्मात् न संस्कार्योऽपि मोक्षः
sp023-000358_004	अतो अन्यत् मोक्षम् प्रति क्रियानुप्रवेशद्वारम् न शक्यम् केनचिद्दर्शयितुम्
sp023-000359_004	तस्मात् ज्ञानमेकम् मुक्त्वा क्रियायाः गन्धमात्रस्यापि अनुप्रवेशः इह न उपपद्यते
sp023-000360_004	ननु ज्ञानम् नाम मानसी क्रिया न
sp023-000361_004	वैलक्षण्यात्
sp023-000362_004	क्रिया हि नाम सा यत्र वस्तुस्वरूपनिरपेक्षैव चोद्यते
sp023-000363_004	पुरुषचित्तव्यापाराधीना च
sp023-000364_004	ध्यानम् चिन्तनम् यद्यपि मानसम् तथापि पुरुषेण कर्तुम् अकर्तुम् अन्यथा वा कर्तुम् शक्यम् पुरुषतन्त्रत्वात्
sp023-000365_004	ज्ञानम् तु प्रमाणजन्यम्
sp023-000366_004	प्रमाणम् च यथाभूतवस्तुविषयम्
sp023-000367_004	अतो ज्ञानम् कर्तुम् अकर्तुमन्यथा वा कर्तुमशक्यम्
sp023-000368_004	केवलम् वस्तुतन्त्रमेव तत्
sp023-000369_004	न चोदनातन्त्रम् नापि पुरुषतन्त्रम्
sp023-000370_004	तस्मात् मानसत्वेऽपि ज्ञानस्य महद्वैलक्षण्यम्
sp023-000371_004	इत्यत्र योषित्पुरुषयोरग्निबुद्धिर्मानसी भवति
sp023-000372_004	केवलचोदनाजन्यत्वात् क्रियैव सा पुरुषतन्त्रा च
sp023-000373_004	या तु प्रसिद्धे अग्नौ अग्निबुद्धिः न सा चोदनातन्त्रा
sp023-000374_004	नापि पुरुषतन्त्रा
sp023-000375_004	किम् तर्हि प्रत्यक्षविषयवस्तुतन्त्रैवेति ज्ञानमेवैतत्
sp023-000376_004	न क्रिया एवम् सर्वप्रमाणविषयवस्तुषु वेदितव्यम्
sp023-000377_004	तत्रैवम् सति यथाभूतब्रह्मात्मविषयमपि ज्ञानम् न चोदनातन्त्रम्
sp023-000378_004	तद्विषये लिङ्गादयः श्रूयमाणा अपि अनियोज्यविषयत्वात् कुण्ठीभवन्ति उपलादिषु प्रयुक्तक्षुरतैक्ष्ण्यादिवत्
sp023-000379_004	अहेय अनुपादेयवस्तुविषयत्वात्
sp023-000380_004	स्वाभाविकप्रवृत्तिविषयविमुखीकरणार्थानीति ब्रूमः
sp023-000381_004	यो हि बहिर्मुखः प्रवर्तते पुरुषः
sp023-000382_004	न च तत्र आत्यन्तिकम् पुरुषार्थम् लभते
sp023-000383_004	तम् आत्यन्तिकपुरुषार्थवाञ्छिनम् स्वाभाविका कार्यकरणसङ्घातप्रवृत्तिगोचरात् विमुखीकृत्य प्रत्यगात्मस्रोतस्तया प्रवर्तयन्ति
sp023-000384_004	आत्मा वा अरे द्रष्टव्यः इत्यादीनि
sp023-000385_004	तस्य आत्मान्वेषणाय प्रवृत्तस्य अहेयम् अनुपादेयम् च आत्मतत्त्वमुपदिश्यते
sp023-000386_004	यदपि अकर्तव्यप्रधानम् आत्मज्ञानम् हानाय उपादानाय वा न भवतीति तत्तथैव इति अभ्युपगम्यते
sp023-000387_004	अलङ्कारो हि अयमस्माकम् यद्ब्रह्मात्म अवगतौ सत्याम् सर्वकर्तव्यताहानिः कृतकृत्यता चेति
sp023-000388_004	तस्मात् न प्रतिपत्तिविधिविषयतया ब्रह्मणः समर्पणम्
sp023-000389_005	यदपि केचिदाहुः प्रवृत्तिनिवृत्तिविधितच्छेषव्यतिरेकेण केवलवस्तुवादी वेदभागो नास्तीति तन्न
sp023-000390_005	औपनिषदस्य पुरुषस्य अनन्यशेषत्वात्
sp023-000391_005	यो असौ उपनिषत्स्वेव अधिगतः पुरुषो असंसारी ब्रह्मस्वरूपः उत्पाद्यादिचतुर्विधद्रव्यविलक्षणः स्वप्रकरणस्थो अनन्यशेषः
sp023-000392_005	नासौ नास्ति न अधिगम्यत इति वा शक्यम् वदितुम्
sp023-000393_005	य एव निराकर्ता तस्यैव आत्मत्वात्
sp023-000394_005	ननु आत्मा अहम्प्रत्ययविषयत्वात् उपनिषत्स्वेव विज्ञायत इति अनुपपन्नम्
sp023-000395_005	न तत्साक्षित्वेन प्रत्युक्तत्वात्
sp023-000396_005	न हि अहम्प्रत्ययविषयकर्तृव्यतिरेकेण तत्साक्षी सर्वभूतस्थः सम एकः कूटस्थनित्यः पुरुषो विधिकाण्डे तर्कसमये वा केनचित् अधिगतः सर्वस्यात्मा
sp023-000397_005	अतः स न केनचित् प्रत्याख्यातुम् शक्यः
sp023-000398_005	विधिशेषत्वम् वा नेतुम्
sp023-000399_005	आत्मत्वादेव च सर्वेषाम्
sp023-000400_005	न हेयो नापि उपादेयः
sp023-000401_005	सर्वम् हि विनश्यद्विकारजातम् पुरुषान्तम् विनश्यति
sp023-000402_005	पुरुषो हि विनाशहेत्वभावात् अविनाशी
sp023-000403_005	विक्रियाहेत्वभावाच्च कूटस्थनित्यः
sp023-000404_005	अत एव नित्यशुद्धबुद्धमुक्तस्वभावः
sp023-000405_005	अतो भूतवस्तुपरो वेदभागो नास्तीति वचनम् साहसमात्रम्
sp023-000406_005	यदपि शास्त्रतात्पर्यविदामनुक्रमणम्
sp023-000407_005	तत् धर्मजिज्ञासाविषयत्वात् विधिप्रतिषेधशास्त्र अभिप्रायम् द्रष्टव्यम्
sp023-000408_005	प्रवृत्तिनिवृत्तिविधितच्छेषव्यतिरेकेण भूतम् चेद्वस्तूपदिशति भव्यार्थत्वेन कूटस्थनित्यम् भूतम् न उपदिशतीति को हेतुः
sp023-000409_005	न हि भूतम् उपदिश्यमानम् क्रिया भवति
sp023-000410_005	अक्रियात्वेऽपि भूतस्य क्रियासाधनत्वात् क्रियार्थ एव भूतोपदेश इति चेत् नैष दोषः
sp023-000411_005	क्रियार्थत्वम् तु प्रयोजनम् तस्य
sp023-000412_005	न च एतावता वस्त्वनुपदिष्टम् भवति
sp023-000413_005	यदि नाम उपदिष्टम् किम् तव तेन स्यादिति उच्यते
sp023-000414_005	अनवगत आत्मवस्तूपदेशश्च तथैव भवितुमर्हति
sp023-000415_005	तदवगत्या मिथ्याज्ञानस्य संसारहेतोर्निवृत्तिः प्रयोजनम् क्रियत इत्यविशिष्टम् अर्थवत्त्वम् क्रियासाधनवस्तु उपदेशेन
sp023-000416_005	इति चैवमाद्या निवृत्तिरुपदिश्यते
sp023-000417_005	न च सा क्रिया
sp023-000418_005	नापि क्रियासाधनम्
sp023-000419_005	अक्रियार्थानाम् उपदेशो अनर्थकश्चेत्
sp023-000420_005	तच्चानिष्टम्
sp023-000421_005	न च स्वभावप्राप्तहन्त्यर्थानुरागेण नञः शक्यम् अप्राप्तक्रियार्थत्वम् कल्पयितुम् हननक्रियानिवृत्त्यौदासीन्यव्यतिरेकेण
sp023-000422_005	नञश्च एष स्वभावः यत्स्वसम्बन्धिनो अभावम् बोधयतीति
sp023-000423_005	अभावबुद्धिश्च औदासीन्यकारणम्
sp023-000424_005	सा च दग्धेन्धन अग्निवत् स्वयमेव उपशाम्यति
sp023-000425_005	तस्मात् प्रसक्तक्रियानिवृत्त्यौदासीन्यमेव ब्राह्मणो न हन्तव्यः इत्यादिषु प्रतिषेधार्थम् मन्यामहे
sp023-000426_005	अन्यत्र प्रजापतिव्रतादिभ्यः
sp023-000427_005	तस्मात् पुरुषार्थ अनुपयोगि उपाख्यानादिभूतार्थवाद विषयम् आनर्थक्याभिधानम् द्रष्टव्यम्
sp023-000428_005	यदपि उक्तम् कर्तव्यविधि अनुप्रवेशमन्तरेण वस्तुमात्रमुच्यमानम् अनर्थकम् स्यात् सप्तद्वीपा वसुमती इत्यादिवदिति तत्परिहृतम्
sp023-000429_005	रज्जुरियम् नायम् सर्पः इति वस्तुमात्रकथनेऽपि प्रयोजनस्य दृष्टत्वात्
sp023-000430_005	ननु श्रुतब्रह्मणोऽपि यथापूर्वम् संसारित्वदर्शनात् न रज्जु स्वरूपकथनवत् अर्थवत्त्वमित्युक्तम्
sp023-000431_005	अत्र उच्यते न अवगतब्रह्मात्मभावस्य यथापूर्वम् संसारित्वम् शक्यम् दर्शयितुम् वेदप्रमाणजनितब्रह्मात्मभावविरोधात्
sp023-000432_005	न हि शरीरादि आत्माभिमानिनो दुःखभयादिमत्त्वम् दृष्टमिति तस्यैव वेदप्रमाणजनितब्रह्मात्मावगमे तदभिमाननिवृत्तौ तदेव मिथ्याज्ञाननिमित्तम् दुःखभयादिमत्त्वम् भवतीति शक्यम् कल्पयितुम्
sp023-000433_005	न हि धनिनो गृहस्थस्य धनाभिमानिनो धन अपहारनिमित्तम् दुःखम् दृष्टमिति तस्यैव प्रव्रजितस्य धनाभिमानरहितस्य तदेव धन अपहारनिमित्तम् दुःखम् भवति
sp023-000434_005	न च कुण्डलिनः कुण्डलित्वाभिमाननिमित्तम् सुखम् दृष्टमिति तस्यैव कुण्डलवियुक्तस्य कुण्डलित्वाभिमानरहितस्य तदेव कुण्डलित्वाभिमाननिमित्तम् सुखम् भवति
sp023-000435_005	शरीरे पतिते अशरीरत्वम् स्यात् न जीवत इति चेत् न
sp023-000436_005	सशरीरत्वस्य मिथ्याज्ञाननिमित्तत्वात्
sp023-000437_005	न हि आत्मनः शरीरात्माभिमानलक्षणम् मिथ्याज्ञानम् मुक्त्वा अन्यतः सशरीरत्वम् शक्यम् कल्पयितुम्
sp023-000438_005	नित्यम् अशरीरत्वम् अकर्मनिमित्तत्वादिति अवोचाम
sp023-000439_005	तत्कृतधर्माधर्मनिमित्तम् सशरीरत्वमिति चेत् न
sp023-000440_005	शरीरसम्बन्धस्य असिद्धत्वात् धर्माधर्मयोरात्मकृतत्वासिद्धेः शरीरसम्बन्धस्य धर्माधर्मयोस्तत्कृतत्वस्य च इतरेतर आश्रयत्वप्रसङ्गात्
sp023-000441_005	अन्धपरम्परा एषा अनादित्वकल्पना
sp023-000442_005	क्रियासमवायाभावाच्च आत्मनः कर्तृत्वानुपपत्तेः
sp023-000443_005	सन्निधानमात्रेण राजप्रभृतीनाम् दृष्टम् कर्तृत्वमिति चेत् न
sp023-000444_005	धनदानादि उपार्जितभृत्यसम्बन्धित्वात् तेषाम् कर्तृत्वोपपत्तेः
sp023-000445_005	न तु आत्मनो धनदानादिवच्छरीरादिभिः स्वस्वामिभावसम्बन्धनिमित्तम् किञ्चित् शक्यम् कल्पयितुम्
sp023-000446_005	मिथ्याभिमानस्तु प्रत्यक्षः सम्बन्धहेतुः
sp023-000447_005	एतेन यजमानत्वमात्मनो व्याख्यातम्
sp023-000448_005	अत्राहुः देहादिव्यतिरिक्तस्यात्मनः आत्मीये देहादौ अहम् अभिमानो गौणः न मिथ्येति चेत् न
sp023-000449_005	प्रसिद्धवस्तुभेदस्य गौणत्वमुख्यत्वप्रसिद्धेः
sp023-000450_005	यस्य हि प्रसिद्धो वस्तुभेदः यथा केसरादिमानाकृतिविशेषो अन्वयव्यतिरेकाभ्याम् सिंहशब्दप्रत्ययभाङ्मुख्यो अन्यः प्रसिद्धः
sp023-000451_005	ततश्च अन्यः पुरुषः प्रायिकैः क्रौर्यशौर्यादिभिः सिंहगुणैः सम्पन्नः सिद्धः तस्य तस्मिन्पुरुषे सिंहशब्दप्रत्ययौ गौणौ भवतः
sp023-000452_005	न अप्रसिद्धवस्तुभेदस्य
sp023-000453_005	तस्य तु अन्यत्र अन्यशब्दप्रत्ययौ भ्रान्तिनिमित्तावेव भवतः न गौणौ
sp023-000454_005	यथा मन्दान्धकारे स्थाणुरयमिति अगृह्यमाणविशेषे पुरुषशब्दप्रत्ययौ स्थाणुविषयौ
sp023-000455_005	यथा वा शुक्तिकायाम् अस्मत् रजतम् इदमिति निश्चितौ शब्दप्रत्ययौ तद्वद्देहादिसङ्घाते अहमिति निरुपचारेण शब्दप्रत्ययौ आत्मानात्माविवेकेन उत्पद्यमानौ कथम् गौणौ शक्यौ वदितुम्
sp023-000456_005	आत्मानात्म विवेकिनामपि पण्डितानाम् अजाविपालानामिव अविविक्तौ शब्दप्रत्ययौ भवतः
sp023-000457_005	तस्मात् देहादिव्यतिरिक्त आत्मास्तित्ववादिनाम् देहादौ अहम्प्रत्ययो मिथ्यैव न गौणः
sp023-000458_005	तस्मात् मिथ्याप्रत्ययनिमित्तत्वात् सशरीरत्वस्य सिद्धम् जीवतोऽपि विदुषो अशरीरत्वम्
sp023-000459_005	तथा च ब्रह्मविद्विषया श्रुतिः
sp023-000460_005	तस्मात् न अवगतब्रह्मात्मभावस्य यथापूर्वम् संसारित्वम्
sp023-000461_005	यस्य तु यथापूर्वम् संसारित्वम् नासौ अवगतब्रह्मात्मभाव इत्यनवद्यम्
sp023-000462_005	यत्पुनरुक्तम् श्रवणात्पराचीनयोर् मनननिदिध्यासनयोर् दर्शनात् विधिशेषत्वम् ब्रह्मणः
sp023-000463_005	न स्वरूपपर्यवसायित्वमिति तन्न
sp023-000464_005	श्रवणवत् अवगत्यर्थत्वात् मनननिदिध्यासनयोः
sp023-000465_005	यदि हि अवगतम् ब्रह्म अन्यत्र विनियुज्येत भवेत्तदा विधिशेषत्वम्
sp023-000466_005	न तु तदस्ति मनननिदिध्यासनयोरपि श्रवणवत् अवगत्यर्थत्वात्
sp023-000467_005	तस्मात् न प्रतिपत्तिविधिविषयतया शास्त्रप्रमाणकत्वम् ब्रह्मणः सम्भवतीत्यतः स्वतन्त्रमेव ब्रह्म शास्त्रप्रमाणकम् वेदान्तवाक्यसमन्वयादिति सिद्धम्
sp023-000468_005	इति तद्विषयः पृथक्शास्त्र आरम्भ उपपद्यते
sp023-000469_005	आरभ्यमाणम् च एवमारभ्येत
sp023-000470_005	ब्रह्मात्म ऐक्य अवगतिस्तु अप्रतिज्ञातेति तदर्थो युक्तः शास्त्रारम्भः
sp023-000471_005	अथातो ब्रह्मजिज्ञासा इति
sp023-000472_005	तस्मात् अहम् ब्रह्मास्मीत्येतदवसाना एव सर्वे विधयः सर्वाणि च इतराणि प्रमाणानि
sp023-000473_005	न हि अहेय अनुपादेय अद्वैतात्मावगतौ सत्याम्
sp023-000474_005	निर्विषयाणि अप्रमातृकाणि च प्रमाणानि भवितुमर्हन्ति इति
sp023-000475_006	एवम् तावत् वेदान्तवाक्यानाम् ब्रह्मात्म अवगतिप्रयोजनानाम् ब्रह्मात्मनि तात्पर्येण समन्वितानाम् अन्तरेणापि कार्यानुप्रवेशम् ब्रह्मणि पर्यवसानमुक्तम्
sp023-000476_006	ब्रह्म च सर्वज्ञम् सर्वशक्ति जगदुत्पत्तिस्थितिलयकारणमित्युक्तम्
