sp014-000001_001	वयम् इदानीम् पश्चात्तापपीडिताः स्मः
sp014-000252_007	स्वस्य क्रोधज्वालाम् कथञ्चित् निगृहीतवान् आसीत् सः
sp014-000253_007	इदानीम् अहम् पर्वतप्रदेशात् अधः अवतीर्य गच्छामि चेत् भवान्या सह स्वराज्यस्य विग्रहः अपि चूर्णीकृतः स्यात् इति सः सम्यक् अवगतवान् आसीत्
sp014-000254_007	तस्य दृष्टिः सर्वदा अन्तिमविजयस्य विषये एव
sp014-000255_007	तत् मनसि निधाय एव सः अविकम्पितया बुद्ध्या चिन्तयन् आसीत्
sp014-000256_007	एतस्य दैत्यस्य सम्मुखीकरणम् कथम्
sp014-000257_007	एतस्य अपारायाः सैन्यशक्तेः पुरतः मम मावळीबालानाम् शक्तिः अपर्याप्ता एव
sp014-000258_007	समतलप्रदेशे तस्य सम्मुखीकरणम् अशक्यमेव
sp014-000259_007	एवम् तर्हि कुत्र कथम् तस्य असुरस्य संहारः इति सः चिन्तयन् आसीत्
sp014-000260_007	एतेन एव सह कार्यम् साधयितुम् सः भवान्याः ध्यानमपि सततम् कुर्वन्नासीत्
sp014-000261_008	अन्ते सः सहकारिणः आहूय स्वस्य निर्णयम् श्रावितवान्
sp014-000262_008	सः निर्णयः अस्माकम् समस्तम् सैन्यम् युद्धार्थम् सज्जम् तिष्ठतु
sp014-000263_008	जावळीप्रदेशे खानम् सम्मुखी करवाम
sp014-000264_008	वयम् इदानीम् प्रतापदुर्गम् गच्छाम इति
sp014-000265_008	निर्णयम् श्रुत्वा शिवराजस्य सहकारिणाम् आतङ्कः अधिकः अभवत्
sp014-000266_008	तादृशम् दुःसाहसम् मास्तु
sp014-000267_008	सन्धिः कृतः चेत् अग्रे का गतिः स्यात् इति शिवराजः जानाति स्म
sp014-000268_008	खानम् सः सम्यक् अवगतवान् आसीत्
sp014-000269_008	खानेन सह सन्धिः नाम स्वराज्यस्य निमज्जनम् मम अन्त्यम् च इति सः ज्ञातवान् आसीत्
sp014-000270_008	अतः निर्धारपूर्वकम् सः स्वस्य जीवनध्येयम् विवृतवान्
sp014-000271_008	तदर्थमेव मम जन्म जातमस्ति इति
sp014-000272_008	तादृशे मृत्युमुखे स्थित्वा अपि शिवमहाराजस्य हृदये दुर्दम्यः आत्मविश्वासः
sp014-000273_008	स्वस्य जीवनकार्यस्य विषये अचला श्रद्धा
sp014-000274_008	तदारभ्य तन्त्रयुद्धम् आरब्धम्
sp014-000275_008	मकरस्य सिकतानामुपरि आकर्षणम् इव अफजलखानम् जावळी अरण्यम् प्रति आक्रष्टुम् इच्छति शिवराजः
sp014-000276_008	प्रथमरणनीतौ तु खानः पराजितः आसीत्
sp014-000277_008	इदानीम् द्वितीयम् प्रयत्नम् आरब्धवान् आसीत् सः
sp014-000278_008	स्वस्य सेनाशिबिरे विद्यमानम् शिवराजस्य श्यालम् पत्न्याः सहोदरम्
sp014-000279_008	बजाजिनिम्बाळकरम् बद्ध्वा आनायितवान् सः
sp014-000280_008	बजाजिः बिजापुरस्य निष्ठावान् सेवकः
sp014-000281_008	तस्य मुण्डनम् सुन्नत कारयित्वा गजस्य पादस्य अधः पातयित्वा मारणीयम् इति सङ्कल्पः आसीत् अफजलस्य
sp014-000282_008	इदानीम् वा श्यालस्य प्राणान् रक्षयितुम् शिवराजः धावन् आगच्छेत् इति अफजलस्य तन्त्रम् आसीत्
sp014-000283_008	किन्तु तदर्थम् शिवमहाराजेन प्रतितन्त्रम् चिन्तितम्
sp014-000284_008	खानस्य सैन्ये निम्बाळकरस्य आप्तः नायकजिराजेपाण्ढरेनामकः आसीत्
sp014-000285_008	शिव महाराजः तस्मै रहसि पत्रमेकम् प्रेषितवान्
sp014-000286_008	पाण्ढरेवर्ये निम्बाळकरविषयकम् प्रेम जागरितम् अभवत्
sp014-000287_008	सः साक्षात् अफजल्खानस्य शिबिरम् गतवान्
sp014-000288_008	निम्बाळकरस्य मोचनार्थम् अभियाचना कृता तेन
sp014-000289_008	एतस्मात् खानः सन्दिग्धस्थितौ अपतत्
sp014-000290_008	एते मराठनायकाः स्वधर्मनिष्ठाः स्वराज्यनिष्ठाः वा न स्युः कदाचित् किन्तु अहङ्कारनिष्ठाः निश्चयेन भवन्ति
sp014-000291_008	अतः एतैः सह जागरूकतया व्यवहरणीयम् इति सः जानाति स्म
sp014-000292_008	अतः युद्धरूपायाम् सूक्ष्मपरिस्थितौ
sp014-000293_008	नायकजिसदृशः वीरः अवमानितः चेत् अपायः स्यातेव इति विचिन्त्य सः षष्टि सहस्र नाणकानि दण्डशुल्करूपेण दत्तानि चेदेव बजाजेः मोचनम् इति सूचितवान्
sp014-000294_008	नायकजिः दण्डशुल्कम् दत्त्वा बजाजिम् मोचितवान्
sp014-000295_008	खानस्य द्वितीयम् तन्त्रमपि शून्ये एव विलीनम् अभवत्
sp014-000296_008	अन्तिमविजयस्य सन्नाहे सः लीनः आसीत्
sp014-000297_008	तस्मिन्नेव समये शिवराजस्य विषये प्रतीकारम् साधयितुम् अवसरम् प्रतीक्षमाणा काचित् व्यक्तिः आसीत्
sp014-000298_008	सा व्यक्तिः जावळ्याः प्रतापरावमोरे
sp014-000299_008	सः इदानीम् खानस्य आप्तः जातः आसीत्
sp014-000300_008	खानस्य साहाय्येन जावळीप्रदेशः शिवराजहस्ततः मुक्तः चेत् पुनः सः मम हस्तगतः भवेत् इति तस्य आन्तरिकी इच्छा
sp014-000301_008	खानेन सह सन्धिप्रस्तावः भवतु इति सर्वे अपि एककण्ठेन सूचितवन्तः
sp014-000302_008	पूर्वम् यथा श्रीरामः रावणस्य मर्दनम् कृतवान् श्रीकृष्णः कंसम् मारितवान् तथा एतम् दैत्यम् संहृत्य अहम् धर्मस्थापनम् करिष्यामि
sp014-000303_008	एतेन तस्य योजनायै आनुकूल्यम् एव अभवत्
sp014-000304_008	अनुक्षणम् सः महासेनापतिम् आहूय आज्ञापितवान्
sp014-000305_008	जावळ्याः घनारण्ये रहस्यरूपेण स्थातव्यम् इति
sp014-000306_008	शिवराजः प्रतापदुर्गम् गन्तुम् सिद्धः अभवत्
sp014-000307_008	आत्मना सह कैः आगन्तव्यम् इति सूचना अपि दत्ता
sp014-000308_009	स च मातुः जीजाबाय्याः आप्रच्छनम्
sp014-000309_009	पुत्रस्य आप्रच्छनविषये मातुः हृदये व्याकुलता सहजा एव खलु
sp014-000310_009	सामान्यया मात्रा तु पुत्रजननसमये प्रसववेदना अनुभूता चेत् तस्याः वेदनानुभवकष्टम् समाप्तमेव
sp014-000311_009	किन्तु वीरस्य मातरः तत्रापि शिवराजसदृशस्य मातरः वारम् वारम् तादृशीम् वेदनाम् अनुभवन्ति
sp014-000312_009	पुत्रः यदि विमुक्तः भवति तर्हि सः पुनर्जन्म प्राप्तवान् इति मातुः आनन्दः
sp014-000313_009	जीजाबाय्या तु एकमात्रपुत्रः मृत्युमुखम् प्रति प्रेषणीयः आसीत्
sp014-000314_009	तस्य प्रत्यागमनम् प्रार्थयन्त्या तूष्णीम् उपवेष्टव्यम् आसीत्
sp014-000315_009	पुत्र शिव मा गच्छ इति वक्तुम् उत्कण्ठा तस्याः
sp014-000316_009	किन्तु शिवराजस्य मात्रा सत्या तया कथम् वा तादृशम् वचनम् उच्येत
sp014-000317_009	सा एव तम् महाकार्ये प्रवर्तितवती आसीत् खलु
sp014-000318_009	सम्भाजिविषयकम् प्रतीकारम् मा विस्मर इति आशीर्वचनानि उक्तवती
sp014-000319_009	अन्तिमे क्षणे आप्रच्छनसमये मातुः मुखात् अग्रजस्य मारणस्य प्रतीकारस्य स्मारणम्
sp014-000320_009	शिवराजस्य जन्म तादृशे गर्भे एव भवितुम् अर्हम् खलु
sp014-000321_009	प्रस्थानात् पूर्वम् शिवमहाराजः पत्नीम् दृष्टवान्
sp014-000322_009	पुत्रम् सम्भाजिम् आलिङ्गितवान्
sp014-000323_009	ततः स्थिरमनस्कः कृतसङ्कल्पः च भूत्वा प्रतापदुर्गस्य दिशि पदानि अस्थापयत् सः
sp014-000324_010	स्वस्य आनुकूल्यम् यत्र आसीत् तादृशम् रणरङ्गम् प्रति शिवराजम् आनेतुम् खानः विफलः जातः आसीत्
sp014-000325_010	तन्नाम वर्षाकालः आरब्धः आसीत्
sp014-000326_010	तर्हि का गतिः
sp014-000327_010	सन्धेः व्याजेन शिवराजस्य आह्वानम् करणीयम्
sp014-000328_010	सः अङ्गीकरोति चेत् पर्याप्तम्
sp014-000329_010	अग्रिमम् कार्यम् बहु सुलभम्
sp014-000330_010	शिवराजः प्रतापदुर्गम् प्राप्तवान्
sp014-000331_010	प्रतिदिनम् अफ्जलस्य प्रचण्डसैन्यस्य सन्नाहवार्ताः तदीयम् कर्णपथम् आगच्छन्ति स्म
sp014-000332_010	स्वराज्ये यानि दुर्गाणि अन्तर्भूतानि आसन् तानि जित्वा नाशयन् आसीत् अफ्जलः
sp014-000333_010	तदा एव शिवमहाराजेन दारुणा वार्ता प्राप्ता यत् पत्नी सायीबाई दिवङ्गता इति
sp014-000334_010	न ज्ञायते मरणावस्थायाम् महाराजस्य कळ्याणम् कतिवारम् प्रार्थितवती स्यात् सा इति
sp014-000335_010	स्वराज्यस्य कण्टकः आदौ परिहरणीयः आसीत् तेन
sp014-000336_010	एकैकशः मावळीवीराः महाराजार्थम् प्राणसमर्पणम् कर्तुम् आगच्छन्तः आसन्
sp014-000337_010	तुळ्जापुरस्य पण्ढरापुरस्य कोल्हापुरस्य च विध्वंसेन क्रोधतप्ताः ते प्रतापदुर्गस्य मार्गम् आश्रितवन्तः आसन्
sp014-000338_010	भवान्याः अवमाननस्य प्रतीकारार्थम् तेषाम् रक्तम् क्वथति स्म
sp014-000339_010	तादृशाः सर्वे स्वस्य खड्गान् शूलानि च तेजयित्वा तेषाम् रक्तदाहम् शमयितुम् प्रतापदुर्गम् आगताः आसन्
sp014-000340_010	स्फोटार्थम् सिद्धः ज्वालामुखः इव ते अवसरम् प्रतीक्षमाणाः आसन्
sp014-000341_010	तावता कान्होजिः स्वस्य पञ्चभिः पुत्रैः द्वादशमावळप्रान्तप्रमुखैः च सह आगत्य समाविष्टः
sp014-000342_010	तेषाम् सर्वेषाम् आगमनेन प्रतापदुर्गम् वीरश्रिया पुलकितम् अभवत्
sp014-000343_010	शिवमहाराजस्य गूढचरव्यवस्था अत्यद्भुता आसीत्
sp014-000344_010	वायीनगरम् प्रति अफजल्खानस्य आगमनात् पूर्वमेव शिवमहाराजस्य गूढचराः तत्र वासम् आरब्धवन्तः आसन्
sp014-000345_010	खानस्य दूतः भूत्वा कृष्णाजीपन्तभास्करः शिवराजेन मेलितुम् प्रतापदुर्गम् प्रति प्रस्थितवान् अस्ति इति ते वार्ताम् प्रेषितवन्तः
sp014-000346_010	दुर्गे सर्वेषाम् कुतूहलम् चिन्ता च
sp014-000347_010	कृष्णाजीपन्तस्य स्वागतम् कथम् स्यात् इति विषये समग्रम् चिन्तनम् महाराजः एव कृतवान्
sp014-000348_010	निरीक्षानुसारम् कृष्णाजिपन्तः दुर्गस्य उपरि आगतवान्
sp014-000349_010	अत्यन्तम् आदरेण तस्य स्वागतम् कृतम्
sp014-000350_010	मित्रराज्यस्य राजदूताय इव
sp014-000351_010	सः महाराजस्य सम्मुखे अफजल्खानवर्यः वायीनगरम् प्रति आगतवानस्ति
sp014-000352_010	तयोः सम्बन्धः बहु उत्तमः अस्ति
sp014-000353_010	अतः खानवर्यस्य विषये भवता अन्यथा न भावनीयम्
sp014-000354_010	भवदीयानि दुर्गाणि सः भवते एव दास्यति
sp014-000355_010	भवान् सकृत् वायीम् आगत्य स्नेहसम्बन्धस्य शुभारम्भसूचकरूपेण खानवर्येण
sp014-000356_010	वितीर्णवान्
sp014-000357_010	खानेन लिखितम् पत्रम् कृष्णाजीपन्तः शिवमहाराजाय दत्तवान्
sp014-000358_010	श्वः पत्रस्य उत्तरम् दद्मः इति उक्त्वा शिवराजः कृष्णाजीपन्तभास्करम् आदरपूर्वकम् वसतिम् प्रति प्रेषितवान्
sp014-000359_010	अनन्तरम् दुर्गस्थाः सर्वे प्रमुखाः राजनीतिप्रमुखाः च एकत्र सम्मिळिताः
sp014-000360_010	तत्र खानस्य पत्रम् पठितम्
sp014-000361_010	किन्तु पत्रान्तर्गतः विषयः कृष्णाजेः कथनात् नितराम् भिन्नः आसीत्
sp014-000362_010	तयोः महत् वैपरीत्यम् आसीत्
sp014-000363_010	तस्मिन् पत्रे लिखितम् आसीत्
sp014-000364_010	अद्यावधि भवतः उपद्रवः वर्धमानः एव अस्ति
sp014-000365_010	भवान् उद्धतः सन् सर्वत्र विद्रोहम् कुर्वन् अस्ति
sp014-000366_010	मम सर्वे अपि शूरनायकाः भवन्तम् निर्मूलयितुम् माम् प्रेरयन्तः सन्ति
sp014-000367_010	खानस्य वास्तविकम् उद्धतरूपम् तस्य पत्रे द्रष्टुम् शक्यम् आसीत्
sp014-000368_010	एतस्य पत्रस्य उद्देशः कः इति शिवराजः झटिति ज्ञातवान्
sp014-000369_010	दुर्गाणि भूप्रदेशः वा आवश्यकः चेत् अफ्जल्खानः युद्धमेव अकरिष्यत्
sp014-000370_010	किन्तु तत्स्थाने सः मम मेलनम् इच्छति
sp014-000371_010	तदर्थम् प्रीतिम् च दर्शयन् अस्ति
sp014-000372_010	एतस्य अर्थः खानः दुर्गाणि भूमिम् वा न इच्छति
sp014-000373_010	माम् शिवराजम् एव इच्छति इति अवगतवान् सः
sp014-000374_010	शिवमहाराजः स्वस्य राजदूतम् चितवान्
sp014-000375_010	सप्ततिवर्षीयस्य तस्य एकैकः केशः अपि राजनीतिकारणतः एव पलितः आसीत्
sp014-000376_010	खानेन सह किम् किम् सम्भाषणीयम् इति शिवराजः तम् सूचितवान्
sp014-000377_010	खानस्य प्रतिनिधिम् कृष्णाजीभास्करम् विनयेन प्रणम्य शिवराजः मया जितानि दुर्गाणि प्रतिदातव्यानि इति खान्वर्यः आज्ञाप्य माम् सन्ध्यर्थम् आहूतवान् अस्ति
sp014-000378_010	मम विषये तस्य परमदयाळुता
sp014-000379_010	खानवर्यः नाम कः
sp014-000380_010	तस्य अग्निसदृशः पराक्रमः कीदृशः
sp014-000381_010	तेनैव अखिलस्य भूमण्डलस्य शोभा वर्धिता अस्ति
sp014-000382_010	किन्तु वायीम् प्रति आगन्तुम् मम बहु भयमस्ति
sp014-000383_010	अतः सः एव अत्र जावळीप्रदेशम् आगच्छतु मह्यम् अभयप्रदानम् च करोतु
sp014-000384_010	अत्र कापट्यम् नास्त्येव
sp014-000385_010	खानवर्यस्तु साक्षात् मम पितृव्यः इव
sp014-000386_010	अहम् अवश्यम् तस्य दर्शनम् करिष्यामि इति निवेदितवान्
sp014-000387_010	कृष्णाजिः अपि शिवराजम् वायीम् प्रति आनेतुम् बहुधा प्रयत्नम् कृतवान्
sp014-000388_010	किन्तु महाराजस्य एकः एव स्वरः
sp014-000389_010	तत्र आगन्तुम् मम भयम्
sp014-000390_010	अद्यावधि मया बहुविधाः अपराधाः कृताः सन्ति
sp014-000391_010	खान्वर्यः मम पितृतुल्यः
sp014-000392_010	सः एव आगत्य मम हस्तम् गृहीत्वा बादशाहस्य समीपम् नयतु इति
sp014-000393_010	खानस्य दूतः अपि शिवराजस्य वचनानि तथ्यपूर्णानि इति भावितवान्
sp014-000394_010	महाराजः तस्मै योग्यानि उपायनानि दत्त्वा प्रेषितवान्
sp014-000395_010	कृष्णाजीभास्करेण सह गोपीनाथपन्तमहोदयः अपि प्रस्थितवान्
sp014-000396_010	तेन सह खानाय कतिचन उत्कृष्टानि उपायनानि पत्रम् च आसीत्
sp014-000397_010	प्रस्थानात् पूर्वम् गोपीनाथमहोदयम् आहूय शिवराजः केनापि उपायेन खानम् जावळीम् आनेतुम् प्रयत्नम् करोतु
sp014-000398_010	कथञ्चित् तस्य अङ्गीकारम् प्राप्नोतु
sp014-000399_010	मम विषये खानस्य आन्तर्यम् किम् इति ज्ञात्वा आगच्छतु इति सूचितवान्
sp014-000400_011	गोपीनाथवर्यस्य तीक्ष्णा दृष्टिः खानस्य सैन्यम् माति स्म
sp014-000401_011	बलाढ्यम् आढ्यम् च आसीत् तदीयम् सैन्यम्
sp014-000402_011	गोपीनाथमहोदयस्य पुरतः कौपीनधारिणाम् अर्धनग्नानाम् मावळीसैनिकानाम् चित्रम् आगतम्
sp014-000403_011	मम पत्रस्य उत्तररूपेण शिवराजः किम् उक्तवान् स्यात् इति अफजलस्य चिन्ता
sp014-000404_011	कृष्णाजिः खानस्य शिबिरम् आगतवान्
sp014-000405_011	शिवराजः कथम् भीतः अस्ति कथम् खानस्य दयाभिक्षाम् याचमानः अस्ति विना वचनम् सः दुर्गाणि समर्पयितुम् सिद्धः अस्ति इत्यादिकम् तेन विवृतम्
sp014-000406_011	सर्वम् श्रुतवान् खानः आनन्दसागरे निमग्नः अभवत्
sp014-000407_011	आकस्मिकरूपेण वा भवतु तस्य रोटिका घृतभाण्डे पतिता आसीत्
sp014-000408_011	अनन्तरम् कृष्णाजिः गोपीनाथमहोदयस्य पत्रम् समर्पितवान्
sp014-000409_011	शिवराजेन दत्तानि उपायनानि अपि समर्पितवान्
sp014-000410_011	पत्रे शिवराजः अद्यावधि मया कृतान् सर्वान् अपराधान् भवान् औदार्येण क्षाम्येत्
sp014-000411_011	इतःपरम् निष्कपटतया बादशाहस्य सेवकः सन् अहम् कार्यम् करिष्यामि इति लिखितवान् आसीत्
sp014-000412_011	शिवराजस्य पत्रस्य स्वरानुसारम् गोपीनाथमहोदयः अपि ताळम् योजयन् आसीत्
sp014-000413_011	एतेन सह जावळ्याः वनशोभायाः आस्वादनार्थम् निमन्त्रणम् अपि कृतम् तेन
sp014-000414_011	सर्वम् श्रुतवान् अफजल्खानः स्वर्गः नातिदूरे अस्ति इति भावितवान्
sp014-000415_011	मम तन्त्रम् फलितम् शिवराजः मम जाले पतितवान् इति
sp014-000416_011	चिन्तयतः तस्य महान् आनन्दः
sp014-000417_011	तथापि जावळीप्रदेशः गन्तव्यः इति चिन्तनेन एव तस्य हृदये कम्पनम् आरब्धम्
sp014-000418_011	तस्य अरण्यस्य भीकरता तेन अनवगता तु न
sp014-000419_011	पुनश्च अफजल्खानः सुदीर्घम् चिन्तनम् कृतवान्
sp014-000420_011	शिवः तु भीरुः इति प्रतिभाति
sp014-000421_011	सः माम् ससैन्यम् जावळीम् प्रति आहूतवानस्ति
sp014-000422_011	तत्रैव तिष्ठेत्
sp014-000423_011	नो चेत् दुर्गात् दुर्गम् प्रति कूर्दनम् कुर्वन् पलायनम् कुर्यात्
sp014-000424_011	मम सैन्यम् तु अस्ति एव
sp014-000425_011	मम प्रचण्डसैन्यस्य सम्मुखीकरणस्य साहसम् तु न कुर्यात् सः
sp014-000426_011	वचनानुसारम् सन्ध्यर्थम् यदि आगच्छति तदा तु समस्या एव नास्ति इति
sp014-000427_011	अस्मिन् विषये तस्य आप्तस्य कृष्णाज भास्करस्य अनुरोधः अपि आसीत्
sp014-000428_011	शिवराजस्य वचनानि निष्कपटानि विश्वासार्हाणि च इति कृष्णाजिना निश्चितम् आसीत्
sp014-000429_011	अन्ते खानः गोपीनाथमहोदयम् शिवराजः कश्चित् काफीर् वञ्चकः च
sp014-000430_011	माम् एव सः जावळीम् प्रति आह्वयन् अस्ति
sp014-000431_011	भवान् ब्राह्मणः
sp014-000432_011	शिवराजः विश्वासार्हः न
sp014-000433_011	महावञ्चकः सः इति उक्तवान्
sp014-000434_011	महाराजेन अपि सूचितम् आसीत्
sp014-000435_011	अफ्जलः एव जावळीम् आगच्छेत् इति तु मुख्यः अंशः इति
sp014-000436_011	एतस्य प्रतीकारः करणीयः एव इति सः मनसि एव उग्रम् शपथम् कृतवान्
sp014-000437_011	किन्तु बहिः तु सौम्यताम् प्रदर्शयन् भवतः सन्देहः एव मास्तु
sp014-000438_011	अवश्यम् मेलनार्थम् आगच्छतु इति आश्वासनम् दत्तवान्
sp014-000439_011	सः ससैन्यम् गन्तुम् सज्जताम् आरब्धवान्
sp014-000440_011	गोपीनाथवर्यस्य अर्धम् कार्यम् समाप्तम् आसीत्
sp014-000441_011	किन्तु चाणाक्षः सः ततः न निर्गतवान्
sp014-000442_011	तथा यच्छन् एव अपेक्षितम् अमूल्यम् रहस्यम् ज्ञातवान् शिवराजः वञ्चकः
sp014-000443_011	युद्धे हस्तलभ्यः न भवेत्
sp014-000444_011	अतः सन्धेः व्याजेन सः ग्रहीतव्यः इति खानस्य योजना अस्ति इति
sp014-000445_011	खानस्य कुतन्त्रम् ज्ञातवतः गोपीनाथवर्यस्य मनसि व्याकलता उत्पन्ना
sp014-000446_011	तस्य मनसि आनन्दस्य चिन्तायाः च भावौ आस्ताम्
sp014-000447_011	तेषु केचन बिजापुरबादशाहस्य विषये निष्ठावन्तः दूरदर्शिनः च आसन्
sp014-000448_011	खानस्य जावळीगमनम् तेभ्यः न अरोचत
sp014-000449_011	अत्र कोऽपि अपायः स्यात् इति तेषाम् चिन्तनम्
sp014-000450_011	अतः ते स्पष्टरूपेण खानम् प्रति अत्र भयङ्करम् कुतन्त्रम् निहितम् इव दृश्यते
sp014-000451_011	अद्यावधि शिवराजः कस्यापि पुरतः नतमस्तकः न अभवत्
sp014-000452_011	सः महाचाणाक्षः असीमपराक्रमी च
sp014-000453_011	सः इदानीम् भवतः पुरतः भयस्य शरणागतेः च कपटनाटकम् अभिनयन् अस्ति
sp014-000454_011	जावळ्याः भयङ्करम् अरण्यम् प्रति भवन्तम् आह्वयन् अस्ति
sp014-000455_011	अत्र निश्चयेन कुतन्त्रम् स्यात् इति बोधितवन्तः
sp014-000456_011	स्वस्य शत्रोः स्तुतिम् श्रुतवतः खानस्य अहङ्कारस्य महान् आघातः जातः
sp014-000457_011	तान् नायकान् रोषेण निन्दन् सः
sp014-000458_011	एवम् स्थिते क्व शिवराजः
sp014-000459_011	मम क्रोधाग्नेः दर्शनेन एव जावळी अरण्यम् भस्मसात् भवेत् इति उक्तवान्
sp014-000460_011	गोपीनाथवर्येण स्ववाण्या अभिनयचातुर्येण च खानस्य यत् प्रशंसनम् कृतम् आसीत् तत् सार्थकम् जातम्
sp014-000461_011	इति कठोराज्ञाम् एव विहितवान् खानः
sp014-000462_011	तेन केचन उग्रम् दण्डिताः अपि
sp014-000463_011	मूर्खस्य उपदेशः शिलया शिरसः घट्टनम् इव खलु
sp014-000464_011	उपदेशम् कृतवतः एव क्षतः
sp014-000465_011	खानस्तु शिवराजस्य मेलनार्थम् अतिकातरः आसीत्
sp014-000466_011	जावळीम् प्रति प्रस्थानम् भवतु इति सैन्यम् आदिष्टवान् सः
