sp022-000001_001	श्री परमात्मने नमः
sp022-000223_006	धर्मस्य नाम समवलम्ब्य समाजे कलहस्य एतदेवैकम् कारणमस्ति
sp022-000224_006	गीतातु उपर्युक्तक्षणिकव्यवस्थातः उपरि चलित्वा आत्मिकपूर्णतायाम् प्रतिष्ठापयितुम् क्रियात्मकम् अनुशीलनम् अस्ति
sp022-000225_006	यस्याः गीतायाः एकः अपि कः अपि श्लोकः भौतिकजीवनयापनाय न अस्ति
sp022-000226_006	अस्याः प्रतिश्लोकः भवन्तम् आन्तरिकयुद्धम् आराधयितुम् प्रार्थयते प्रेरयति वा
sp022-000227_006	तथाकथितधर्मग्रन्थानामिव गीतेयम् स्वर्गप्राप्तिनरकान्मुक्ति इति द्वन्द्वात्मकजाले न निबध्नाति
sp022-000228_006	प्रत्युत तस्य अमरत्वस्य उपलब्धिम् कारयति
sp022-000229_006	यस्य पश्चाज् जन्ममृत्योर्बन्धनम् सुतराम् व्यवच्छिद्यते
sp022-000230_006	प्रत्येकम् महापुरुषाणाम् स्वकीया स्वकीया शैली तथा स्वीयाः स्वीयाः केचन विशिष्टाः शब्दाः भवन्ति
sp022-000231_006	योगेश्वरः श्रीकृष्णः अपि गीतायाम् कर्म यज्ञ वर्णसङ्कर युद्ध क्षेत्र ज्ञान इत्यादीनाम् शब्दानाम् उपरि वारम्वारम् बलम् दत्तवान्
sp022-000232_006	एतेषाम् शब्दानाम् स्वकीयम् विशिष्टम् तात्पर्यमस्ति
sp022-000233_006	स्वकीयम् सौन्दर्यम् एतेषाम् शब्दानाम् पुनरावृत्या न क्षीयते
sp022-000234_006	हिन्दिरूपान्तरे अपि तेषाम् शब्दानाम् तत्तदाशयः तथैव सुरक्षितः अस्ति
sp022-000235_006	तथा आवश्यकस्थलानाम् व्याख्या अपि प्रस्तुता विद्यते
sp022-000236_006	गीताप्रत्याकर्षणवर्धनाय निम्नप्रश्नानाम् समाधानम् मृग्यम्
sp022-000237_006	श्रीकृष्णः नाम एकः योगेश्वरः आसीत्
sp022-000238_006	सत्यम् आत्मा एव सत्यम् अस्ति
sp022-000239_006	सनातनः आत्मा एव सनातनः परमात्मा तु सनातनः
sp022-000240_006	सनातनधर्मः परमात्मनः प्राप्तौ सहायकव्यापारः
sp022-000241_006	युद्धम् दैवी तथासुरीसम्पदाम् सङ्घर्षः युद्धम् इति बोद्धव्यः
sp022-000242_006	अन्तःकरणस्थे अनयोः उभयोः संहार एव युद्धस्य परिणामः
sp022-000243_006	युद्धस्थानम् इमानि मानवशरीराणि समनांसीन्द्रियाणि च युद्धस्थानम्
sp022-000244_006	ज्ञानम् परमात्मनः साक्षात्कारम् एव ज्ञानम् ज्ञेयम्
sp022-000245_006	योगः संसारस्य संयोगवियोगाभ्याम् विरहितम् अव्यक्तब्रह्मणः मेलनमेव योगः समुच्यते
sp022-000246_006	स्वम् आश्रित्य कर्मणि प्रवृत्तिर्ज्ञानयोगः अस्ति
sp022-000247_006	निष्कामकर्मयोगः स्वेष्टे निर्भरो भूत्वा ससमर्पणम् कर्मणि प्रवृत्तिर्निष्कामकर्मयोगः
sp022-000248_006	श्रीकृष्णेनोद्घोषितम् सत्यम् किमस्ति
sp022-000249_006	श्रीकृष्णः तदेव सत्यम् उद्घोषितवान् यस्य प्रत्यक्षीकरणम् तत्त्वदर्शिभिः पूर्वमेव कृतम् तथा अग्रे करिष्यन्ति
sp022-000250_006	यज्ञः साधनायाः सुविधिविशेषस्य नाम यज्ञः
sp022-000251_006	कर्म यज्ञस्य कार्यरूपेण क्रियान्वयनम् कर्म समुच्यते
sp022-000252_006	वर्णः आराधनायाः एकः विधिविशेषः एव कर्मे इति बोद्धव्यः
sp022-000253_006	यस्याः समाराधनायाः चतुःश्रेणिषु विभाजनम् ता एव चतस्रः श्रेणयः वर्णनाम्ना सन्ति वर्णिताः
sp022-000254_006	वर्णसङ्करः परमात्मनः प्राप्तिमार्गतः परिच्युतिः तथा साधने भ्रान्त्युदयो वर्णसङ्करः प्रसमुच्यते
sp022-000255_006	मनुष्यस्य श्रेणयः अन्तःकरणस्य स्वभावानुसारेण मनुष्याणाम् श्रेणीद्वये विभाजनम् भवति
sp022-000256_006	एका श्रेणी देवताश्रयी द्वितीया तु असुरीवृत्तिसमाश्रिता
sp022-000257_006	इमे मानवानाम् द्वे जाती ये स्वभावद्वारेणैव निर्धारिते विद्येते
sp022-000258_006	अयम् स्वभावः क्षीयते वर्धते च
sp022-000259_006	देवताः हृदयप्रदेशे परमदेवत्वम् अर्जयितॄणाम् गुणानाम् समूहः देवत्वेन ज्ञेयः
sp022-000260_006	आत्मव्यतिरिक्तम् बहिष्ठदेवाराधनम् मूढबुद्धेः अवदानम्
sp022-000261_006	अवतारः व्यक्तीनाम् हृदये भवति नान्यत्
sp022-000262_006	विराट् दर्शनम् योगिनाम् हृदये परमात्मप्रदत्तानुभूतिः
sp022-000263_006	परमात्मा यदा साधकस्य दृष्टौ प्रविशति तदैव साधकः परमात्मनः विराट् दर्शनम् करोति
sp022-000264_006	पूजनीयेष्टदेवः मात्रैकपरात्परब्रह्मैव पूज्यः देवः अस्ति
sp022-000265_006	तस्य अन्वेषणस्य स्थानम् हृदयमेव अस्ति
sp022-000266_006	तस्य परमात्मनः प्राप्तेः स्रोतः तस्य अव्यक्तस्वरूपे स्थितिम् प्राप्तवताम् महापुरुषाणाम् कृपया दृष्टिपथम् आयाति
sp022-000267_006	सम्प्रति भगवतः श्रीकृष्णस्य स्वरूपस्य ज्ञानाय तृतीयाध्यायपर्यन्तम् पठनीयम् भविष्यति
sp022-000268_006	त्रयोदशाध्यायाध्ययनेन सुस्पष्टम् ज्ञास्यति पाठकः यत् श्रीकृष्णः आसीत् योगीश्वरः
sp022-000269_006	द्वितीयाध्यायतः एव सत्यम् प्रकाशयिष्यति
sp022-000270_006	सत्यसनातनौ परस्परम् एको द्वितीयस्य पूरकताम् आवहतः विषयः अयम् द्वितीयाध्यायतः सुस्पष्टौ भविष्यति
sp022-000271_006	एवन्तु पूर्तिपर्यन्तम् चलिष्यति विषयप्रवाहः
sp022-000272_006	चतुर्थाध्यायम् यावत् युद्धम् स्पष्टताम् एष्यति
sp022-000273_006	एकादशाध्यायम् यावद् अध्ययनेन संशयः निर्मूलताम् एष्यति
sp022-000274_006	एवन्तु षोडशाध्यायम् यावत् सम्यगनुशीलनीयम्
sp022-000275_006	युद्धस्थलस्य मीमांसाहेतवे त्रयोदशाध्यायस्य पठनम् मननञ्च भूयोभूयः करणीयम्
sp022-000276_006	ज्ञानम् चतुर्थाध्यायात् सुस्पष्टम् भविष्यति
sp022-000277_006	तथा त्रयोदशे अध्याये विधिवत् परिलक्षितम् भविष्यति यत् प्रत्यक्षदर्शनस्य नाम ज्ञानम् अस्ति
sp022-000278_006	योगः षष्ठाध्यायम् यावत् बोधसुलभो सम्भविष्यति
sp022-000279_006	एवन्तु सामान्यतया परिपूर्तिपर्यन्तम् योगस्य विभिन्नांशानाम् परिभाषा सुग्रथिता सुशोभते
sp022-000280_006	ज्ञानयोगः तृतीयाध्यायात् षष्ठाध्यायम् यावत् अध्ययेन सम्यग् बुद्धिगम्यः भविष्यति
sp022-000281_006	पुनरग्रे पर्यालोचनस्य न कापि आवश्यकता परिशेषायते
sp022-000282_006	निष्कामकर्मयोगः द्वितीयाध्यायतः समारभ्य पूर्तिपर्यन्तम् वाभाति
sp022-000283_006	यज्ञः तृतीयाध्यायतश्चतुर्थाध्यायम् यावद् अनुशीलनीयम् तेन यज्ञस्य स्पष्टीकरणम् सुतराम् भविष्यति
sp022-000284_006	कर्मणः नाम द्वितीयाध्यायस्य नवत्रिंशत्तमे श्लोके प्रथमवारम् समुल्लिखितम्
sp022-000285_006	अस्मात् श्लोकाच्चतुर्थाध्यायम् यावत् पठेयुः तदा सुस्पष्टम् भविष्यति यत् कर्मणः अर्थः आराधना तथा भजनम्
sp022-000286_006	कस्मात् कारणात् भवति
sp022-000287_006	षोडशसप्तदशाध्यायौ सम्मिल्य विचारम् इमम् द्रढयतो यदिदम् एव सत्यम् अस्ति
sp022-000288_006	वर्णसङ्करः तृतीयाध्याये तथा अवतारः चतुर्थाध्याये सुतराम् सुस्पष्टताम् एष्यतः
sp022-000289_006	वर्णव्यवस्थायाः विवेचनार्थम् अष्टादशाध्यायः द्रष्टव्यः
sp022-000290_006	सामान्यतः तृतीयचतुर्थाध्याये च मिलति सङ्केतः
sp022-000291_006	मानवानाम् देवासुराणाम् जातिविभागज्ञानाय षोडशाध्यायःपठनीयः
sp022-000292_006	विराट् दर्शनम् दशमाध्यायात् आरभ्य एकादशाध्यायस्य मध्यम् यावद् अनुशीलनेन भविष्यति सुस्पष्टम्
sp022-000293_006	सप्तमाध्याये नवमाध्याये पञ्चदशाध्याये अपि च
sp022-000294_006	सप्तमे नवमे पञ्चदशेऽपि च अध्याये विषयेऽस्मिन् प्रकाशः विद्यते कृतः
sp022-000295_006	सप्तमाध्याये नवमाध्याये सप्तदशाध्याये च बाह्यदेवानामस्तित्वहीनता सुस्पष्टताम् याति
sp022-000296_006	परमात्मनः पूजनस्य मुख्यम् स्थलम् हृदयपटलम् एव अस्ति
sp022-000297_006	यत्र ध्यानम् श्वासप्रश्वासयोश्चिन्तनादयः क्रियाकलापाः यदेकान्ते सुखासीनः साध्यन्ते
sp022-000298_006	नाम मन्दिरस्थ प्रतिमायाः पुरतः नहि
sp022-000299_006	तृतीये चतुर्थे षष्ठे तथा अष्टदशाध्याये च बहुस्पष्टम् अस्ति
sp022-000300_006	अधिकञ्चिन्तनविचारयोः किम् प्रयोजनम्
sp022-000301_006	यदि षष्ठाध्यायम् यावदपि गीतायाः सुचारुपठनम् सम्पद्येत
sp022-000302_006	तदापि यथार्थगीतायाः प्रमुखाशयः बुद्धिक्षेत्रे समवतरिष्यति
sp022-000303_006	गीता जीविकासञ्चालन सङ्ग्रामस्य साधनम् न अवबोद्धव्या
sp022-000304_006	प्रत्युत जीवनसङ्ग्रामे शाश्वद्विजयस्य शिक्षा अस्ति
sp022-000305_006	अस्मात् कारणात् एव गीतेयम् युद्धग्रन्थोऽपि वा भण्यते
sp022-000306_006	अयम् युद्धग्रन्थः वास्तविकम् विजयम् दापयति
sp022-000307_006	किन्तु गीतोक्तम् युद्धम् खड्गधनुःसायकपरश्वादिभिश्च विधीयमानम् सामरिकम् युद्धम् नास्ति
sp022-000308_006	न च अस्मिन् युद्धे शाश्वतिकविजयस्य उपलब्धिः
sp022-000309_006	अयम् गीताग्रन्थः सदसदुभयोः प्रवृत्योः सङ्घर्षः अस्ति
sp022-000310_006	ययोः सङ्घर्षयोः रूपकालङ्कारम् अनुश्रित्य
sp022-000311_006	वर्णनस्य चिरन्तना परम्परा प्रचलिता विद्यते
sp022-000312_006	वेदे सुरेन्द्रवृत्रासुरयोः विद्याविद्ययोः पुराणेषु देवासुरयुद्धानाम्
sp022-000313_006	महाकाव्येषु रामरावणयोः कौरवपाण्डवयोः च निष्पन्नम् सङ्घर्षम् एव
sp022-000314_006	गीतायाम् धर्मक्षेत्रकुरुक्षेत्रयोः दैवीसम्पदासुरीसम्पदोश्च सङ्घर्षम् तथा सजातीयविजातीययोश्च सङ्घर्षम्
sp022-000315_006	सद्गुणदुर्गुणयोश्च सङ्घर्षम् सविस्तरम् वर्णितम् दृष्टिपथायते
sp022-000316_006	अयम् गीतोक्तसङ्घर्षः यत्र भवति तत्स्थलम् कुहचनस्ति
sp022-000317_006	गीतायाः धर्मक्षेत्रम् कुरुक्षेत्रञ्च भारतीयभूभागस्य न कोऽपि भागः
sp022-000318_006	प्रत्युत गीताकारस्य सशक्तशब्देषु
sp022-000319_006	इदम् शरीरम् कौन्तेय क्षेत्रमित्यभिधीयते
sp022-000320_006	कौन्तेय इदम् शरीरम् एव एकम् क्षेत्रमस्ति
sp022-000321_006	यस्मिन् सुप्तम् सदसद्बीजम् संस्कारानुसारेण निरन्तरम् अङ्कुरति प्ररोहति च
sp022-000322_006	दशेन्द्रियाणि मनः बुद्धिः चित्तम् अहङ्कारः पञ्चविकाराः त्रिगुणविकाराश्च अस्य विस्ताराः कथ्यन्ते
sp022-000323_006	एभिः त्रिगुणप्रभावैः प्रभावितम् प्राणिजगत् विवशीभूय कर्मणि प्रवर्तते
sp022-000324_006	अयम् मानवलोकः किम्वा निखिलो जीवलोकः कर्मानुष्ठानम् विना क्षणमपि न तिष्ठति
sp022-000325_006	पुनरपि जननम् पुनरपि मरणम् पुनरपि जननीजठरे शयनम्
sp022-000326_006	जन्म जन्मान्तरैः एव इमाम् क्रियाम् कुर्वन्तः सन्ति प्राणिनः
sp022-000327_006	इदमेवास्ति कुरुक्षेत्रम्
sp022-000328_006	सद्गुरूणाम् सान्निध्येन साधनायाः समीचीनम् पन्थानम् समुपलभ्य
sp022-000329_006	यदा साधकः परमधर्मपरमात्मोन्मुखम् भवति अग्रेसरः तदा इदम् क्षेत्रम् धर्मक्षेत्रम् भवति
sp022-000330_006	इदम् शरीरम् एव क्षेत्रम् अस्ति
sp022-000331_006	अस्य शरीरस्य अन्तराले अन्तःकरणस्य पुरातन्यौ द्वे प्रवृत्यौ विराजेते
sp022-000332_006	एका प्रवृत्तिः दैवसम्पद्रूपा द्वितीया तु आसुरीसम्पत्स्वरूपा च
sp022-000333_006	दैवीसम्पदि पुण्यरूपिणः पाण्डुजाः कर्त्तव्यस्वरूपा कुन्ती च इति जन्यजननीयुगलम् वा भाति
sp022-000334_006	पुण्यजागरणप्रभावात् पूर्वमेव मानवः यत् किञ्चित् कर्त्तव्यजातम् परामृश्य करोति
sp022-000335_006	स्वमत्या असौ कर्त्तव्यम् एव विदधाति किन्तु तेन कर्त्तव्यः न भवति
sp022-000336_006	कुतो हि पुण्यम् विना कर्त्तव्यस्य सम्यग् बोधः एव न भवति
sp022-000337_006	कुन्ती पाण्डोः सम्बन्धात् पूर्वम् यस्य कस्यचित् अर्थस्य उपार्जनम् कृतवती स आसीत् कर्णः
sp022-000338_006	आजीवनम् कर्णः कुन्तीकुमारैः युधिष्ठिरादिभिः युध्यमानः अवर्तत
sp022-000339_006	पाण्डवानाम् चेत् कश्चिद्दुर्धर्षः शत्रुः आसीत् तदा असौ कर्ण एव
sp022-000340_006	विजातीयकर्मणा अस्ति कर्णः
sp022-000341_006	य एव बन्धनकारकः अस्ति
sp022-000342_006	येन परम्परागतरूढीनाम् चित्रणम् भवति पूजापद्धतयः पिण्डम् न मुञ्चति
sp022-000343_006	जागृते पुण्ये धर्मस्वरूपः युधिष्ठिरः अनुरागस्वरूपः अर्जुनः भावरूपः भीमः
sp022-000344_006	नियमरूपः नकुलः सत्सङ्गस्वरूपः सहदेवः
sp022-000345_006	सात्विकतास्वरूपः सात्यकिः शरीरे सामर्थ्यस्वरूपः काशिराजः
sp022-000346_006	कर्त्तव्यमाध्यमेन संसारोपरि विजयप्रतीकः कुन्तिभोजः
sp022-000347_006	इत्यादीनाम् इष्टोन्मुखमानसिकप्रवृत्तिवताम् सदा भवति उत्कर्षः
sp022-000348_006	येषाम् गणना सप्ताक्षौहिणीसेनारूपेण कृता विद्यते
sp022-000349_006	अक्षपदम् दृष्टिबोधकम् अस्ति
sp022-000350_006	सत्यमयदृष्टिकोणेन यस्य सङ्घटनम् भवति सा दैवीसम्पत् समुच्यते
sp022-000351_006	परमधर्मस्य परमात्मनः प्राप्तिलक्ष्यदूरीम् न्यूनीकरणाय सप्तैमे सोपानाः सप्तभूमिकाश्च सन्ति
sp022-000352_006	न काऽपि गणना विशेषा
sp022-000353_006	वस्तुतः उपर्युक्तेमाः प्रवृत्तयः गणनातीताः
sp022-000354_006	अपरस्मिन् पक्षे राराजते कुरुक्षेत्रम्
sp022-000355_006	यस्मिन् दशेन्द्रियाणि तथैकम् मनः सम्मिल्य एकादशाक्षौहिणी सेना वर्त्तते
sp022-000356_006	मनसा सहितेन दशेन्द्रिययुतेन दृष्टिकोणेन यस्याः सङ्गठनम् कृतम् विद्यते सा अस्ति आसुरीसम्पत्
sp022-000357_006	यत्रास्ति धृतराष्ट्रः अज्ञानस्वरूपः यस्तु सत्यम् जानानः अपि अन्धवत् आचरति
sp022-000358_006	तस्य सहचारिणी अस्ति गान्धारी इन्द्रियाधारवती प्रवृत्तिः
sp022-000359_006	अनया सह मोहरूपी दुर्योधनः दुर्बुद्धिरूपी दुःशासनः
sp022-000360_006	विजातीयकर्मरूपी कर्णः भ्रमरूपी भीष्मः
sp022-000361_006	द्वैतस्य आचरणरूपी द्रोणाचार्यः आसक्तिरूपी अश्वत्थामा विकल्परूपी विकर्णः
sp022-000362_006	अर्द्धसाधनायाम् कृपायाः आचरणरूपी कृपाचार्यः तथा च एतेषाम् मध्ये जीवरूपी विदुरः विराजते
sp022-000363_006	यस्तु निवसति अज्ञाने किन्तु यस्य सुदृष्टिः सततम् पाण्डवानाम् उपरि वर्तते
sp022-000364_006	पुण्यप्रवाहिताम् प्रवृत्तिञ्च समाश्रयते
sp022-000365_006	यतो हि आत्मा परमात्मनः शुद्धः अंशः अस्ति
sp022-000366_006	अनया रीत्या आसुरीसम्पदोऽपि सन्ति अनन्ताः
sp022-000367_006	इदम् शरीरम् तु क्षेत्रमेकमेवास्ति अत्र युद्धोन्मुख्यौ द्वे प्रवृत्यौ वर्तेते
sp022-000368_006	एका प्रवृत्तिः प्रकृतौ विश्वासम् दापयति
sp022-000369_006	सा निम्नाधमयोनिनाम् कारणम् भवति
sp022-000370_006	अपरा तु परमपुरुषे परमात्मनि विश्वासम् प्रवेशञ्च कारयति
sp022-000371_006	तत्त्वदर्शीमहापुरुषाणाम् संरक्षणे क्रमशः साधनविधानेन दैवीसम्पदः समुत्कर्षः
sp022-000372_006	तथा आसुरीसम्पदश्च सर्वथा शमनम् भवति
sp022-000373_006	यदा कश्चित् विकार एव न अवशिष्टः
sp022-000374_006	तदा मनसः सर्वथा निरोधः निरुद्धमनसश्चापि विलयः भवति
sp022-000375_006	तदानीम् दैवीसम्पदः समाप्तेः भवति अत्यावश्यकता
sp022-000376_006	अर्जुनः दृष्टवान् यत् कौरवपक्षस्यानन्तरम् पाण्डवपक्षीयाः योद्धारः अपि योगेश्वरे कृष्णे समाहिताः भवन्तः सन्ति
sp022-000377_006	पूर्त्या सह दैवीसम्पदपि विलीयते
sp022-000378_006	अन्तिमम् शाश्वतम् परिणामम् भवति हस्तगतम्
sp022-000379_006	अतः महापुरुषश्चेत् किमपि कर्म करोति
sp022-000380_006	तत् केवलम् अनुयायिनाम् मार्गदर्शनार्थम् एव करोति
sp022-000381_006	लोकसङ्ग्रहस्य अनया भावनया महापुरुषाः सूक्ष्ममनोभावानाम् वर्णनम् दृढस्थूलरूपम् दत्वा अकार्षुः
sp022-000382_006	गीता छन्दोबद्धा वर्तते व्याकरणसम्मता च अस्ति
sp022-000383_006	किन्तु अस्याः पात्राणि प्रतीकात्मकानि सन्ति
sp022-000384_007	अमूर्तयोग्यतानाम् मात्रमूर्तरूपाणि सन्ति
sp022-000385_007	गीतायाः प्रारम्भे त्रिंशच्चत्वारिंशत्पात्राणाम् नामानि गृहीतानि सन्ति
sp022-000386_007	येषु अर्धसङ्ख्याकाः सजातीयाः तथा अर्धसङ्ख्याकाः सन्ति विजातीयाः
sp022-000387_007	केचन पाण्डवपक्षधराः केचन तु कौरवपक्षीयाः
sp022-000388_007	विश्वरूपदर्शनावसरे पञ्चषा नामानि पुनरायान्ति एतेषाम्
sp022-000389_007	अन्यथा सम्पूर्णायाम् गीतायाम् एतेषाम् नाम्नाम् चर्चाऽपि न मिलति
sp022-000390_007	मात्र एकः अस्ति अर्जुनः एतादृशम् पात्रम् य आदितः समाप्तिम् यावत् योगेश्वरस्य समक्षम् राराजते
sp022-000391_007	असावर्जुनः अपि योग्यतायाः प्रतीकः अस्ति न तु कश्चिद् व्यक्तिविशेषः
sp022-000392_007	गीतायाः प्रारम्भे सः अर्जुनः सनातनकुलधर्मस्य रक्षणहेतवे विकलः अस्ति
sp022-000393_007	किन्तु योगेश्वरः कृष्णः इमाम् आकुलताम् परम् अज्ञानम् अघोषयत्
sp022-000394_007	उपादिशच्च अयम् आत्मैव सनातनः शरीरम् नश्वरम् अतः युध्यस्व
sp022-000395_007	अनेन आदेशेन नैतत् स्पष्टायते यद् अर्जुनः कौरवान् एव मारयेत्
sp022-000396_007	पाण्डवपक्षीयाः अपि शरीरधारिणः आसन् पक्षद्वये परस्परम् सम्बन्धिनः सन्ति
sp022-000397_007	संस्कारोपरि निर्भरम् शरीरम् किम् खड्गेन द्विधा कृते सति समाप्तिमेष्यति
sp022-000398_007	यदा शरीरम् नश्वरम् अस्ति नास्ति यस्य अस्तित्वम् तर्हि क आसीद् अर्जुनः
sp022-000399_007	श्रीकृष्णः कस्य रक्षायाम् आसीत् स्थितः
sp022-000400_007	किम् कस्यचित् शरीरधारिणः रक्षायाम् आसीत् तत्परः
sp022-000401_007	श्रीकृष्णः प्रावोचत् यः शरीरयात्रार्थम् परिश्रमम् करोति असौ पापायुर्मूढबुद्धिः पुरुषः निरर्थकम् जीवति
sp022-000402_007	यदि श्रीकृष्णः कस्यचित् जीवधारिणः संरक्षणे सन्नद्धाः वर्तते तद् असौ अपि मूढबुद्धिः व्यर्थम् जिजिविषुः अस्ति
sp022-000403_007	वस्तुत अनुराग एव अर्जुनः अस्ति
sp022-000404_007	अनुरागिणाम् कृते महापुरुषाः सदैवोपस्थिताः प्राप्यन्ते
sp022-000405_007	अर्जुनः शिष्यः आसीत् श्रीकृष्णश्चैकः सद्गुरुः च
sp022-000406_007	विनयावनतो भूत्वा असौ कथितवान् यद् धर्ममार्गे मोहितचेताः पृच्छामि अहम् भवन्तम्
sp022-000407_007	यच्छ्रेयः परमकल्याणकारकम् भवेत् तदुपदेशम् माम् आख्याहि
sp022-000408_007	अर्जुनः श्रेयस्कामः आसीत् प्रेयः भौतिकपदार्थान् नहि
sp022-000409_007	केवलम् उपदेशमात्रम् एव नहि प्रत्युत साधयतु सम्भालयतु च
sp022-000410_007	अहमस्मि शिष्यः तव शरणागतः च
sp022-000411_007	इत्थमेव गीतायाम् स्थले स्थले सुस्पष्टम् अस्ति
sp022-000412_007	यद् अर्जुनः आर्त्तश्रेणीकः अस्ति अधिकारी योगेश्वरः श्रीकृष्णः च एकः सद्गुरुः च
sp022-000413_007	असौ सद्गुरुः अनुरागिणा सह सदैव सन्तिष्ठते तस्यानुरागिणः पथप्रदर्शनञ्च करोति
sp022-000414_007	यदा कश्चित् मनुष्यः भावुकताभिभूतः पूज्यमहाराजस्य सन्निधौ संवासार्थम् आग्रहम् करोति स्म
sp022-000415_007	तदा महाराजः कथयति स्म गच्छ शरीरेण कुत्रापि निवस मनसा मम पार्श्वे समागच्छन् विचर
sp022-000416_007	प्रातः सायम् रामस्य शिवस्य ओमित्यस्य वा कस्यचित् द्वयक्षरस्य सार्द्धद्वयक्षरस्य नाम्नः जपम् कुरु
sp022-000417_007	मम स्वरूपम् च हृदये निधेहि
sp022-000418_007	मिनटमेकमपि ममस्वरूपम् धारयिष्यसि तदा यस्य नाम भजनमस्ति तदहम् तुभ्यम् दास्यामि
sp022-000419_007	इतोऽधिकम् धारयितुम् इच्छति तदा हृदयेन सारथी भूत्वा त्वया सह स्थास्यामि
sp022-000420_007	यदा सुरतो गृहीतो भवति तदा तदनन्तरम् महापुरुष इत्थम् अन्तिकायते
sp022-000421_007	यथा करचरणनासिकाश्रवणेन्द्रियाणि वर्तन्ते सन्निकटानि
sp022-000422_007	भवान् महापुरुषतः सहस्राधिकक्रोशम् दूरे वसतु किन्तु स समीपे वसति
sp022-000423_007	मनसि विचाराणाम् उत्थानात् पूर्वमेव ते पथनिर्धारणम् कर्तुम् आरभन्ते
sp022-000424_007	अनुरागिणः हृदय प्रदेशे स महापुरुषः तादात्म्यभावेन जागर्ति
sp022-000425_007	अर्जुनः अस्ति अनुरागप्रतीकः
sp022-000426_007	गीतायाः एकादशाध्याये योगेश्वर श्रीकृष्णस्य ऐश्वर्यम् समवलोक्य अर्जुनः स्व छुद्रत्रुटीनाम् कृते क्षमायाचनाम् कर्तुम् प्रारभते
sp022-000427_007	श्रीकृष्णः क्षमाम् कृतवान् याचनानुरूपम् सौम्यो भूत्वा उक्तवान् च
sp022-000428_007	अर्जुन ममेदम् स्वरूपम् न पूर्वम् कश्चिद् ददर्श न च कश्चिद्रक्ष्यति
sp022-000429_007	तदा तु गीतेयम् अस्माकम् कृते व्यर्था कुतो हि तस्य दर्शनस्य योग्यता अर्जुने सीमिता प्रतीयते
sp022-000430_007	यदा तु तस्मिन्नेवकाले सञ्जयोऽपि समवलोकयन् आसीत्
sp022-000431_007	पूर्वमपि तेनोक्तम् बहवः योगिजनाः ज्ञानरूपतपसापूताः सन्तः मम साक्षात् स्वरूपम् लेभिरे
sp022-000432_007	अन्ततः असौ महापुरुषः किम् वक्तुम् ईहते
sp022-000433_007	वस्तुतः अनुराग एव अर्जुनः अस्ति
sp022-000434_007	यो भवताम् हृदये भावना विशेषः अस्ति
sp022-000435_007	अनुरागविहीनः पुरुषः कदापि पूर्वम् न द्रष्टुम् शशाक न च अनुरागरहितः पुरुषः कदाऽपि भविष्येऽपि द्रष्टुम् शक्ष्यति
sp022-000436_007	अतः अर्जुनः एकः प्रतीकः अस्ति
sp022-000437_007	यदि नास्ति प्रतीकता तर्हि गीतायाः अनुशीलनम् त्यज्यताम्
sp022-000438_007	गीता नाऽस्ति भवत्कृते तदा तु तस्य दर्शनस्य योग्यतासीत् सीमितार्जुनम् यावत्
sp022-000439_007	अध्यायस्य अन्ते योगेश्वरः निर्णयम् ददाति
sp022-000440_007	अर्जुन अनन्य भक्त्या श्रद्धया च अहम् उक्तप्रकारेण दर्शनार्थम् यथा त्वम् दृष्टवान् तत्त्वतः सुस्पष्टम् ज्ञातुम् प्रवेष्टुञ्च सुलभः अस्मि
sp022-000441_007	अनन्यभक्तिः अपि अनुरागस्य द्वितीया विधा समुच्यते एतदेव अर्जुनस्य स्वरूपम् अपि अस्ति
sp022-000442_007	अर्जुनः पथिकस्य प्रतीकः अस्ति
sp022-000443_007	अनेन प्रकारेण गीतायाः पात्राणि प्रतीकात्मकानि सन्ति
sp022-000444_007	यथास्थानम् तेषाम् सङ्केतः वर्तते
sp022-000445_007	भवेतान्नाम कृष्णार्जुनौ कौचिद् ऐतिहासिकौ पुरुषौ निश्चितरूपेण अभवत् सम्पन्नम् किमपि विश्वयुद्धम्
sp022-000446_007	किन्तु गीतायाम् भौतिकयुद्धस्य चित्रणम् नाऽस्ति कदाऽपि
sp022-000447_007	तस्य युद्धस्य मुखाग्रे समुद्वेगितः तु आसीत् अर्जुनः न तु सेना
sp022-000448_007	सेना तु युद्धे तत्परा आसीत्
sp022-000449_007	किम् गीताया प्रमुखोपदेशम् दत्वा श्रीकृष्णः सव्यसाचिनि कौन्तेये सैन्ययोग्यतायाः प्रावीण्यम् प्राशिक्षयत्
sp022-000450_007	वस्तुतः साधनोल्लेखनम् अशक्यम्
sp022-000451_007	सकलाध्ययनानन्तरम् अपि पठन पाठन यात्रा न भवति परिपूर्णा किञ्चित् शेषायत एव
sp022-000452_007	इयमेव प्रेरणा यथार्थगीता ज्ञेया
sp022-000453_007	श्रीगुरुपूर्णिमा
sp022-000454_007	त्र्यष्टनवैक क्रिस्ताब्दे जुलैमासस्य चतुर्विंशति दिनाङ्कः
sp022-000455_007	सद्गुरुकृपाश्रयी जगद्बन्धुः
sp022-000456_008	धृतराष्ट्रः सञ्जयम् अपृच्छत्
sp022-000457_008	हे सञ्जय धर्मक्षेत्रे कुरुक्षेत्रे सङ्ग्रामेच्छवः समवेताः पाण्डवाः
sp022-000458_008	तथा मामकाः कौरवाः किम् कृतवन्तः
