sp015-000001_001	उपायेन शक्यम् सर्वम्
sp015-000314_006	मया निषिध्यमानः अपि सः अधिकमूल्येन एतत् क्रीत्वा मह्यम् दत्तवान्
sp015-000315_006	एतस्मात् स्पष्टम् यत् मयि तस्य अनुरागः कियान् इति
sp015-000316_006	एतद्भवते अपि अरोचत ननु इति
sp015-000317_006	आम् वत्से अपूर्वम् एतत् सुन्दरे मुखे सुन्दरतया विराजते
sp015-000318_006	एतस्य सौन्दर्यम् निश्चयेन प्रशंसातीतम्
sp015-000319_006	पतिः भवत्याम् विशेषानुरागवान् इति एतस्मात् सिध्यति इत्यपि सत्यम्
sp015-000320_006	भवद्विषयकपतिप्रेम निश्चयेन स्तुत्यर्हः
sp015-000321_006	यः भवत्यै अमूल्यम् आभरणम् क्रीत्वा दत्तवान् तद्विषये कृतज्ञताप्रकटनम् अपि युक्तमेव
sp015-000322_006	किन्तु भवति तस्मै भगवते किम् कृतज्ञताम् समर्पितवती
sp015-000323_006	यश्च भवत्यै एतादृशीम् सुन्दरीम् नासिकाम् दत्तवान्
sp015-000324_006	वस्तुतः तु भगवता दत्ता सुन्दरी नासिका
sp015-000325_006	सुन्दरम् मुखमण्डलम् च यदि न स्यात्
sp015-000326_006	तर्हि किम् सुन्दरस्य नासाभरणस्य प्राप्त्या
sp015-000327_006	अतः भगवतः कृपा एव खलु सर्वस्य कारणम्
sp015-000328_006	सः भगवान् एव खलु स्मर्तव्यः सदा कृतज्ञताभावेन
sp015-000329_006	भगवतः स्मरणात् एव जीवने कल्याणम् प्राप्यते इति बोधितवान् तुलसीदासः
sp015-000330_006	अस्तु तथैव आचरामि श्रीमन् इति वन्दन्ती ततः गतवती सा गृहिणी
sp015-000331_007	गोविन्दस्य स्यूतः
sp015-000332_007	विशालपुरे गोविन्दनामकः कश्चन आढ्यः वसति स्म
sp015-000333_007	तस्य अपारा सम्पत्तिः आसीत्
sp015-000334_007	सामान्याम् घटनाम् अपि अपूर्वतया वर्णयितुम् समर्थः आसीत् सः
sp015-000335_007	अतः जनानाम् आकर्षणकेन्द्रम् जातः सः
sp015-000336_007	कदाचित् केशवनामकः कश्चित् उद्योगम् अन्विष्यन् विशालपुरम् आगतवान्
sp015-000337_007	यत्किमपि कार्यम् कर्तुम् सिद्धः आसीत् सः
sp015-000338_007	सर्वत्र अन्विष्य अन्ते पद्मनाभस्य गृहे कार्यम् प्राप्तवान्
sp015-000339_007	पद्मनाभः षष्टिवर्षीयः
sp015-000340_007	तस्य आरोग्यम् उत्तमम् न आसीत्
sp015-000341_007	स्वपुत्रेण स्नुषया सह च सः सर्वदा कलहम् करोति स्म
sp015-000342_007	अन्ते एकदा सः पुत्रम् स्नुषाम् गृहात् बहिः प्रेषितवान्
sp015-000343_007	तस्य पत्नी सीता अपि कलहशीला एव
sp015-000344_007	अतः गृहे सर्वदा तयोः कलहः प्रचलति स्म
sp015-000345_007	कार्यम् कर्तुम् यः तद्गृहम् आगच्छति सः अल्पे एव काले ततः पलायते स्म
sp015-000346_007	अतः तयोः कृते एकस्य सेवकस्य महति आवश्यकता आसीत्
sp015-000347_007	अतः केशवः तत्र उद्योगम् प्राप्तवान्
sp015-000348_007	केशवः व्यवहारे अत्यन्तम् निपुणः
sp015-000349_007	उत्तमैः वचनैः जनानाम् हृदयस्य जये अपि सः निपुणः आसीत्
sp015-000350_007	केशवस्य वचनैः सीतापद्मनाभौ प्रभावितौ
sp015-000351_007	तयोः समञ्जनप्रवृत्तिः प्रवृद्धा
sp015-000352_007	तयोः पुत्रः स्नुषा च गृहम् प्रत्यागतवन्तौ
sp015-000353_007	तौ मातापितृभ्याम् सह वासमपि आरब्धवन्तौ
sp015-000354_007	सर्वम् ज्ञात्वा जनाः कथनम् आरब्धवन्तः
sp015-000355_007	यत् केशवस्य वचनम् ये शृण्वन्ति तेषाम् गृहे कलहः न भविष्यति इति
sp015-000356_007	निर्धनस्य केशवस्य प्रशंसा गोविन्दाय न अरोचत
sp015-000357_007	असूयया पीडितः सः केशवस्य अवमाननम् कर्तुम् अवसरस्य प्रतीक्षाम् आरब्धवान्
sp015-000358_007	कदाचित् शिवनामकः कश्चित् गोविन्दस्य सकाशात् ऋणम् स्वीकर्तुम् आगतवान्व
sp015-000359_007	सः कश्चित् निर्धनः कृषिकः
sp015-000360_007	तस्य पुत्री पद्मा
sp015-000361_007	सा प्राप्तवयस्का
sp015-000362_007	रत्नवणिजः पुत्रः भद्रः ताम् परिणेतुम् इच्छति स्म
sp015-000363_007	विवाहविषये शिवस्य अङ्गीकारः आसीत्
sp015-000364_007	किन्तु भद्रस्य पिता वरदक्षिणारूपेण पञ्चसहस्रम् रूप्यकाणि इच्छति स्म
sp015-000365_007	भद्रः चिन्तयति स्म यत् पितुः अङ्गीकारः अस्ति चेदेव विवाहः इति
sp015-000366_007	अनन्यगतिकतया शिवः ऋणप्राप्त्यर्थम् गोविन्दस्य समीपम् आगतवान्
sp015-000367_007	एतस्य अवसरस्य लाभम् स्वीकर्तुम् इच्छन् गोविन्दः
sp015-000368_007	एतावद्धनम् ऋणरूपेण स्वीकरोति चेत् भवतः विनाशः निश्चितः
sp015-000369_007	अत्र परिहारमार्गम् प्रायशः केशवः एव वक्तुम् समर्थः
sp015-000370_007	अतः तमेव भवान् पश्यतु इति उक्तवान्
sp015-000371_007	शिवः केशवसमीपम् गत्वा प्रवृत्तम् सर्वम् अवदत्
sp015-000372_007	सर्वम् श्रुत्वा केशवः भद्रः यदि पद्माम् परिणेतुम् इच्छति
sp015-000373_007	तर्हि वरदक्षिणाप्रश्नः कुतः अत्र
sp015-000374_007	तेन तु वरदक्षिणाम् विना एव सा परिणेतव्या
sp015-000375_007	सुन्दर्याः पद्मायाः विवाहः वरदक्षिणाम् विना एव भवेत्
sp015-000376_007	यदि सा इच्छेत् तर्हि अहमेव ताम् परिणयेयम् इति अवत्
sp015-000377_007	एताम् वार्ताम् श्रुत्वा भद्रः झटिति शिवसमीपम् आगत्य
sp015-000378_007	वरदक्षिणाविषये अहम् कथञ्चित् पितुः अङ्गीकारम् प्राप्स्यामि
sp015-000379_007	पद्मया सह एव मम विवाह भवतु इति अवदत्
sp015-000380_007	पार्श्वे स्थितया पद्मया एतच्छ्रुतम्
sp015-000381_007	सा भद्रम् अवदत्
sp015-000382_007	केशवः यदि विवाहप्रस्तावम् न अकरिष्यत् तर्हि भवान् निश्चयेन वरदक्षिणाम् स्वीकृतवान् स्यात्
sp015-000383_007	अतः अहम् केशवेन एव परिणीता भविष्यामि इति
sp015-000384_007	इदम् श्रुत्वा शिवः भीतः
sp015-000385_007	सः पद्माम् अवगमयितुम् बहुधा प्रयत्नम् कृतवान्
sp015-000386_007	भद्रः ताम् अवदत्
sp015-000387_007	दोषम् तु सर्वे कुर्वन्ति
sp015-000388_007	माम् क्षम्यतु भवती
sp015-000389_007	विवाहानन्तरम् भवतीम् चन्दनपुरम् नेष्यामि
sp015-000390_007	तत्रत्यानि वैशिष्ट्यानि दर्शयिष्यामि
sp015-000391_007	माम् निराशम् न करोतु भवति इति
sp015-000392_007	केशवः अपि अवदत्
sp015-000393_007	चन्दनपुरम् प्रति गमनम् न सुलभम्
sp015-000394_007	सामान्यैः कारणैः तत्र प्रवेशः प्राप्तुम् न शक्यः
sp015-000395_007	भद्रः तु वाणिज्यकारणम् उक्त्वा प्रवेशानुमतिम् विशेषक्लेशम् विना प्राप्नुयात्
sp015-000396_007	चन्दनपुरदर्शनसौभाग्यम् भवती अन्यस्य परिणयात् सर्वथा न प्राप्नुयात्
sp015-000397_007	अतः एतस्य एव परिणयः वरम् इति
sp015-000398_007	तथापि पद्मा केशवम् एव परिणेतुम् इष्टवती
sp015-000399_007	तयोः विवाहः सम्पन्नः
sp015-000400_007	ग्रामे सर्वत्र केशवस्य प्रशंसा अभवत्
sp015-000401_007	केशवस्य बुद्धिमताम् दृष्ट्वा गोविन्दः आश्चर्यचकितः
sp015-000402_007	केशवस्य गृहे कथञ्चित् समस्या उत्पादनीया इति निश्चितवान् सः
sp015-000403_007	अतः सः महता कष्टेन चन्दनपुरगमनाय अनुमतिम् प्राप्य केशवस्य गृहम् गत्वा अपृच्छत्
sp015-000404_007	अहम् चन्दनपुरम् गच्छन् अस्मि
sp015-000405_007	भवतः पत्नी मम पुत्रीसमाना
sp015-000406_007	भवता यदि परिणीता न अभविष्यत्
sp015-000407_007	तर्हि सा भद्रेण सह चन्दनपुरम् अगमिष्यत्
sp015-000408_007	अतः एताम् नीत्वा चन्दनपुरम् दर्शनीयम् इति मम प्रबला इच्छा
sp015-000409_007	किम् एतत् भवता अनुमन्यते इति
sp015-000410_007	तत्रैव स्थिता पद्मा एतच्छ्रुत्वा
sp015-000411_007	पतिः एव मम सर्वस्वम्
sp015-000412_007	चन्दनपुरम् द्रष्टव्यम् चेत् पत्या सह एव गमिष्यामि इति अवदत्
sp015-000413_007	ततः गोविन्दः निराशया एकाकी एव चन्दनपुरम् गतवान्
sp015-000414_007	एतस्याः घटनायाः अनन्तरम् पत्न्या सह चन्दनपुरम् गन्तव्यम् एव
sp015-000415_007	इति इच्छा उत्पन्ना केशवस्य अपि मनसि
sp015-000416_007	राजधान्याम् राघवनामकः राजोद्योगी वसति
sp015-000417_007	तस्मै सहस्रम् रूप्यकाणि दत्तानि चेत् सः चन्दनपुरगमनस्य व्यवस्थाम् करिष्यति
sp015-000418_007	कथञ्चित् प्रवेशार्थम् अनुमतिः लब्धा चेत्
sp015-000419_007	धनसम्पादनस्य मार्गः तत्र भवेत् एव इति अचिन्तयत् केशवः
sp015-000420_007	सः कस्यचिद्धनिकस्य सकाशात् सहस्रम् रुक्यकाणि ऋणरूपेण स्वीकृत्य
sp015-000421_007	तद्दिने एव पत्न्या सह चन्दनपुरम् प्रति प्रस्थितवान्
sp015-000422_007	सप्ताहचतुष्टयानन्तरम् गोविन्दः चन्दनपुरतः प्रत्यागतवान्
sp015-000423_007	चन्दनपुरस्य वैशिष्ट्यानि श्रोतुम् गोविन्दस्य बान्धवाः मित्राणि च आगतवन्तः
sp015-000424_007	गोविन्दः तत्रत्यानि वैशिष्ट्यानि वर्णयन्
sp015-000425_007	भूमौ एतादृशम् विशिष्टम् नगरम् स्यात् इत्यत्र मम विश्वासः एव नास्ति
sp015-000426_007	उदाहरणार्थम् मया आनीतानि वस्तूनि परिशीलयन्तु
sp015-000427_007	इति उक्त्वा आत्मना आनीतानि वस्तूनि प्रदर्शितवान्
sp015-000428_007	तत्र कौशेयशाटिकाः सुन्दरशिरस्त्राणि आकर्षकाणि पादत्राणानि
sp015-000429_007	इत्यादीनि विशिष्टानि बहूनि वस्तूनि आसन्
sp015-000430_007	सर्वम् दर्शयित्वा गोविन्दः चन्दनपुरविषये वक्तव्यम् इतोऽपि बहु अस्ति
sp015-000431_007	श्वः आगच्छन्तु तावत् इति अवदत्
sp015-000432_007	अस्तु इति उक्त्वा सर्वे प्रतिगताः
sp015-000433_007	किन्तु परेद्यवि कोऽपि गोविन्दस्य गृहम् न आगतवान्
sp015-000434_007	यतः तद्दिने एव केशवः पत्न्या सह चन्दनपुरात् आगतवान् आसीत्
sp015-000435_007	यावन्तः परिचिताः तेभ्यः सर्वेभ्यः दातुम् सः उपायनानि आनीतवान् आसीत्
sp015-000436_007	भद्राय प्रकाशमानम् रत्नाङ्गुलीयकम् दत्तवान् सः
sp015-000437_007	ऋणदात्रे धनिकाय पिञ्छसहिताम् लेखिनीम् दत्त्वा तदीयम् ऋणमपि प्रत्यर्पितवान्
sp015-000438_007	परेद्यवि यैः केशवात् उपायनानि प्राप्तानि आसन्
sp015-000439_007	तान् गोविन्दः स्वगृहम् आहूय केशवेन कस्मै किम् दत्तम् इत्यादि विवरणम् पृष्टवान्
sp015-000440_007	अचलपतिः शिरस्त्रम् प्राप्तवानासीत्
sp015-000441_007	तम् उद्दिश्य हन्त किम् एतत् भवता प्राप्तम् उपायनम्
sp015-000442_007	प्रायः भवतः ललाटे एतादृश्यस्य अल्पमूल्यकस्य प्राप्तिः एव लिखिता स्यात्
sp015-000443_007	अहम् तु भवते दातुम् सुवर्णाङ्गुलीयकम् एव आनीतवान् आसम्
sp015-000444_007	किन्तु किम् करवाणि
sp015-000445_007	सर्वेभ्यः दातुम् बहूनि वस्तूनि क्रीतानि आसन् मया
sp015-000446_007	सर्वाणि एकस्मिन् स्यूते पूरितवान् आसम्
sp015-000447_007	नौकातः आतरेण समये न जाने सः स्यूतः कथम् अदृश्यताम् गतः इति
sp015-000448_007	बहुधा अन्विष्टम् चेदपि सः न प्राप्तः एव इति अवदत् गोविन्दः
sp015-000449_007	तावता एव तत्रागतः केशवः स्यूतस्य कथाम् श्रुतवान्
sp015-000450_007	गोविन्दः केशवम् उद्दिश्य केशव मम निमित्तम् भवान् किमपि न आनीतवान् इति भाति इति उक्तवान्
sp015-000451_007	तदा केशवः मम समीपे वस्तूनाम् राशिः एव आसीत्
sp015-000452_007	स्थलाभावकारणतः भवतः स्यूते एव भवतः निमित्तम् आनीताम् मौक्तिकमालाम् अपि स्थापितवान् आसम्
sp015-000453_007	किम् सह एव स्यूतः नष्टः इति आश्चर्यम् अनुभवन् इव पृष्टवान्
sp015-000454_007	केशवस्य चातुर्ययुक्तैः वचनैः सर्वे उच्चैः हसितवन्तः
sp015-000455_007	सर्वेषाम् गमनानन्तरम् गोविन्दः केशवम् अपृच्छत्
sp015-000456_007	सर्वेषाम् पुरतः अमाननम् कृतवान् भवान्
sp015-000457_007	किम् एतत् उचितम् इति
sp015-000458_007	मया किम् वा कृतम्
sp015-000459_007	विश्वासानर्हा स्यूतनाशककथा भवता श्राविता
sp015-000460_007	अतः जनाः हसितवन्तः
sp015-000461_007	भवता स्वस्य अवमाननम् स्वयम् कृतम्
sp015-000462_007	यस्मिन् दिने प्रत्यागतम् तस्मिन्नेव दिने यदि स्यूतनाशककथा श्राविता स्यात्
sp015-000463_007	तर्हि जनाः विश्वासम् अकरिष्यन् कदाचित्
sp015-000464_007	इति उक्त्वा ततः निर्गतवान् केशवः
sp015-000465_007	तस्माद्दिनात् यदि कोऽपि केशवम् पृच्छेत्
sp015-000466_007	चन्दनपुरतः मह्यम् किमपि किम् न आनीतम् इति
sp015-000467_007	तर्हि केशवः वदति स्म
sp015-000468_007	भवतः निमित्तम् आनेतुम् वस्तु गोविन्दस्य स्यूते स्थापितम् आसीत् मया
sp015-000469_007	तच्च गोविन्दस्यूतेन सह एव नष्टम् इति
sp015-000470_007	यदि कोऽपि बालः किमपि वस्तु आवश्यकम् एव इति रोदनम् कुर्यात्
sp015-000471_007	तर्हि जनाः वदन्ति स्म
sp015-000472_007	तच्च गोविन्दस्यूते स्थापितम् आसीत्
sp015-000473_007	स्यूतः यदा प्राप्यते तदा तद्वस्तु दीयते भवते इति
sp015-000474_007	एतेन आत्मना कृतम् अविवेकम् अवगतवान् गोविन्दः
sp015-000475_007	अतः सः स्वस्य स्वभावम् परिवर्तयन् उत्तमाम् कीर्तिम् प्राप्तवान्
