sp010-000001_SR_01	समर्थः स्वामी रामदासः
sp010-000261_SR_09	राणूबाई अहर्निशम् जपति श्रीराम जय राम जय जय राम इति
sp010-000262_SR_09	अष्टाधिकषोडशशत ई वर्षे चैत्रशुक्लनवम्याम् द्वितीयम् पुत्रमाप
sp010-000263_SR_09	तस्मिन्नेव तिथौ रामनवमी महतोल्लासेन सम्भाविता
sp010-000264_SR_09	सूर्याजी यदा सायङ्काले गृहम् प्रत्यावर्त्तत सोऽशृणोत् अद्यैव तस्या अपि गृहे द्वितीयः पुत्रो जातः
sp010-000265_SR_09	सोऽपि च तस्मिन्नेव मध्याह्नकाले यस्मिन्नगृह्यत जनिर्भगवता दाशरथिना श्रीरामेण
sp010-000266_SR_09	गृहे महानानन्दः समुदियाय
sp010-000267_SR_09	ज्योतिर्विदो जन्मपत्रिकाम् निर्ममुः
sp010-000268_SR_09	जातकस्य विषये भविष्यवाणीम् चक्रुः
sp010-000269_SR_09	असौ दिगन्तरालेषु रामध्वजम् प्रसारयिष्यति भविष्यत्यसौ महान् कविः सङ्ग्राहकश्च
sp010-000270_SR_09	स्वकीयया वाण्याऽसौ राष्ट्रे नवम् चैतन्यम् जागरयिष्यति
sp010-000271_SR_10	ठोसरकुलस्य नाम प्रोज्ज्वलयिष्यत्येषः
sp010-000272_SR_10	नासौ रोचिष्यते गृहबन्धनम् विश्वमात्रे भ्रमिष्यत्येषः
sp010-000273_SR_10	वर्धापनशतानि भवतोः
sp010-000274_SR_10	सूर्याजीपन्तस्तमिमम् नारायण नाम्नाऽऽह्वयत्
sp010-000275_SR_10	क्रमेण नारायणोऽवर्धत
sp010-000276_SR_10	गृहाङ्गने स नृत्यति कूर्दति तत्ताश्चेष्टाश्च कुर्वाणो जनकौ नन्दयति
sp010-000277_SR_10	कदाचिदसौ पिष्ट आटा पात्रमधोमुखम् धत्ते कदाचित् जलपूर्णाम् गर्गरिकाम् रेचयति जलेन
sp010-000278_SR_10	कदाचिच्चुल्लीम् निर्वापयति कदाचिच्च वत्सम् मोचयति
sp010-000279_SR_10	तस्य चापलम् प्रत्यहम् वर्धमानमवर्त्तत
sp010-000280_SR_10	पितृभ्याम् व्यचारि पैठनमसौ नेतव्यः तत्र वर्त्ततेऽस्य मातामहस्य गृहम्
sp010-000281_SR_10	अत्रैव एकनाथ स्वामिनो भक्तिपीठमप्यस्ति
sp010-000282_SR_10	एकनाथस्वामी अस्य मातामहस्य सुहृदासीत्
sp010-000283_SR_10	एकनाथस्वामिनः पीठे य उत्तराधिकारी कोऽपि सत्पुरुष एव
sp010-000284_SR_10	ते कदाचिदिमम् शान्तम् कुर्युः
sp010-000285_SR_10	पीठाधिकार्यपि बालकमिमम् दृष्ट्वा विस्मितो जातः
sp010-000286_SR_10	कथयामास च तत्पितरौ भवन्तौ भाग्यातिशयवन्तौ स्तः
sp010-000287_SR_10	अस्य बालकस्य मुखम् परितो दृश्यते प्रभामण्डलम्
sp010-000288_SR_10	अवश्यमसौ भागवतमंशम् बिभर्ति
sp010-000289_SR_10	पितरौ बालकस्य चेष्टाः प्रकाशयतः
sp010-000290_SR_10	ताः श्रुत्वा पीठासीनो महात्मा हसति
sp010-000291_SR_10	कथयति च एतत् सर्वम् न किञ्चित् अग्रेऽसौ तादृशम् चेष्टिष्यते यत्राद्भुताश्चमत्कारा भविष्यन्ति
sp010-000292_SR_10	एवम् मन्वाताम् यत् अत्रभवतोर्गृहे साक्षाद् भगवान् हनूमानेवाऽऽगतः
sp010-000293_SR_10	पीठाधिपो बालकम् नारायणम् मस्तकेस्पृशत् अयोजयच्चाशीर्भिः भागवतम् प्रसादम् प्राशयच्च स्वहस्तेन
sp010-000294_SR_10	सूर्याजीपन्तः तत्पत्नी राणूबाई पुत्राभ्याम् सह जाबम् प्रत्याजग्मतुः
sp010-000295_SR_10	नारायणः षड्वर्षदेशीयो जातः
sp010-000296_SR_10	सूर्याजीपन्तस्तस्य यज्ञोपवीतसंस्कारम् कारयामास
sp010-000297_SR_10	तम् स सूर्याजी एव स्वयम् शिक्षयति
sp010-000298_SR_10	तस्य धारणाशक्तिरतितीव्राऽभूत्
sp010-000299_SR_10	एकश्रुतः स आसीत् एकबारमेव श्रुतो विषयस्तस्य कण्ठस्थितोऽजायत
sp010-000300_SR_10	अल्पेनैव कालेन स रूपावलिम् समासचक्रम् अमरकोशम् च कण्ठस्थितञ्चक्रे सम्पूर्णेन दिनेन
sp010-000301_SR_10	साध्यम् पाठम् स स्वल्पेनैव कालेन पूरयति ततः परम् यथाकामम् विचरति
sp010-000302_SR_10	नद्याम् प्लवते पर्वतशिखराण्यारोहति आरुह्य स तत्रैव बद्धासनस्तिष्ठति
sp010-000303_SR_10	तस्य मनसि नैकविधा प्रश्ना उदतिष्ठन्
sp010-000304_SR_11	स जिज्ञासते जलम् कथम् वर्षति प्रवृष्टे तस्मिन् सर्वत्र हरितिमा किमिति समुत्पद्यते
sp010-000305_SR_11	वृक्षाः क्षुपाः तृणगुल्मादिकम् कथम् उत्पद्यन्ते आकाशस्थितास्ताराः स्वम् स्थानम् कथम् न त्यजन्ति
sp010-000306_SR_11	चन्द्रः प्रत्यहम् केन हेतुना क्षीयते वर्धते च ताराः कथम् न पतन्ति तत्र को नु हेतुः
sp010-000307_SR_11	सूर्य इयन्तमुष्णिमानम् कस्मात् स्रोतस आधत्ते मृत्योरूर्ध्वम् जनः कुत्र याति
sp010-000308_SR_11	लोकाः कथयन्ति यद् यो मृतः स भगवद्धाम प्रपन्न इति
sp010-000309_SR_11	कोऽसौ भगवानिति
sp010-000310_SR_11	कुत्र वासौ तिष्ठति द्रष्टुम् शक्यते किमु सः लोकाः मन्दिरमूर्तीः भगवानिति शब्दापयन्ति मूर्तयश्च न चलन्ति न वा स्पन्दन्ते
sp010-000311_SR_11	तदाऽस्य विश्वस्य चालयित्री शक्तिः का
sp010-000312_SR_11	एवंविधा नैके प्रश्नास्तस्य नारायणस्य मनसि परिस्फुरन्ति
sp010-000313_SR_11	पितरम् तदुत्तराणि पृच्छति सः
sp010-000314_SR_11	पितापि शास्त्रदत्तान्युत्तराणि तम् श्रावयति व्याख्याति च
sp010-000315_SR_11	हृष्टचेताः स स्वगतत्वेन कथयति अहह मम पुत्रः कियद् बुद्धिमानस्ति
sp010-000316_SR_11	अहमस्मै सातिशयम् शिक्षयिष्ये
sp010-000317_SR_11	शास्त्राणि विद्या कलाश्चेति साङ्गोपाङ्गमिमम् पाठयिष्यामि
sp010-000318_SR_11	काशीमिमम् प्रेषयिताहे एवंविधा नैका योजनास्तेन मनसि स्थिरीकृताः
sp010-000319_SR_11	किन्तु हन्त
sp010-000320_SR_11	मनुष्य किञ्चिदन्यत् चिन्तयति दैवम् चान्यथा प्रवर्तते
sp010-000321_SR_11	सूर्याजी पन्तः सहसैव स्वर्गतो जातः
sp010-000322_SR_11	सम्पूर्णे परिवारे सङ्कटशैला न्यपतन्
sp010-000323_SR_11	राणूदेवी सातिशयमदूयत किन्तु भागवतीमिच्छाम् बलीयसीम् मत्वा
sp010-000324_SR_11	पुत्रावुभौ चापेक्ष्य सा किञ्चित् सुस्थाऽतिष्ठत्
sp010-000325_SR_11	चपलो नारायणः
sp010-000326_SR_11	पितुर्वियोजितो नारायणो निर्नियन्त्रणो जातः
sp010-000327_SR_11	अधिकम् खेलति स्वल्पम् चाधीते
sp010-000328_SR_11	क्वचित् तरुमूषिकावद् द्रुतया गत्या द्रुमानारोहति
sp010-000329_SR_11	वानरवच्छाखातः शाखान्तरे कूर्दति नैका होरा नद्याम् प्लवते
sp010-000330_SR_11	धावन्नेव शैलशिखराण्यधिरोहति
sp010-000331_SR_11	लघवः शिशवो रात्रावन्धकारे बहिर्गमनाद् बिभ्यति किन्तु नारायणो भयस्य सर्वथैवानभिज्ञः
sp010-000332_SR_11	स स्वयमन्यान् भाययति स्म
sp010-000333_SR_11	एकदा रात्रावेव स वृक्षमेकमारुरोह
sp010-000334_SR_11	प्रतिवेशी कश्चिदात्मानम् वीरतायै प्रशंसति स्म
sp010-000335_SR_11	संयोगवशात् स तस्यैव वृक्षस्य तलान्निश्चक्राम
sp010-000336_SR_11	नारायणस्तारम् व्याजहार हूः हूः इति
sp010-000337_SR_11	श्रुत्वा प्रतिवेशी समधिकम् व्याकुलतया भूतः भूतः इति तारम् चुक्रोश प्राक्रमत च पलायितुम्
sp010-000338_SR_12	स्खलितपतितः स आक्रोशति रक्षत रक्षतेति
sp010-000339_SR_12	श्रुत्वा पार्श्वप्रतिवेशिनो जनास्तमुपेयुः
sp010-000340_SR_12	कतिपये दीपानप्यानिन्युः
sp010-000341_SR_12	कश्चिद् ब्रवीति अवश्यमत्र केनापि भवितव्यमिति
sp010-000342_SR_12	क्षणादूर्ध्वम् केनचिद् दृष्ट्वा प्रोक्तम् अरे अयम् तु नारायणोऽस्तीति
sp010-000343_SR_12	नारायणो हसन्नीचैरवारोहत्
sp010-000344_SR_12	प्रतिवेशी पप्रच्छ किमर्थमत्रागत्य स्थितो भवानिति
sp010-000345_SR_12	उत्तरे नारायणोऽब्रवीत् भूतमन्वेष्टुम्
sp010-000346_SR_12	एकदा स एकम् कृषिक्षेत्रम् प्रापत्
sp010-000347_SR_12	तत्र ज्वारमुष्टे राशय आसन् निर्मिताः
sp010-000348_SR_12	तत्र किञ्चित् प्रसेवकेषु पातितम् किञ्चित् च पात्यमानामासीत्
sp010-000349_SR_12	कर्षुकः परिहासेन पप्रच्छ तम् ब्रूहि किमिष्यते ज्वारमिष्यते किम्
sp010-000350_SR_12	नारायणः कर्षुकमुदतरत् यदि दित्ससि कथम् न गृह्णीय
sp010-000351_SR_12	कर्षकोऽब्रूत ज्वारपूरितम् प्रसेवकम् पृष्ठे संस्थाप्य नयतु यावदपेक्षम् इति
sp010-000352_SR_12	नारायणः प्रसेवकमेकम् पृष्ठे संस्थाप्य गृहम् प्रति चलितः
sp010-000353_SR_12	कर्षकः पृष्ठतो धावन्नारायणस्य गेहम् प्राप
sp010-000354_SR_12	मातरम् बुबुधे सा नारायणमभर्त्सयत्
sp010-000355_SR_12	नारायणो निविवेद चौर्येण नानीतमिदम् एतेनैवाहमेवमालपितः पृष्ठे प्रसेवकम् स्थापयित्वा यथेच्छम् गृहाणेति
sp010-000356_SR_12	कर्षुको भृत्यैर्यावत् प्रसेवकममुम् क्षेत्रम् प्रेषयति तावन्नारायणो द्वितीयम् प्रसेवकम् आनिनाय
sp010-000357_SR_12	ततस्तृतीयमिति कर्षुको नारायणस्य बलम् दृष्ट्वा तस्य चरणयोर्न्यपतत् उवाच च क्षन्तव्योऽहमिति
sp010-000358_SR_12	नारायणेन समम् सदैव चलति स्म मित्रमण्डली
sp010-000359_SR_12	एकदा ग्रामे कश्चनोत्सव आयोजितः सर्वेषाम् वस्तूनाम् प्रबन्धः सम्पन्नः पानीयम् तु प्रतीक्ष्यते स्म
sp010-000360_SR_12	वृद्धाः कथयन्ति स्म किम् कुर्म कुत आनयेम जलमिति नारायणश्चिन्ता शब्दानिमान् शुश्राव
sp010-000361_SR_12	यदा सर्वे ततो निर्गतास्तदा मध्येरात्रम् नारायणः स्वसुहृद आजुहाव
sp010-000362_SR_12	षष्टिः सप्ततिर्वा बालकाः समवेताः
sp010-000363_SR_12	सर्वे गर्गरिका कलशः इत्यादीनि पात्राणि आददानाः आसन्
sp010-000364_SR_12	चतसृभिर्होराभिः जलसङ्ग्राहकी कूपिका हौज आशिरः पानीयेन सम्भृता जाता
sp010-000365_SR_12	ततस्ते सर्वे स्वम् स्वम् निकेतम् गताः
sp010-000366_SR_12	प्रातः संयोजकैर्जलव्यवस्था दृष्टा ज्ञातम् च नारायणस्येदम् शौर्यमिति तदा सर्वेऽपि सम्भूय राणूदेवीपार्श्वम् गताः
sp010-000367_SR_12	सर्वानागतान् सा पप्रच्छ किम् नारायणस्य कञ्चिदुपद्रवम् सूचयितुम् समवेता भवन्त इति
sp010-000368_SR_13	ते तु तस्य पानीयकौशलम् सूचयित्वा तम् द्रष्टुमैषिषुः
sp010-000369_SR_13	प्रसन्नमुखी माता कथयति स तु शयित एवेदानीमपीति
sp010-000370_SR_13	सर्वैरवोचि सम्पूर्णा रात्रिर्जलपूर्त्तौ नीता तत इदानीम् यावन्नारायणस्योचित एव स्वाप इति
sp010-000371_SR_13	श्रुत्वा राणूदेवी प्राहृष्यत्
sp010-000372_SR_13	एको गोपालो ग्राम बालान् क्लेशयति स्म
sp010-000373_SR_13	अनेका महिष्यः गावश्चासन् तस्य गोष्ठे
sp010-000374_SR_13	किन्तु स गृहस्यापि बालेभ्यो दुग्धस्य बिन्दुमपि न ददाति
sp010-000375_SR_13	नादात् तेभ्यः कदाचिदपि माकन्दम् नवनीतम्
sp010-000376_SR_13	नारायणमित्राणि तम् प्राप्य यदा दुग्धदधिनी याचन्ते स मारयितुम् धावति
sp010-000377_SR_13	नारायणेन सङ्कल्पितम् शिक्षणीय एष इति
sp010-000378_SR_13	एकदा गोपालस्याऽनुपस्थितौ तस्य गोष्ठम् परितः इष्टिकाः प्रस्तराः सिकता मृत्तिका सञ्चिताः
sp010-000379_SR_13	स्तूपकल्पमिमम् इष्टकादिराशिमाश्रित्य गोपालस्य महिषीः गाश्च
sp010-000380_SR_13	गोपालगोष्ठस्य उपरि प्रापयन् बालकाः राशिञ्च नाशितवन्तः
sp010-000381_SR_13	विसृष्टाश्च बालकाः स्वस्वमालयम् प्रतिगताः
sp010-000382_SR_13	सायङ्काले गोपालो गृहमुपेतः
sp010-000383_SR_13	स पश्यति सर्वा गावः समाश्च महिष्यो गोष्ठवितर्दिकायामारूढाः न शक्नुवन्त्यवरोढुम्
sp010-000384_SR_13	गोपालो विसिष्मिये कथमिदम् सम्भवतीति सोऽचिन्तयत्
sp010-000385_SR_13	मुखम् व्यादाय स केवलम् पश्यत्येवैतत् सर्वम्
sp010-000386_SR_13	पार्श्वप्रतिवेशिनो जना समवायन्
sp010-000387_SR_13	ते तम् हसन्ति
sp010-000388_SR_13	कथयन्ति
sp010-000389_SR_13	निःश्रेणिकमानय अवारोपय चैताः इत्येकः आसाम् गले रज्जुम् बध्नातु
sp010-000390_SR_13	पातयतु चाधः इत्यन्यः शीघ्रमेता नीचैः क्षिपतु
sp010-000391_SR_13	अन्यथा वितर्दिका भङ्क्ष्यते इत्यपरः
sp010-000392_SR_13	अन्ते यदा गोपालोऽज्ञासीत् नारायणस्य कार्यमिदमिति तदा स राणूदेवीमुपेयाय
sp010-000393_SR_13	तत्र दृष्टस्तेन नारायणः
sp010-000394_SR_13	प्रार्थितः स गोपालम् ब्रूते यदि त्वम् प्रतिजानीषे प्रतिदिनम् बालकेभ्यो
sp010-000395_SR_13	दुग्धदधिमाकन्दम् दास्यसीति तदा तवैमा गावः महिष्यश्च भूमाववतरिष्यन्ति
sp010-000396_SR_13	गोपालो नारायणस्वामिन आदेशम् स्वीकृतवान् स्वीक्रियते यदुच्यते श्रीमद्भिरिति
sp010-000397_SR_13	नारायणो ध्वनिमकरोत्
sp010-000398_SR_13	पुनरपि सर्वे बालका गोष्ठम् प्राप्ताः
sp010-000399_SR_14	सर्वापि चेष्टकाप्रस्तरादिसामग्री भूयोऽपि गोष्ठपार्श्वे स्तूपभावम् प्राप्ता
sp010-000400_SR_14	आयाताश्च सर्वे पशवोऽधस्तात्
sp010-000401_SR_14	ईश्वर एको ध्येयः
sp010-000402_SR_14	नारायणः प्रतिदिनमुपद्रवति
sp010-000403_SR_14	उपद्रवोपालम्भोऽस्य प्रतिदिनलाभो मातू राणूदेव्याः
sp010-000404_SR_14	गृहे न्यूनम् बहिरेवाधिकमसौ व्यत्येति समयम्
sp010-000405_SR_14	खेलः ग्रामबालकसङ्घः वनभ्रमणम् शैलशिखरारोहणम्
sp010-000406_SR_14	इत्यादिष्वेवासीन् नारायणस्यासत्त्यतिशयः
sp010-000407_SR_14	परोपकारकार्याण्यपि सुबहूनि निर्वर्त्तयति सः
sp010-000408_SR_14	तस्यायत्यै राणूदेवी चिन्तिताऽऽसीत्
sp010-000409_SR_14	उपदिशति स्म सा तथा तथा तम्
sp010-000410_SR_14	एकदा पार्श्वे उपवेश्य सा नारायणमुपदिशति
sp010-000411_SR_14	वत्स इदानीम् नासि त्वम् बालः किशोरताम् प्राप्तोऽसि
sp010-000412_SR_14	सम्प्रति त्वया सम्यगवधार्य वर्त्तितव्यम्
sp010-000413_SR_14	आत्मनोऽग्रजस्य सेवा त्वयेदानीम् करणीया
sp010-000414_SR_14	अध्ययनम् कृषिकर्म गृहकार्याणि इत्येतेषु कार्येषु त्वया स्वकीयस्याग्रजस्य साहाय्यमाचरणीयम्
sp010-000415_SR_14	त्वम् पुनरहर्निशम् खेलादिष्वेव निरतः
sp010-000416_SR_14	नितरामाशान्विताऽस्मि त्वयि
sp010-000417_SR_14	कुत्रापि त्ववश्यमवधेयम् त्वयेति
sp010-000418_SR_14	नारायणोऽब्रूत मातः अवश्यमेवावधास्यामि भवत्या वचने इति
sp010-000419_SR_14	तस्मिन्नेव दिने नारायणो गृहस्यैकस्मिन् कोणे स्थित्वा चिन्तनम् कुरुते
sp010-000420_SR_14	नारायणमित्राणि बहिरेकत्रितानि खेलन्ति किन्तु तेषु नारायणो न दृश्यते
sp010-000421_SR_14	तया चिन्तितम् गतः स्यादन्यत्र क्वचनेति
sp010-000422_SR_14	व्यतीतासु कासुचित् होरासु सा पश्यति नारायणो गृहस्यैवैकस्मिन् कक्षे चिन्तामग्नः स्थित इति
sp010-000423_SR_14	माताऽपृच्छत् वत्स त्वमत्र तिष्ठसि कथम् नोपेतस्तव मित्राणि खेलितुमिति
sp010-000424_SR_14	पुत्र उदतरत् अम्ब अहम् चिन्ताम् करोमि
sp010-000425_SR_14	माता पृच्छति किम् चिन्तयसि इति
sp010-000426_SR_14	नारायण उत्तरति
sp010-000427_SR_14	अभितो मम सङ्कटाब्दसङ्घस्तनुते सङ्कटवर्षणानि मातः
sp010-000428_SR_14	ननु का भविता गतिर्नृणाम् नः सततम् मायिकजालवेष्टितानाम्
sp010-000429_SR_14	ननु का भविता स्थितिः सुराणामपि सर्वत्र सुरालयस्थितानाम्
sp010-000430_SR_14	इति चिन्तयितुम् प्रवृत्त एष तव पुत्रो जननि त्वयैव सृष्टः
sp010-000431_SR_14	नारायणस्य स्वभावो यमपि विसिनोति विषयम् तत्रैव निमज्जति सान्तत्येन तमेव चिन्तयति
sp010-000432_SR_14	गच्छति स्म स मात्रा सह पुराणम् श्रोतुम्
sp010-000433_SR_15	शृणोति स्म स तन्मयो भूत्वा
sp010-000434_SR_15	नैकेषाम् साधूनाम् सत्पुरुषाणाम् महात्मनाम् च कथाः स शुश्रुवान्
sp010-000435_SR_15	बालकस्य ध्रुवस्य औत्तानपादेरपि कथाम् सोऽशृणोत्
sp010-000436_SR_15	सा तस्मै भृशमरोचत
sp010-000437_SR_15	स मातरमुक्तवान् अहमपि वनम् गत्वा तपश्चरिष्यामीति मात्रा स उदबोधि
sp010-000438_SR_15	तपश्चरणम् दुष्करप्रायम् तदर्थमपेक्ष्यते साहसम् इति
sp010-000439_SR_15	नारायणस्य निवासमारात् कूपमासीदेकम्
sp010-000440_SR_15	स मातरमुवाच पश्य मम साहसमिति
sp010-000441_SR_15	एवमुक्त्वा स प्राद्रवत् कूपे चाकूर्दत्
sp010-000442_SR_15	नारायणमाता चुक्रोश रक्षत रक्षत मम नारायणम् स कूपे कूर्दित इति
sp010-000443_SR_15	पार्श्ववर्त्तिभिः समवेत्य कूपे पातिता दृढा रज्जुः
sp010-000444_SR_15	नारायणस्ताम् धृत्वा कूपगर्भाद् बहिरागतः
sp010-000445_SR_15	तम् माता पृच्छति क्वचिदपि घातस्तु न जातः अपि नास्ति क्वचित् व्रणितः
sp010-000446_SR_15	सम्पूर्णम् शरीरम् सा नारायणस्य पराममृशे
sp010-000447_SR_15	नारायणोऽब्रूत मातः
sp010-000448_SR_15	कपाले किञ्चिदाहतोऽस्मि
sp010-000449_SR_15	सा किञ्चित् विलिप्य पट्टिकामबध्नात्
sp010-000450_SR_15	तस्याश्चक्षुषोरश्रूणि दृष्ट्वा नारायणः सानुनयमूचे मातः मा रोदीः
sp010-000451_SR_15	तवाक्ष्णोरश्रु पश्यतो ममापि रोदनम् जायते
sp010-000452_SR_15	इदानीम् त्यक्तमेव मया चापलमित्यवेहि निश्चिन्ता तिष्ठेति
sp010-000453_SR_15	नारायणः श्लोकमिमम् श्रुतवानभूत्
sp010-000454_SR_15	गुरुर्ब्रह्मा गुरुर्विष्णुः गुरुर्देवो महेश्वरः
sp010-000455_SR_15	गुरुः साक्षात् परब्रह्म तस्मै श्रीगुरवे नमः
sp010-000456_SR_15	नारायणोऽसकृदुज्जगौ गीतमिदम् गुरुम् विना को नु पथः प्रदर्शक इति तस्याशयः
sp010-000457_SR_15	तेन व्यचारि ईश्वरे प्राप्तव्ये गुरुरभ्यर्हितः
sp010-000458_SR_15	ज्ञानेश्वरस्य गुरुरासीत् तस्याग्रजो निवृत्तिनाथः गुणवान्
sp010-000459_SR_15	ममाप्यग्रजो गुणी
sp010-000460_SR_15	अत एवासौ श्रेष्ठ इति नाम्ना प्रसिद्धः
sp010-000461_SR_15	नारायण एकदा स्वस्याग्रजस्य पादौ धृत्वा प्रार्थयत्
sp010-000462_SR_15	मह्यम् मन्त्रदीक्षा दीयताम् उपदेशः क्रियताम् भवानेव मे गुरुर्भूयात्
sp010-000463_SR_15	मह्यम् साधनामार्ग उपदिश्यताम् इति
sp010-000464_SR_15	अग्रजस्तत्प्रार्थनम् न स्वीचकार
sp010-000465_SR_15	तस्यासीत् तर्कः त्वमिवाहमपि साधनामार्गेऽपटुरेव
sp010-000466_SR_15	कालान्तरे यदा पाटवम् सेत्स्यति मयि तदा द्रक्ष्यामीति
sp010-000467_SR_15	अन्यदापि द्विरग्रजम् प्रार्थयन् यदा साफलीम् न प्राप तदा नारायणो गृहात् पलायितः
sp010-000468_SR_15	दिनद्वयम् व्यतीतम् पलायितस्य तस्य
sp010-000469_SR_15	सर्वत्रैव व्याकुली ददृशे
sp010-000470_SR_15	तृतीयेऽहनि एको मेषपालोऽसूचयत् वनान्तरान्तेऽतिदूरे यन्मारुतिमन्दिरमस्ति तत्र नारायणस्तूष्णीम् स्थितो ध्यानमग्नः
sp010-000471_SR_16	श्रेष्ठो गङ्गाधरस्तत्क्षणम् मारुतिमन्दिरमुपेयाय
sp010-000472_SR_16	तत्र दृष्टस्तेन नारायणो ध्यानमग्नः बाह्यस्य विश्वस्य नास्त्येव तस्मिन् परामर्शः
sp010-000473_SR_16	महता प्रयासेन तस्य मनः सामान्याम् स्थितिमाप
sp010-000474_SR_16	अक्षिण्युन्मील्य स यावत् पश्यति अग्रे अग्रजम् गङ्गाधरम् पश्यति
sp010-000475_SR_16	तस्मै प्रणम्य नारायणोऽब्रूत भ्रातः भवताऽहमवहेलितः
sp010-000476_SR_16	किन्तु दत्तदर्शनेन भगवता हनूमताऽहमुपादेशि रामनाम जपेति
sp010-000477_SR_16	इदानीमहम् स्वकीयम् जीवनम् रामभक्तये समर्पयिष्ये
sp010-000478_SR_16	अग्रजो गङ्गाधरोऽब्रूत हर्षस्यायम् विषयः यादृशी प्रभोरिच्छा
sp010-000479_SR_16	किन्तु इदानीम् त्वम् ग्रहम् चल जननी नौ निरन्तरकृताश्रुपाता रोदिति
sp010-000480_SR_16	गङ्गाधरो नारायणम् गृहमानिनाय
sp010-000481_SR_16	तस्मिन् दृष्टमात्रे राणूदेवी दधाव
sp010-000482_SR_16	सा नारायणम् वक्षसि सञ्जयामास
sp010-000483_SR_16	इदानीम् तस्या अक्ष्णोरानन्दाश्रूण्यवर्षन्
sp010-000484_SR_16	तदाप्रभृति नारायणो गीतमेकम् निरन्तरम् स्वगतत्वेन गायति
sp010-000485_SR_16	प्राप्तव्यो यदि स प्रभुस्त्यजत रे भक्ताः स्वकान् बान्धवान्
sp010-000486_SR_16	मायापाशवहानथो प्रददत स्वम् सर्वमेवासुभिः
sp010-000487_SR_16	अथ कदाचिद् रामम् प्रभुम् याचते
sp010-000488_SR_16	मिष्टाम् देहि गिरम् प्रदेहि कुशले कर्मण्यभिष्वञ्जनाम्
sp010-000489_SR_16	कालोद्बोधमथो दयस्व भगवन् दातुम् क्रिया कौशलम्
sp010-000490_SR_16	हिताहितविवेचनाम् प्रदिश राम सौख्यावहम्
sp010-000491_SR_16	समस्य जगतः प्रभो कुरु कुरुष्व हृद्वीक्षणम्
sp010-000492_SR_16	तनुष्व सुहृदम् सृतेरवहितिम् निधेह्यात्मनः
sp010-000493_SR_16	सुभाषितरुचिम् गुणान् सुसुरभीनथो धेहि नः
sp010-000494_SR_16	विवाहमण्डपात् पलायनम्
sp010-000495_SR_16	नारायणो मित्रव्यासङ्गम् तत्याज केवलम् ध्यानधारणादीनेव सिषेवे
sp010-000496_SR_16	फलाहारमेव करोति दुग्धाहारमेव वा
sp010-000497_SR_16	मित्रजातमाह्वयति तर्हि उत्तरति नाहम् सावकाशः सन्ध्यामुपासे जपश्चलति इत्यादिकम्
sp010-000498_SR_16	इदानीम् माता राणूः शङ्कते मा भूदसावितो हिमगिरिम् प्रस्थितः
sp010-000499_SR_16	मा भूदसौ त्यक्तसंसारो विरक्तः साधुः इति
sp010-000500_SR_16	तया व्यचारि विवाहोऽस्य कर्त्तव्यः
sp010-000501_SR_17	कृतविवाहा अनेके युवानो दृष्टाः कल्पनालोकात् वास्तवे विश्वस्मिन्नवतरन्तः
sp010-000502_SR_17	वायुनोड्डीना भूमण्डलम् स्पृशन्तः ईशभक्तिम् परित्यज्य लवण तैल काष्ठ मूल्यानि पृच्छन्तः
sp010-000503_SR_17	प्रभो कुरु मम नारायणम् मार्गस्थम् योजयैनम् गृहस्थाश्रम इति
sp010-000504_SR_17	राणूदेवी ज्येष्ठेन पुत्रेण पराममर्श गङ्गाधरेण
sp010-000505_SR_17	स समज्ञापयाञ्चकार मातरम् मातः पूर्वम् नारायणम् पृच्छ स नानुज्ञास्यति विवाहम्
sp010-000506_SR_17	अपृष्ट्वाऽऽयोजिते विवाहसन्नाहे स विद्रोहम् करिष्यति
sp010-000507_SR_17	यदा विवाहचर्चा बलवती जाता तदा नारायणस्य मित्रमण्डली आयाता पृष्टवती कुत्रास्ति नारायण इति
sp010-000508_SR_17	नास्ति गृहे स इत्युक्ते सा चतुरस्रम् धावति पश्यति च तत्र तत्र
sp010-000509_SR_17	एकेन मित्रेण नारायणो दृष्टः
sp010-000510_SR_17	स आसीदश्वत्थवृक्षस्य महति विताने नितान्तमुपरि विद्यमानाम् शाखामेकामारूढ इति
sp010-000511_SR_17	आकारितः स नाश्रौषीत् नाप्यधस्तादृष्टिम् दधौ
sp010-000512_SR_17	अन्ते ज्येष्ठो भ्राता गङ्गाधर आगतः उक्तवाँश्च नेदमुचितम्
sp010-000513_SR_17	नारायण कीदृशस्त्वम् पुत्रः माता बाष्पम् दृशोर्वर्षन्ती तिष्ठति त्वम् पुनरत्र वृक्षमारुह्य
sp010-000514_SR_17	नीचैरेहि तवेच्छाया विरोधे न करिष्यति कोऽपि तव विवाहमिति
sp010-000515_SR_17	नारायणस्तत एव कूर्दितः नीचैः
sp010-000516_SR_17	सर्वैरवबोधितः स गङ्गाधरेणाग्रजेन सह गृहमुपेतः
sp010-000517_SR_17	कतिचिद् दिनानि विवाहचर्चा शान्ता
sp010-000518_SR_17	तद्विषये सर्वेऽपि मौनिनोऽतिष्ठन्
sp010-000519_SR_17	अथैकदा माता राणूदेवी नारायणम् पार्श्वे उपवेश्य मधुरेण स्वरेण प्रेम्णोवाच
sp010-000520_SR_17	नारायण त्वमसि मम वत्सलः पुत्रः तवाप्यहम् पूज्या जननी
