sp008-000001_SR_01	स मातुः पार्श्वम् प्राप्तः
sp008-000475_YS_06	तत्र तदुपदिष्टार्थैकदेशप्रत्यक्षत्वे सति सर्वम् सूक्ष्मविषयमपि आपवर्गात् श्रद्धीयते
sp008-000476_YS_06	एतदर्थमेव इदम् चित्तपरिकर्म निर्दिश्यते
sp008-000477_YS_06	अनियतासु वृत्तिषु तद्विषयायाम् वशीकारसञ्ज्ञायाम् उपजातायाम् चित्तम् समर्थम् स्यात्
sp008-000478_YS_06	तस्य तस्यार्थस्य प्रत्यक्षीकरणाय इति
sp008-000479_YS_06	तथा च सति श्रद्धा वीर्य स्मृति समाधयः अस्य अप्रतिबन्धेन भविष्यन्ति इति
sp008-000480_YS_07	विशोका वा ज्योतिष्मती
sp008-000481_YS_07	प्रवृत्तिरुत्पन्ना मनसः स्थितिनिबन्धनीति अनुवर्तते
sp008-000482_YS_07	हृदयपुण्डरीके धारयतो या बुद्धिसंवित् बुद्धिसत्त्वम् हि भास्वरम् आकाशकल्पम्
sp008-000483_YS_07	तत्र स्थितिवैशारद्यात् प्रवृत्तिः सूर्येन्दु ग्रह मणि प्रभारूपाकारेण विकल्पते
sp008-000484_YS_07	तथाऽस्थितायाम् समापन्नम् चित्तम् निस्तरङ्ग महोदधिकल्पम् शान्तम् अनन्तम् अस्मितामात्रम् भवति
sp008-000485_YS_07	यत्रेदमुक्तम् तम् अणुमात्रमात्मानम् अनुविद्य अस्मीत्येवम् तावत् सम्प्रजानीते इति
sp008-000486_YS_07	एषा द्वयी विशोका विषयवती अस्मितामात्रा च प्रवृत्तिः ज्योतिष्मती इत्युच्यते
sp008-000487_YS_07	यया योगिनः चित्तम् स्थितिपदम् लभते इति
sp008-000488_YS_07	वीतरागविषयम् वा चित्तम्
sp008-000489_YS_07	वीतरागचित्तालम्बनोपरक्तम् वा योगिनश्चित्तम् स्थितिपदम् लभत इति
sp008-000490_YS_07	स्वप्ननिद्राज्ञानालम्बनम् वा
sp008-000491_YS_07	स्वप्नज्ञानालम्बनम् वा निद्राज्ञानालम्बनम् वा तदाकारम् योगिनश्चित्तम् स्थितिपदम् लभत इति
sp008-000492_YS_07	यथाभिमतध्यानाद्वा
sp008-000493_YS_07	यदेवाभिमतम् तदेव ध्यायेत्
sp008-000494_YS_07	तत्र लब्धस्थितिकम् अन्यत्रापि स्थितिपदम् लभत इति
sp008-000495_YS_07	परमाणुपरममहत्त्वान्तोऽस्य वशीकारः
sp008-000496_YS_07	सूक्ष्मे निविशमानस्य परमाण्वन्तम् स्थितिपदम् लभते इति
sp008-000497_YS_07	स्थूले निविशमानस्य परममहत्त्वान्तम् स्थितिपदम् चित्तस्य
sp008-000498_YS_07	एवम् तौ उभयीम् कोटिम् अनुधावतो योऽस्य अप्रतिघातः सः परो वशीकारः
sp008-000499_YS_07	तद्वशीकारात् परिपूर्णम् योगिनः चित्तम् न पुनरभ्यासकृतम् परिकर्मापेक्षत इति
sp008-000500_YS_07	अथ लब्धस्थितिकस्य चेतसः किंस्वरूपा किंविषया वा समापत्तिरिति तदुच्यते
sp008-000501_YS_07	क्षीणवृत्तेरभिजातस्येव मणेर्ग्रहीतृग्रहणग्राह्येषु तत्स्थतदञ्जनतासमापत्तिः
sp008-000502_YS_07	क्षीणवृत्तेरिति प्रत्यमित प्रत्ययस्य इत्यर्थः
sp008-000503_YS_07	अभिजातस्येव मणेरिति दृष्टान्तोपादानम्
sp008-000504_YS_07	यथा स्फटिकः उपाश्रयभेदात् तत्तद्रूपोपरक्तः उपाश्रयरूपाकारेण निर्भासते
sp008-000505_YS_07	तथा ग्राह्यालम्बनोपरक्तम् चित्तम् ग्राह्यसमापन्नम् ग्राह्यस्वरूपाकारेण निर्भासते
sp008-000506_YS_07	तथा भूतसूक्ष्मोपरक्तम् भूतसूक्ष्मसमापन्नम् भूतसूक्ष्मस्वरूपाभासम् भवति
sp008-000507_YS_07	तथा विश्वभेदोपरक्तम् विश्वभेदसमापन्नम् विश्वरूपाभासम् भवति
sp008-000508_YS_07	तथा ग्रहणेष्वपि इन्द्रियेष्वपि द्रष्टव्यम्
sp008-000509_YS_07	ग्रहणालम्बनोपरक्तम् ग्रहणसमापन्नम् ग्रहणस्वरूपाकारेण निर्भासते
sp008-000510_YS_07	तथा ग्रहीतृपुरुषालम्बनोपरक्तम् ग्रहीतृपुरुषसमापन्नम् ग्रहीतृपुरुषस्वरूपाकारेण निर्भासते
sp008-000511_YS_07	तथा मुक्तपुरुषालम्बनोपरक्तम् मुक्तपुरुषसमापन्नम् मुक्तपुरुषस्वरूपाकारेण निर्भासत इति
sp008-000512_YS_07	तदेवमभिजातमणिकल्पस्य चेतसो ग्रहीतृग्रहणग्राह्येषु पुरुषेन्द्रियभूतेषु या तत्स्थतदञ्जनता तेषु स्थितस्य तदाकारापत्तिः सा समापत्तिः इत्युच्यते
sp008-000513_YS_08	तत्र शब्दार्थज्ञानविकल्पैः सङ्कीर्णा सवितर्का समापत्तिः
sp008-000514_YS_08	तद्यथा गौरिति शब्दः गौरित्यर्थः गौरिति ज्ञानमिति अविभागेन विभक्तानामपि ग्रहणम् दृष्टम्
sp008-000515_YS_08	विभज्यमानाश्च अन्ये शब्दधर्माः अन्ये अर्थधर्माः अन्ये ज्ञानधर्माः इत्येतेषाम् विभक्तः पन्थाः
sp008-000516_YS_08	तत्र समापन्नस्य योगिनो यो गवाद्यर्थः समाधिप्रज्ञायाम् समारूढः स चेत् शब्दार्थज्ञानविकल्पानुविद्धः उपावर्तते
sp008-000517_YS_08	सा सङ्कीर्णा समापत्तिः सवितर्का इत्युच्यते
sp008-000518_YS_08	यदा पुनः शब्दसङ्केतस्मृतिपरिशुद्धौ श्रुतानुमानज्ञानविकल्पशून्यायाम् समाधिप्रज्ञायाम् स्वरूपमात्रेण अवस्थितः अर्थः तत्स्वरूपाकारमात्रतया एव अवच्छिद्यते
sp008-000519_YS_08	सा च निर्वितर्का समापत्तिः
sp008-000520_YS_08	तत्परम् प्रत्यक्षम्
sp008-000521_YS_08	तच्च श्रुतानुमानयोः बीजम्
sp008-000522_YS_08	ततः श्रुतानुमाने प्रभवतः
sp008-000523_YS_08	न च श्रुतानुमानज्ञानसहभूतम् तद्दृष्टान्तम्
sp008-000524_YS_08	तस्मात् असङ्कीर्णम् प्रमाणान्तरेण योगिनो निर्वितर्कसमाधिजम् दर्शनमिति
sp008-000525_YS_08	निर्वितर्कायाः समापत्तेः अस्याः सूत्रेण लक्षणम् द्योत्यते
sp008-000526_YS_08	स्मृतिपरिशुद्धौ स्वरूप शून्येवार्थ मात्र निर्भासा निर्वितर्का
sp008-000527_YS_08	या शब्द सङ्केत श्रुतानुमान ज्ञानविकल्पस्मृतिपरिशुद्धौ ग्राह्यस्वरूपोपरक्ता प्रज्ञा
sp008-000528_YS_08	स्वमिव प्रज्ञास्वरूपम् ग्रहणात्मकम् त्यक्त्वा पदार्थमात्रस्वरूपा ग्राह्यस्वरूपापन्ना इव भवति
sp008-000529_YS_08	सा तदा निर्वितर्का समापत्तिः
sp008-000530_YS_08	तथा च व्याख्यातम्
sp008-000531_YS_08	तस्याः एकबुद्ध्युपक्रमो ह्यर्थात्माणु प्रचयविशेषात्मा गवादिः घटादिर्वा लोकः
sp008-000532_YS_08	स च संस्थानविशेषो भूतसूक्ष्माणाम् साधारणो धर्मः
sp008-000533_YS_08	आत्मभूतः फलेन व्यक्तेनानुमितः स्वव्यञ्जकाञ्जनः प्रादुर्भवति
sp008-000534_YS_08	धर्मान्तरोदये च तिरोभवति
sp008-000535_YS_08	स एष धर्मः अवयवी इत्युच्यते
sp008-000536_YS_08	योऽसौ एकश्च महान् च अणीयान् च स्पर्शवान् च क्रियाधर्मकश्च अनित्यश्च
sp008-000537_YS_08	तेन अवयविना व्यवहाराः क्रियन्ते
sp008-000538_YS_08	यस्य पुनः अवस्तुकः स प्रचयविशेषः सूक्ष्मम् च कारणम् अनुपलभ्यम्
sp008-000539_YS_08	अविकल्पस्य तस्य अवयव्यभावात् अतद्रूपप्रतिष्ठम् मिथ्याज्ञानमिति प्रायेण सर्वमेव प्राप्तम् मिथ्याज्ञानमिति
sp008-000540_YS_08	तदा च सम्यग् ज्ञानमपि किम् स्यात् विषयाभावात्
sp008-000541_YS_08	यद् यदुपलभ्यते तत्तदवयवित्वेन आघ्रातम्
sp008-000542_YS_08	तस्मादस्ति अवयवी यो महत्त्वादिव्यवहारापन्नः समापत्तेः निर्वितर्कायाः विषयो भवति
sp008-000543_YS_08	एतयैव सविचारा निर्विचारा च सूक्ष्मविषया व्याख्याता
sp008-000544_YS_08	तत्र भूतसूक्ष्मेषु अभिव्यक्तधर्मकेषु देशकाल निमित्तानुभवावच्छिन्नेषु या समापत्तिः सा सविचारा इत्युच्यते
sp008-000545_YS_08	तत्रापि एकबुद्धिनिर्ग्राह्यमेव उदितधर्मविशिष्टम् भूतसूक्ष्मम् आलम्बनीभूतम् समाधिप्रज्ञायाम् उपतिष्ठते
sp008-000546_YS_08	या पुनः सर्वथा सर्वतः शान्तोदिताव्यपदेश्यधर्मानवच्छिन्नेषु सर्वधर्मानुपातिषु सर्वधर्मात्मकेषु समापत्तिः सा निर्विचारा इत्युच्यते
sp008-000547_YS_08	एवंस्वरूपम् हि तद् भूतसूक्ष्ममेतेनैव स्वरूपेण आलम्बनीभूतमेव समाधिप्रज्ञास्वरूपम् उपरञ्जयति
sp008-000548_YS_08	प्रज्ञा च स्वरूपशून्येव अर्थमात्रा यदा भवति तदा निर्विचारा इत्युच्यते
sp008-000549_YS_08	तत्र महावस्तुविषया सवितर्का निर्वितर्का च
sp008-000550_YS_08	सूक्ष्मविषया सविचारा निर्विचारा च
sp008-000551_YS_08	एवमुभयोः एतयैव निर्वितर्कया विकल्पहानिः व्याख्याता इति
sp008-000552_YS_09	सूक्ष्मविषयत्वम् चालिङ्गपर्यवसानम्
sp008-000553_YS_09	पार्थिवस्य अणोः गन्धतन्मात्रम् सूक्ष्मो विषयः
sp008-000554_YS_09	आप्यस्य रसतन्मात्रम् तैजसस्य रूपतन्मात्रम्
sp008-000555_YS_09	वायवीयस्य स्पर्शतन्मात्रम् आकाशस्य शब्दतन्मात्रम् इति
sp008-000556_YS_09	तेषाम् अहङ्कारः अस्यापि लिङ्गमात्रम् सूक्ष्मो विषयः
sp008-000557_YS_09	लिङ्गमात्रस्यापि अलिङ्गम् सुक्ष्मो विषयः
sp008-000558_YS_09	न च अलिङ्गात्परम् सूक्ष्ममस्ति नन्वस्ति पुरुषः सूक्ष्म इति
sp008-000559_YS_09	सत्यम् यथा लिङ्गात् परम् अलिङ्गस्य सौचम्यम् न चैवम् पुरुषस्य
sp008-000560_YS_09	किन्तु लिङ्गस्य अन्वयिकारणम् पुरुषो न भवति हेतुस्तु भवतीति
sp008-000561_YS_09	अतः प्रधाने सौम्यम् निरतिशयम् व्याख्यातम्
sp008-000562_YS_09	ता एव सबीजः समाधिः
sp008-000563_YS_09	ताः चतस्रः समापत्तयो बहिर्वस्तुबीजा इति समाधिरपि सबीजः
sp008-000564_YS_09	तत्र स्थूलेऽर्थे सवितर्को निर्वितर्कः सूक्ष्मेऽर्थे सविचारो निर्विचारः इति
sp008-000565_YS_09	चतुर्धोपसङ्ख्यातः समाधिः इति
sp008-000566_YS_09	निर्विचारवैशारद्येऽध्यात्मप्रसादः
sp008-000567_YS_09	अशुद्ध्यावरणमलापेतस्य प्रकाशात्मनो बुद्धिसत्त्वस्य रजस्तमोभ्याम् अनभिभूतः स्वच्छः स्थितिप्रवाहो वैशारद्यम्
sp008-000568_YS_09	यदा निर्विचारस्य समाधेः वैशारद्यमिदम् जायते तदा योगिनो भवति अध्यात्मप्रसादः
sp008-000569_YS_09	भूतार्थविषयः क्रमाननुरोधी स्फुटप्रज्ञाऽऽलोकः तथा चोक्तम्
sp008-000570_YS_10	प्रज्ञाप्रासादमारुह्य अशोच्यः शोचतो जनान्
sp008-000571_YS_10	भूमिष्ठानिव शैलस्थः सर्वान् प्राज्ञोऽनुपश्यति
sp008-000572_YS_10	ऋतम्भरा तत्र प्रज्ञा
sp008-000573_YS_10	तस्मिन् समाहितचित्तस्य या प्रज्ञा जायते तस्या ऋतम्भरेति सञ्ज्ञा भवति
sp008-000574_YS_10	अन्वर्था च सा सत्यमेव बिभर्ति
sp008-000575_YS_10	न च तत्र विपर्यासज्ञानगन्धोऽपि अस्तीति
sp008-000576_YS_10	तथा चोक्तम्
sp008-000577_YS_10	आगमेनानुमानेन ध्यानाभ्यासरसेन च
sp008-000578_YS_10	त्रिधा प्रकल्पयन्प्रज्ञाम् लभते योगमुत्तमम् इति
sp008-000579_YS_10	सा पुनः
sp008-000580_YS_10	श्रुतानुमानप्रज्ञाभ्यामन्यविषया विशेषार्थत्वात्
sp008-000581_YS_10	श्रुतम् आगमविज्ञानम् तत्सामान्यविषयम्
sp008-000582_YS_10	न हि आगमेन शक्यः विशेषोऽभिधातुम्
sp008-000583_YS_10	कस्मात् न हि विशेषेण कृतसङ्केतः शब्द इति
sp008-000584_YS_10	तथानुमानम् सामान्यविषयमेव
sp008-000585_YS_10	यत्र प्राप्तिः तत्र गतिः यत्र न प्राप्तिः तत्र न गतिः इत्युक्तम्
sp008-000586_YS_10	अनुमानेन च सामान्येन उपसंहारः
sp008-000587_YS_10	तस्मात् श्रुतानुमानविषयो न विशेषः कश्चिदस्तीति
sp008-000588_YS_10	न चास्य सूक्ष्मव्यवहितविप्रकृष्टस्य वस्तुनः लोकप्रत्यक्षेण ग्रहणमस्ति
sp008-000589_YS_10	न चास्य विशेषस्य अप्रमाणकस्य अभावः अस्तीति समाधिप्रज्ञानिर्ग्राह्य एव स विशेषो भवति
sp008-000590_YS_10	भूतसूक्ष्मगतो वा पुरुषगतो वा
sp008-000591_YS_10	तस्मात् श्रुतानुमानप्रज्ञाभ्याम् अन्यविषया सा प्रज्ञा विशेषार्थत्वादिति
sp008-000592_YS_10	समाधिप्रज्ञाप्रतिलम्भे योगिनः प्रज्ञाकृतः संस्कारो नवो नवो जायते
sp008-000593_YS_10	तज्जः संस्कारोऽन्यसंस्कारप्रतिबन्धी
sp008-000594_YS_10	समाधिप्रज्ञाप्रभवः संस्कारो व्युत्थानसंस्काराशयम् बाधते
sp008-000595_YS_10	व्युत्थानसंस्काराभिभवात् तत्प्रभवाः प्रत्ययाः न भवन्ति
sp008-000596_YS_10	प्रत्ययनिरोधे समाधिरुपतिष्ठते
sp008-000597_YS_10	ततः समाधिजा प्रज्ञा ततः प्रज्ञाकृताः संस्काराः इति नवो नवः संस्काराशयो जायते
sp008-000598_YS_10	ततश्च प्रज्ञा ततश्च संस्काराः इति
sp008-000599_YS_10	कथमसौ संस्कारातिशयः चित्तम् साधिकारम् न करिष्यति इति
sp008-000600_YS_10	न ते प्रज्ञाकृताः संस्काराः क्लेशक्षयहेतुत्वात् चित्तम् अधिकारविशिष्टम् कुर्वन्ति
sp008-000601_YS_10	चित्तम् हि ते स्वकार्यात् अवसादयन्ति
sp008-000602_YS_10	ख्यातिपर्यवसानम् हि चित्तचेष्टितमिति
sp008-000603_YS_10	किम् चास्य भवति
sp008-000604_YS_10	तस्यापि निरोधे सर्वनिरोधान् निर्बीजः समाधिः
sp008-000605_YS_10	इति भगवत् पतञ्जलिविरचिते योगसूत्रे प्रथमः समाधिपादः
sp008-000606_YS_10	स न केवलम् समाधिप्रज्ञाविरोधी
sp008-000607_YS_10	प्रज्ञाकृतानामपि संस्काराणाम् प्रतिबन्धी भवति
sp008-000608_YS_10	कस्मात् निरोधजः संस्कारः समाधिजान् संस्कारान् बाधते इति
sp008-000609_YS_10	निरोधस्थिति काल क्रमानुभवेन निरोधचित्तकृत संस्कारास्तित्वम् अनुमेयम्
sp008-000610_YS_10	व्युत्थाननिरोधसमाधिप्रभवैः सह कैवल्यभागीयैः संस्कारैः चित्तम् स्वस्याम् प्रकृतौ अवस्थितायाम् प्रविलीयते
sp008-000611_YS_10	तस्मात् ते संस्काराः चित्तस्य अधिकारविरोधिनो न स्थितिहेतवो भवन्तीति
sp008-000612_YS_10	यस्मात् अवसिताधिकारम् सह कैवल्यभागीयैः संस्कारैः चित्तम् निवर्तते
sp008-000613_YS_10	तस्मिन् निवृत्ते पुरुषः स्वरूपमात्रप्रतिष्ठः अतः शुद्धः केवलः मुक्तः इत्युच्यते इति
sp008-000614_YS_10	इति श्रीपातञ्जले साङ्ख्यप्रवचने योगशास्त्रे श्रीमद्व्यासभाष्ये समाधिपादः प्रथमः
sp008-000615_YS_11	द्वितीयः साधनपादः
sp008-000616_YS_11	उद्दिष्टः समाहितचित्तस्य योगः
sp008-000617_YS_11	कथम् व्युत्थितचित्तः अपि योगयुक्तः स्यात् इत्येतत् आरभ्यते
sp008-000618_YS_11	तपःस्वाध्यायेश्वरप्रणिधानानि क्रियायोगः
sp008-000619_YS_11	न अतपस्विनो योगः सिद्ध्यति
sp008-000620_YS_11	अनादिकर्मक्लेशवासनाचित्रा प्रत्युपस्थितविषयजाला च अशुद्धिः नान्तरेण तपः सम्भेदम् आपद्यत इति तपस उपादानम्
sp008-000621_YS_11	तच्च चित्तप्रसादनम् अबाधमानम् अनेन असेव्यमिति मन्यते
sp008-000622_YS_11	स्वाध्यायः प्रणवादिपवित्राणाम् जपः मोक्षशास्त्राध्ययनम् वा
sp008-000623_YS_11	ईश्वरप्रणिधानम् सर्वक्रियाणाम् परमगुरौ अर्पणम् तत्फलसन्न्यासो वा
sp008-000624_YS_11	स हि क्रियायोगः
sp008-000625_YS_11	समाधिभावनार्थः क्लेशतनूकरणार्थश्च
sp008-000626_YS_11	स हि आसेव्यमानः समाधिम् भावयति क्लेशांश्च प्रतनूकरोति
sp008-000627_YS_11	प्रतनूकृतान् क्लेशान् प्रसङ्ख्यानाग्निना दग्धबीजकल्पान् अप्रसवधर्मिणः करिष्यतीति
sp008-000628_YS_11	तेषाम् तनूकरणात् पुनः क्लेशैः अपरामृष्टा सत्त्वपुरुषान्यताख्यातिः सूक्ष्मा प्रज्ञा समाप्ताधिकारा प्रतिप्रसवाय कल्पिष्यते इति
sp008-000629_YS_11	अथ के ते क्लेशाः कियन्तो वा इति
sp008-000630_YS_11	अविद्यास्मितारागद्वेषाभिनिवेशाः क्लेशाः
sp008-000631_YS_11	क्लेशा इति
sp008-000632_YS_11	पञ्च विपर्यया इत्यर्थः
sp008-000633_YS_11	ते स्यन्दमाना गुणाधिकारम् द्रढयन्ति परिणामम् अवस्थापयन्ति
sp008-000634_YS_11	कार्यकारणस्रोतः उन्नमयन्ति
sp008-000635_YS_11	परस्परानुग्रहतन्त्रीभूय कर्मविपाकम् च अभिनिर्हरन्तीति
sp008-000636_YS_12	अविद्या क्षेत्रमुत्तरेषाम् प्रसुप्ततनुविच्छिन्नोदाराणाम्
sp008-000637_YS_12	अत्र अविद्या क्षेत्रम् प्रसवभूमिः उत्तरेषाम् अस्मितादीनाम् चतुर्विधकल्पानाम् प्रसुप्ततनुविच्छिन्नोदाराणाम्
sp008-000638_YS_12	तत्र का प्रसुप्तिः चेतसि शक्तिमात्रप्रतिष्ठानाम् बीजभावोपगमः
sp008-000639_YS_12	तस्य प्रबोधः आलम्बने सम्मुखीभावः
sp008-000640_YS_12	प्रसङ्ख्यानवतो दग्धक्लेशबीजस्य सम्मुखीभूतेऽपि आलम्बने नासौ पुनरस्ति
sp008-000641_YS_12	दग्धबीजस्य कुतः प्ररोहः इति
sp008-000642_YS_12	अतः क्षीणक्लेशः कुशलः चरमदेह इत्युच्यते
sp008-000643_YS_12	तत्रैव सा दग्धबीजभावा पञ्चमी क्लेशावस्था नान्यत्र इति
sp008-000644_YS_12	सताम् क्लेशानाम् तदा बीजसामर्थ्यम् दग्धमिति विषयस्य सम्मुखीभावेऽपि सति न भवत्येषाम् प्रबोधः इति
sp008-000645_YS_12	उक्ता प्रसुप्तिः दग्धबीजानाम् अप्ररोहश्च
sp008-000646_YS_12	तनुत्वमुच्यते प्रतिपक्षभावनोपहताः क्लेशाः तनवो भवन्ति
sp008-000647_YS_12	तथा विच्छिद्य विच्छिद्य तेन तेनात्मना पुनः पुनः समुदाचरन्तीति विच्छिन्नाः
sp008-000648_YS_12	कथम् रागकाले क्रोधस्य अदर्शनात्
sp008-000649_YS_12	न हि रागकाले क्रोधः समुदाचरति
sp008-000650_YS_12	रागश्च क्वचित् दृश्यमानः न विषयान्तरे नास्ति
sp008-000651_YS_12	नैकस्याम् स्त्रियाम् चैत्रः रक्त इति अन्यासु स्त्रीषु विरक्त इति
sp008-000652_YS_12	किन्तु तत्र रागः लब्धवृत्तिः अन्यत्र तु भविष्यद्वृत्तिरिति
sp008-000653_YS_12	स हि तदा प्रसुप्ततनुविच्छिन्नो भवति
sp008-000654_YS_12	विषये यो लब्धवृत्तिः स उदारः
sp008-000655_YS_12	सर्व एव एते क्लेशविषयत्वम् न अतिक्रामन्ति
sp008-000656_YS_12	कस्तर्हि विच्छिन्नः प्रसुप्ततनुविच्छिन्नः प्रसुप्ततनुः उदारो वा क्लेशः इति
sp008-000657_YS_12	उच्यते सत्यमेव एतत्
sp008-000658_YS_12	किन्तु विशिष्टानाम् एव एतेषाम् विच्छिन्नादित्वम्
sp008-000659_YS_12	यथैव प्रतिपक्षभावनातो निवृत्तः तथैव स्वव्यञ्जकाञ्जनेन अभिव्यक्त इति
sp008-000660_YS_12	सर्व एव अमी क्लेशा अविद्याभेदाः
sp008-000661_YS_12	कस्मात् सर्वेषु अविद्या एव अभिप्लवते
sp008-000662_YS_12	यदविद्यया वस्तु अकार्यते तदेव अनुशेरते क्लेशाः
sp008-000663_YS_12	विपर्यासप्रत्ययकाले उपलभ्यन्ते क्षीयमाणाम् च अविद्यामनु क्षीयन्ते इति
sp008-000664_YS_12	तत्र अविद्यास्वरूपम् उच्यते
sp008-000665_YS_12	अनित्याशुचिदुःखानात्मसु नित्यशुचिसुखात्मख्यातिरविद्या
sp008-000666_YS_12	अनित्ये कार्ये नित्यख्यातिः
sp008-000667_YS_12	तद्यथा ध्रुवा पृथिवी
sp008-000668_YS_12	ध्रुवा सचन्द्रतारका द्यौः
sp008-000669_YS_12	अमृता दिवौकसः इति
sp008-000670_YS_12	तथाशुचौ परमबीभत्से काये उक्तम् च
sp008-000671_YS_12	स्थानाद्बीजादुपष्ठम्बात् निःस्यन्दान्निधनादपि
sp008-000672_YS_12	कायमाधेयशौचत्वात् पण्डिता ह्यशुचिम् विदुः
sp008-000673_YS_12	इत्यशुचौ शरीरे शुचिख्यातिः दृश्यते
sp008-000674_YS_12	नवेव शशाङ्कलेखाकमनीया इयम् कन्या
sp008-000675_YS_12	मध्वमृतावयवनिर्मिता इव चन्द्रम् भित्त्वा निःसृता इव ज्ञायते
sp008-000676_YS_12	नीलोत्पलपत्रायताक्षी हावगर्भाभ्याम् लोचनाभ्याम् जीवलोकम् आश्वासयन्तीव इति कस्य केन अभिसम्बन्धः
sp008-000677_YS_12	भवति च एवम् अशुचौ शुचिविपर्यासप्रत्ययः इति
sp008-000678_YS_12	एतेन अपुण्ये पुण्यप्रत्ययः तथैव अनर्थे च अर्थप्रत्ययो व्याख्यातः
sp008-000679_YS_12	तथा दुःखे सुखख्यातिम् वक्ष्यति
sp008-000680_YS_12	परिणामतापसंस्कारदुःखैर्गुणवृत्तिविरोधाच्च दुःखमेव सर्वम् विवेकिनः इति
sp008-000681_YS_12	तत्र सुखख्यातिरविद्या
sp008-000682_YS_12	तथा अनात्मनि आत्मख्यातिः बाह्योपकरणेषु चेतनाचेतनेषु भोगाधिष्ठाने वा शरीरे
sp008-000683_YS_12	पुरुषोपकरणे वा मनसि अनात्मनि आत्मख्यातिरिति
sp008-000684_YS_12	तथैतदत्र उक्तम् व्यक्तमव्यक्तम् वा सत्त्वम् आत्मत्वेन अभिप्रतीत्य तस्य सम्पदम् अनु नन्दति आत्मसम्पदम् मन्वानः
sp008-000685_YS_12	तस्य व्यापदम् अनुशोचति आत्मव्यापदम् मन्वानः स सर्वोऽतिबुद्धः इति
sp008-000686_YS_13	एषा चतुष्पदा भवत्यविद्या
sp008-000687_YS_13	मूलमस्य क्लेशसन्तानस्य कर्माशयस्य च सविपाकस्य इति
sp008-000688_YS_13	तस्याश्च अमित्रागोष्पदवत् वस्तुसतत्त्वम् विज्ञेयम्
sp008-000689_YS_13	यथा नामित्रौ मित्राभावः न मित्रमात्रम् किन्तु तद्विरुद्धः सपत्नः
sp008-000690_YS_13	तथा च अगोष्पदम् न गोष्पदाभावो न गोष्पदमात्रम्
sp008-000691_YS_13	किन्तु देश एव ताभ्याम् अन्यत् वस्त्वन्तरम्
sp008-000692_YS_13	एवम् अविद्या न प्रमाणम् न प्रमाणाभावः किन्तु विद्याविपरीतम् ज्ञानान्तरम् अविद्या इति
sp008-000693_YS_13	दृग्दर्शनशक्त्योरेकात्मतेवास्मिता
sp008-000694_YS_13	पुरुषो दृक्शक्तिः बुद्धिर्दर्शनशक्तिः इत्येतयोः एकस्वरूपापत्तिरिव अस्मिता क्लेश उच्यते
sp008-000695_YS_13	भोक्तृभोग्यशक्त्योः अत्यन्तविभक्तयोः अत्यन्तासङ्कीर्णयोः अविभागप्राप्तौ इव सत्याम् भोगः कल्पते
sp008-000696_YS_13	स्वरूपप्रतिलम्भे तु तयोः कैवल्यमेव भवति कुतो भोग इति
sp008-000697_YS_13	तथा चोक्तम् बुद्धितः परम् पुरुषम् आकारशीलविद्यादिभिः विभक्तम् अपश्यन् कुर्यात् तत्र आत्मबुद्धिम् मोहेन इति
sp008-000698_YS_13	सुखानुशयी रागः
sp008-000699_YS_13	सुखाभिजातस्य सुखानुस्मृतिपूर्वः सुखे तत्साधने वा यो गर्धः तृष्णा लोभः स राग इति
sp008-000700_YS_13	दुःखानुशयी द्वेषः
sp008-000701_YS_13	दुःखाभिज्ञस्य दुःखानुस्मृतिपूर्वो दुःखे तत्साधने वा यः प्रतिघो मन्युः जिघांसा क्रोधः स द्वेष इति
sp008-000702_YS_13	स्वरसवाही विदुषोऽपि तथारूढोऽभिनिवेशः
sp008-000703_YS_13	सर्वस्य प्राणिनः इयम् आत्माशीः नित्या भवति मा न भूवम् भूयासमिति
sp008-000704_YS_14	न च अननुभूतमरणधर्मकस्य एषा भवति आत्माशीः
sp008-000705_YS_14	एतया च पूर्वजन्मानुभवः प्रतीयते
sp008-000706_YS_14	स चायम् अभिनिवेशः क्लेशः स्वरसवाही कृमेरपि जातमात्रस्य प्रत्यक्षानुमानागमैः असम्भावितौ मरणत्रास उच्छेददृष्ट्यात्मकः पूर्वजन्मानुभूतम् मरणदुःखम् अनुमापयति
sp008-000707_YS_14	यथा च अयम् अत्यन्तमूढेषु दृश्यते क्लेशः
sp008-000708_YS_14	तथा विदुषोऽपि विज्ञातपूर्वापरान्तस्य रूढः
sp008-000709_YS_14	कस्मात् समाना हि तयोः कुशलाकुशलयोः मरणदुःखानुभवात् इयम् वासनेति
sp008-000710_YS_14	ते प्रतिप्रसवहेयाः सूक्ष्माः
sp008-000711_YS_14	ते पञ्चक्लेशा दग्धबीजकल्पा योगिनः चरिताधिकारे चेतसि प्रलीने सह तेनैव अस्तम् गच्छन्ति
sp008-000712_YS_14	स्थितानाम् तु बीजभावोपगतानाम्
sp008-000713_YS_14	ध्यानहेयास्तद्वृत्तयः
sp008-000714_YS_14	क्लेशानाम् या वृत्तयः स्थूलाः ताः क्रियायोगेन तनूकृताः सत्यः प्रसङ्ख्यानेन ध्यानेन हातव्याः यावत्सूक्ष्मीकृताः यावद्दग्धबीजकल्पाः इति
sp008-000715_YS_14	यथा च वस्त्राणाम् स्थूलो मलः पूर्वम् निर्धूयते पश्चात्सूक्ष्मो यत्नेन उपायेन च अपनीयते
