sp006-000001_GB_00-00	SANkaraBAzyam
sp006-000571_GB_02	paramArTadarSanAmftarasalABena anyasmAdalampratyayavAn sTitaprajYaH sTitA pratizWitA AtmAnAtmavivekajA prajYA yasya saH sTitaprajYaH
sp006-000572_GB_02	vidvAn tadA ucyate
sp006-000573_GB_02	tyaktaputravittalokEzaRaH sannyAsI AtmArAma AtmakrIqaH sTitaprajYa ityarTaH
sp006-000574_GB_02	duHKezu ADyAtmikAdizu prAptezu na udvignam na prakzuBitam duHKaprAptO mano yasya soऽyam anudvignamanAH
sp006-000575_GB_02	taTA suKezu prAptezu vigatA spfhA tfzRA yasya
sp006-000576_GB_02	na agniriva inDanAdyADAne suKAnyanu vivarDate sa vigataspfhaH
sp006-000577_GB_02	vItarAgaBayakroDaH rAgaSca Bayam ca kroDaSca vItA vigatA yasmAt sa vItarAgaBayakroDaH
sp006-000578_GB_02	sTitaDIH sTitaprajYo muniH sannyAsI tadA ucyate
sp006-000579_GB_02	yaH muniH sarvatra dehajIvitAdizvapi anaBisnehaH
sp006-000580_GB_02	aBisnehavarjitaH tattat prApya SuBASuBam tattat SuBam aSuBam vA labDvA
sp006-000581_GB_02	na aBinandati na dvezwi SuBam prApya na tfpyati na hfzyati
sp006-000582_GB_02	aSuBam ca prApya na dvezwi ityarTaH
sp006-000583_GB_02	tasya evam harzavizAdavarjitasya vivekajA prajYA pratizWitA Bavati
sp006-000584_GB_02	yadA saMharate samyagupasaMharate ca ayam jYAnanizWAyAm pravftto yatiH kUrmaH aNgAni iva
sp006-000585_GB_02	yaTA kUrmaH BayAt svAnyaNgAni upasaMharati sarvaSaH sarvataH
sp006-000586_GB_02	evam jYAnanizWaH indriyARi indriyArTeByaH sarvavizayeByaH upasaMharate
sp006-000587_GB_02	tasya prajYA pratizWitA ityuktArTam vAkyam
sp006-000588_GB_02	tatra vizayAnanAharataH AturasyApi indriyARi kUrmANgAnIva saMhriyante
sp006-000589_GB_02	na tu tadvizayo rAgaH sa kaTam saMhriyate iti ucyate
sp006-000590_GB_02	yadyapi vizayAH vizayopalakzitAni vizayaSabdavAcyAni indriyARi nirAhArasya anAhriyamARavizayasya
sp006-000591_GB_02	kazwe tapasi sTitasya mUrKasyApi vinivartante dehino dehavataH rasavarjam raso rAgo vizayezu yaH tam varjayitvA
sp006-000592_GB_02	rasaSabdo rAge prasidDaH svarasena pravfttaH rasikaH rasajYaH ityAdidarSanAt
sp006-000593_GB_02	soऽpi raso raYjanArUpaH sUkzmaH asya yateH
sp006-000594_GB_02	param paramArTatattvam brahma dfzwvA upalaBya ahameva tat iti vartamAnasya nivartate nirbIjam vizayavijYAnam sampadyate ityarTaH
sp006-000595_GB_02	na asati samyagdarSane rasasya ucCedaH
sp006-000596_GB_02	tasmAt samyagdarSanAtmikAyAH prajYAyAH sTEryam kartavyamityaBiprAyaH
sp006-000597_GB_02	samyagdarSanalakzaRaprajYAsTEryam cikIrzatA AdO indriyARi svavaSe sTApayitavyAni
sp006-000598_GB_02	yasmAt tadanavasTApane dozamAha
sp006-000599_GB_02	yatataH prayatnam kurvataH api hi yasmAt kOnteya puruzasya vipaScito meDAvinaH api iti vyavahitena sambanDaH
sp006-000600_GB_02	indriyARi pramATIni pramaTanaSIlAni vizayABimuKam hi puruzam vikzoBayanti AkulIkurvanti
sp006-000601_GB_02	AkulIkftya ca haranti prasaBam prasahya prakASameva paSyato vivekavijYAnayuktam manaH
sp006-000602_GB_02	yataH tasmAt
sp006-000603_GB_02	tAni sarvARi saMyamya saMyamanam vaSIkaraRam kftvA yuktaH samAhitaH san AsIta matparaH
sp006-000604_GB_02	aham vAsudevaH sarvapratyagAtmA paro yasya sa matparo na anyaH aham tasmAt iti AsIta ityarTaH
sp006-000605_GB_02	evam AsInasya yateH vaSe hi yasya indriyARi vartante aByAsabalAt tasya prajYA pratizWitA
sp006-000606_GB_02	aTa idAnIm parABavizyataH sarvAnarTamUlam idamucyate
sp006-000607_GB_02	DyAyataH cintayato vizayAn SabdAdi vizayaviSezAn AlocayataH
sp006-000608_GB_02	puMsaH puruzasya saNga AsaktiH prItiH tezu vizayezu upajAyate
sp006-000609_GB_02	saNgAt prIteH saYjAyate samutpadyate kAmaH tfzRA
sp006-000610_GB_02	kAmAt kutaScit pratihatAt kroDaH aBijAyate
sp006-000611_GB_02	kroDAt Bavati sammohaH avivekaH kAryAkAryavizayaH
sp006-000612_GB_02	krudDo hi sammUQaH san gurumapyAkroSati
sp006-000613_GB_02	sammohAt smftiviBramaH SAstrAcAryopadeSAhitasaMskArajanitAyAH smfteH syAt
sp006-000614_GB_02	viBramo BraMSaH smftyutpattinimittaprAptO anutpattiH
sp006-000615_GB_02	tataH smftiBraMSAt budDinASaH budDernASaH
sp006-000616_GB_02	kAryAkAryavizayavivekAyogyatA antaHkaraRasya budDernASa ucyate
sp006-000617_GB_02	budDinASAt praRaSyati
sp006-000618_GB_02	tAvadeva hi puruzaH yAvadantaHkaraRam tadIyam kAryAkAryavizayavivekayogyam
sp006-000619_GB_02	tadayogyatve nazwa eva puruzo Bavati
sp006-000620_GB_02	ataH tasyAntaHkaraRasya budDernASAt praRaSyati puruzArTAyogyo BavatItyarTaH
sp006-000621_GB_02	sarvAnarTasya mUlam uktam vizayABiDyAnam
sp006-000622_GB_02	aTa idAnIm mokzakAraRamidamucyate
sp006-000623_GB_02	rAgadvezaviyuktEH rAgaSca dvezaSca rAgadvezO
sp006-000624_GB_02	tatpuraHsarA hi indriyARAm pravfttiH svABAvikI
sp006-000625_GB_02	tatra yo mumukzuH Bavati saH tAByAm viyuktEH SrotrAdiBiH indriyEH vizayAn avarjanIyAn caran upalaBamAnaH
sp006-000626_GB_02	AtmavaSyEH Atmano vaSyAni vaSIBUtAni tEH AtmavaSyEH
sp006-000627_GB_02	viDeyAtmA icCAto viDeya AtmA antaHkaraRam yasya saH ayam prasAdam aDigacCati
sp006-000628_GB_02	prasAdaH prasannatA svAsTyam
sp006-000629_GB_02	prasAde sati kim syAt iti ucyate
sp006-000630_GB_02	prasAde sarvaduHKAnAm ADyAtmikAdInAm hAniH vinASaH asya yateH upajAyate
sp006-000631_GB_02	prasannacetasaH svasTAntaHkaraRasya hi yasmAt ASu SIGram budDiH paryavatizWate AkASamiva pari samantAt avatizWate
sp006-000632_GB_02	AtmasvarUpeRa eva niScalIBavati ityarTaH
sp006-000633_GB_02	evam prasannacetasaH avasTitabudDeH kftakftyatA yataH
sp006-000634_GB_02	tasmAt rAgadvezaviyuktEH indriyEH SAstrAvirudDezu avarjanIyezu yuktaH samAcaret iti vAkyArTaH
sp006-000635_GB_02	na asti na vidyate na Bavati ityarTaH
sp006-000636_GB_02	budDiH AtmasvarUpavizayA ayuktasya asamAhitAntaHkaraRasya
sp006-000637_GB_02	na ca asti ayuktasya BAvanA AtmajYAnABiniveSaH
sp006-000638_GB_02	taTA na ca asti aBAvayataH AtmajYAnABiniveSam akurvataH SAntiH upaSamaH
sp006-000639_GB_02	aSAntasya kutaH suKam
sp006-000640_GB_02	indriyARAm hi vizayasevAtfzRAto nivfttiH yA tatsuKam na vizayavizayA tfzRA
sp006-000641_GB_02	duHKameva hi sA
sp006-000642_GB_02	na tfzRAyAm satyAm suKasya ganDamAtramapi upapadyate ityarTaH
sp006-000643_GB_02	ayuktasya kasmAdbudDiH nAsti iti ucyate
sp006-000644_GB_02	indriyARAm hi yasmAt caratAm svasvavizayezu pravartamAnAnAm yat manaH anuviDIyate anupravartate
sp006-000645_GB_02	tat indriyavizayavikalpane pravfttam manaH asya yateH harati prajYAm AtmAnAtmavivekajAm nASayati
sp006-000646_GB_02	kaTam
sp006-000647_GB_02	vAyuH nAvam iva amBasi
sp006-000648_GB_02	udake jigamizatAm mArgAdudDftya unmArge yaTA vAyuH nAvam pravartayati
sp006-000649_GB_02	evam AtmavizayAm prajYAm hftvA mano vizayavizayAm karoti
sp006-000650_GB_02	yatato hyapi iti upanyastasya arTasya anekaDA upapattim uktvA tam cArTam upapAdya upasaMharati
sp006-000651_GB_02	indriyARAm pravfttO doza upapAdito yasmAt
sp006-000652_GB_02	tasmAt yasya yateH he mahAbAho
sp006-000653_GB_02	nigfhItAni sarvaSaH sarvaprakArEH mAnasAdiBedEH indriyARi indriyArTeByaH SabdAdiByaH tasya prajYA pratizWitA
sp006-000654_GB_02	yaH ayam lOkiko vEdikaSca vyavahAraH sa utpannavivekajYAnasya sTitaprajYasya avidyAkAryatvAt avidyAnivfttO nivartate
sp006-000655_GB_02	avidyAyASca vidyAviroDAt nivfttiH
sp006-000656_GB_02	ityetamarTam sPuwIkurvan Aha
sp006-000657_GB_02	yA niSA rAtriH sarvapadArTAnAm avivekakarI tamaHsvaBAvatvAt sarvezAm BUtAnAm sarva BUtAnAm
sp006-000658_GB_02	kim tat paramArTatattvam sTitaprajYasya vizayaH
sp006-000659_GB_02	yaTA naktaYcarARAm ahaH eva sat anyezAm niSA Bavati tadvat
sp006-000660_GB_02	naktaYcarasTAnIyAnAmajYAnAm sarvaBUtAnAm niSA iva niSA paramArTatattvam agocaratvAt atadbudDInAm
sp006-000661_GB_02	tasyAm paramArTatattvalakzaRAyAm ajYAnanidrAyAH prabudDo jAgarti saMyamI saMyamavAn jitendriyo yogI ityarTaH
sp006-000662_GB_02	yasyAm grAhyagrAhakaBedalakzaRAyAm avidyAniSAyAm prasuptAni eva BUtAni jAgrati iti ucyate
sp006-000663_GB_02	yasyAm niSAyAm prasuptA iva svapnadfSaH sA niSA avidyArUpatvAt paramArTatattvam paSyato muneH
sp006-000664_GB_02	ataH karmARi avidyAvasTAyAmeva codyante
sp006-000665_GB_02	na vidyAvasTAyAm
sp006-000666_GB_02	vidyAyAm hi satyAm udite savitari SArvaramiva tamaH praRASamupagacCati avidyA
sp006-000667_GB_02	prAg vidyotpatteH avidyA pramARabudDyA gfhyamARA kriyAkArakaPalaBedarUpA satI sarvakarmahetutvam pratipadyate
sp006-000668_GB_02	na apramARabudDyA gfhyamARAyAH karmahetutvopapattiH
sp006-000669_GB_02	pramARaBUtena vedena mama coditam kartavyam karma iti hi karmaRi kartA pravartate
sp006-000670_GB_02	na avidyAmAtramidam sarvam niSeva iti
sp006-000671_GB_02	yasya punaH niSA iva avidyAmAtramidam sarvam BedajAtam iti
sp006-000672_GB_02	jYAnam tasya AtmajYasya sarvakarmasannyAse eva aDikAro na pravfttO
sp006-000673_GB_02	taTA ca darSayizyati
sp006-000674_GB_02	ityAdinA jYAnanizWAyAmeva tasya aDikAram
sp006-000675_GB_02	tatrApi pravartakapramARABAve pravfttyanupapattiH iti cet na
sp006-000676_GB_02	svAtmavizayatvAt AtmajYAnasya
sp006-000677_GB_02	na hi AtmanaH svAtmani pravartakapramARa apekzatA AtmatvAdeva
sp006-000678_GB_02	tadantatvAcca sarvapramARAnAm pramARatvasya
sp006-000679_GB_02	na hi AtmasvarUpADigame sati punaH pramARaprameyavyavahAraH samBavati
sp006-000680_GB_02	pramAtftvam hi Atmano nivartayati antyam pramARam
sp006-000681_GB_02	nivartayadeva ca apramARIBavati svapnakAlapramARamiva praboDe
sp006-000682_GB_02	loke ca vastvaDigame pravfttihetuttvAdarSanAt pramARasya
sp006-000683_GB_02	tasmAt na AtmavidaH karmaRi aDikAra iti sidDam
sp006-000684_GB_02	viduzaH tyaktEzaRasya sTitaprajYasya yateH eva mokzaprAptiH
sp006-000685_GB_02	na tu asannyAsinaH kAmakAmina iti etamarTam dfzwAntena pratipAdayizyan Aha
sp006-000686_GB_02	ApUryamARam adBiH acalapratizWam acalatayA pratizWA avasTitiH yasya tam acalapratizWam
sp006-000687_GB_02	samudram ApaH sarvato gatAH praviSanti svAtmasTam avikriyam eva santam yadvat
sp006-000688_GB_02	tadvat kAmA vizayasanniDO api sarvata icCAviSezA yam puruzam
sp006-000689_GB_02	na svAtmavaSam kurvanti
sp006-000690_GB_02	saH SAntim mokzam Apnoti na itaraH kAmakAmI kAmyante iti kAmAH vizayAH
sp006-000691_GB_02	tAn kAmayitum SIlam yasya sa kAmakAmI na eva prApnoti ityarTaH
sp006-000692_GB_02	yasmAdevam tasmAt
sp006-000693_GB_02	vihAya parityajya kAmAn yaH sannyAsI pumAn sarvAn aSezataH kAr tsnyena carati jIvanamAtracezwASezaH paryawati ityarTaH
sp006-000694_GB_02	niHspfhaH SarIrajIvanamAtreऽpi nirgatA spfhA yasya saH niHspfhaH san
sp006-000695_GB_02	nirmamaH SarIrajIvanamAtrAkziptaparigrahe api mama idam iti aBiniveSavarjitaH
sp006-000696_GB_02	nirahaNkAro vidyAvattvAdinimittAtmasamBAvanArahita ityarTaH
sp006-000697_GB_02	sa evamBUtaH sTitaprajYo brahmavit SAntim sarvasaMsAraduHKoparamalakzaRAm nirvARAKyAm
sp006-000698_GB_02	aDigacCati prApnoti brahmaBUto Bavati ityarTaH
sp006-000699_GB_02	sA ezA jYAnanizWA stUyate
sp006-000700_GB_02	ezA yaToktA brAhmI brahmaRi BavA iyam sTitiH sarvam karma sannyasya brahmarUpeRa eva avasTAnam iti etat
sp006-000701_GB_02	he pArTa na enAm sTitim prApya labDvA na vimuhyati na moham prApnoti
sp006-000702_GB_02	sTitvA asyAm sTitO brAhmyAm yaToktAyAm antakAleऽpi
sp006-000703_GB_02	antaTa vayasi api brahmanirvARam brahmanirvftim mokzam fcCati gacCati
sp006-000704_GB_02	kimu vaktavyam brahmacaryAdeva sannyasya yAvajjIvam yo brahmaRi eva avatizWate sa brahmanirvARam fCati iti
sp006-000705_GB_02	SrIBagavadgItABAzye brahmavidyAyAm yogaSAstre SrIkfzRArjunasaMvAde sANKyayogo nAma dvitIyoऽDyAyaH
sp006-000706_GB_03-00	SAstrasya pravfttinivfttivizayaBUte dve budDI BagavatA nirdizwe
sp006-000707_GB_03-00	sAN Kye budDiH yoge budDiH iti ca
sp006-000708_GB_03-00	iti AraBya A aDyAyaparisamApteH
sp006-000709_GB_03-00	sAN KyabudDyASritAnAm sannyAsam kartavyam uktvA tezAm tannizWatayA eva ca kftArTatA uktA
sp006-000710_GB_03-00	ezA brAhmI sTitiH iti
sp006-000711_GB_03-00	arjunAya ca
sp006-000712_GB_03-00	iti karma eva kartavyam uktavAn yogabudDim ASritya na tata eva SreyaHprAptim uktavAn
sp006-000713_GB_03-00	tadetadAlakzya paryAkulIBUtabudDiH arjuna uvAca
sp006-000714_GB_03-00	kaTam BaktAya SreyorTine yat sAkzAt SreyaHsADanam sAN KyabudDinizWAm SrAvayitvA
sp006-000715_GB_03-00	mAm karmaRi dfzwAnekAnarTayukte pAramparyeRa api anEkAntikaSreyaHprAptiPale niyuYjyAditi yuktaH paryAkulIBAvaH arjunasya
sp006-000716_GB_03-00	tadanurUpaSca praSnaH jyAyasI cet ityAdi
sp006-000717_GB_03-00	praSnApAkaraRavAkyam ca BagavatA uktam yaToktaviBAgavizaye SAstre
sp006-000718_GB_03-00	kecittu arjunasya praSnArTam anyaTA kalpayitvA tatpratikUlam BagavataH prativacanam varRayanti
sp006-000719_GB_03-00	yaTA ca AtmanA sambanDagranTe gItArTo nirUpitaH tatpratikUlam ca iha punaH praSnaprativacanayoH arTam nirUpayanti
sp006-000720_GB_03-00	kaTam tatra sambanDagranTe tAvat
sp006-000721_GB_03-00	sarvezAm ASramiRAm jYAnakarmaRoH samuccayo gItASAstre nirUpitaH arTa iti uktam
sp006-000722_GB_03-00	punaH viSezitam ca yAvajjIvaSruticoditAni karmARi parityajya
sp006-000723_GB_03-00	kevalAdeva jYAnAt mokzaH prApyate iti etat ekAntena eva pratizidDam iti
sp006-000724_GB_03-00	iha tu ASramavikalpam darSayatA yAvajjIvaSruticoditAnAmeva karmaRAm parityAga uktaH
sp006-000725_GB_03-00	tat kaTam IdfSam virudDam arTam arjunAya brUyAt BagavAn
sp006-000726_GB_03-00	SrotA vA kaTam virudDam arTam avaDArayet
sp006-000727_GB_03-00	tatra etat syAt gfhasTAnAmeva SrOtakarmaparityAgena kevalAdeva jYAnAt mokzaH pratiziDyate
sp006-000728_GB_03-00	na tu ASramAntarARAm iti
sp006-000729_GB_03-00	etadapi pUrvottaravirudDam eva
sp006-000730_GB_03-00	sarvASramiRAm jYAnakarmaRoH samuccayo gItASAstre niScitaH arTa iti pratijYAya
sp006-000731_GB_03-00	iha kaTam tadvirudDam kevalAdeva jYAnAt mokzam brUyAdASramAntarARAm
sp006-000732_GB_03-00	aTa matam SrOtakarmApekzayA etadvacanam kevalAdeva jYAnAt SrOtakarmarahitAt gfhasTAnAm mokzaH pratiziDyate iti
sp006-000733_GB_03-00	tatra gfhasTAnAm vidyamAnam api smArtam karma avidyamAnavat apekzya jYAnAdeva kevalAt na mokza iti ucyate iti
sp006-000734_GB_03-00	etadapi virudDam
sp006-000735_GB_03-00	gfhasTasyEva smArtakarmaRA samuccitAt jYAnAt mokzaH pratiziDyate
sp006-000736_GB_03-00	na tu ASramAntarARAm iti kaTam vivekiBiH Sakyam avaDArayitum
sp006-000737_GB_03-00	yadi mokzasADanatvena smArtAni karmARi UrDvaretasAm samuccIyante
sp006-000738_GB_03-00	taTA gfhasTasya api izyatAm smArtEH eva samuccayo na SrOtEH
sp006-000739_GB_03-00	aTa SrOtEH smArtESca gfhasTasya eva samuccayo mokzAya UrDvaretasAm tu smArtakarmamAtrasamuccitAt jYAnAt mokza iti
sp006-000740_GB_03-00	tatra evam sati gfhasTasya AyAsabAhulyam SrOtam smArtam ca bahuduHKarUpam karma Sirasi Aropitam syAt
sp006-000741_GB_03-00	aTa gfhasTasya eva AyAsabAhulyakAraRAt mokzaH syAt
sp006-000742_GB_03-00	na ASramAntarARAm SrOtanityakarmarahitatvAt iti
sp006-000743_GB_03-00	tadapi asat
sp006-000744_GB_03-00	sarvopanizatsu itihAsapurARayogaSAstre ca jYAnANgatvena mumukzoH sarvakarmasannyAsaviDAnAt
sp006-000745_GB_03-00	ASramavikalpasamuccayaviDAnAcca SrutismftyoH
sp006-000746_GB_03-00	sidDaH tarhi sarvASramiRAm jYAnakarmaRoH samuccayaH
sp006-000747_GB_03-00	na mumukzoH sarvakarmasannyAsaviDAnAt
sp006-000748_GB_03-00	vyutTAyATa BikzAcaryam caranti
sp006-000749_GB_03-00	tasmAt sannyAsamezAm tapasAmatiriktamAhuH
sp006-000750_GB_03-00	nAciketa upanizat dvi ekonASIti
sp006-000751_GB_03-00	nyAsa evAtyareca yat
sp006-000752_GB_03-00	nAciketa upanizat dvi azwa saptati iti
sp006-000753_GB_03-00	na karmaRA na prajayA Danena tyAgenEke amftatvamAnaSuH
sp006-000754_GB_03-00	nAciketa upanizat dvi dvAdaSa iti ca
sp006-000755_GB_03-00	brahmacaryAdeva pravrajet jAbAla upanizat caturTa ityAdyAH SrutayaH
sp006-000756_GB_03-00	tasmAtkarma na kurvanti yatayaH pAradarSinaH
sp006-000757_GB_03-00	iha api
sp006-000758_GB_03-00	mokzasya ca akAryatvAt mumukzoH karmAnarTakyam
sp006-000759_GB_03-00	nityAni pratyavAyaparihArArTam anuzWeyAn iti cet na
sp006-000760_GB_03-00	asannyAsivizayatvAt pratyavAyaprApteH
sp006-000761_GB_03-00	na hi agnikAryAdyakaraRAt sannyAsinaH pratyavAyaH
sp006-000762_GB_03-00	kalpayitum Sakyo yaTA brahmacAriRAm asannyAsinA् api karmiRAm
sp006-000763_GB_03-00	na tAvat nityAnAm karmaRAm aBAvAdeva BAvarUpasya pratyavAyasya utpattiH kalpayitum SakyA
sp006-000764_GB_03-00	yadi vihitAkaraRAdasamBAvyam api pratyavAyam brUyAt vedaH
sp006-000765_GB_03-00	tadA anarTakaro vedaH apramARam iti uktam syAt
sp006-000766_GB_03-00	vihitasya karaRAkaraRayoH duHKamAtraPalatvAt
sp006-000767_GB_03-00	taTA ca kArakam SAstram na jYApakam iti anupapannArTam kalpitam syAt
sp006-000768_GB_03-00	na ca etad izwam
sp006-000769_GB_03-00	tasmAt na sannyAsinAm karmaRi
sp006-000770_GB_03-00	ato jYAnakarmaRoH samuccayAnupapattiH
sp006-000771_GB_03-00	iti arjunasya praSnAnupapatteH ca
sp006-000772_GB_03-00	yadi hi BagavatA dvitIye aDyAye jYAnam karma ca samuccayena tvayA anuzWeyam iti uktam syAt
sp006-000773_GB_03-00	tataH arjunasya praSnaH anupapanno
sp006-000774_GB_03-00	arjunAya cet budDikarmaRI tvayA anuzWeye iti ukte yA karmaRo jyAyasI budDiH sA api uktA eva iti
sp006-000775_GB_03-00	iti praSno na kaTaYcana upapadyate
sp006-000776_GB_03-00	na ca arjunasya eva jyAyasI budDiH na anuzWeyA iti BagavatA uktam pUrvam iti kalpayitum yuktam
sp006-000777_GB_03-00	yena jyAyasI cet iti praSnaH syAt
sp006-000778_GB_03-00	yadi punaH ekasya puruzasya jYAnakarmaRoH viroDAt yugapat anuzWAnam na samBavatIti
sp006-000779_GB_03-00	BinnapuruzAnuzWeyatvam BagavatA pUrvam uktam syAt tataH ayam praSna upapannaH
sp006-000780_GB_03-00	jyAyasI cet ityAdiH
sp006-000781_GB_03-00	avivekataH praSnakalpanAyAm api BinnapuruzAnuzWeyatvena BagavataH prativacanam na upapadyate
sp006-000782_GB_03-00	na ca ajYAnanimittam Bagavatprativacanam kalpyam
sp006-000783_GB_03-00	asmAcca BinnapuruzAnuzWeyatvena jYAnakarmanizWayoH BagavataH prativacanadarSanAt jYAnakarmaRoH samuccayAnupapattiH
sp006-000784_GB_03-00	tasmAt kevalAdeva jYAnAt mokza iti ezaH arTo niScito gItAsu sarvopanizatsu ca
sp006-000785_GB_03-00	jYAnakarmaRoH ekam vada niScitya iti ca ekavizayA eva prArTanA anupapannA uBayoH samuccayasamBave
sp006-000786_GB_03-00	iti ca jYAnanizWAsamBavam arjunasya avaDAraRena darSayizyati
sp006-000787_GB_03-01	jyAyasI SreyasI cet yadi karmaRaH sakASAt te tava matA aBipretA budDiH jYAnam he janArdana
sp006-000788_GB_03-01	yadi budDikarmaRI samuccite izwe tadA ekam SreyaHsADanam iti karmaRo jyAyasI budDiH iti
sp006-000789_GB_03-01	karmaRaH atiriktakaraRam budDeH anupapannam arjunena kftam syAt
sp006-000790_GB_03-01	na hi tadeva tasmAt PalataH atiriktam syAt
sp006-000791_GB_03-01	taTA karmaRaH SreyaskarI BagavatA uktA budDiH
sp006-000792_GB_03-01	aSreyaskaram ca karma kuru iti mAm pratipAdayati tat kim nu kAraRam iti
sp006-000793_GB_03-01	Bagavata upAlamBam iva kurvan tat kim kasmAt karmaRi Gore krUre hiMsAlakzaRe
sp006-000794_GB_03-01	mAm niyojayasi keSava iti ca yad Aha tacca na upapadyate
sp006-000795_GB_03-01	aTa smArtena eva karmaRA samuccayaH sarvezAm BagavatA uktaH arjunena ca avaDAritaH cet
sp006-000796_GB_03-01	tatkim karmaRi Gore mAm niyojayasi ityAdi kaTam yuktam vacanam
sp006-000797_GB_03-02	vyAmiSreRa iva yadyapi viviktABiDAyI BagavAn taTApi mama mandabudDeH vyAmiSram iva BagavadvAkyam pratiBAti
sp006-000798_GB_03-02	tena mama budDim mohayasi iva
sp006-000799_GB_03-02	mama budDivyAmohApanayAya hi pravfttaH tvam tu kaTam mohayasi ato bravImi budDim mohayasi iva me mama iti
sp006-000800_GB_03-02	tvam tu BinnakartfkayoH jYAnakarmaRoH ekapuruzAnuzWAnAsamBavam yadi manyase
sp006-000801_GB_03-02	tatra evam sati tat tayoH ekam budDim karma vA idam eva arjunasya yogyam budDiSaktyavasTAnurUpam iti niScitya vada brUhi
sp006-000802_GB_03-02	yena jYAnena karmaRA vA anyatareRa SreyaH aham ApnuyAm prApnuyAm
sp006-000803_GB_03-02	yadi hi karmanizWAyAm guRaBUtam api jYAnam BagavatA uktam syAt
sp006-000804_GB_03-02	tat kaTam tayoH ekam vada iti ekavizayA eva arjunasya SuSrUzA syAt
sp006-000805_GB_03-02	na hi BagavatA uktam anyatarad eva jYAnakarmaRoH vakzyAmi na eva dvayam iti
sp006-000806_GB_03-02	yena uBayaprAptyasamBavam Atmano manyamAna ekam eva prArTayet
sp006-000807_GB_03-03	SrIBagavAnuvAca
sp006-000808_GB_03-03	loke asmin SAstrAnuzWAnADikftAnAm trEvarRikAnAm dviviDA dviprakArA nizWA sTitiH
sp006-000809_GB_03-03	anuzWeyatAtparyam purA pUrvam sargAdO prajAH sfzwvA tAsAm aByudayaniHSreyasaprAptisADanam vedArTasampradAyam AvizkurvatA
sp006-000810_GB_03-03	proktA mayA sarvajYena ISvareRa he anaGa apApa
sp006-000811_GB_03-03	tatra kA sA dviviDA nizWA iti Aha
sp006-000812_GB_03-03	jYAnayogena jYAnameva yogaH tena sANKyAnAm AtmAnAtmavizayavivekavijYAnavatAm brahmacaryASramAdeva
sp006-000813_GB_03-03	kftasannyAsAnAm vedAntavijYAnasuniScitArTAnAm paramahaMsaparivrAjakAnAm brahmaRi eva avasTitAnAm nizWA proktA
sp006-000814_GB_03-03	karmayogena karma eva yogaH karmayogaH
sp006-000815_GB_03-03	tena karmayogena yoginAm karmiRAm nizWA proktA ityarTaH
sp006-000816_GB_03-03	yadi ca ekena puruzeRa ekasmE puruzArTAya jYAnam karma ca samuccitya anuzWeyam
sp006-000817_GB_03-03	BagavatA izwam uktam vakzyamARam vA gItAsu vedezu ca uktam kaTam iha arjunAya
sp006-000818_GB_03-03	upasannAya priyAya viSizwaBinnapuruzakartfke eva jYAnakarmanizWe brUyAt
sp006-000819_GB_03-03	yadi punaH arjuno jYAnam karma ca dvayam SrutvA svayameva anuzWAsyati anyezAm tu BinnapuruzAnuzWeyatAm vakzyAmi iti
sp006-000820_GB_03-03	matam BagavataH kalpyeta tadA rAgadvezavAn apramARaBUto BagavAn kalpitaH syAt
sp006-000821_GB_03-03	taccAyuktam
sp006-000822_GB_03-03	tasmAt kayApi yuktyA na samuccayo jYAnakarmaRoH
sp006-000823_GB_03-03	yadarjunena uktam karmaRo jyAyastvam budDeH tacca sTitam anirAkaraRAt
sp006-000824_GB_03-03	tasyASca jYAnanizWAyAH sannyAsinAm eva anuzWeyatvam BinnapuruzAnuzWeyatvavacanAt ca
sp006-000825_GB_03-03	BagavataH evam eva anumatam iti gamyate
sp006-000826_GB_03-04	karma na AraBe iti evam manvAnam Alakzya Aha BagavAn
sp006-000827_GB_03-04	aTavA jYAnakarmanizWayoH parasparaviroDAt ekena puruzeRa yugapat anuzWAtum aSaktyatve sati
sp006-000828_GB_03-04	itaretarAnapekzayoH eva puruzArTahetutve prApte
sp006-000829_GB_03-04	karmanizWAyA jYAnanizWAprAptihetutvena puruzArTahetutvam na svAtantryeRa
sp006-000830_GB_03-04	jYAnanizWA tu karmanizWopAyalabDAtmikA satI svAtantryeRa puruzArTahetuH anyAnapekzA iti etam arTam pradarSayizyan Aha BagavAn
sp006-000831_GB_03-04	na karmaRAm anAramBAt aprAramBAt karmARAm kriyARAm yajYAdInAm iha janmani janmAntare vA anuzWitAnAm
sp006-000832_GB_03-04	upAttaduritakzayahetutvena sattvaSudDikAraRAnAm tatkAraRatvena ca jYAnotpattidvAreRa jYAnanizWAhetUnAm
sp006-000833_GB_03-04	mahABArate SAntiparvaRi mokzaDarmaparvaRi manubfhaspati saMvAde caturaDika dviSatatamoऽDyAyaH azwamaH SlokaH ityAdismaraRAt
sp006-000834_GB_03-04	anAramBAt anuzWAnAt nEzkarmyam nizkarmaBAvam karmaSUnyatAm jYAnayogena nizWAm nizkriyAtmasvarUpeRa eva avasTAnam iti yAvat
sp006-000835_GB_03-04	puruzo na aSnute na prApnoti ityarTaH
sp006-000836_GB_03-04	karmaRAmanAramBAt nEzkarmyam na aSnute iti vacanAt tadviparyayAt tezAm AramBAt nEzkarmyam aSnute iti gamyate
sp006-000837_GB_03-04	kasmAt punaH kAraRAt karmaRAm manAramBAt nEzkarmyam nASnute iti
