sp004-000001_KS_11	aByarTyeti
sp004-000364_KS_11	adrisutA pArvatI tayoH sutasya putrasya itTam evamBUte janmotsave
sp004-000365_KS_11	aSezam samastam carAcaram sTAvarajaNgamam etadviSvam jagat sammadayAYcakAra unmattIcakAra
sp004-000366_KS_11	unmAdasADanEriti SezaH
sp004-000367_KS_11	param kevalam tArakasya tArakAsurasya SrIH lakzmIH cakampe
sp004-000368_KS_11	biBAya ityarTaH
sp004-000369_KS_11	tata iti
sp004-000370_KS_11	tataH anantaram saH kumAraH vicitrEH anekarUpEH
sp004-000371_KS_11	ata eva samudAm sutarAm prItInAm nidAnEH AdikAraREH
sp004-000372_KS_11	nidAnam tvAdikAraRam ityamaraH
sp004-000373_KS_11	bAlalIlAcaritEH SiSukrIqAcaritEH girISagOryoH SivapArvatyoH
sp004-000374_KS_11	aByarhitatvAt bahvacoऽpi pUrvanipAtaH
sp004-000375_KS_11	hfdayam manaH jahAra
sp004-000376_KS_11	prasAdayAmAsa ityarTaH
sp004-000377_KS_11	hfdyA manoharA bAlakeliH mude na kimu Bavati
sp004-000378_KS_11	kim tu Bavatyeva ityarTaH
sp004-000379_KS_11	maheSvara iti
sp004-000380_KS_11	maheSvaraH haraH SElasutA pArvatI ca harzAt hetoH satarzam satfzRam yaTA taTA ajAtadantAni
sp004-000381_KS_11	anudBUtadaSanAni manoharARi sUnoH kumArasya muKAni ekena muKena
sp004-000382_KS_11	gAQam dfQam yaTA taTA kramataH yaTAkramam cucumba pasparSa
sp004-000383_KS_11	atra kartfdvayasya pArTakyena kriyAnvayaH viDeyaH
sp004-000384_KS_11	anyaTA dvivacanApattiriti vivecanIyam
sp004-000385_KS_11	kvaciditi
sp004-000386_KS_11	saH bAlaH kumAraH kvacitpradeSe sKaladBiH patadBiH kvacitpradeSe asKaladBiH kvacit pradeSe prakampEH
sp004-000387_KS_11	prakfzwakampEH kvacitpredeSe aprakampEH lIlayA ye calanaprayogAH tEH nimittaBUtEH tayoH pitroH jananIjanakayoH
sp004-000388_KS_11	mAtA ca pitA ca pitarO tayoH pitroH
sp004-000389_KS_11	pitA mAtrA ityekaSezaH
sp004-000390_KS_11	mudam prItim varDayati sma
sp004-000391_KS_11	kandalayAYcakAra ityapi pAWaH
sp004-000392_KS_11	arTaH sa eva
sp004-000393_KS_11	ahetviti
sp004-000394_KS_11	gfhANgaRe yatkrIqanam tena nimittena DUliBiH rajoBiH DUmraH
sp004-000395_KS_11	DUsaraH san aNkagataH utsaNgam prAptaH kumAraH
sp004-000396_KS_11	ahetuH akAraRaH yo hAsaH hasitam tena cCuritaH miSritaH AnanenduH muKacandraH yasya
sp004-000397_KS_11	alakzitArTam avyaktArTam muhuH kiYcidvadan tayoH mudam prItim tatAna cakAra
sp004-000398_KS_11	gfhRanniti
sp004-000399_KS_11	saH kumAraH
sp004-000400_KS_11	haravAhanasya vfzasya vizARe SrfNge gfhRan
sp004-000401_KS_11	karAByAmiti SezaH
sp004-000402_KS_11	taTA umAkesariRam pArvatIsiMham salIlam aprayAsam yaTA taTA spfSan
sp004-000403_KS_11	taTA BfNgiRaH gaRasya sUkzmataram SiKAgram karzan
sp004-000404_KS_11	pitroH jananIjanakayoH pramadAya harzAya baBUva
sp004-000405_KS_11	kriyAgrahaRAt sampradAnatvam
sp004-000406_KS_11	eka iti
sp004-000407_KS_11	tasya pituH aNkagaH utsaNgagataH ESiH
sp004-000408_KS_11	ISasya apatyam ityarTaH
sp004-000409_KS_11	ata iY ityapatyArTe iY
sp004-000410_KS_11	AtmamuKamprasArya maheSasya ye kaRWoragAH kaRWasTAH sarpAH tezAm dantapaNktim
sp004-000411_KS_11	ekaH nava dvO daSa paYca sapta ityajIgaRat saNKyAtavAn
sp004-000412_KS_11	yataH SESavamOgDyam bAlatvanimittamUQatAm daDAnaH
sp004-000413_KS_11	ajIgaRaditi gaRayateH luN
sp004-000414_KS_11	I cagaRaH ityaByAsAkArasya IkAraH
sp004-000415_KS_11	kapardIti
sp004-000416_KS_11	kumAraH kArtikeyaH kapardikaRWAnte SivakaRWamaDye sTitasya
sp004-000417_KS_11	kapAladAmnaH nfkarowIsrajaH Ananakowarezu vadanakUpezu
sp004-000418_KS_11	kowaro nAgare kUpe puzkariRyuccaGAwake iti medinI
sp004-000419_KS_11	aNgulim praveSya dantAn upAttum grahItum raBasI raBasaH vegaH asi astIti taTA uktaH
sp004-000420_KS_11	raBaso vegaharzayoH iti medinI
sp004-000421_KS_11	baBUva
sp004-000422_KS_11	etAn vegena gfhRAmi ityEcCat ityarTaH
sp004-000423_KS_11	yataH muktAPalaBrAntikaraH mOktikaBramakArI
sp004-000424_KS_11	SamBoriti
sp004-000425_KS_11	saH kumAraH
sp004-000426_KS_11	SiSirAn SItalAn SamBoH sambanDinaH SirasaH antaH maDye sTitAyAH saritaH gaNgAyAH taraNgAn rasena svAdena
sp004-000427_KS_11	svAdotra tvagindriyagrAhyatvena vivakzitaH
sp004-000428_KS_11	raso ganDarase jale
sp004-000429_KS_11	SrfNgArAdO vize vIrye takrAdO dravyarAgayoH
sp004-000430_KS_11	dehaDAtupraBede ca pAradasvAdayoH pumAn iti medinI
sp004-000431_KS_11	gAQam dfQam
sp004-000432_KS_11	gAQabAQadfQAni ca ityamaraH
sp004-000433_KS_11	vigAhyA avagAhya
sp004-000434_KS_11	ata eva jAtajAqyam jAtaSItakftajaqatvam nijapARipadmam
sp004-000435_KS_11	svIyakarakamalam BAle yadvilocanam tatra yo agniH tatra atApayat
sp004-000436_KS_11	anyoऽpi SItajaqam hastam agnO tApayati tadvat iti BAvaH
sp004-000437_KS_11	kiYciditi
sp004-000438_KS_11	kiYcidBaNgurA patanaSIlA
sp004-000439_KS_11	BaYjaBAsamido Gurac iti Gurac
sp004-000440_KS_11	cajoH iti kutvam
sp004-000441_KS_11	kanDarA grIvA yasya
sp004-000442_KS_11	bAlatvAt saH kumAraH namajjawAjUwasya DaraH tasya SamBoH harasya
sp004-000443_KS_11	pralambamAnam ASrayamARam kalam maDuram mukuwenduKaRqam mukuwacandraSakalam
sp004-000444_KS_11	Bittam SakalaKaRqe vA ityamaraH
sp004-000445_KS_11	kOtukena Anandena ciram bahukAlam cucumbe
sp004-000446_KS_11	pasparSa ityarTaH
sp004-000447_KS_11	itTamiti
sp004-000448_KS_11	girijAgirISO manoBirAmEH manoraTEH itTam evamBUtEH SiSoH kumArasya
sp004-000449_KS_11	SESavasya bAlyasya yAH kelayaH tAsAm vfttEH caritrEH
sp004-000450_KS_11	vfttam padye caritre trizvatIte dfQanistale ityamaraH
sp004-000451_KS_11	manasaH vinodaH tatra yaH eko rasaH prItiH tatra prasaktO AsaktO santO
sp004-000452_KS_11	kadAcidapi divAniSam aharniSam nAvidatAm nAvabuDyetAm
sp004-000453_KS_11	agADaputrotsavArRavamagnatvAditi BAvaH
sp004-000454_KS_11	itIti
sp004-000455_KS_11	iti evamBUtam bahuviDam nAnA prakArakam lalitalalitam lalitaprakAram
sp004-000456_KS_11	atisundaram sAndraH AnandoH yena
sp004-000457_KS_11	manoharam bAlakrIqAyAH vicitram vicezwitam cezwAm
sp004-000458_KS_11	caritramiti yAvat
sp004-000459_KS_11	Acaran vidaDat viBuH saH kumAraH zazWe dine parAm utkfzwAm
sp004-000460_KS_11	budDim DizaRAm navayOvanam tAruRyam ca alaBata prApa
sp004-000461_KS_11	yayA budDyA sakalam samastam Sastram
sp004-000462_KS_11	sakalAni SAstrARItyarTaH
sp004-000463_KS_11	SAstram
sp004-000464_KS_11	SastrARItyarTaH
sp004-000465_KS_11	uBayatrApi jAtAvekavacanam
sp004-000466_KS_11	viveda jYAtavAn
sp004-000467_KS_11	kileti prasidDO
sp004-000468_KS_11	prAcInasatsaMskArARAm kimiva aSakyam iti BAvaH
sp004-000469_KS_11	hariRIcCandaH rasayugahayErnsO mrO mlO go yadA hariRI tadA iti lakzaRAt
sp004-000470_KS_11	iti SrIparvaRIkaropanAmaka SrIlakzmaRaBawwAtmajasatIgarBasamBava SrIsItArAmakaviviracitayA saYjIvinIsamAKyayA vyAKyayA sametaH
sp004-000471_KS_11	SrIkAlidAsakftO kumArasamBave mahAkAvye kumArotpattirnAma ekAdaSaH sargaH
sp004-000472_KS_12	aTeti
sp004-000473_KS_12	aTa anantaram krUraH tIvraH yaH asuraH tArakasaYjYakaH tasya tatkartfkaH yaH upaplavaH
sp004-000474_KS_12	upadravaH svasTAnoccAwanAdikaH tena duHKitaH klizwaH AtmA yasya taTABUtaH
sp004-000475_KS_12	pulomaputryAH SacyAH dayitaH priyaH indraH aSezEH samastEH tridaSEH AtmaBftyaBUtavfndArakEH saha
sp004-000476_KS_12	tfzRAturitaH tfzRayA tfzayA kartryA AturitaH AturIkftaH
sp004-000477_KS_12	tatkaroti iti Rici kfte RAvizWavat iti wilopaH
sp004-000478_KS_12	tataH kartari ktaH
sp004-000479_KS_12	pattrI cAtakaH payodamiva
sp004-000480_KS_12	anDakArim haram prapede prApa
sp004-000481_KS_12	atra pUrRopamAlaNkAraH
sp004-000482_KS_12	sargeऽsminvfttam upajAtiH
sp004-000483_KS_12	dfpteti
sp004-000484_KS_12	saH indraH
sp004-000485_KS_12	dfptaH aBimAnI yaH ariH tArakaH tasmAt yaH santrAsaH Bayam tena
sp004-000486_KS_12	KilIkftAt duravagAhyamAnIkftAt amBodAnAm meGAnAm vihAraH yatra sa cAsO mArgaSca
sp004-000487_KS_12	AkASam ityarTaH
sp004-000488_KS_12	tasmAt girISasahitA yA gOrI BavAnI tasyAH pade caraRe tayoH nyAsaH
sp004-000489_KS_12	niDAnam tena viSudDam pavitram girim kElAsam aBi sammuKam kaTaYcit kenApi prakAreRa
sp004-000490_KS_12	kazwenetyarTaH
sp004-000491_KS_12	avAtatAra uttatAra
sp004-000492_KS_12	girISagOrIti girISasya aByarhitatvAt bahvacoऽpi pUrvanipAtaH iti vA
sp004-000493_KS_12	saNkrandana iti
sp004-000494_KS_12	aTa anantaram saNkrandanaH indraH
sp004-000495_KS_12	saNkrandano duScyavanaH ityamaraH
sp004-000496_KS_12	mAtalinA sAraTinA dattaH ASrayIkaraRArTam agrekftaH hastaH yasmE saH
sp004-000497_KS_12	avalambitamAtalihastaH san ityarTaH
sp004-000498_KS_12	meGAtmanaH meGasvarUpaDAriRaH meGarUpAt ityarTaH
sp004-000499_KS_12	syandanataH raTAt
sp004-000500_KS_12	paYcamyAstasil
sp004-000501_KS_12	avatIrya uttIrya SucO grIzme pipAsayA tfzRayA tfzeti yAvat
sp004-000502_KS_12	AkulitaH AturaH puruzaH amBo yaTA jalamiva pinAkinaH harasya Alayam nilayam uccacAla
sp004-000503_KS_12	uddiSya calati sma ityarTaH
sp004-000504_KS_12	nikAyyanilayAlayAH
sp004-000505_KS_12	ityamaraH
sp004-000506_KS_12	pipAseti apratyayAt ityakArapratyaye wAp
sp004-000507_KS_12	atrApi pUrRopamAlaNkAraH
sp004-000508_KS_12	sAmAnyaDarmastu Akulitattvam iti Akulitattve nimittIBUtO pipAsopaplavO
sp004-000509_KS_12	anayoH bimbapratibimbaBAvena sAdfSyam
sp004-000510_KS_12	itastata iti
sp004-000511_KS_12	aTa anantaram vrajan gacCan saH indraH sPawikAdriH kElAsaH tasya BUmO pfTivyAm
sp004-000512_KS_12	itastataH yatra tatra pratibimbaBAjam pratibimbitam ekamapi AtmAnam SarIram anekasaNKyam vilokamAnaH paSyan san
sp004-000513_KS_12	viBoH maheSvarasya Aspadam sTAnam AsasAda prApa
sp004-000514_KS_12	vicitramiti
sp004-000515_KS_12	saH indraH vicitrAH anekavarRAH caYcantaH dIpyamAnAH ye maRayaH ratnAni
sp004-000516_KS_12	tezAm tatkarmikAH yAH BaNgyaH racanAviSezAH tezAm saNgaH sambanDaH yasya
sp004-000517_KS_12	anekavarRamaRiKacitam ityarTaH
sp004-000518_KS_12	taTA aticaRqam atiBIzaRam sOvarRadaRqam suvarRamayavetram daDatA biBratA nandinA gaRena aDizWitam
sp004-000519_KS_12	dvArapAlatayA aDiSritam anaNgaSatroH Sivasya sODasya rAjasadanasambanDinaH aNgaRasya Ajirasya
sp004-000520_KS_12	aNgaRam catvarAjire ityamaraH
sp004-000521_KS_12	dvAram pratIhAram
sp004-000522_KS_12	strI dvArdvAram pratIhAraH ityamaraH
sp004-000523_KS_12	aDyatizWat aDitasTO
sp004-000524_KS_12	aDiSINsTAsAm iti karmatvam
sp004-000525_KS_12	antaHpraveSe BagavadAjYAnupAlanam kurvan dvAra eva tasTO ityarTaH
sp004-000526_KS_12	tata iti
sp004-000527_KS_12	tataH anantaram saH nandI gaRaH surendram indram sadyaH ASu pratipadya samIpam prApya
sp004-000528_KS_12	sutarAm gOraveRa AdareRa svAgatAdinA pratozayAmAsa santozitavAn
sp004-000529_KS_12	aTa ca svayam gatvA kakzAyAm harmyaprakozWe
sp004-000530_KS_12	kakzA prakozWe harmyAdeH kAYcyAm maDyeBa banDane ityamaraH
sp004-000531_KS_12	AhitaH sTApitaH hemadaRqaH suvarRavetraH yena taToktaH san
sp004-000532_KS_12	ISvarasya
sp004-000533_KS_12	ISvaram ityarTaH
sp004-000534_KS_12	sambanDavivakzAyAm zazWI
sp004-000535_KS_12	SaSaMsa kaTayAmAsa
sp004-000536_KS_12	sasuraH mahendraH Agata iti niveditavAn ityarTaH
sp004-000537_KS_12	BrUsaYjYayeti
sp004-000538_KS_12	anena jagatAm ISvareRa maheSvareRa BrUsaYjYayA
sp004-000539_KS_12	BrUkuwIcamatkftisaNketena ityarTaH
sp004-000540_KS_12	kftAByanujYaH surendrAgamanArTam kftAnuSAsanaH saH nandI gaRaH purogaH agragAmI san
sp004-000541_KS_12	tam sureSvaram indram sat SoBanam asya maheSvarasya sadanam gfham surEH samam praveSayAmAsa
sp004-000542_KS_12	praveSitavAn ityarTaH
sp004-000543_KS_12	sa iti
sp004-000544_KS_12	saH sahasranetraH indraH garizWEH atiSayena guruBiH
sp004-000545_KS_12	priyasTira ityAdinA guruSabdasya garAdeSaH
sp004-000546_KS_12	anekEH bahuBiH viviDasvarUpEH nAnAkftiBiH caRqiBfNgipramuKEH gaREH ratnamayyAm ratnapracurAyAm
sp004-000547_KS_12	prAcurye mayaw wiqQARaY iti NIp
sp004-000548_KS_12	saMsadi saBAyAm aDizWitam upavizwam Sivam Aluloke dadarSa
sp004-000549_KS_12	iha aDiSIN ityADArasya karmatvaprasaNgaH durnivAraH
sp004-000550_KS_12	ata eva ratnamayIm saBAm tAm iti pratizWitamiti vA paWanIyam
sp004-000551_KS_12	yaTAsTitavinyAse dUzaRodDAram suDiyo viBAvayantviti
sp004-000552_KS_12	aTa trayodaSaBiH maheSvaram viSinazwi kapardetyAdiBiH
sp004-000553_KS_12	kapardamiti
sp004-000554_KS_12	kimBUtam Sivam
sp004-000555_KS_12	udbadDam BujaNgarajjuBiH dfQIkftam ullasadBiH SoBamAnEH ata eva ahInAm inAH
sp004-000556_KS_12	svAminaH tezAm vAsukipraBfti mahAsarpARAm mUrDasu SiraHsu yAni ratnAni maRayaH
sp004-000557_KS_12	tezAm aMSuBiH mayUKEH BAsuram dIpyamAnam
sp004-000558_KS_12	BaYjaBAsa iti Gurac
sp004-000559_KS_12	uccEstaram mahAntam kapardam jawAjUwam daDAnam biBratam
sp004-000560_KS_12	kapardoऽsya jawAjUwaH ityamaraH
sp004-000561_KS_12	aTa eva punaH kimBUtam idDAH pravfdDAH DAtavaH gErikAdayaH yatra taTABUtam yat
sp004-000562_KS_12	sumeroH svarRAdreH SrfNgam tasya samatvam sAdfSyam Aptam prAptam
sp004-000563_KS_12	biBrARamiti
sp004-000564_KS_12	punaH kimBUtam
sp004-000565_KS_12	uttuNgonnatagAminI
sp004-000566_KS_12	utplavanarItigAminI ityarTaH
sp004-000567_KS_12	taTABUtA taraNgamAlA kallolapaNktiH yasyAH tAm jawAjUwasya kapardasya tawam samIpaBAgam BajantIm
sp004-000568_KS_12	tatra sTitAm ityarTaH
sp004-000569_KS_12	taTA SaradaBravat SaratkAlikameGavat SuBrEH viSadEH
sp004-000570_KS_12	svaPenEH tasya harasya utsaNgam juzate sevate tAm
sp004-000571_KS_12	harANkasTitAm ityarTaH
sp004-000572_KS_12	gOrIm pArvatIm hasantImiva upahAsyam kurvatImiva
sp004-000573_KS_12	sApatnyaprayukta manaHsantApam hAsyena sPuwIkurvARAmiva ityutprekzA
sp004-000574_KS_12	gaNgAm biBrARam daDAnam
sp004-000575_KS_12	gaNgeti
sp004-000576_KS_12	punaH kimBUtam
sp004-000577_KS_12	gaNgAtaraNgezu jAhnavIkallolezu pratibimbitEH svEH AtmaBiH
sp004-000578_KS_12	SarIrEH iti yAvat
sp004-000579_KS_12	bahUBavantam anekIBavantam suDAMSum candram SirasA mUrDnA udvahantam daDAnam
sp004-000580_KS_12	ata eva punaH kimBUtam
sp004-000581_KS_12	tuzAravat tuhinavat gOrEH sitEH
sp004-000582_KS_12	gOroऽruRe site pIte iti viSvaH
sp004-000583_KS_12	calantaH prasarantaH ye marIcipracayAH kiraRasaNGAtAH tEH himadyotitam
sp004-000584_KS_12	dyotate SoBate iti saH dyotI
sp004-000585_KS_12	SoBAvAn ityarTaH
sp004-000586_KS_12	tasya BAvaH dyotitA
sp004-000587_KS_12	dyutirityarTaH
sp004-000588_KS_12	himavat himasaNGAtavat dyotitA dyutiH yasya tam
sp004-000589_KS_12	pUrvam DavalANgamapi anekacandraSoBABiH aDikaDavalIBUtam ityarTaH
sp004-000590_KS_12	BAlasTale iti
sp004-000591_KS_12	BAlasTale lalAwadeSe eDamAnam varDamAnam yat DAma tejaH tena nimittena
sp004-000592_KS_12	aDarIBUte pariBAvam upAgate ravIndU eva netre yasmAt
sp004-000593_KS_12	tAByAm aDikatejaskam ityarTaH
sp004-000594_KS_12	yadvA
sp004-000595_KS_12	eDamAnaDAma aDarIBUtam ceti padadvayam tatra evam vyAKyem
sp004-000596_KS_12	eDamAnam varDamAnam DAma tejaH yasya
sp004-000597_KS_12	varDizRutejaskam ityarTaH
sp004-000598_KS_12	taTA unnatAnatasTAnaBedena aDarIBUte BAlasTanetrApekzayA nIcErBUte ravIndU eva netre yasya
sp004-000599_KS_12	taTA yugAntakAle pralayakAle ucitam paricitam havyavAham agnirUpam
sp004-000600_KS_12	pralayakAlika analarUpam ityarTaH
sp004-000601_KS_12	ata eva mInaDvajasya kAmasya plozaRam dAhakam
sp004-000602_KS_12	pluza dAhe kftyalyuwo bahulam iti kartari lyuw
sp004-000603_KS_12	evamBUtam locanam AdaDAnam biBrARam ityarTaH
sp004-000604_KS_12	maheti
sp004-000605_KS_12	punaH kimBUtam
sp004-000606_KS_12	mahArhARi bahUmUlyAni yAni ratnAni maRayaH tEH aYcitayoH KacitayoH
sp004-000607_KS_12	ata eva samantAt sarvataH udAram aDikam yaTA syAt taTA sPurat prasPurat praBAmaRqalam kAntivitAnam
sp004-000608_KS_12	yayoH taTABUtayoH kuRqalayoH karRaBUzaRayoH Calena kEtavena karRayoH SravaRayoH
sp004-000609_KS_12	sTitAByAm upavizwAByAm SaSiBAskarAByAm candrasUryAByAm upAsitam sevitam
sp004-000610_KS_12	kuRqalavizaye kEtavAt sUryAcandramasoH AropyamARatvAt tAdrUpyarUpakam kEtavApahnutiSca ityuBayoH saMsfzwiH
sp004-000611_KS_12	svabadDayeti
sp004-000612_KS_12	punaH kimBUtam
sp004-000613_KS_12	parisPurantyA paritaH prasarantyA nIlasya SyAmasya kaRWasya Atmagalasya
sp004-000614_KS_12	mahatyA kAntyA praBayA sutarAm virAjamAnam SoBamAnam
sp004-000615_KS_12	kayA iva ityutprekzate
sp004-000616_KS_12	kutukena kOtukena svasmin AtmIyakaRWe badDayA nihitayA nIlamARikyamayyA
sp004-000617_KS_12	nIlaratnaviSezapracurayA gOryAH kaRWika eva kaRWa BUzayeva
sp004-000618_KS_12	kaRWikA kaRWaBUzaRam iti medinI
sp004-000619_KS_12	kAleti
sp004-000620_KS_12	punaH kimBUtam
sp004-000621_KS_12	kAlena avasAnakAlikamftyunA arditAnAm pIqitAnAm
sp004-000622_KS_12	mftAnAmiti yAvat
sp004-000623_KS_12	tridaSAsurARAm devadEtyAnAm citAyAH mftamaRqapasya rajoBiH BasmaBiH
sp004-000624_KS_12	paritaH pARquram SuBram aNgam yasya vihitamftamaRqapa BasmodDUlanam ityarTaH
sp004-000625_KS_12	iha devAnAm amaratvABAvaH durGawaH
sp004-000626_KS_12	tatra jYAnABAvena nihitapadasya kaveH pramAdaH ityAhuH
sp004-000627_KS_12	kecitpunaH
sp004-000628_KS_12	manujAऽsurARAm iti pAWAntaram kalpayanti
sp004-000629_KS_12	aTa yadyapi kAlArditAnAmiti viSezaRam uBayaviSezyAnvayitvena
sp004-000630_KS_12	dvitIyaviSezye vivakzitamapi akAlArditatvaviSezaRasya vyaBicAraniyamane niyamanAt nizidDam Bavati
sp004-000631_KS_12	taTApi praTamaviSezye lokopakArakatApakzeऽpi vyaBicaritArTasamBavena viSezaRAnupayogAt
sp004-000632_KS_12	samBavaprayuktapraDAnaBUtadvitIyaviSezyasambanDena praTamaviSezyAnvayitvanirAsaH
sp004-000633_KS_12	evam ca upakAryamanujasahacaritatvena lokopakArakatApakzAvalambena ca vivakzitArTasya avivakzitatvAt
sp004-000634_KS_12	saMhArakatApakze tu prAyo gatiH anvezaRIyA ityalam
sp004-000635_KS_12	taTA mahatpariRAhi maheBasya mahataH gajasya ajinam carma paridaDAnam iti pUrveRa sambanDaH
sp004-000636_KS_12	ata eva udgatam uditam aBram meGaH yatra sa cAsO prAleyaSElaH
sp004-000637_KS_12	himavAn tasya Sriyam SoBAm udvahantam daDAnam
sp004-000638_KS_12	nidarSanAlaNkAraH
sp004-000639_KS_12	pARIti
sp004-000640_KS_12	punaH kimBUtam
sp004-000641_KS_12	pARO sTitam brahmakapAlameva pAtram yasya
sp004-000642_KS_12	pARinA brahmakarowIpAtram biBrARam ityarTaH
sp004-000643_KS_12	punaH kimBUtam
sp004-000644_KS_12	vEkuRWaBAjApi hariRApi nizevyamARam
sp004-000645_KS_12	sevyamAnam sevanam atra kAdAcitkam natu idAnIntanameva
sp004-000646_KS_12	trayARAm aBedasyEva izwArTakaratvAt
sp004-000647_KS_12	ekEva mUrtiH iti saptamasargokteriti BAvaH
sp004-000648_KS_12	harApekzayA harerapi laGutvasamBAvanayA samBavatyeva kadAcitsevanam
sp004-000649_KS_12	taTA narARAm asTiKaRqAnyeva ABaraRAni yasya
sp004-000650_KS_12	hiMsAkAlasaMlagna svaSUlatritayAsTikam ityarTaH
sp004-000651_KS_12	taTA raRe yaH antaH ripURAm avasAnam
sp004-000652_KS_12	tasya mUlam kAraRam mUlam kAraRamUlyayoH iti medinI
sp004-000653_KS_12	uccEH mahat triSUlam AyuDaviSezam kalayantam daDAnam
sp004-000654_KS_12	purAtanImiti
sp004-000655_KS_12	punaH kimBUtam
sp004-000656_KS_12	mukuwe yaH induH candraH tasmAt varzan galan yaH suDABarOGaH
sp004-000657_KS_12	amftasamUhapravAhaH tatra yaH AplavaH snAnam tena nimittena labDasaYjYAm
sp004-000658_KS_12	prAptacetanAm ata eva ASvasantIm ujjIvantIm
sp004-000659_KS_12	ata eva punaH BUyaH api udgItavedAm paWitaSrutikAm
sp004-000660_KS_12	brahmatvAditi BAvaH
sp004-000661_KS_12	purAtanIm prAktanIm
sp004-000662_KS_12	sAyaYciram ityAdinA purAvyayAt wyutuwO
sp004-000663_KS_12	witvAnNIp
sp004-000664_KS_12	brahmakapAlAnAm mAlAm srayam kaRWe gale vahantam
sp004-000665_KS_12	daDAnam ityarTaH
sp004-000666_KS_12	salIlamiti
sp004-000667_KS_12	punaH kimBUtam
sp004-000668_KS_12	navam yat azwApadam hema
sp004-000669_KS_12	hemanyazwApadam vare iti medinI
sp004-000670_KS_12	tasya vallI latA
sp004-000671_KS_12	vallI tu vratatirlatA ityamaraH
sp004-000672_KS_12	prakftyA tu vallISabdasya hrasvatvameva
sp004-000673_KS_12	kfdikArAdaktinaH iti dIrGatvam tasyAH BA iva BA yasyAH
sp004-000674_KS_12	tadvacCoBamAnayA ityarTaH
sp004-000675_KS_12	taTA salIlam sakrIqam aNkasTitayA aNkam AruQayA
sp004-000676_KS_12	girIndraputryA himAlayakanyayA paritaH sPurantyA prasarantayA acirarocizA calapraBayA
sp004-000677_KS_12	vidyutA SaradaBrasya SaratkAlikameGasya KaRqam Sakalam iva virAjamAnam SoBamAnam
sp004-000678_KS_12	maheSvarasya SuBratvam BasmodDUlanAt iti vivecanIyam
sp004-000679_KS_12	KaRqOpamyam ca SuBratvamAtratAtparyeRa na viruDyate
sp004-000680_KS_12	dfpteti
sp004-000681_KS_12	dfptaH aBimAnI yaH anDakaH anDakAsuraH tasya prARAnAm haram apahArakam
sp004-000682_KS_12	tadDananasADanam ityarTaH
sp004-000683_KS_12	taTA mahAsurAH tripurAdayaH tezAm yAH striyaH tAsAm viDavatvam vEDavyam
sp004-000684_KS_12	mftaBartfkatvam iti yAvat
sp004-000685_KS_12	tasya hetum kAraRam
sp004-000686_KS_12	mahAsuravinASakam ityarTaH
sp004-000687_KS_12	taTA purA pUrvam smarasya kAmasya plozaRam dAham keli anAyAsena karotIti taTA
sp004-000688_KS_12	anyEH SivAtiriktEH agfhyam grahItum aSakyam pinAkam DanuH kareRa pARinA gfhRantam daDAnam
sp004-000689_KS_12	BadrAsanamiti
sp004-000690_KS_12	mahArhARAm bahumUlyAnAm mARikyAnAm viBaNgiBiH racanABiH citram vicitram
sp004-000691_KS_12	Badram SuBam Asanam pawwAdinirmitam yatra tAdfSam
sp004-000692_KS_12	baDnantamiti padam aDyAhAryam BadrAsanam AsanaviSezamiti kecid vyAcakzate
sp004-000693_KS_12	tattu aDyAhAradozat yogAByAsasamayABAvena tadasamBAvAcca upekzaRIyamiti
sp004-000694_KS_12	kAYcanapAdapIWam sOvarRasiMhAsanam aDizWitam
sp004-000695_KS_12	tatra upavizwam ityarTaH
sp004-000696_KS_12	aDiSINsTAsAm iti karmatvam
sp004-000697_KS_12	punaSca
sp004-000698_KS_12	candramarIcivat gOrEH viSadEH camarEH kftvA gaRAByAm kartfByAm udvIjyamAnam preNKyamAnam
sp004-000699_KS_12	kartfdvitve camarabahutvam pratikzaRa nUtanagrahaRAt saNgamanIyam
sp004-000700_KS_12	SastrAstreti
sp004-000701_KS_12	SastrARi DanurAdIni
sp004-000702_KS_12	astrARi mohanAdIni tAnyeva vidyAH tAsAm aByasane eva ekam kevalam sakte anurakte
sp004-000703_KS_12	taTA gaREH pramaTapraBftiBiH etya tatsamIpam prApya
sp004-000704_KS_12	savismayEH sAScaryEH sadBiH sutarAm dfzwe
sp004-000705_KS_12	sABilAzam avalokite ityarTaH
sp004-000706_KS_12	taTA sPawikAcalena kElAsena
sp004-000707_KS_12	jaNgamAtmakena satA iti SezaH
sp004-000708_KS_12	nIrAjyamAne
sp004-000709_KS_12	Artikyena iti SezaH
sp004-000710_KS_12	evamBUte kumAre putre sAnandam sAmodam nirdizwA sannihitA dfk dfzwiH yena tam
sp004-000711_KS_12	sAnandatayA kumAram avalokayantam ityarTaH
sp004-000712_KS_12	taTAviDamiti
sp004-000713_KS_12	pulomaputrI pulomajA SacIti yAvat
sp004-000714_KS_12	pulomajA SacIndrARI ityamaraH
sp004-000715_KS_12	tasyAH dayitaH priyaH purandaraH
sp004-000716_KS_12	taTAviDam pUrvoktaviSezaRaviSizwam SElasutAyAH pArvatyAH aDinATam maheSvaram
sp004-000717_KS_12	nirIkzya kzaRam muhUrtam kzoBe cittasaYcalane paraH AsaktaH saYcalanena vyAkulaH AsIt
sp004-000718_KS_12	nanu maheSvaradarSanena kaTam vyAkulaH AsIt iti arTAntaram nyasyati
