sp014-000001_001	vayam idAnIm paScAttApapIqitAH smaH
sp014-000305_008	jAvaLyAH GanAraRye rahasyarUpeRa sTAtavyam iti
sp014-000306_008	SivarAjaH pratApadurgam gantum sidDaH aBavat
sp014-000307_008	AtmanA saha kEH Agantavyam iti sUcanA api dattA
sp014-000308_009	sa ca mAtuH jIjAbAyyAH ApracCanam
sp014-000309_009	putrasya ApracCanavizaye mAtuH hfdaye vyAkulatA sahajA eva Kalu
sp014-000310_009	sAmAnyayA mAtrA tu putrajananasamaye prasavavedanA anuBUtA cet tasyAH vedanAnuBavakazwam samAptameva
sp014-000311_009	kintu vIrasya mAtaraH tatrApi SivarAjasadfSasya mAtaraH vAram vAram tAdfSIm vedanAm anuBavanti
sp014-000312_009	putraH yadi vimuktaH Bavati tarhi saH punarjanma prAptavAn iti mAtuH AnandaH
sp014-000313_009	jIjAbAyyA tu ekamAtraputraH mftyumuKam prati prezaRIyaH AsIt
sp014-000314_009	tasya pratyAgamanam prArTayantyA tUzRIm upavezwavyam AsIt
sp014-000315_009	putra Siva mA gacCa iti vaktum utkaRWA tasyAH
sp014-000316_009	kintu SivarAjasya mAtrA satyA tayA kaTam vA tAdfSam vacanam ucyeta
sp014-000317_009	sA eva tam mahAkArye pravartitavatI AsIt Kalu
sp014-000318_009	samBAjivizayakam pratIkAram mA vismara iti ASIrvacanAni uktavatI
sp014-000319_009	antime kzaRe ApracCanasamaye mAtuH muKAt agrajasya mAraRasya pratIkArasya smAraRam
sp014-000320_009	SivarAjasya janma tAdfSe garBe eva Bavitum arham Kalu
sp014-000321_009	prasTAnAt pUrvam SivamahArAjaH patnIm dfzwavAn
sp014-000322_009	putram samBAjim AliNgitavAn
sp014-000323_009	tataH sTiramanaskaH kftasaNkalpaH ca BUtvA pratApadurgasya diSi padAni asTApayat saH
sp014-000324_010	svasya AnukUlyam yatra AsIt tAdfSam raRaraNgam prati SivarAjam Anetum KAnaH viPalaH jAtaH AsIt
sp014-000325_010	tannAma varzAkAlaH ArabDaH AsIt
sp014-000326_010	tarhi kA gatiH
sp014-000327_010	sanDeH vyAjena SivarAjasya AhvAnam karaRIyam
sp014-000328_010	saH aNgIkaroti cet paryAptam
sp014-000329_010	agrimam kAryam bahu sulaBam
sp014-000330_010	SivarAjaH pratApadurgam prAptavAn
sp014-000331_010	pratidinam aPjalasya pracaRqasEnyasya sannAhavArtAH tadIyam karRapaTam AgacCanti sma
sp014-000332_010	svarAjye yAni durgARi antarBUtAni Asan tAni jitvA nASayan AsIt aPjalaH
sp014-000333_010	tadA eva SivamahArAjena dAruRA vArtA prAptA yat patnI sAyIbAI divaNgatA iti
sp014-000334_010	na jYAyate maraRAvasTAyAm mahArAjasya kaLyARam kativAram prArTitavatI syAt sA iti
sp014-000335_010	svarAjyasya kaRwakaH AdO pariharaRIyaH AsIt tena
sp014-000336_010	ekEkaSaH mAvaLIvIrAH mahArAjArTam prARasamarpaRam kartum AgacCantaH Asan
sp014-000337_010	tuLjApurasya paRQarApurasya kolhApurasya ca viDvaMsena kroDataptAH te pratApadurgasya mArgam ASritavantaH Asan
sp014-000338_010	BavAnyAH avamAnanasya pratIkArArTam tezAm raktam kvaTati sma
sp014-000339_010	tAdfSAH sarve svasya KaqgAn SUlAni ca tejayitvA tezAm raktadAham Samayitum pratApadurgam AgatAH Asan
sp014-000340_010	sPowArTam sidDaH jvAlAmuKaH iva te avasaram pratIkzamARAH Asan
sp014-000341_010	tAvatA kAnhojiH svasya paYcaBiH putrEH dvAdaSamAvaLaprAntapramuKEH ca saha Agatya samAvizwaH
sp014-000342_010	tezAm sarvezAm Agamanena pratApadurgam vIraSriyA pulakitam aBavat
sp014-000343_010	SivamahArAjasya gUQacaravyavasTA atyadButA AsIt
sp014-000344_010	vAyInagaram prati aPajalKAnasya AgamanAt pUrvameva SivamahArAjasya gUQacarAH tatra vAsam ArabDavantaH Asan
sp014-000345_010	KAnasya dUtaH BUtvA kfzRAjIpantaBAskaraH SivarAjena melitum pratApadurgam prati prasTitavAn asti iti te vArtAm prezitavantaH
sp014-000346_010	durge sarvezAm kutUhalam cintA ca
sp014-000347_010	kfzRAjIpantasya svAgatam kaTam syAt iti vizaye samagram cintanam mahArAjaH eva kftavAn
sp014-000348_010	nirIkzAnusAram kfzRAjipantaH durgasya upari AgatavAn
sp014-000349_010	atyantam AdareRa tasya svAgatam kftam
sp014-000350_010	mitrarAjyasya rAjadUtAya iva
sp014-000351_010	saH mahArAjasya sammuKe aPajalKAnavaryaH vAyInagaram prati AgatavAnasti
sp014-000352_010	tayoH sambanDaH bahu uttamaH asti
sp014-000353_010	ataH KAnavaryasya vizaye BavatA anyaTA na BAvanIyam
sp014-000354_010	BavadIyAni durgARi saH Bavate eva dAsyati
sp014-000355_010	BavAn sakft vAyIm Agatya snehasambanDasya SuBAramBasUcakarUpeRa KAnavaryeRa
sp014-000356_010	vitIrRavAn
sp014-000357_010	KAnena liKitam patram kfzRAjIpantaH SivamahArAjAya dattavAn
sp014-000358_010	SvaH patrasya uttaram dadmaH iti uktvA SivarAjaH kfzRAjIpantaBAskaram AdarapUrvakam vasatim prati prezitavAn
sp014-000359_010	anantaram durgasTAH sarve pramuKAH rAjanItipramuKAH ca ekatra sammiLitAH
sp014-000360_010	tatra KAnasya patram paWitam
sp014-000361_010	kintu patrAntargataH vizayaH kfzRAjeH kaTanAt nitarAm BinnaH AsIt
sp014-000362_010	tayoH mahat vEparItyam AsIt
sp014-000363_010	tasmin patre liKitam AsIt
sp014-000364_010	adyAvaDi BavataH upadravaH varDamAnaH eva asti
sp014-000365_010	BavAn udDataH san sarvatra vidroham kurvan asti
sp014-000366_010	mama sarve api SUranAyakAH Bavantam nirmUlayitum mAm prerayantaH santi
sp014-000367_010	KAnasya vAstavikam udDatarUpam tasya patre drazwum Sakyam AsIt
sp014-000368_010	etasya patrasya uddeSaH kaH iti SivarAjaH Jawiti jYAtavAn
sp014-000369_010	durgARi BUpradeSaH vA AvaSyakaH cet aPjalKAnaH yudDameva akarizyat
sp014-000370_010	kintu tatsTAne saH mama melanam icCati
sp014-000371_010	tadarTam prItim ca darSayan asti
sp014-000372_010	etasya arTaH KAnaH durgARi BUmim vA na icCati
sp014-000373_010	mAm SivarAjam eva icCati iti avagatavAn saH
sp014-000374_010	SivamahArAjaH svasya rAjadUtam citavAn
sp014-000375_010	saptativarzIyasya tasya ekEkaH keSaH api rAjanItikAraRataH eva palitaH AsIt
sp014-000376_010	KAnena saha kim kim samBAzaRIyam iti SivarAjaH tam sUcitavAn
sp014-000377_010	KAnasya pratiniDim kfzRAjIBAskaram vinayena praRamya SivarAjaH mayA jitAni durgARi pratidAtavyAni iti KAnvaryaH AjYApya mAm sanDyarTam AhUtavAn asti
sp014-000378_010	mama vizaye tasya paramadayALutA
sp014-000379_010	KAnavaryaH nAma kaH
sp014-000380_010	tasya agnisadfSaH parAkramaH kIdfSaH
sp014-000381_010	tenEva aKilasya BUmaRqalasya SoBA varDitA asti
sp014-000382_010	kintu vAyIm prati Agantum mama bahu Bayamasti
sp014-000383_010	ataH saH eva atra jAvaLIpradeSam AgacCatu mahyam aBayapradAnam ca karotu
sp014-000384_010	atra kApawyam nAstyeva
sp014-000385_010	KAnavaryastu sAkzAt mama pitfvyaH iva
sp014-000386_010	aham avaSyam tasya darSanam karizyAmi iti niveditavAn
sp014-000387_010	kfzRAjiH api SivarAjam vAyIm prati Anetum bahuDA prayatnam kftavAn
sp014-000388_010	kintu mahArAjasya ekaH eva svaraH
sp014-000389_010	tatra Agantum mama Bayam
sp014-000390_010	adyAvaDi mayA bahuviDAH aparADAH kftAH santi
sp014-000391_010	KAnvaryaH mama pitftulyaH
sp014-000392_010	saH eva Agatya mama hastam gfhItvA bAdaSAhasya samIpam nayatu iti
sp014-000393_010	KAnasya dUtaH api SivarAjasya vacanAni taTyapUrRAni iti BAvitavAn
sp014-000394_010	mahArAjaH tasmE yogyAni upAyanAni dattvA prezitavAn
sp014-000395_010	kfzRAjIBAskareRa saha gopInATapantamahodayaH api prasTitavAn
sp014-000396_010	tena saha KAnAya katicana utkfzwAni upAyanAni patram ca AsIt
sp014-000397_010	prasTAnAt pUrvam gopInATamahodayam AhUya SivarAjaH kenApi upAyena KAnam jAvaLIm Anetum prayatnam karotu
sp014-000398_010	kaTaYcit tasya aNgIkAram prApnotu
sp014-000399_010	mama vizaye KAnasya Antaryam kim iti jYAtvA AgacCatu iti sUcitavAn
sp014-000400_011	gopInATavaryasya tIkzRA dfzwiH KAnasya sEnyam mAti sma
sp014-000401_011	balAQyam AQyam ca AsIt tadIyam sEnyam
sp014-000402_011	gopInATamahodayasya purataH kOpInaDAriRAm arDanagnAnAm mAvaLIsEnikAnAm citram Agatam
sp014-000403_011	mama patrasya uttararUpeRa SivarAjaH kim uktavAn syAt iti aPajalasya cintA
sp014-000404_011	kfzRAjiH KAnasya Sibiram AgatavAn
sp014-000405_011	SivarAjaH kaTam BItaH asti kaTam KAnasya dayABikzAm yAcamAnaH asti vinA vacanam saH durgARi samarpayitum sidDaH asti ityAdikam tena vivftam
sp014-000406_011	sarvam SrutavAn KAnaH AnandasAgare nimagnaH aBavat
sp014-000407_011	AkasmikarUpeRa vA Bavatu tasya rowikA GftaBARqe patitA AsIt
sp014-000408_011	anantaram kfzRAjiH gopInATamahodayasya patram samarpitavAn
sp014-000409_011	SivarAjena dattAni upAyanAni api samarpitavAn
sp014-000410_011	patre SivarAjaH adyAvaDi mayA kftAn sarvAn aparADAn BavAn OdAryeRa kzAmyet
sp014-000411_011	itaHparam nizkapawatayA bAdaSAhasya sevakaH san aham kAryam karizyAmi iti liKitavAn AsIt
sp014-000412_011	SivarAjasya patrasya svarAnusAram gopInATamahodayaH api tALam yojayan AsIt
sp014-000413_011	etena saha jAvaLyAH vanaSoBAyAH AsvAdanArTam nimantraRam api kftam tena
sp014-000414_011	sarvam SrutavAn aPajalKAnaH svargaH nAtidUre asti iti BAvitavAn
sp014-000415_011	mama tantram Palitam SivarAjaH mama jAle patitavAn iti
sp014-000416_011	cintayataH tasya mahAn AnandaH
sp014-000417_011	taTApi jAvaLIpradeSaH gantavyaH iti cintanena eva tasya hfdaye kampanam ArabDam
sp014-000418_011	tasya araRyasya BIkaratA tena anavagatA tu na
sp014-000419_011	punaSca aPajalKAnaH sudIrGam cintanam kftavAn
sp014-000420_011	SivaH tu BIruH iti pratiBAti
sp014-000421_011	saH mAm sasEnyam jAvaLIm prati AhUtavAnasti
sp014-000422_011	tatrEva tizWet
sp014-000423_011	no cet durgAt durgam prati kUrdanam kurvan palAyanam kuryAt
sp014-000424_011	mama sEnyam tu asti eva
sp014-000425_011	mama pracaRqasEnyasya sammuKIkaraRasya sAhasam tu na kuryAt saH
sp014-000426_011	vacanAnusAram sanDyarTam yadi AgacCati tadA tu samasyA eva nAsti iti
sp014-000427_011	asmin vizaye tasya Aptasya kfzRAja BAskarasya anuroDaH api AsIt
sp014-000428_011	SivarAjasya vacanAni nizkapawAni viSvAsArhARi ca iti kfzRAjinA niScitam AsIt
sp014-000429_011	ante KAnaH gopInATamahodayam SivarAjaH kaScit kAPIr vaYcakaH ca
sp014-000430_011	mAm eva saH jAvaLIm prati Ahvayan asti
sp014-000431_011	BavAn brAhmaRaH
sp014-000432_011	SivarAjaH viSvAsArhaH na
sp014-000433_011	mahAvaYcakaH saH iti uktavAn
sp014-000434_011	mahArAjena api sUcitam AsIt
sp014-000435_011	aPjalaH eva jAvaLIm AgacCet iti tu muKyaH aMSaH iti
sp014-000436_011	etasya pratIkAraH karaRIyaH eva iti saH manasi eva ugram SapaTam kftavAn
sp014-000437_011	kintu bahiH tu sOmyatAm pradarSayan BavataH sandehaH eva mAstu
sp014-000438_011	avaSyam melanArTam AgacCatu iti ASvAsanam dattavAn
sp014-000439_011	saH sasEnyam gantum sajjatAm ArabDavAn
sp014-000440_011	gopInATavaryasya arDam kAryam samAptam AsIt
sp014-000441_011	kintu cARAkzaH saH tataH na nirgatavAn
sp014-000442_011	taTA yacCan eva apekzitam amUlyam rahasyam jYAtavAn SivarAjaH vaYcakaH
sp014-000443_011	yudDe hastalaByaH na Bavet
sp014-000444_011	ataH sanDeH vyAjena saH grahItavyaH iti KAnasya yojanA asti iti
sp014-000445_011	KAnasya kutantram jYAtavataH gopInATavaryasya manasi vyAkalatA utpannA
sp014-000446_011	tasya manasi Anandasya cintAyAH ca BAvO AstAm
sp014-000447_011	tezu kecana bijApurabAdaSAhasya vizaye nizWAvantaH dUradarSinaH ca Asan
sp014-000448_011	KAnasya jAvaLIgamanam teByaH na arocata
sp014-000449_011	atra koऽpi apAyaH syAt iti tezAm cintanam
sp014-000450_011	ataH te spazwarUpeRa KAnam prati atra BayaNkaram kutantram nihitam iva dfSyate
sp014-000451_011	adyAvaDi SivarAjaH kasyApi purataH natamastakaH na aBavat
sp014-000452_011	saH mahAcARAkzaH asImaparAkramI ca
sp014-000453_011	saH idAnIm BavataH purataH Bayasya SaraRAgateH ca kapawanAwakam aBinayan asti
sp014-000454_011	jAvaLyAH BayaNkaram araRyam prati Bavantam Ahvayan asti
sp014-000455_011	atra niScayena kutantram syAt iti boDitavantaH
sp014-000456_011	svasya SatroH stutim SrutavataH KAnasya ahaNkArasya mahAn AGAtaH jAtaH
sp014-000457_011	tAn nAyakAn rozeRa nindan saH
sp014-000458_011	evam sTite kva SivarAjaH
sp014-000459_011	mama kroDAgneH darSanena eva jAvaLI araRyam BasmasAt Bavet iti uktavAn
sp014-000460_011	gopInATavaryeRa svavARyA aBinayacAturyeRa ca KAnasya yat praSaMsanam kftam AsIt tat sArTakam jAtam
sp014-000461_011	iti kaWorAjYAm eva vihitavAn KAnaH
sp014-000462_011	tena kecana ugram daRqitAH api
sp014-000463_011	mUrKasya upadeSaH SilayA SirasaH Gawwanam iva Kalu
sp014-000464_011	upadeSam kftavataH eva kzataH
sp014-000465_011	KAnastu SivarAjasya melanArTam atikAtaraH AsIt
sp014-000466_011	jAvaLIm prati prasTAnam Bavatu iti sEnyam AdizwavAn saH
