sp008-000001_SR_01	sa mAtuH pArSvam prAptaH
sp008-000620_YS_11	anAdikarmakleSavAsanAcitrA pratyupasTitavizayajAlA ca aSudDiH nAntareRa tapaH samBedam Apadyata iti tapasa upAdAnam
sp008-000621_YS_11	tacca cittaprasAdanam abADamAnam anena asevyamiti manyate
sp008-000622_YS_11	svADyAyaH praRavAdipavitrARAm japaH mokzaSAstrADyayanam vA
sp008-000623_YS_11	ISvarapraRiDAnam sarvakriyARAm paramagurO arpaRam tatPalasannyAso vA
sp008-000624_YS_11	sa hi kriyAyogaH
sp008-000625_YS_11	samADiBAvanArTaH kleSatanUkaraRArTaSca
sp008-000626_YS_11	sa hi AsevyamAnaH samADim BAvayati kleSAMSca pratanUkaroti
sp008-000627_YS_11	pratanUkftAn kleSAn prasaNKyAnAgninA dagDabIjakalpAn aprasavaDarmiRaH karizyatIti
sp008-000628_YS_11	tezAm tanUkaraRAt punaH kleSEH aparAmfzwA sattvapuruzAnyatAKyAtiH sUkzmA prajYA samAptADikArA pratiprasavAya kalpizyate iti
sp008-000629_YS_11	aTa ke te kleSAH kiyanto vA iti
sp008-000630_YS_11	avidyAsmitArAgadvezABiniveSAH kleSAH
sp008-000631_YS_11	kleSA iti
sp008-000632_YS_11	paYca viparyayA ityarTaH
sp008-000633_YS_11	te syandamAnA guRADikAram draQayanti pariRAmam avasTApayanti
sp008-000634_YS_11	kAryakAraRasrotaH unnamayanti
sp008-000635_YS_11	parasparAnugrahatantrIBUya karmavipAkam ca aBinirharantIti
sp008-000636_YS_12	avidyA kzetramuttarezAm prasuptatanuvicCinnodArARAm
sp008-000637_YS_12	atra avidyA kzetram prasavaBUmiH uttarezAm asmitAdInAm caturviDakalpAnAm prasuptatanuvicCinnodArARAm
sp008-000638_YS_12	tatra kA prasuptiH cetasi SaktimAtrapratizWAnAm bIjaBAvopagamaH
sp008-000639_YS_12	tasya praboDaH Alambane sammuKIBAvaH
sp008-000640_YS_12	prasaNKyAnavato dagDakleSabIjasya sammuKIBUteऽpi Alambane nAsO punarasti
sp008-000641_YS_12	dagDabIjasya kutaH prarohaH iti
sp008-000642_YS_12	ataH kzIRakleSaH kuSalaH caramadeha ityucyate
sp008-000643_YS_12	tatrEva sA dagDabIjaBAvA paYcamI kleSAvasTA nAnyatra iti
sp008-000644_YS_12	satAm kleSAnAm tadA bIjasAmarTyam dagDamiti vizayasya sammuKIBAveऽpi sati na BavatyezAm praboDaH iti
sp008-000645_YS_12	uktA prasuptiH dagDabIjAnAm aprarohaSca
sp008-000646_YS_12	tanutvamucyate pratipakzaBAvanopahatAH kleSAH tanavo Bavanti
sp008-000647_YS_12	taTA vicCidya vicCidya tena tenAtmanA punaH punaH samudAcarantIti vicCinnAH
sp008-000648_YS_12	kaTam rAgakAle kroDasya adarSanAt
sp008-000649_YS_12	na hi rAgakAle kroDaH samudAcarati
sp008-000650_YS_12	rAgaSca kvacit dfSyamAnaH na vizayAntare nAsti
sp008-000651_YS_12	nEkasyAm striyAm cEtraH rakta iti anyAsu strIzu virakta iti
sp008-000652_YS_12	kintu tatra rAgaH labDavfttiH anyatra tu Bavizyadvfttiriti
sp008-000653_YS_12	sa hi tadA prasuptatanuvicCinno Bavati
sp008-000654_YS_12	vizaye yo labDavfttiH sa udAraH
sp008-000655_YS_12	sarva eva ete kleSavizayatvam na atikrAmanti
sp008-000656_YS_12	kastarhi vicCinnaH prasuptatanuvicCinnaH prasuptatanuH udAro vA kleSaH iti
sp008-000657_YS_12	ucyate satyameva etat
sp008-000658_YS_12	kintu viSizwAnAm eva etezAm vicCinnAditvam
sp008-000659_YS_12	yaTEva pratipakzaBAvanAto nivfttaH taTEva svavyaYjakAYjanena aBivyakta iti
sp008-000660_YS_12	sarva eva amI kleSA avidyABedAH
sp008-000661_YS_12	kasmAt sarvezu avidyA eva aBiplavate
sp008-000662_YS_12	yadavidyayA vastu akAryate tadeva anuSerate kleSAH
sp008-000663_YS_12	viparyAsapratyayakAle upalaByante kzIyamARAm ca avidyAmanu kzIyante iti
sp008-000664_YS_12	tatra avidyAsvarUpam ucyate
sp008-000665_YS_12	anityASuciduHKAnAtmasu nityaSucisuKAtmaKyAtiravidyA
sp008-000666_YS_12	anitye kArye nityaKyAtiH
sp008-000667_YS_12	tadyaTA DruvA pfTivI
sp008-000668_YS_12	DruvA sacandratArakA dyOH
sp008-000669_YS_12	amftA divOkasaH iti
sp008-000670_YS_12	taTASucO paramabIBatse kAye uktam ca
sp008-000671_YS_12	sTAnAdbIjAdupazWambAt niHsyandAnniDanAdapi
sp008-000672_YS_12	kAyamADeyaSOcatvAt paRqitA hyaSucim viduH
sp008-000673_YS_12	ityaSucO SarIre SuciKyAtiH dfSyate
sp008-000674_YS_12	naveva SaSANkaleKAkamanIyA iyam kanyA
sp008-000675_YS_12	maDvamftAvayavanirmitA iva candram BittvA niHsftA iva jYAyate
sp008-000676_YS_12	nIlotpalapatrAyatAkzI hAvagarBAByAm locanAByAm jIvalokam ASvAsayantIva iti kasya kena aBisambanDaH
sp008-000677_YS_12	Bavati ca evam aSucO SuciviparyAsapratyayaH iti
sp008-000678_YS_12	etena apuRye puRyapratyayaH taTEva anarTe ca arTapratyayo vyAKyAtaH
sp008-000679_YS_12	taTA duHKe suKaKyAtim vakzyati
sp008-000680_YS_12	pariRAmatApasaMskAraduHKErguRavfttiviroDAcca duHKameva sarvam vivekinaH iti
sp008-000681_YS_12	tatra suKaKyAtiravidyA
sp008-000682_YS_12	taTA anAtmani AtmaKyAtiH bAhyopakaraRezu cetanAcetanezu BogADizWAne vA SarIre
sp008-000683_YS_12	puruzopakaraRe vA manasi anAtmani AtmaKyAtiriti
sp008-000684_YS_12	taTEtadatra uktam vyaktamavyaktam vA sattvam Atmatvena aBipratItya tasya sampadam anu nandati Atmasampadam manvAnaH
sp008-000685_YS_12	tasya vyApadam anuSocati AtmavyApadam manvAnaH sa sarvoऽtibudDaH iti
sp008-000686_YS_13	ezA catuzpadA BavatyavidyA
sp008-000687_YS_13	mUlamasya kleSasantAnasya karmASayasya ca savipAkasya iti
sp008-000688_YS_13	tasyASca amitrAgozpadavat vastusatattvam vijYeyam
sp008-000689_YS_13	yaTA nAmitrO mitrABAvaH na mitramAtram kintu tadvirudDaH sapatnaH
sp008-000690_YS_13	taTA ca agozpadam na gozpadABAvo na gozpadamAtram
sp008-000691_YS_13	kintu deSa eva tAByAm anyat vastvantaram
sp008-000692_YS_13	evam avidyA na pramARam na pramARABAvaH kintu vidyAviparItam jYAnAntaram avidyA iti
sp008-000693_YS_13	dfgdarSanaSaktyorekAtmatevAsmitA
sp008-000694_YS_13	puruzo dfkSaktiH budDirdarSanaSaktiH ityetayoH ekasvarUpApattiriva asmitA kleSa ucyate
sp008-000695_YS_13	BoktfBogyaSaktyoH atyantaviBaktayoH atyantAsaNkIrRayoH aviBAgaprAptO iva satyAm BogaH kalpate
sp008-000696_YS_13	svarUpapratilamBe tu tayoH kEvalyameva Bavati kuto Boga iti
sp008-000697_YS_13	taTA coktam budDitaH param puruzam AkAraSIlavidyAdiBiH viBaktam apaSyan kuryAt tatra AtmabudDim mohena iti
sp008-000698_YS_13	suKAnuSayI rAgaH
sp008-000699_YS_13	suKABijAtasya suKAnusmftipUrvaH suKe tatsADane vA yo garDaH tfzRA loBaH sa rAga iti
sp008-000700_YS_13	duHKAnuSayI dvezaH
sp008-000701_YS_13	duHKABijYasya duHKAnusmftipUrvo duHKe tatsADane vA yaH pratiGo manyuH jiGAMsA kroDaH sa dveza iti
sp008-000702_YS_13	svarasavAhI viduzoऽpi taTArUQoऽBiniveSaH
sp008-000703_YS_13	sarvasya prARinaH iyam AtmASIH nityA Bavati mA na BUvam BUyAsamiti
sp008-000704_YS_14	na ca ananuBUtamaraRaDarmakasya ezA Bavati AtmASIH
sp008-000705_YS_14	etayA ca pUrvajanmAnuBavaH pratIyate
sp008-000706_YS_14	sa cAyam aBiniveSaH kleSaH svarasavAhI kfmerapi jAtamAtrasya pratyakzAnumAnAgamEH asamBAvitO maraRatrAsa ucCedadfzwyAtmakaH pUrvajanmAnuBUtam maraRaduHKam anumApayati
sp008-000707_YS_14	yaTA ca ayam atyantamUQezu dfSyate kleSaH
sp008-000708_YS_14	taTA viduzoऽpi vijYAtapUrvAparAntasya rUQaH
sp008-000709_YS_14	kasmAt samAnA hi tayoH kuSalAkuSalayoH maraRaduHKAnuBavAt iyam vAsaneti
sp008-000710_YS_14	te pratiprasavaheyAH sUkzmAH
sp008-000711_YS_14	te paYcakleSA dagDabIjakalpA yoginaH caritADikAre cetasi pralIne saha tenEva astam gacCanti
sp008-000712_YS_14	sTitAnAm tu bIjaBAvopagatAnAm
sp008-000713_YS_14	DyAnaheyAstadvfttayaH
sp008-000714_YS_14	kleSAnAm yA vfttayaH sTUlAH tAH kriyAyogena tanUkftAH satyaH prasaNKyAnena DyAnena hAtavyAH yAvatsUkzmIkftAH yAvaddagDabIjakalpAH iti
sp008-000715_YS_14	yaTA ca vastrARAm sTUlo malaH pUrvam nirDUyate paScAtsUkzmo yatnena upAyena ca apanIyate
sp008-000716_YS_14	taTA svalpapratipakzAH sTUlAH vfttayaH kleSAnAm sUkzmAstu mahApratipakzAH iti
sp008-000717_YS_14	kleSamUlaH karmASayo dfzwAdfzwajanmavedanIyaH
sp008-000718_YS_14	tatra puRyApuRyakarmASayaH kAmaloBamohakroDaprasavaH
sp008-000719_YS_14	sa dfzwajanmavedanIyaSca adfzwajanmavedanIyaSca
sp008-000720_YS_14	tatra tIvrasaMvegena mantratapaHsamADiBiH nirvartitaH ISvaradevatAmaharzimahAnuBAvAnAm ArADanAdvA yaH parinizpannaH
sp008-000721_YS_14	sa sadyaH paripacyate puRyakarmASaya iti
sp008-000722_YS_14	taTA tIvrakleSena BItavyADitakfpaRezu viSvAsopagatezu vA mahAnuBAvezu vA tapasvizu kftaH punaH punarupakAraH
sp008-000723_YS_14	sa cApi pApakarmASayaH sadya eva paripacyate
sp008-000724_YS_14	yaTA nandISvaraH kumAro manuzyapariRAmam hitvA devatvena pariRataH
sp008-000725_YS_14	taTA nahuzoऽpi devAnAm indraH svakam pariRAmam hitvA tiryaktvena pariRata iti
sp008-000726_YS_14	tatra nArakARAm nAsti dfzwajanmavedanIyaH karmASayaH
sp008-000727_YS_14	kzIRakleSAnAm api nAsti adfzwajanmavedanIyaH karmASaya iti
sp008-000728_YS_14	sati mUle tadvipAko jAtyAyurBogAH
sp008-000729_YS_14	satsu kleSezu karmASayo vipAkAramBo Bavati na ucCinnakleSamUlaH
sp008-000730_YS_14	yaTA tuzAvanadDAH SAlitaRqalAH adagDabIjaBAvAH prarohasamarTAH Bavanti
sp008-000731_YS_14	na apanItatuzA dagDabIjaBAvA vA
sp008-000732_YS_14	taTA kleSAvanadDaH karmASayo vipAkaprarohI Bavati
sp008-000733_YS_14	na apanItakleSo na prasaNKyAnadagDakleSabIjaBAvo veti
sp008-000734_YS_14	sa ca vipAkaH triviDo jAtirAyurBoga iti
sp008-000735_YS_14	tatredam vicAryate kimekam karmEkasya janmanaH kAraRam aTEkam karma anekam janmAkzipatIti
sp008-000736_YS_14	dvitIyA vicAraRA kim anekam karma anekam janma nirvartayati aTa anekam karma ekam janma nirvartayatIti
sp008-000737_YS_14	na tAvat ekam karma ekasya janmanaH kAraRam
sp008-000738_YS_14	kasmAt anAdikAlapracitasya asaNKyeyasya avaSizwasya karmaRaH sAmpratikasya ca PalakramAniyamAt anASvAso lokasya prasaktaH
sp008-000739_YS_14	sa ca anizwa iti
sp008-000740_YS_15	na ca ekam karma anekasya janmanaH kAraRam
sp008-000741_YS_15	kasmAt anekezu karmasu ekEkameva karma anekasya janmanaH kAraRam iti
sp008-000742_YS_15	avaSizwasya vipAkakAlABAvaH prasaktaH sa cApi anizwa iti
sp008-000743_YS_15	na ca anekam karma anekasya janmanaH kAraRam
sp008-000744_YS_15	kasmAt tadanekam janma yugapan na samBavatIti krameREva vAcyam
sp008-000745_YS_15	taTA ca pUrvadozAnuzaNgaH
sp008-000746_YS_15	tasmAt janmaprAyaRAntare kftaH puRyApuRyakarmASayapracayo vicitraH praDAnopasarjanaBAvena avasTitaH
sp008-000747_YS_15	prAyaRABivyakta ekapraGawwakena militvA maraRam prasADya sammUrcCita ekameva janma karoti
sp008-000748_YS_15	tacca janma tenEva karmaRA labDAyuzkam Bavati
sp008-000749_YS_15	tasminnAyuzi tenEva karmaRA BogaH sampadyata iti
sp008-000750_YS_15	asO karmASayaH janmAyurBogahetutvAt triviDapAkaH aBiDIyate iti
sp008-000751_YS_15	ata ekaBavika karmASaya ukta iti
sp008-000752_YS_15	dfzwajanmavedanIyastu ekavipAkAramBI BogahetutvAt
sp008-000753_YS_15	dvipAkAramBI vA BogAyurhetutvAn nandISvaravat nahuzavadvA iti
sp008-000754_YS_15	kleSakarma vipAkAnuBavanirvartitABistu vAsanABiH anAdikAlasammUrcCitamidam cittam citrIkftamiva sarvato matsyajAlam granTiBiriva Atatam ityetAH anekaBavapUrvikA vAsanAH
sp008-000755_YS_15	yastvayam karmASayaH eza eva ekaBavika uktaH iti
sp008-000756_YS_15	ye saMskArAH smftihetavaH tAH vAsanAH tASca anAdikAlInAH iti
sp008-000757_YS_15	yastvasO ekaBavikaH karmASayaH saH niyatavipAkaSca aniyatavipAkaSca
sp008-000758_YS_15	tatra adfzwajanmavedanIyasya niyatavipAkasya eva ayam niyamaH
sp008-000759_YS_15	na tu adfzwajanmavedanIyasya aniyatavipAkasya
sp008-000760_YS_15	kasmAt yo hi adfzwajanmavedanIyaH aniyatavipAkaH tasya trayI gatiH
sp008-000761_YS_15	kftasya avipakvasya nASaH praDAnakarmaRi AvApagamanam vA niyatavipAkapraDAnakarmaRABiBUtasya vA ciram avasTAnamiti
sp008-000762_YS_15	tatra kftasya avipakvasya nASaH yaTA SuklakarmodayAt ihEva nASaH kfzRasya
sp008-000763_YS_15	yatredamuktam
sp008-000764_YS_15	dve dve ha vE karmaRI veditavye
sp008-000765_YS_15	pApakasyEko rASiH puRyakftoऽpahanti
sp008-000766_YS_15	tadicCasva karmARi sukftAni kartum
sp008-000767_YS_15	ihEva te karma kavayo vedayante
sp008-000768_YS_15	praDAnakarmaRi AvApagamanam yatredamuktam
sp008-000769_YS_15	syAt svalpaH saNgaraH saparihAraH sapratyavamarzaH kuSalasya na apakarzAya alam
sp008-000770_YS_15	kasmAt kuSalam hi me bahvanyadasti yatra ayamAvApam gataH svargeऽpi apakarzamalpam karizyati iti
sp008-000771_YS_15	niyatavipAkapraDAnakarmaRA aBiBUtasya vA ciram avasTAnam kaTamiti
sp008-000772_YS_15	adfzwajanmavedanIyasyEva niyatavipAkasya karmaRaH samAnam maraRam aBivyaktikAraRam uktam
sp008-000773_YS_15	na tu adfzwajanmavedanIyAniyatavipAkasya
sp008-000774_YS_15	yattu adfzwajanmavedanIyam karma aniyatavipAkam tannaSyet AvApam vA gacCet aBiBUtam vA ciram apyupAsIta
sp008-000775_YS_15	yAvatsamAnam karma aBivyaYjakam nimittasya na vipAkABimuKam karotIti
sp008-000776_YS_15	tadvipAkasyEva deSakAlanimittAnavaDAraRAt iyam karmagatiH citrA durvijYAtA ca iti
sp008-000777_YS_15	na ca utsargasya apavAdAn nivfttiH ityekaBavikaH karmASayaH anujYAyata iti
sp008-000778_YS_15	te hlAdaparitApaPalAH puRyApuRyahetutvAt
sp008-000779_YS_15	te janmAyurBogAH puRyahetukAH suKaPalA apuRyahetukAH duHKaPalA iti
sp008-000780_YS_15	yaTA cedam duHKam pratikUlAtmakamevam viSezasuKakAleऽpi duHKamastyeva pratikUlAtmakam yoginaH
sp008-000781_YS_15	kaTam tadupapadyate
sp008-000782_YS_15	pariRAmatApasaMskAraduHKErguRavfttiviroDAcca duHKameva sarvam vivekinaH
sp008-000783_YS_16	sarvasyAyam rAgAnuvidDaH cetanAcetanasADanADInaH suKAnuBava iti tatrAsti rAgajaH karmASayaH
sp008-000784_YS_16	taTA ca dvezwi duHKasADanAni muhyati ca iti dvezamohakftoऽpi asti karmASayaH
sp008-000785_YS_16	taTA coktam
sp008-000786_YS_16	na anupahatya BUtAni upaBogaH samBavatIti hiMsAkftoऽpi asti SArIraH karmASaya iti
sp008-000787_YS_16	vizayasuKam ca avidyA ityuktam
sp008-000788_YS_16	yA Bogezu indriyARAm tfpteH upaSAntiH tatsuKam
sp008-000789_YS_16	yA lOlyAt anupaSAntiH tadduHKam
sp008-000790_YS_16	na ca indriyARAm BogAByAsena vEtfzRyam kartum Sakyam
sp008-000791_YS_16	kasmAt yato BogAByAsam anuvivarDante rAgAH kOSalAni ca indriyARAm iti tasmAt anupAyaH
sp008-000792_YS_16	suKasya BogAByAsa iti
sp008-000793_YS_16	sa Kalvayam vfScikavizaBIta iva ASIvizeRa dazwo yaH suKArTI vizayAnuvAsito mahati duHKapaNke nimagna iti
sp008-000794_YS_16	ezA pariRAmaduHKatA nAma pratikUlA suKAnvasTAyAmapi yoginameva kliSnAti
sp008-000795_YS_16	aTa kA tApaduHKatA sarvasya dvezAnuvidDaH cetanAcetanasADanADInaH tApAnuBava iti
sp008-000796_YS_16	tatrAsti dvezajaH karmASayaH
sp008-000797_YS_16	suKasADanAni ca prArTayAmAnaH kAyena vAcA manasA ca parispandate
sp008-000798_YS_16	tataH param anugfhRAti upahanti ca iti parAnugrahapIqAByAm DarmADarmO upacinoti
sp008-000799_YS_16	sa karmASayo loBAt mohAcca BavatIti ezA tApaduHKatA ucyate
sp008-000800_YS_16	kA punaH saMskAraduHKatA
sp008-000801_YS_16	suKAnuBavAt suKasaMskArASayo duHKAnuBavAdapi duHKasaMskArASaya iti
sp008-000802_YS_16	evam karmaByo vipAkeऽnuBUyamAne suKe duHKe vA punaH karmASayapracaya iti
sp008-000803_YS_16	evamidam anAdiduHKasroto viprasftam yoginameva pratikUlAtmakatvAt udvejayati
sp008-000804_YS_16	kasmAt akzipAtrakalpo hi vidvAniti
sp008-000805_YS_16	yaTA UrRAtantuH akzipAtre nyastaH sparSena duHKayati na ca anyezu gAtrAvayavezu
sp008-000806_YS_16	evam etAni duHKAni akzipAtrakalpam yoginameva kliSnanti netaram pratipattAram
sp008-000807_YS_16	itaram tu svakarmopahftam duHKamupAttamupAttam tyajantam tyaktam tyaktam upAdadAnam anAdivAsanAvicitrayA cittavfttyA samantato anuvidDamiva avidyayA hAtavya eva
sp008-000808_YS_16	ahaNkAramamakArAnupAtinam jAtam jAtam bAhyADyAtmikoBayanimittAH triparvARastApA anuplavante
sp008-000809_YS_16	tadevam anAdiduHKasrotasA vyuhyamAnam AtmAnam BUtagrAmam ca dfzwvA yogI sarvaduHKakzayakAraRam samyagdarSanam SaraRam prapadyata iti
sp008-000810_YS_16	guRavfttyaviroDAcca duHKameva sarvam vivekinaH
sp008-000811_YS_16	praKyApravfttisTitirUpA budDiguRAH parasparAnugrahatantrIBUya SAntam Goram mUQam vA pratyayam triguRameva AraBante
sp008-000812_YS_16	calam ca guRavfttamiti kziprapariRAmi cittamuktam
sp008-000813_YS_16	rUpAtiSayA vfttyatiSayASca paraspareRa virudDyante
sp008-000814_YS_16	sAmAnyAni tu atiSayEH saha pravartante
sp008-000815_YS_16	evam ete guRAH itaretarASrayeRa upArjitasuKaduHKamohapratyayA iti sarve sarvarUpA Bavanti
sp008-000816_YS_16	guRapraDAnaBAvakftastu ezAm viSeza iti
sp008-000817_YS_16	tasmAdduHKameva sarvam vivekina iti
sp008-000818_YS_17	tadasya mahato duHKasamudAyasya praBavabIjam avidyA
sp008-000819_YS_17	tasyASca samyagdarSanam aBAvahetuH
sp008-000820_YS_17	yaTA cikitsASAstram caturvyUham
sp008-000821_YS_17	rogo rogahetuH Arogyam BEzajyam iti
sp008-000822_YS_17	evam idamapi SAstram caturvyUhameva
sp008-000823_YS_17	tadyaTA saMsAraH saMsArahetuH mokzaH mokzopAyaH iti
sp008-000824_YS_17	tatra duHKabahulaH saMsAro heyaH
sp008-000825_YS_17	praDAnapuruzayoH saMyogo heyahetuH
sp008-000826_YS_17	saMyogasya AtyantikI nivfttiH hAnam
sp008-000827_YS_17	hAnopAyaH samyagdarSanam
sp008-000828_YS_17	tatra hAtuH svarUpam upAdeyam vA heyam vA na Bavitum arhati
sp008-000829_YS_17	hAne tasya ucCedavAdaprasaNgaH upAdAne ca hetuvAdaH
sp008-000830_YS_17	uBayapratyAKyAne ca SASvatavAda ityetat samyagdarSanam
sp008-000831_YS_17	tadetacCAstram caturvyUhamiti aBiDIyate
sp008-000832_YS_17	heyam duHKamanAgatam
sp008-000833_YS_17	duHKam atItam upaBogena ativAhitam na heyapakze vartate
sp008-000834_YS_17	vartamAnam ca svakzaRe BogArUQamiti na tatkzaRAntare heyatAm Apadyate
sp008-000835_YS_17	tasmAt yadeva anAgatam duHKam tadeva akzipAtrakalpam yoginam kliSnAti netaram pratipattAram
sp008-000836_YS_17	tadeva heyatAm Apadyate
sp008-000837_YS_17	tasmAt yadeva heyam ityucyate tasyEva kAraRam pratinirdiSyate
sp008-000838_YS_17	drazwfdfSyayoH saMyogo heyahetuH
sp008-000839_YS_17	drazwA budDeH pratisaMvedI puruzaH
sp008-000840_YS_17	dfSyA budDisattvopArUQAH sarve DarmAH
sp008-000841_YS_17	tadetat dfSyam ayaskAntamaRikalpam sanniDimAtropakAri dfSyatvena svam Bavati puruzasya dfSirUpasya svAminaH
sp008-000842_YS_17	anuBavakarma vizayatAmApannam anyasvarUpeRa pratilabDAtmakam
sp008-000843_YS_17	svatantramapi parArTatvAt paratantram
sp008-000844_YS_17	tayoH dfgdarSanaSaktyoH anAdiH arTakftaH saMyogo heyahetuH duHKasya kAraRam ityarTaH
sp008-000845_YS_17	taTA coktam tatsaMyogahetuvarjanAt syAdayam Atyantiko duHKapratIkAraH
sp008-000846_YS_17	kasmAt duHKahetoH parihAryasya pratIkAradarSanAt
sp008-000847_YS_17	tadyaTA pAdatalasya BedyatA kaRwakasya Bettftvam parihAraH kaRwakasya pAdAnaDizWAnam pAdatrARavyavahitena vA aDizWAnam
sp008-000848_YS_17	etattrayam yo veda loke sa tatra pratIkAram AramBamARo Bedajam duHKam nApnoti
sp008-000849_YS_17	kasmAt tritvopalabDisAmarTyAt iti
sp008-000850_YS_17	atrApi tApakasya rajasaH sattvameva tapyam
sp008-000851_YS_17	kaTam tapikriyAyAH karmasTatvAt sattve karmaRi tapikriyA na apariRAmini nizkriye kzetrajYe
sp008-000852_YS_17	darSitavizayatvAt sattve tu tapyamAne tadAkArAnuroDI puruzaH anutapyata iti
sp008-000853_YS_17	dfSyasvarUpam ucyate
sp008-000854_YS_17	prakASakriyAsTitiSIlam BUtendriyAtmakam BogApavargArTam dfSyam
sp008-000855_YS_17	prakASaSIlam sattvam
sp008-000856_YS_17	kriyASIlam rajaH
sp008-000857_YS_17	sTitiSIlam tama iti
sp008-000858_YS_17	ete guRAH parasparoparaktapraviBAgAH saMyogaviBAgaDarmaRi itaretaropASrayeRa upArjitamUrtayaH parasparANgANgitveऽpi asamBinnaSaktipraviBAgAH
sp008-000859_YS_17	tulyajAtIyAtulyajAtIyaSaktiBedAnupAtinaH
sp008-000860_YS_17	praDAnavelAyAm upadarSitasanniDAnA guRatveऽpi ca vyApAramAtreRa praDAnAntarnItAnumitAstitAH puruzArTakartavyatayA prayuktasAmarTyAH sanniDimAtropakAriRaH ayaskAntamaRikalpAH
sp008-000861_YS_17	pratyayamantareRa ekatamasya vfttim anuvartamAnAH praDAnaSabdavAcyA Bavanti
sp008-000862_YS_17	etaddfSyam ityucyate
sp008-000863_YS_17	tadetaddfSyam BUtendriyAtmakam BUtaBAvena pfTivyAdinA sUkzmasTUlena pariRamate
sp008-000864_YS_17	taTA indriyaBAvena SrotrAdinA sUkzmasTUlena pariRamata iti
sp008-000865_YS_17	tattu nAprayojanam api tu prayojanam urarIkftya pravartata iti BogApavargArTam hi taddfSyam puruzasya iti
sp008-000866_YS_17	tatra izwAnizwaguRasvarUpAvaDAraRam aviBAgApannam BogaH
sp008-000867_YS_17	BoktuH svarUpAvaDAraRam apavarga iti dvayoratiriktam anyaddarSanam nAsti
sp008-000868_YS_17	taTA coktam ayam tu Kalu trizu guRezu kartfzu akartari ca puruze tulyAtulyajAtIye caturTe tatkriyAsAkziRyupanIyamAnAn sarvaBAvAnupapannAnanupaSyan na darSanam anyacCaNkata iti
sp008-000869_YS_17	tAvetO BogApavargO budDikftO budDAveva vartamAnO kaTam puruze vyapadiSyete iti
sp008-000870_YS_17	yaTA ca jayaH parAjayo vA yodDfzu vartamAnaH svAmini vyapadiSyate sa hi tasya Palasya Bokteti
sp008-000871_YS_17	evam banDamokzO budDAveva vartamAnO puruze vyapadiSyete
sp008-000872_YS_17	budDereva puruzArTAparisamAptirbanDaH tadarTAvasAyo mokza iti
sp008-000873_YS_17	etena grahaRaDAraRohApohatattvajYAnABiniveSA budDO vartamAnAH puruze aDyAropitasadBAvAH
sp008-000874_YS_17	sa hi tatPalasya Bokteti
sp008-000875_YS_18	dfSyAnAm tu guRAnAm svarUpaBedAvaDAraRArTam id AraByate
sp008-000876_YS_18	viSezAviSezaliNgamAtrAliNgAni guRaparvARi
sp008-000877_YS_18	tatra AkASavAyvagnyudakaBUmayo BUtAni
sp008-000878_YS_18	SabdasparSarUparasaganDatanmAtrARAm aviSezARAm viSezAH
sp008-000879_YS_18	taTA SrotratvakcakzurjihvAGrARAni budDIndriyARi
sp008-000880_YS_18	vAkpARipAdapAyUpasTAni karmendriyARi
sp008-000881_YS_18	ekAdaSam manaH sarvArTam
sp008-000882_YS_18	ityetAni asmitAlakzaRasya aviSezasya viSezAH
sp008-000883_YS_18	guRAnAm eza zoqaSako viSezapariRAmaH
sp008-000884_YS_18	zaqaviSezAH
sp008-000885_YS_18	tadyaTA SabdatanmAtram sparSatanmAtram rUpatanmAtram rasatanmAtram ganDatanmAtram ca iti
sp008-000886_YS_18	ekadvitricatuzpaYcalakzaRAH SabdAdayaH paYcAviSezAH zazWaSca aviSezo asmitAmAtra iti
sp008-000887_YS_19	ete sattAmAtrasya Atmano mahataH zaqaviSezapariRAmAH
sp008-000888_YS_19	yattat param aviSezeByo liNgamAtram mahattattvam
sp008-000889_YS_19	tasminnete sattAmAtre mahatyAtmani avasTAya vivfdDikAzWAm anuBavanti
sp008-000890_YS_19	pratisammfjyamAnASca tasminneva sattAmAtre mahatyAtmani avasTAya
sp008-000891_YS_19	yattanniHsattAsattam niHsadasannirasat avyaktam aliNgam praDAnam tat pratiyantIti
sp008-000892_YS_19	eza tezAm liNgamAtraH pariRAmaH
sp008-000893_YS_19	niHsattAऽsattam ca aliNgapariRAma iti
sp008-000894_YS_19	aliNgAvasTAyAm na puruzArTo hetuH
sp008-000895_YS_19	na aliNgAvasTAyAm AdO puruzArTatA kAraRam BavatIti
sp008-000896_YS_19	na tasyAH puruzArTatA kAraRam Bavati
sp008-000897_YS_19	nAsO puruzArTakfteti nityAKyAyate
sp008-000898_YS_19	trayARAm tu avasTAviSezARAm AdO puruzArTatA kAraRam Bavati
sp008-000899_YS_19	sa cArTo hetuH nimittam kAraRam BavatIti anityAKyAyate
sp008-000900_YS_19	guRAstu sarvaDarmAnupAtino na pratyastamayante nopajAyante
sp008-000901_YS_19	vyaktiBireva atItAnAgatavyayAgamavatIBiH guRAnvayinIBiH upajananApAyaDarmakA iva pratyavaBAsante
sp008-000902_YS_19	yaTA devadatto daridrAti
sp008-000903_YS_19	kasmAt yatoऽsya mriyante gAva iti
sp008-000904_YS_19	gavAmeva maraRAt tasya daridratA na svarUpahAnAditi samaH samADiH
sp008-000905_YS_19	liNgamAtram aliNgasya pratyAsannam tatra tatsaMsfzwam vivicyate kramAnativftteH
